region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
CED101,38,2167,537,350,1471,1.2,1264,2.8
CED102,37,2200,558,380,1481,1.2,1312,2.7
CED103,37,2349,624,375,1844,1.1,1498,2.7
CED104,40,2500,702,425,2254,1.1,2017,3.0
CED105,33,1935,385,300,1079,1.3,964,3.1
CED106,40,2817,775,453,2538,1.1,2145,2.8
CED107,38,1517,522,190,1328,1.1,1034,2.5
CED108,40,1733,522,260,1399,1.1,1150,2.6
CED109,32,1950,491,270,1291,1.2,1205,3.1
CED110,39,2470,724,370,1969,1.1,1571,2.6
CED111,44,1408,419,220,974,1.1,809,2.4
CED112,38,2000,529,260,1594,1.1,1200,2.5
CED113,39,1842,502,270,1294,1.1,1039,2.6
CED114,43,1650,553,225,1291,1.1,1022,2.4
CED115,42,1300,488,160,1156,1.1,900,2.4
CED116,34,1800,375,260,1078,1.2,1031,3.3
CED117,44,1645,457,231,1115,1.1,907,2.4
CED118,36,2427,738,375,1934,1.2,1580,2.4
CED119,33,2200,648,340,1739,1.1,1593,3.0
CED120,36,2200,659,330,1861,1.1,1647,2.9
CED121,41,1673,530,180,1336,1.1,1059,2.6
CED122,36,1733,534,235,1480,1.1,1221,2.6
CED123,35,2600,660,420,1848,1.2,1445,2.5
CED124,34,1962,615,290,1546,1.1,1347,2.8
CED125,47,1517,426,225,976,1.1,809,2.3
CED126,34,2000,611,297,1615,1.1,1452,3.0
CED127,40,2700,731,450,2048,1.1,1713,2.7
CED128,39,1950,605,280,1612,1.1,1323,2.6
CED129,35,2000,470,320,1357,1.2,1289,3.2
CED130,37,2505,731,450,2195,1.1,2029,3.1
CED131,40,1300,473,185,1113,1.1,893,2.4
CED132,37,1733,564,270,1516,1.1,1142,2.3
CED133,37,2800,992,470,2614,1.2,2114,2.4
CED134,44,1400,433,225,1002,1.1,824,2.4
CED135,39,1300,491,150,1158,1.1,926,2.5
CED136,33,2000,546,340,1405,1.2,1268,2.7
CED137,44,1650,474,240,1167,1.1,936,2.4
CED138,34,2300,593,420,1634,1.3,1493,2.7
CED139,44,1733,461,300,1075,1.1,878,2.4
CED140,37,1400,525,180,1272,1.1,1007,2.5
CED141,42,1941,527,280,1367,1.1,1052,2.4
CED142,42,1733,492,250,1285,1.1,991,2.5
CED143,33,2600,888,480,2367,1.2,1738,2.1
CED144,40,1800,468,234,1257,1.1,1016,2.6
CED145,38,2900,952,480,2572,1.1,2049,2.4
CED146,34,2000,411,310,1140,1.3,1044,3.0
CED147,36,3000,1062,496,2659,1.2,1964,2.1
CED148,33,2000,540,280,1418,1.1,1311,3.1
CED194,37,0,349,0,0,0,0,0
CED197,63,0,490,0,0,0,0,0
CED201,39,1764,596,323,1681,1.1,1487,2.9
CED202,38,1387,511,200,1281,1.1,1013,2.5
CED203,36,1900,534,293,1438,1.1,1178,2.5
CED204,41,1300,489,200,1182,1.1,934,2.4
CED205,38,1700,471,275,1266,1.1,1112,2.7
CED206,33,1705,477,280,1309,1.1,1214,3.1
CED207,38,1733,596,290,1552,1.1,1327,2.7
CED208,36,2000,513,332,1595,1.1,1267,2.6
CED209,41,1560,547,245,1411,1.1,1126,2.5
CED210,39,1467,498,220,1267,1.1,992,2.4
CED211,39,1800,590,300,1601,1.1,1275,2.5
CED212,40,1700,564,260,1426,1.1,1128,2.5
CED213,43,1625,520,250,1279,1.1,1004,2.5
CED214,36,1950,585,280,1570,1.1,1285,2.5
CED215,42,1257,469,175,1153,1.1,903,2.4
CED216,41,2300,723,360,2260,1.1,1681,2.6
CED217,33,1770,523,290,1408,1.1,1326,3.1
CED218,36,2383,856,351,2443,1.1,1741,2.3
CED219,32,1733,555,290,1388,1.1,1296,3.1
CED220,38,1907,518,300,1423,1.1,1216,2.7
CED221,42,1300,509,185,1186,1.1,936,2.4
CED222,37,1800,574,285,1482,1.1,1237,2.6
CED223,39,1907,640,300,1820,1.1,1461,2.6
CED224,38,2400,770,361,2473,1.1,1848,2.6
CED225,37,1733,620,295,1637,1.1,1416,2.8
CED226,32,1733,607,270,1474,1.1,1338,2.9
CED227,41,1083,465,150,1072,1.1,853,2.4
CED228,38,1733,501,280,1372,1.1,1163,2.6
CED229,37,1794,600,250,1561,1.1,1354,2.8
CED230,39,1452,499,210,1230,1.1,983,2.5
CED231,31,2167,736,369,1998,1.2,1407,2.1
CED232,35,2200,934,376,2324,1.2,1682,2.1
CED233,42,2000,578,360,1745,1.1,1495,2.8
CED234,41,1300,474,175,1113,1.1,900,2.5
CED235,36,1733,478,300,1313,1.1,1208,2.9
CED236,42,1192,493,165,1186,1.1,928,2.4
CED237,35,1950,550,310,1467,1.1,1222,2.5
CED294,32,0,352,0,0,0,0,0
CED297,45,0,2000,0,0,0,0,0
CED301,34,1625,549,265,1307,1.1,1135,2.7
CED302,37,2102,662,360,1794,1.1,1509,2.7
CED303,39,2000,608,350,1604,1.1,1365,2.7
CED304,33,2297,867,360,2345,1.1,1732,2.2
CED305,36,1733,641,220,1658,1.1,1377,2.6
CED306,36,1950,666,295,1658,1.1,1401,2.6
CED307,36,1950,686,330,1763,1.1,1589,2.9
CED308,38,2100,578,355,1402,1.1,1216,2.6
CED309,41,1842,534,320,1268,1.1,1057,2.5
CED310,41,1950,510,330,1194,1.1,994,2.5
CED311,36,1733,602,200,1630,1.1,1391,2.7
CED312,33,1950,586,330,1420,1.1,1300,2.9
CED313,33,2200,793,350,2094,1.1,1626,2.4
CED314,37,1517,563,232,1341,1.1,1091,2.5
CED315,32,1863,666,280,1586,1.1,1347,2.6
CED316,44,1468,412,240,940,1.1,801,2.4
CED317,38,1517,530,180,1255,1.1,1035,2.6
CED318,35,1733,598,235,1354,1.1,1141,2.5
CED319,37,2000,674,325,1713,1.1,1378,2.5
CED320,37,1820,520,300,1260,1.1,1103,2.7
CED321,39,1300,498,170,1130,1.1,927,2.5
CED322,39,2000,551,360,1333,1.1,1127,2.5
CED323,38,1950,562,340,1313,1.1,1063,2.3
CED324,34,2000,577,350,1604,1.1,1381,2.7
CED325,33,1950,618,320,1547,1.1,1401,2.9
CED326,38,1950,579,310,1439,1.1,1186,2.5
CED327,31,1800,589,310,1403,1.1,1301,2.9
CED328,34,2167,718,375,2200,1.1,1805,2.7
CED329,44,1430,445,240,1004,1.1,858,2.4
CED330,38,1900,539,280,1383,1.1,1247,2.9
CED394,44,0,379,0,0,0,0,0
CED397,46,0,671,0,0,0,0,0
CED401,36,1800,605,260,1697,1.1,1197,2.3
CED402,41,1148,489,150,1131,1.1,895,2.4
CED403,41,1733,597,255,1645,1.1,1223,2.4
CED404,41,1100,470,150,1105,1.1,870,2.3
CED405,41,1733,569,250,1447,1.1,1056,2.2
CED406,38,1450,535,250,1278,1.1,1055,2.5
CED407,39,1500,556,250,1377,1.1,1150,2.5
CED408,43,1517,551,231,1385,1.1,1131,2.5
CED409,37,1517,496,230,1237,1.1,1002,2.5
CED410,41,1700,561,260,1492,1.1,1141,2.4
CED411,36,1300,481,200,1135,1.1,936,2.5
CED494,39,0,368,0,0,0,0,0
CED497,36,1067,1133,4,0,0,0,0
CED501,34,1950,595,290,1569,1.0,1335,2.7
CED502,38,1950,562,270,1452,1.1,1200,2.6
CED503,35,2000,651,350,1750,1.1,1546,2.9
CED504,37,2450,852,350,2584,1.1,1840,2.4
CED505,34,1625,818,128,1747,1.1,1476,2.7
CED506,38,1750,583,260,1494,1.1,1240,2.5
CED507,37,2058,694,320,1850,1.1,1471,2.5
CED508,36,1777,630,300,1580,1.1,1335,2.6
CED509,36,2031,726,370,2009,1.0,1788,2.8
CED510,38,1500,580,175,1372,1.1,1126,2.5
CED511,36,2000,635,315,1646,1.1,1438,2.8
CED512,36,1991,698,320,1722,1.1,1365,2.3
CED513,36,2000,668,305,1700,1.1,1319,2.4
CED514,34,2000,652,320,1687,1.1,1330,2.4
CED515,38,2058,691,380,2102,1.0,1774,2.8
CED594,40,0,491,0,0,0,0,0
CED597,37,2217,2000,815,0,0,0,0
CED601,39,1300,489,195,1193,1.1,926,2.4
CED602,41,1192,458,170,1094,1.1,864,2.4
CED603,39,1496,562,240,1413,1.1,1054,2.3
CED604,41,1445,557,240,1351,1.1,1094,2.5
CED605,42,1200,439,175,1027,1.1,852,2.4
CED694,37,0,338,0,0,0,0,0
CED697,46,1385,1199,0,0,0,0,0
CED701,30,1950,554,77,1403,1.4,1510,3.1
CED702,32,2167,906,360,2046,1.1,1810,2.7
CED794,45,0,491,0,0,0,0,0
CED797,33,1337,1339,1978,1750,0,0,0
CED801,37,2123,942,375,2315,1.1,1947,2.6
CED802,32,2167,895,385,2243,1.1,1896,2.6
CED894,31,0,489,0,0,0,0,0
CED897,0,2962,0,349,0,0,0,0
CED994,29,0,1521,0,0,0,0,0
CED997,0,0,1750,0,0,0,0,0
