region_id,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
CED101,50,69,119,4441,4121,8562,221,192,413,4712,4382,9094,57,65,122,4132,3760,7892,221,173,394,4410,3998,8408,59,45,104,4328,4165,8493,207,175,382,4594,4385,8979,58,53,111,4473,4184,8657,214,175,389,4745,4412,9157,42,40,82,5043,5001,10044,259,194,453,5344,5235,10579,28,42,70,5252,5549,10801,263,230,493,5543,5821,11364,24,30,54,4724,5047,9771,243,209,452,4991,5286,10277,25,31,56,4646,5114,9760,177,191,368,4848,5336,10184,18,30,48,4504,5166,9670,184,185,369,4706,5381,10087,26,29,55,4904,5312,10216,213,213,426,5143,5554,10697,28,23,51,4718,5044,9762,246,205,451,4992,5272,10264,21,17,38,3912,4295,8207,191,180,371,4124,4492,8616,11,26,37,3569,3685,7254,149,163,312,3729,3874,7603,28,27,55,9347,11999,21346,501,550,1051,9876,12576,22452,475,527,1002,67993,72442,140435,3289,3035,6324,71757,76004,147761
CED102,46,27,73,4421,4249,8670,261,262,523,4728,4538,9266,48,43,91,3943,3521,7464,218,228,446,4209,3792,8001,34,42,76,3670,3568,7238,222,200,422,3926,3810,7736,47,28,75,3600,3459,7059,210,194,404,3857,3681,7538,23,38,61,4375,4194,8569,307,249,556,4705,4481,9186,30,26,56,5355,5417,10772,454,306,760,5839,5749,11588,19,22,41,5359,5281,10640,340,307,647,5718,5610,11328,32,33,65,5188,5236,10424,330,293,623,5550,5562,11112,16,38,54,4807,5072,9879,264,230,494,5087,5340,10427,27,28,55,4520,4628,9148,251,203,454,4798,4859,9657,25,16,41,3990,4279,8269,227,212,439,4242,4507,8749,12,24,36,3488,3790,7278,213,183,396,3713,3997,7710,8,16,24,3492,3603,7095,200,183,383,3700,3802,7502,14,15,29,9429,11667,21096,532,611,1143,9975,12293,22268,381,396,777,65637,67964,133601,4029,3661,7690,70047,72021,142068
CED103,26,32,58,4351,4056,8407,178,172,350,4555,4260,8815,25,27,52,3983,3803,7786,153,135,288,4161,3965,8126,25,22,47,4226,3741,7967,150,121,271,4401,3884,8285,24,31,55,4337,4161,8498,182,136,318,4543,4328,8871,26,23,49,5746,5998,11744,324,299,623,6096,6320,12416,16,15,31,5387,5510,10897,286,239,525,5689,5764,11453,13,21,34,5212,5236,10448,226,184,410,5451,5441,10892,21,20,41,5063,5425,10488,202,179,381,5286,5624,10910,16,22,38,4734,5404,10138,171,158,329,4921,5584,10505,13,12,25,5113,5359,10472,185,170,355,5311,5541,10852,11,13,24,4638,5029,9667,171,162,333,4820,5204,10024,14,13,27,4046,4334,8380,168,159,327,4228,4506,8734,6,10,16,3534,3681,7215,139,113,252,3679,3804,7483,18,15,33,8843,11500,20343,390,575,965,9251,12090,21341,254,276,530,69213,73237,142450,2925,2802,5727,72392,76315,148707
CED104,26,25,51,3850,3616,7466,71,76,147,3947,3717,7664,27,18,45,4394,4128,8522,113,89,202,4534,4235,8769,28,29,57,4858,4555,9413,119,110,229,5005,4694,9699,21,30,51,5125,4773,9898,121,103,224,5267,4906,10173,21,21,42,4230,3897,8127,126,90,216,4377,4008,8385,17,14,31,2745,2598,5343,71,72,143,2833,2684,5517,13,13,26,2702,3041,5743,88,62,150,2803,3116,5919,15,22,37,3758,4336,8094,73,55,128,3846,4413,8259,14,19,33,4525,5217,9742,112,111,223,4651,5347,9998,14,17,31,5070,5498,10568,132,132,264,5216,5647,10863,14,15,29,4937,5359,10296,147,119,266,5098,5493,10591,10,16,26,4457,4550,9007,129,119,248,4596,4685,9281,6,5,11,4018,4038,8056,105,110,215,4129,4153,8282,12,13,25,8213,9092,17305,294,346,640,8519,9451,17970,238,257,495,62882,64698,127580,1701,1594,3295,64821,66549,131370
CED105,55,59,114,6071,5809,11880,510,460,970,6636,6328,12964,38,40,78,5655,5098,10753,481,398,879,6174,5536,11710,57,59,116,5160,4867,10027,422,334,756,5639,5260,10899,75,63,138,5359,4968,10327,364,304,668,5798,5335,11133,48,58,106,5288,5472,10760,386,337,723,5722,5867,11589,29,40,69,5398,5944,11342,431,382,813,5858,6366,12224,21,39,60,5206,5411,10617,340,330,670,5567,5780,11347,31,21,52,4819,5107,9926,331,314,645,5181,5442,10623,32,46,78,4741,4822,9563,301,283,584,5074,5151,10225,33,39,72,4834,4769,9603,308,252,560,5175,5060,10235,27,47,74,4614,4694,9308,280,247,527,4921,4988,9909,28,29,57,4017,4013,8030,302,228,530,4347,4270,8617,21,25,46,3429,3334,6763,232,168,400,3682,3527,7209,37,46,83,8361,9951,18312,596,732,1328,8994,10729,19723,532,611,1143,72952,74259,147211,5284,4769,10053,78768,79639,158407
CED106,17,11,28,4033,3865,7898,156,139,295,4206,4015,8221,9,9,18,4878,4654,9532,177,158,335,5064,4821,9885,6,24,30,5226,5146,10372,169,180,349,5401,5350,10751,12,22,34,5044,5184,10228,196,171,367,5252,5377,10629,7,11,18,4006,3985,7991,177,137,314,4190,4133,8323,9,11,20,2974,3158,6132,152,149,301,3135,3318,6453,10,10,20,3201,3673,6874,150,139,289,3361,3822,7183,4,10,14,4062,4611,8673,139,158,297,4205,4779,8984,8,10,18,4817,5688,10505,181,186,367,5006,5884,10890,8,11,19,5135,5908,11043,181,177,358,5324,6096,11420,4,5,9,4859,5150,10009,182,159,341,5045,5314,10359,8,6,14,3965,4238,8203,158,138,296,4131,4382,8513,6,5,11,3614,3908,7522,132,126,258,3752,4039,7791,11,12,23,9911,12656,22567,434,661,1095,10356,13329,23685,119,157,276,65725,71824,137549,2584,2678,5262,68428,74659,143087
CED107,521,480,1001,4532,4260,8792,297,256,553,5350,4996,10346,449,420,869,4435,4122,8557,228,253,481,5112,4795,9907,538,486,1024,4659,4359,9018,264,247,511,5461,5092,10553,450,433,883,4513,4361,8874,250,217,467,5213,5011,10224,334,302,636,4136,3904,8040,256,196,452,4726,4402,9128,235,221,456,3591,3660,7251,176,144,320,4002,4025,8027,190,193,383,3512,3635,7147,196,146,342,3898,3974,7872,211,227,438,3978,4101,8079,214,209,423,4403,4537,8940,199,240,439,4219,4364,8583,220,170,390,4638,4774,9412,181,184,365,4491,4582,9073,207,176,383,4879,4942,9821,139,132,271,4639,4629,9268,203,159,362,4981,4920,9901,105,113,218,4331,4191,8522,215,162,377,4651,4466,9117,88,87,175,4180,4116,8296,211,178,389,4479,4381,8860,141,146,287,9980,11710,21690,558,670,1228,10679,12526,23205,3781,3664,7445,65196,65994,131190,3495,3183,6678,72472,72841,145313
CED108,265,266,531,3694,3572,7266,147,116,263,4106,3954,8060,282,273,555,3835,3591,7426,149,129,278,4266,3993,8259,284,253,537,4099,3838,7937,162,143,305,4545,4234,8779,271,270,541,4257,3965,8222,183,103,286,4711,4338,9049,171,171,342,3712,3604,7316,140,95,235,4023,3870,7893,143,132,275,3299,3513,6812,108,89,197,3550,3734,7284,109,117,226,3305,3571,6876,109,91,200,3523,3779,7302,117,145,262,3861,4166,8027,136,110,246,4114,4421,8535,110,150,260,3933,4091,8024,140,100,240,4183,4341,8524,93,124,217,4013,4358,8371,133,117,250,4239,4599,8838,105,93,198,4246,4445,8691,132,140,272,4483,4678,9161,69,90,159,3946,4246,8192,131,102,233,4146,4438,8584,51,44,95,3883,4172,8055,116,115,231,4050,4331,8381,79,96,175,9657,11777,21434,337,440,777,10073,12313,22386,2149,2224,4373,59740,62909,122649,2123,1890,4013,64012,67023,131035
CED109,455,419,874,6253,5797,12050,405,332,737,7113,6548,13661,498,415,913,5936,5466,11402,359,331,690,6793,6212,13005,461,393,854,6149,5691,11840,372,341,713,6982,6425,13407,427,363,790,6006,5821,11827,361,295,656,6794,6479,13273,232,267,499,5476,5380,10856,304,283,587,6012,5930,11942,178,215,393,5357,5836,11193,288,231,519,5823,6282,12105,142,190,332,5279,5680,10959,232,209,441,5653,6079,11732,153,208,361,5203,5735,10938,218,214,432,5574,6157,11731,136,199,335,5194,5424,10618,282,232,514,5612,5855,11467,122,152,274,5262,5405,10667,223,234,457,5607,5791,11398,97,126,223,4776,4960,9736,230,198,428,5103,5284,10387,75,109,184,4031,4261,8292,196,182,378,4302,4552,8854,68,91,159,3577,3724,7301,169,151,320,3814,3966,7780,91,96,187,6461,8081,14542,367,469,836,6919,8646,15565,3135,3243,6378,74960,77261,152221,4006,3702,7708,82101,84206,166307
CED110,53,53,106,4447,4165,8612,169,135,304,4669,4353,9022,57,44,101,4102,3894,7996,146,122,268,4305,4060,8365,58,42,100,3816,3671,7487,114,141,255,3988,3854,7842,58,51,109,3674,3740,7414,140,112,252,3872,3903,7775,65,54,119,3935,4014,7949,179,153,332,4179,4221,8400,41,44,85,4194,4429,8623,267,189,456,4502,4662,9164,41,33,74,4314,4402,8716,222,199,421,4577,4634,9211,39,30,69,4801,5076,9877,227,154,381,5067,5260,10327,44,36,80,4570,4902,9472,202,137,339,4816,5075,9891,24,35,59,4379,4603,8982,197,154,351,4600,4792,9392,30,30,60,4357,4582,8939,169,143,312,4556,4755,9311,14,21,35,3842,3997,7839,167,139,306,4023,4157,8180,14,14,28,3657,3806,7463,150,127,277,3821,3947,7768,40,48,88,9531,12422,21953,417,550,967,9988,13020,23008,578,535,1113,63619,67703,131322,2766,2455,5221,66963,70693,137656
