region_id,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_Tot_M_EO,C10_12F_O_E_Tot_M_O_EVWW,C10_12F_O_E_Tot_M_O_ENWNA,C10_12F_O_E_Tot_M_O_PENS,C10_12F_O_E_Tot_M_O_E_T,C10_12F_O_E_Tot_M_LPENS,C10_12F_O_E_Tot_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_TM_EO,C13_14F_O_E_TM_O_EVWW,C13_14F_O_E_TM_O_ENWNA,C13_14F_O_E_TM_O_PENS,C13_14F_O_E_TM_O_E_T,C13_14F_O_E_TM_LPENS,C13_14F_O_E_TM_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
CED101,2719,292,0,8,300,0,3019,429,3313,193,4,3510,5,3944,9,317,217,3,537,4,550,5,4,0,18,22,0,27,443,3634,410,25,4069,9,4521,3,14,4,0,18,12,33,3165,3940,414,33,4387,21,7573,2600,212,6,3,221,4,2825,339,2744,163,0,2907,6,3252,8,236,273,3,512,0,520,0,3,3,13,19,0,19,347,2983,439,16,3438,6,3791,4,12,4,0,16,10,30,2951,3207,449,19,3675,20,6646,1490,97,0,4,101,0,1591,148,1684,135,3,1822,0,1970,3,197,246,0,443,4,450,3,0,0,7,7,0,10,154,1881,381,10,2272,4,2430,0,8,0,0,8,8,16,1644,1986,381,14,2381,12,4037,1013,71,0,0,71,0,1084,83,1010,116,0,1126,3,1212,0,134,201,0,335,0,335,0,3,3,3,9,0,9,83,1147,320,3,1470,3,1556,0,0,0,0,0,4,4,1096,1218,320,3,1541,7,2644,1365,65,0,0
CED102,2407,374,6,0,380,0,2787,503,3894,148,3,4045,9,4557,6,243,98,0,341,0,347,3,4,0,10,14,0,17,512,4141,246,13,4400,9,4921,5,16,0,0,16,10,31,2924,4531,252,13,4796,19,7739,1911,243,8,3,254,0,2165,304,3285,126,4,3415,5,3724,6,215,107,3,325,0,331,4,7,0,8,15,0,19,314,3507,233,15,3755,5,4074,3,16,0,0,16,24,43,2228,3766,241,18,4025,29,6282,1028,114,5,0,119,0,1147,148,1823,100,3,1926,3,2077,3,139,110,0,249,0,252,5,0,0,7,7,0,12,156,1962,210,10,2182,3,2341,3,4,3,0,7,12,22,1187,2080,218,10,2308,15,3510,642,57,0,3,60,0,702,73,1151,67,0,1218,6,1297,5,109,100,0,209,0,214,4,3,0,0,3,0,7,82,1263,167,0,1430,6,1518,0,5,4,0,9,6,15,724,1325,171,3,1499,12,2235,902,78,3,0
CED103,3694,277,3,0,280,9,3983,491,2729,94,3,2826,8,3325,8,224,125,0,349,0,357,3,7,0,10,17,4,24,502,2960,219,13,3192,12,3706,5,12,0,0,12,4,21,4201,3249,222,13,3484,25,7710,3453,197,0,0,197,0,3650,311,2228,107,11,2346,7,2664,3,236,148,0,384,0,387,5,3,0,0,3,0,8,319,2467,255,11,2733,7,3059,0,7,5,0,12,7,19,3772,2671,260,11,2942,14,6728,1846,80,0,0,80,3,1929,186,1395,87,5,1487,5,1678,0,154,144,0,298,0,298,3,4,0,0,4,0,7,189,1553,231,5,1789,5,1983,0,6,0,0,6,0,6,2035,1639,231,5,1875,8,3918,1119,40,0,0,40,0,1159,98,887,58,4,949,3,1050,5,106,124,0,230,0,235,0,0,0,0,0,0,0,103,993,182,4,1179,3,1285,0,5,0,0,5,3,8,1222,1038,182,4,1224,6,2452,1561,53,0,0
CED104,4981,210,0,0,210,6,5197,379,1114,32,0,1146,3,1528,4,51,26,0,77,0,81,7,3,0,0,3,0,10,390,1168,58,0,1226,3,1619,6,3,3,0,6,0,12,5377,1381,61,0,1442,9,6828,5514,186,0,0,186,0,5700,291,1364,29,3,1396,8,1695,5,79,38,0,117,0,122,3,0,0,9,9,0,12,299,1443,67,12,1522,8,1829,0,3,0,0,3,3,6,5813,1632,67,12,1711,11,7535,3268,89,0,9,98,0,3366,182,981,33,0,1014,3,1199,0,67,32,0,99,0,99,4,0,0,4,4,0,8,186,1048,65,4,1117,3,1306,0,3,0,0,3,0,3,3454,1140,65,13,1218,3,4675,2142,52,0,0,52,0,2194,83,724,22,0,746,0,829,0,49,43,0,92,0,92,0,3,0,3,6,0,6,83,776,65,3,844,0,927,0,3,0,0,3,0,3,2225,831,65,3,899,0,3124,3074,77,0,0
CED105,1334,329,11,3,343,7,1684,260,5809,672,7,6488,12,6760,13,897,558,0,1455,6,1474,0,15,0,37,52,0,52,273,6721,1230,44,7995,18,8286,3,25,3,0,28,34,65,1610,7075,1244,47,8366,59,10035,1110,212,5,0,217,5,1332,212,4843,570,3,5416,19,5647,10,783,658,0,1441,10,1461,0,0,0,33,33,0,33,222,5626,1228,36,6890,29,7141,0,10,8,0,18,33,51,1332,5848,1241,36,7125,67,8524,653,92,0,0,92,0,745,79,2517,298,0,2815,13,2907,0,432,487,3,922,6,928,5,0,0,14,14,0,19,84,2949,785,17,3751,19,3854,0,13,7,0,20,23,43,737,3054,792,17,3863,42,4642,440,65,5,0,70,0,510,51,1547,213,3,1763,8,1822,0,368,348,0,716,7,723,0,0,0,9,9,0,9,51,1915,561,12,2488,15,2554,3,9,3,3,15,3,21,494,1989,569,15,2573,18,3085,616,62,5,0
CED106,4578,184,3,0,187,0,4765,422,1763,52,0,1815,12,2249,0,141,59,0,200,0,200,9,0,0,0,0,0,9,431,1904,111,0,2015,12,2458,4,16,0,0,16,0,20,5013,2104,114,0,2218,12,7243,5770,174,5,4,183,0,5953,416,1611,46,3,1660,5,2081,0,124,77,0,201,0,201,8,0,0,5,5,0,13,424,1735,123,8,1866,5,2295,0,16,0,0,16,3,19,6194,1925,128,12,2065,8,8267,3564,103,0,8,111,0,3675,206,917,41,0,958,0,1164,3,79,53,0,132,0,135,0,4,0,0,4,0,4,209,1000,94,0,1094,0,1303,3,0,0,0,0,3,6,3776,1103,94,8,1205,3,4984,2342,64,0,5,69,0,2411,116,595,24,3,622,0,738,3,48,51,0,99,0,102,4,0,0,0,0,0,4,123,643,75,3,721,0,844,0,0,0,0,0,0,0,2465,707,75,8,790,0,3255,3217,81,0,6
CED107,6914,86,0,10,96,3,7013,125,171,10,0,181,0,306,3,22,16,0,38,0,41,21,0,0,12,12,0,33,149,193,26,12,231,0,380,0,3,0,0,3,0,3,7063,282,26,22,330,3,7396,6452,68,0,6,74,3,6529,86,163,16,0,179,0,265,0,21,19,0,40,0,40,13,0,0,14,14,0,27,99,184,35,14,233,0,332,0,0,0,0,0,0,0,6551,252,35,20,307,3,6861,3884,39,4,3,46,3,3933,54,99,5,3,107,0,161,7,5,21,0,26,0,33,4,3,0,10,13,0,17,65,107,26,13,146,0,211,0,0,0,0,0,0,0,3949,146,30,16,192,3,4144,2611,23,0,6,29,4,2644,34,68,3,0,71,0,105,3,3,12,0,15,0,18,5,0,0,3,3,0,8,42,71,15,3,89,0,131,0,0,0,0,0,0,0,2653,94,15,9,118,4,2775,3030,17,0,4
CED108,5350,108,3,20,131,0,5481,143,303,9,0,312,0,455,4,14,7,0,21,0,25,5,3,0,4,7,0,12,152,320,16,4,340,0,492,0,0,0,0,0,0,0,5502,428,19,24,471,0,5973,5382,83,0,11,94,0,5476,102,252,7,3,262,0,364,0,19,6,0,25,0,25,11,0,0,6,6,0,17,113,271,13,9,293,0,406,0,0,0,0,0,0,0,5495,354,13,20,387,0,5882,3201,48,0,4,52,0,3253,63,125,8,0,133,0,196,0,14,6,0,20,0,20,6,0,0,5,5,0,11,69,139,14,5,158,0,227,0,0,0,0,0,0,0,3270,187,14,9,210,0,3480,2246,32,0,3,35,0,2281,34,69,5,0,74,0,108,0,0,5,0,5,0,5,3,0,0,3,3,0,6,37,69,10,3,82,0,119,0,0,0,0,0,0,0,2283,101,10,6,117,0,2400,2687,26,0,5
CED109,3759,324,9,9,342,0,4101,373,4308,148,10,4466,21,4860,4,375,148,0,523,3,530,0,15,0,27,42,0,42,377,4698,296,37,5031,24,5432,4,35,0,3,38,30,72,4140,5057,305,49,5411,54,9605,3380,263,0,8,271,3,3654,280,4059,124,3,4186,15,4481,0,310,185,3,498,3,501,3,5,0,19,24,0,27,283,4374,309,25,4708,18,5009,6,33,6,3,42,13,61,3669,4670,315,36,5021,34,8724,2144,121,0,6,127,0,2271,144,2435,108,3,2546,6,2696,7,199,151,0,350,0,357,0,0,0,10,10,0,10,151,2634,259,13,2906,6,3063,0,18,0,0,18,13,31,2295,2773,259,19,3051,19,5365,1423,64,0,5,69,3,1495,101,1539,70,0,1609,6,1716,5,127,102,0,229,0,234,3,0,0,8,8,0,11,109,1666,172,8,1846,6,1961,0,4,3,0,7,8,15,1532,1734,175,13,1922,17,3471,1717,71,3,3
CED110,6144,218,3,11,232,5,6381,389,823,17,3,843,0,1232,7,40,9,0,49,0,56,7,0,0,6,6,0,13,403,863,26,9,898,0,1301,0,0,0,0,0,4,4,6547,1081,29,20,1130,9,7686,5368,175,3,7,185,4,5557,270,744,21,3,768,0,1038,4,33,10,0,43,0,47,9,0,0,3,3,0,12,283,777,31,6,814,0,1097,3,3,0,0,3,5,11,5654,955,34,13,1002,9,6665,2941,86,3,3,92,0,3033,122,403,9,0,412,0,534,3,22,14,0,36,0,39,6,0,0,3,3,0,9,131,425,23,3,451,0,582,0,3,0,0,3,0,3,3072,514,26,6,546,0,3618,1844,50,0,6,56,0,1900,82,264,10,0,274,0,356,0,19,12,0,31,0,31,3,4,0,3,7,0,10,85,287,22,3,312,0,397,0,0,0,0,0,0,0,1929,337,22,9,368,0,2297,2401,51,3,3
