region_id,SEO_Males,SEO_Females,SEO_Persons,SOL_Arabic_M,SOL_Arabic_F,SOL_Arabic_P,SOL_Assyrian_M,SOL_Assyrian_F,SOL_Assyrian_P,SOL_Aus_Indig_Lang_M,SOL_Aus_Indig_Lang_F,SOL_Aus_Indig_Lang_P,SOL_Chin_lang_Cant_M,SOL_Chin_lang_Cant_F,SOL_Chin_lang_Cant_P,SOL_Chin_lang_Mand_M,SOL_Chin_lang_Mand_F,SOL_Chin_lang_Mand_P,SOL_Chin_lang_Other_M,SOL_Chin_lang_Other_F,SOL_Chin_lang_Other_P,SOL_Chin_lang_Tot_M,SOL_Chin_lang_Tot_F,SOL_Chin_lang_Tot_P,SOL_Croatian_M,SOL_Croatian_F,SOL_Croatian_P,SOL_Dutch_M,SOL_Dutch_F,SOL_Dutch_P,SOL_French_M,SOL_French_F,SOL_French_P,SOL_German_M,SOL_German_F,SOL_German_P,SOL_Greek_M,SOL_Greek_F,SOL_Greek_P,SOL_Hungarian_M,SOL_Hungarian_F,SOL_Hungarian_P,SOL_In_Ar_Lang_Beng_M,SOL_In_Ar_Lang_Beng_F,SOL_In_Ar_Lang_Beng_P,SOL_In_Ar_Lang_Hind_M,SOL_In_Ar_Lang_Hind_F,SOL_In_Ar_Lang_Hind_P,SOL_In_Ar_Lang_Punj_M,SOL_In_Ar_Lang_Punj_F,SOL_In_Ar_Lang_Punj_P,SOL_In_Ar_Lang_Sinh_M,SOL_In_Ar_Lang_Sinh_F,SOL_In_Ar_Lang_Sinh_P,SOL_In_Ar_Lang_Urdu_M,SOL_In_Ar_Lang_Urdu_F,SOL_In_Ar_Lang_Urdu_P,SOL_In_Ar_Lang_Othr_M,SOL_In_Ar_Lang_Othr_F,SOL_In_Ar_Lang_Othr_P,SOL_In_Ar_Lang_Tot_M,SOL_In_Ar_Lang_Tot_F,SOL_In_Ar_Lang_Tot_P,SOL_Ir_Lang_Dari_M,SOL_Ir_Lang_Dari_F,SOL_Ir_Lang_Dari_P,SOL_Ir_La_Pe_excl_Da_M,SOL_Ir_La_Pe_excl_Da_F,SOL_Ir_La_Pe_excl_Da_P,SOL_Irani_Lan_Othr_M,SOL_Irani_Lan_Othr_F,SOL_Irani_Lan_Othr_P,SOL_Iran_Lan_Tot_M,SOL_Iran_Lan_Tot_F,SOL_Iran_Lan_Tot_P,SOL_Italian_M,SOL_Italian_F,SOL_Italian_P,SOL_Japanese_M,SOL_Japanese_F,SOL_Japanese_P,SOL_Khmer_M,SOL_Khmer_F,SOL_Khmer_P,SOL_Korean_M,SOL_Korean_F,SOL_Korean_P,SOL_Macedonian_M,SOL_Macedonian_F,SOL_Macedonian_P,SOL_Maltese_M,SOL_Maltese_F,SOL_Maltese_P,SOL_Polish_M,SOL_Polish_F,SOL_Polish_P,SOL_Portuguese_M,SOL_Portuguese_F,SOL_Portuguese_P,SOL_Russian_M,SOL_Russian_F,SOL_Russian_P,SOL_Samoan_M,SOL_Samoan_F,SOL_Samoan_P,SOL_Serbian_M,SOL_Serbian_F,SOL_Serbian_P,SOL_Se_As_A_L_Filipino_M,SOL_Se_As_A_L_Filipino_F,SOL_Se_As_A_L_Filipino_P,SOL_Se_As_A_L_Indon_M,SOL_Se_As_A_L_Indon_F,SOL_Se_As_A_L_Indon_P,SOL_Se_As_A_L_Tagal_M,SOL_Se_As_A_L_Tagal_F,SOL_Se_As_A_L_Tagal_P,SOL_Se_As_A_L_Othr_M,SOL_Se_As_A_L_Othr_F,SOL_Se_As_A_L_Othr_P,SOL_Se_As_A_L_Tot_M,SOL_Se_As_A_L_Tot_F,SOL_Se_As_A_L_Tot_P,SOL_Spanish_M,SOL_Spanish_F,SOL_Spanish_P,SOL_Tamil_M,SOL_Tamil_F,SOL_Tamil_P,SOL_Thai_M,SOL_Thai_F,SOL_Thai_P,SOL_Turkish_M,SOL_Turkish_F,SOL_Turkish_P,SOL_Vietnamese_M,SOL_Vietnamese_F,SOL_Vietnamese_P,SOL_Other_M,SOL_Other_F,SOL_Other_P,SOL_Tot_M,SOL_Tot_F,SOL_Tot_P,Language_spoken_home_ns_M,Language_spoken_home_ns_F,Language_spoken_home_ns_P,Total_M,Total_F,Total_P
CED101,34633,36007,70640,4089,4038,8127,21,15,36,6,11,17,6740,7524,14264,6727,7767,14494,655,705,1360,14122,15996,30118,683,731,1414,33,39,72,132,158,290,111,141,252,3544,3750,7294,74,96,170,270,212,482,486,512,998,218,163,381,56,56,112,203,174,377,1080,845,1925,2313,1962,4275,3,3,6,54,68,122,13,9,22,70,80,150,966,1052,2018,128,213,341,12,31,43,272,349,621,1711,1629,3340,79,97,176,105,116,221,205,219,424,185,223,408,131,136,267,197,187,384,152,261,413,720,864,1584,340,551,891,34,45,79,1246,1721,2967,665,772,1437,101,108,209,150,255,405,110,93,203,1043,1300,2343,1323,1374,2697,33827,36892,70719,3294,3106,6400,71754,76005,147759
CED102,28553,29132,57685,5623,5582,11205,80,71,151,3,3,6,3186,3660,6846,3379,3870,7249,345,408,753,6910,7938,14848,365,378,743,41,60,101,140,164,304,124,146,270,8022,8402,16424,94,106,200,1282,706,1988,564,523,1087,178,111,289,44,43,87,154,140,294,1804,1207,3011,4026,2730,6756,9,9,18,79,87,166,4,4,8,92,100,192,1724,1941,3665,171,277,448,8,20,28,204,251,455,2729,2784,5513,171,221,392,144,158,302,817,803,1620,319,397,716,114,110,224,424,463,887,251,330,581,575,689,1264,451,646,1097,51,54,105,1328,1719,3047,1201,1370,2571,76,83,159,216,434,650,305,326,631,734,808,1542,1315,1471,2786,37520,39316,76836,3973,3574,7547,70046,72022,142068
CED103,39404,40535,79939,1287,1268,2555,21,22,43,0,3,3,5861,6432,12293,5973,7228,13201,559,688,1247,12393,14348,26741,268,246,514,74,76,150,195,187,382,244,260,504,752,786,1538,86,100,186,246,200,446,950,886,1836,288,219,507,418,390,808,201,161,362,449,379,828,2552,2235,4787,124,145,269,473,496,969,43,42,85,640,683,1323,1573,1743,3316,293,445,738,11,30,41,3360,3443,6803,84,103,187,53,63,116,178,230,408,80,88,168,211,261,472,14,14,28,189,205,394,282,406,688,625,613,1238,369,482,851,72,117,189,1348,1618,2966,508,639,1147,612,578,1190,164,296,460,135,128,263,339,400,739,2423,2509,4932,30087,33007,63094,2904,2770,5674,72395,76312,148707
CED104,49606,50377,99983,807,806,1613,5,15,20,5,3,8,2452,2663,5115,1748,1970,3718,197,235,432,4397,4868,9265,128,129,257,157,162,319,133,174,307,291,310,601,239,241,480,63,77,140,109,118,227,650,649,1299,180,147,327,448,450,898,197,172,369,241,241,482,1825,1777,3602,63,66,129,483,455,938,16,19,35,562,540,1102,757,738,1495,164,216,380,9,13,22,902,972,1874,19,13,32,59,56,115,186,231,417,56,49,105,197,214,411,9,11,20,57,69,126,127,165,292,208,218,426,152,232,384,22,30,52,509,645,1154,382,439,821,393,448,841,46,114,160,45,66,111,180,196,376,1134,1171,2305,13716,14763,28479,1499,1409,2908,64821,66549,131370
CED105,23773,23797,47570,18513,18184,36697,240,224,464,0,5,5,3415,3671,7086,2359,2515,4874,369,380,749,6143,6566,12709,494,495,989,29,47,76,179,201,380,121,164,285,1619,1717,3336,72,86,158,284,253,537,614,679,1293,227,182,409,79,84,163,764,651,1415,268,232,500,2236,2081,4317,386,319,705,543,458,1001,123,115,238,1052,892,1944,1140,1156,2296,22,39,61,142,185,327,458,527,985,1242,1186,2428,124,140,264,266,372,638,154,154,308,177,204,381,456,523,979,233,236,469,250,366,616,304,405,709,429,615,1044,47,72,119,1030,1458,2488,800,866,1666,232,229,461,102,190,292,1034,1051,2085,8235,8826,17061,2987,3150,6137,49532,51154,100686,5462,4689,10151,78767,79640,158407
CED106,49196,52572,101768,361,368,729,3,7,10,0,4,4,3281,3871,7152,2956,3704,6660,239,303,542,6476,7878,14354,65,74,139,160,195,355,227,263,490,408,492,900,260,274,534,72,91,163,74,69,143,675,662,1337,276,237,513,212,207,419,97,83,180,445,433,878,1779,1691,3470,38,32,70,778,759,1537,21,19,40,837,810,1647,420,425,845,451,623,1074,6,8,14,1759,1968,3727,25,24,49,4,12,16,137,179,316,70,96,166,232,306,538,8,11,19,56,69,125,134,208,342,244,302,546,180,283,463,15,43,58,573,836,1409,461,602,1063,179,187,366,107,180,287,43,54,97,152,218,370,1364,1530,2894,16695,19475,36170,2536,2613,5149,68427,74660,143087
CED107,65642,67272,132914,160,138,298,6,0,6,35,16,51,110,114,224,93,103,196,22,18,40,225,235,460,51,45,96,60,56,116,48,66,114,135,146,281,83,66,149,18,27,45,22,16,38,52,61,113,16,21,37,19,16,35,21,21,42,20,19,39,150,154,304,4,0,4,17,21,38,12,10,22,33,31,64,179,184,363,37,37,74,4,12,16,18,35,53,13,16,29,21,10,31,16,52,68,14,18,32,57,70,127,10,5,15,32,34,66,43,77,120,16,20,36,35,81,116,9,11,20,103,189,292,71,85,156,27,24,51,34,62,96,25,25,50,40,43,83,554,534,1088,2259,2415,4674,4572,3155,7727,72473,72842,145315
CED108,58946,61700,120646,148,99,247,3,3,6,10,7,17,107,119,226,128,143,271,16,17,33,251,279,530,78,73,151,65,99,164,69,64,133,119,164,283,113,98,211,22,34,56,47,47,94,74,79,153,36,32,68,41,45,86,41,24,65,26,28,54,265,255,520,0,0,0,20,17,37,7,11,18,27,28,55,212,191,403,18,31,49,23,24,47,53,55,108,297,272,569,12,7,19,123,177,300,13,26,39,32,54,86,117,107,224,74,62,136,20,78,98,24,31,55,37,103,140,32,41,73,113,253,366,111,135,246,59,56,115,34,70,104,12,11,23,46,78,124,518,545,1063,3037,3357,6394,2032,1964,3996,64015,67021,131036
CED109,46642,47144,93786,3261,3237,6498,469,441,910,16,16,32,649,695,1344,463,571,1034,56,58,114,1168,1324,2492,508,538,1046,51,78,129,178,217,395,155,231,386,508,510,1018,156,218,374,631,589,1220,2958,3104,6062,1454,1143,2597,222,204,426,1375,1309,2684,600,564,1164,7240,6913,14153,435,437,872,281,290,571,196,187,383,912,914,1826,523,593,1116,26,43,69,26,45,71,263,292,555,92,106,198,768,775,1543,339,467,806,124,147,271,89,104,193,1536,1662,3198,255,241,496,2218,2547,4765,321,359,680,4160,4881,9041,157,182,339,6856,7969,14825,868,1003,1871,564,541,1105,70,147,217,670,668,1338,401,469,870,3295,3449,6744,31387,33358,64745,4071,3703,7774,82100,84205,166305
CED110,56435,59194,115629,559,558,1117,10,15,25,4,0,4,644,774,1418,547,727,1274,79,70,149,1270,1571,2841,187,205,392,84,138,222,165,175,340,214,270,484,1422,1510,2932,36,68,104,45,47,92,123,128,251,74,43,117,16,11,27,33,37,70,93,106,199,384,372,756,0,0,0,40,32,72,0,0,0,40,32,72,631,707,1338,104,167,271,14,24,38,53,79,132,264,284,548,63,95,158,118,124,242,149,157,306,253,310,563,28,15,43,122,139,261,58,106,164,112,148,260,97,199,296,16,22,38,283,475,758,403,486,889,22,22,44,54,177,231,66,58,124,133,152,285,694,725,1419,7829,9110,16939,2700,2387,5087,66964,70691,137655
