region_id,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED101,630,3534,581,4745,602,4333,411,5346,985,8831,722,10538,1060,7941,552,9553,1295,8165,672,10132,959,6367,527,7853,715,4019,444,5178,324,2679,432,3435,69,990,202,1261,6639,46859,4543,58041,833,3152,428,4413,763,4143,327,5233,1289,9213,604,11106,1731,8401,584,10716,1691,8496,640,10827,1210,6664,488,8362,857,4252,490,5599,520,3393,578,4491,150,1990,348,2488,9044,49704,4487,63235,1463,6686,1009,9158,1365,8476,738,10579,2274,18044,1326,21644,2791,16342,1136,20269,2986,16661,1312,20959,2169,13031,1015,16215,1572,8271,934,10777,844,6072,1010,7926,219,2980,550,3749,15683,96563,9030,121276
CED102,413,2954,488,3855,426,3778,500,4704,989,9556,1012,11557,1021,8798,814,10633,974,7374,689,9037,770,6039,609,7418,460,4134,508,5102,287,2885,484,3656,64,972,184,1220,5404,46490,5288,57182,531,2706,444,3681,547,3556,378,4481,1200,9310,846,11356,1420,8747,736,10903,1285,7498,584,9367,997,6232,572,7801,687,4518,544,5749,355,3285,565,4205,112,1878,349,2339,7134,47730,5018,59882,944,5660,932,7536,973,7334,878,9185,2189,18866,1858,22913,2441,17545,1550,21536,2259,14872,1273,18404,1767,12271,1181,15219,1147,8652,1052,10851,642,6170,1049,7861,176,2850,533,3559,12538,94220,10306,117064
CED103,946,3188,408,4542,874,4769,451,6094,1411,9068,659,11138,1664,8042,504,10210,2042,7598,490,10130,1464,6056,385,7905,864,3543,325,4732,517,2459,365,3341,93,898,190,1181,9875,45621,3777,59273,1034,2958,335,4327,1208,4693,420,6321,1713,8951,546,11210,2671,8078,458,11207,2655,7627,458,10740,1650,6267,391,8308,1192,3906,357,5455,693,3167,499,4359,155,1728,393,2276,12971,47375,3857,64203,1980,6146,743,8869,2082,9462,871,12415,3124,18019,1205,22348,4335,16120,962,21417,4697,15225,948,20870,3114,12323,776,16213,2056,7449,682,10187,1210,5626,864,7700,248,2626,583,3457,22846,92996,7634,123476
CED104,1074,3845,350,5269,744,3447,188,4379,849,4584,203,5636,1830,6404,260,8494,2504,7436,376,10316,1946,6472,306,8724,1307,3754,246,5307,496,1766,167,2429,73,624,84,781,10823,38332,2180,51335,1338,3245,323,4906,946,2946,117,4009,1148,4483,169,5800,2900,6589,272,9761,3221,7598,319,11138,2105,6448,287,8840,1467,3520,225,5212,560,1979,250,2789,99,1182,170,1451,13784,37990,2132,53906,2412,7090,673,10175,1690,6393,305,8388,1997,9067,372,11436,4730,12993,532,18255,5725,15034,695,21454,4051,12920,593,17564,2774,7274,471,10519,1056,3745,417,5218,172,1806,254,2232,24607,76322,4312,105241
CED105,457,4459,883,5799,458,4576,690,5724,806,9360,1260,11426,805,8353,1091,10249,844,8232,1019,10095,705,6518,808,8031,393,3893,588,4874,189,2427,446,3062,34,839,183,1056,4691,48657,6968,60316,562,4073,699,5334,622,4688,555,5865,1004,10019,1121,12144,1095,8513,989,10597,1033,8121,899,10053,805,6324,668,7797,476,3745,560,4781,268,3113,573,3954,56,1627,310,1993,5921,50223,6374,62518,1019,8532,1582,11133,1080,9264,1245,11589,1810,19379,2381,23570,1900,16866,2080,20846,1877,16353,1918,20148,1510,12842,1476,15828,869,7638,1148,9655,457,5540,1019,7016,90,2466,493,3049,10612,98880,13342,122834
CED106,1251,3545,457,5253,782,3184,225,4191,952,5167,375,6494,1849,6953,410,9212,2746,7180,445,10371,1851,5685,348,7884,1450,3635,280,5365,859,2374,266,3499,153,1113,224,1490,11893,38836,3030,53759,1776,3227,375,5378,1067,2885,180,4132,1294,5517,334,7145,3178,7070,414,10662,3794,7220,394,11408,2280,5802,336,8418,1748,3820,291,5859,972,3023,483,4478,254,2183,556,2993,16363,40747,3363,60473,3027,6772,832,10631,1849,6069,405,8323,2246,10684,709,13639,5027,14023,824,19874,6540,14400,839,21779,4131,11487,684,16302,3198,7455,571,11224,1831,5397,749,7977,407,3296,780,4483,28256,79583,6393,114232
CED107,792,3732,691,5215,673,3471,583,4727,1007,5968,927,7902,1663,6523,852,9038,2071,7030,756,9857,2004,6428,701,9133,1520,4131,670,6321,586,2372,538,3496,84,638,144,866,10400,40293,5862,56555,1008,3443,560,5011,791,3338,275,4404,1325,6227,445,7997,2424,6368,522,9314,2466,6881,515,9862,2409,5872,562,8843,1918,3789,608,6315,962,2623,658,4243,169,1520,275,1964,13472,40061,4420,57953,1800,7175,1251,10226,1464,6809,858,9131,2332,12195,1372,15899,4087,12891,1374,18352,4537,13911,1271,19719,4413,12300,1263,17976,3438,7920,1278,12636,1548,4995,1196,7739,253,2158,419,2830,23872,80354,10282,114508
CED108,545,3632,533,4710,429,3346,247,4022,709,6041,323,7073,1164,6716,417,8297,1304,6986,437,8727,1246,6544,404,8194,1160,4096,406,5662,430,2376,428,3234,73,935,169,1177,7060,40672,3364,51096,675,3300,364,4339,556,3142,170,3868,1070,6177,268,7515,1820,6598,342,8760,1660,7205,408,9273,1744,6630,398,8772,1363,4193,493,6049,568,3001,556,4125,76,1739,325,2140,9532,41985,3324,54841,1220,6932,897,9049,985,6488,417,7890,1779,12218,591,14588,2984,13314,759,17057,2964,14191,845,18000,2990,13174,802,16966,2523,8289,899,11711,998,5377,984,7359,149,2674,494,3317,16592,82657,6688,105937
CED109,564,5270,960,6794,515,4920,577,6012,900,9662,910,11472,1167,9167,855,11189,1107,8807,797,10711,753,6697,663,8113,395,3569,495,4459,122,1506,328,1956,13,401,93,507,5536,49999,5678,61213,726,4919,833,6478,645,4799,487,5931,1254,10356,755,12365,1575,9619,812,12006,1321,8982,773,11076,908,6911,703,8522,481,3778,558,4817,193,2066,402,2661,28,957,179,1164,7131,52387,5502,65020,1290,10189,1793,13272,1160,9719,1064,11943,2154,20018,1665,23837,2742,18786,1667,23195,2428,17789,1570,21787,1661,13608,1366,16635,876,7347,1053,9276,315,3572,730,4617,41,1358,272,1671,12667,102386,11180,126233
CED110,559,2941,373,3873,519,3393,268,4180,1012,7457,608,9077,1408,7935,542,9885,1736,6921,503,9160,1217,6195,431,7843,988,3895,351,5234,593,2524,397,3514,104,890,245,1239,8136,42151,3718,54005,762,2814,326,3902,760,3235,225,4220,1241,7603,456,9300,2230,7720,386,10336,2086,7060,399,9545,1480,6253,371,8104,1250,4201,421,5872,798,3328,625,4751,164,1778,453,2395,10771,43992,3662,58425,1321,5755,699,7775,1279,6628,493,8400,2253,15060,1064,18377,3638,15655,928,20221,3822,13981,902,18705,2697,12448,802,15947,2238,8096,772,11106,1391,5852,1022,8265,268,2668,698,3634,18907,86143,7380,112430
