region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
CED101,1894,623,3749,26366,27791,13217,10744,33919,9241,121278
CED102,1724,575,3559,25589,26906,11806,9662,32645,10455,117063
CED103,1533,561,3456,29586,31588,14535,10869,29205,7691,123474
CED104,1041,265,2230,25854,29441,15212,11663,18640,4431,105241
CED105,1623,513,3050,22357,22441,10611,11085,42767,13571,122832
CED106,1872,822,4482,28329,30743,15599,12052,20898,6612,114233
CED107,1459,483,2832,22528,29337,14973,13564,23456,10651,114509
CED108,1764,551,3317,21986,27890,14388,12122,22570,6981,105937
CED109,1002,303,1673,24800,27130,12205,12677,37934,11488,126234
CED110,1552,749,3633,27805,30316,14321,10841,21424,7724,112431
CED111,1729,729,3582,19244,28253,15886,14224,21957,9552,109116
CED112,1699,545,3446,27076,31209,15051,11806,24706,8526,118374
CED113,1861,853,3823,22170,27707,14715,12487,22990,9413,109482
CED114,1251,604,2877,21748,30592,15756,12755,19603,9809,110263
CED115,1488,754,3169,20961,27101,13959,12826,24023,10306,109176
CED116,898,327,1623,22202,20773,9614,9840,42610,11636,116675
CED117,1559,706,3343,19538,27762,15824,14014,21704,9783,108625
CED118,1422,523,2632,33523,34566,11787,7760,25705,11210,124551
CED119,752,335,1522,26628,30678,13835,11823,27683,8656,119303
CED120,935,258,1831,25391,28978,13838,11448,25051,7252,111958
CED121,1240,493,2563,20875,28436,15678,14242,21466,9584,110281
CED122,1252,347,2264,21078,27031,13795,13938,22892,9595,108329
CED123,1455,509,3005,34653,31531,11732,8620,32348,14105,132989
CED124,744,410,1714,25240,29903,13728,12386,25443,9876,116576
CED125,1837,807,3894,18221,26769,15746,13943,21017,8741,104437
CED126,827,236,1518,24087,27586,13221,11295,23884,8159,108232
CED127,1952,688,4083,27785,31398,14872,10277,20393,7257,111982
CED128,1144,482,2419,23762,31300,15934,12919,18136,8008,110059
CED129,755,291,1466,23442,23913,11224,10721,36474,8586,114360
CED130,1083,491,2287,26295,29355,14333,11230,21076,5413,107702
CED131,1418,691,3089,22048,28958,15455,14489,23851,10608,115409
