region_id,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
CED101,40,153,3,196,3995,553,4744,97,125,4,226,4741,378,5345,1998,254,29,2281,7598,661,10540,4679,153,66,4898,4159,497,9554,2977,186,50,3213,6337,583,10133,430,650,6,1086,6288,478,7852,109,784,3,896,3853,430,5179,17,276,0,293,2720,420,3433,3,18,0,21,1035,205,1261,10350,2599,161,13110,40726,4205,58041,29,245,3,277,3736,401,4414,284,301,4,589,4353,292,5234,3581,425,102,4108,6431,565,11104,6260,301,225,6786,3416,514,10716,2653,607,84,3344,6933,550,10827,239,1704,14,1957,5937,469,8363,94,1247,5,1346,3791,461,5598,26,288,6,320,3603,568,4491,5,15,3,23,2101,365,2489,13171,5133,446,18750,40301,4185,63236,69,398,6,473,7731,954,9158,381,426,8,815,9094,670,10579,5579,679,131,6389,14029,1226,21644,10939,454,291,11684,7575,1011,20270,5630,793,134,6557,13270,1133,20960,669,2354,20,3043,12225,947,16215,203,2031,8,2242,7644,891,10777,43,564,6,613,6323,988,7924,8,33,3,44
CED102,21,123,0,144,3269,441,3854,68,122,0,190,4070,444,4704,1983,249,18,2250,8339,969,11558,4661,159,63,4883,4989,763,10635,2494,188,35,2717,5696,623,9036,447,565,4,1016,5870,532,7418,88,744,9,841,3785,477,5103,31,289,0,320,2874,459,3653,4,23,0,27,1011,183,1221,9797,2462,129,12388,39903,4891,57182,11,222,0,233,3027,421,3681,259,230,9,498,3646,337,4481,3614,464,88,4166,6410,780,11356,5934,318,185,6437,3803,662,10902,2142,593,62,2797,6064,506,9367,187,1588,18,1793,5496,512,7801,97,1215,0,1312,3939,498,5749,39,292,0,331,3321,555,4207,5,14,0,19,1961,357,2337,12288,4936,362,17586,37667,4628,59881,32,345,0,377,6296,862,7535,327,352,9,688,7716,781,9185,5597,713,106,6416,14749,1749,22914,10595,477,248,11320,8792,1425,21537,4636,781,97,5514,11760,1129,18403,634,2153,22,2809,11366,1044,15219,185,1959,9,2153,7724,975,10852,70,581,0,651,6195,1014,7860,9,37,0,46
CED103,22,155,3,180,3968,395,4543,43,138,3,184,5486,425,6095,1881,228,25,2134,8374,627,11135,5107,153,108,5368,4362,479,10209,3404,165,86,3655,6034,442,10131,514,532,9,1055,6484,369,7908,98,824,4,926,3493,313,4732,12,302,0,314,2694,331,3339,0,15,0,15,995,170,1180,11081,2512,238,13831,41890,3551,59272,27,246,0,273,3733,318,4324,128,278,3,409,5524,388,6321,3026,383,94,3503,7187,523,11213,6650,332,343,7325,3461,422,11208,3085,434,127,3646,6693,400,10739,246,1477,15,1738,6212,356,8306,74,1363,8,1445,3672,337,5454,29,274,3,306,3566,487,4359,8,24,0,32,1893,352,2277,13273,4811,593,18677,41941,3583,64201,49,401,3,453,7701,713,8867,171,416,6,593,11010,813,12416,4907,611,119,5637,15561,1150,22348,11757,485,451,12693,7823,901,21417,6489,599,213,7301,12727,842,20870,760,2009,24,2793,12696,725,16214,172,2187,12,2371,7165,650,10186,41,576,3,620,6260,818,7698,8,39,0,47
CED104,20,186,0,206,4727,335,5268,44,145,3,192,4027,160,4379,1322,161,19,1502,3966,170,5638,5107,137,141,5385,2873,237,8495,3674,198,107,3979,5976,361,10316,548,834,12,1394,7048,281,8723,70,1081,4,1155,3913,238,5306,19,245,0,264,1994,172,2430,0,24,0,24,669,87,780,10804,3011,286,14101,35193,2041,51335,32,372,0,404,4200,304,4908,98,267,7,372,3534,104,4010,2229,281,120,2630,3025,143,5798,6583,247,499,7329,2195,236,9760,3445,541,157,4143,6708,287,11138,225,2016,17,2258,6320,260,8838,55,1646,0,1701,3298,214,5213,14,261,0,275,2255,259,2789,3,23,0,26,1257,169,1452,12684,5654,800,19138,32792,1976,53906,52,558,0,610,8927,639,10176,142,412,10,564,7561,264,8389,3551,442,139,4132,6991,313,11436,11690,384,640,12714,5068,473,18255,7119,739,264,8122,12684,648,21454,773,2850,29,3652,13368,541,17561,125,2727,4,2856,7211,452,10519,33,506,0,539,4249,431,5219,3,47,0,50
CED105,45,159,3,207,4774,818,5799,172,182,3,357,4760,607,5724,2739,274,35,3048,7205,1174,11427,3998,151,52,4201,5070,978,10249,2389,174,31,2594,6606,895,10095,452,518,9,979,6311,740,8030,81,545,4,630,3683,560,4873,19,151,0,170,2488,404,3062,5,8,0,13,864,179,1056,9900,2162,137,12199,41761,6355,60315,54,316,0,370,4325,638,5333,731,366,14,1111,4262,492,5865,5270,429,123,5822,5311,1010,12143,5483,291,117,5891,3844,861,10596,2032,692,71,2795,6529,730,10054,216,1435,16,1667,5542,587,7796,61,804,3,868,3374,540,4782,11,187,0,198,3207,549,3954,5,16,0,21,1674,299,1994,13863,4536,344,18743,38068,5706,62517,99,475,3,577,9099,1456,11132,903,548,17,1468,9022,1099,11589,8009,703,158,8870,12516,2184,23570,9481,442,169,10092,8914,1839,20845,4421,866,102,5389,13135,1625,20149,668,1953,25,2646,11853,1327,15826,142,1349,7,1498,7057,1100,9655,30,338,0,368,5695,953,7016,10,24,0,34
CED106,21,181,0,202,4596,454,5252,25,130,0,155,3813,224,4192,1243,144,18,1405,4721,369,6495,5456,118,138,5712,3109,390,9211,4281,124,110,4515,5441,414,10370,627,578,15,1220,6333,333,7886,90,1134,0,1224,3863,277,5364,19,408,3,430,2804,266,3500,5,21,0,26,1255,210,1491,11767,2838,284,14889,35935,2937,53761,31,328,0,359,4655,364,5378,71,243,3,317,3640,174,4131,2234,313,89,2636,4195,313,7144,7275,252,429,7956,2328,379,10663,4297,356,188,4841,6198,371,11410,284,1561,19,1864,6234,319,8417,74,1932,11,2017,3584,259,5860,26,413,3,442,3559,476,4477,5,24,0,29,2423,540,2992,14297,5422,742,20461,36816,3195,60472,52,509,0,561,9251,818,10630,96,373,3,472,7453,398,8323,3477,457,107,4041,8916,682,13639,12731,370,567,13668,5437,769,19874,8578,480,298,9356,11639,785,21780,911,2139,34,3084,12567,652,16303,164,3066,11,3241,7447,536,11224,45,821,6,872,6363,742,7977,10,45,0,55
CED107,50,240,3,293,4263,659,5215,356,199,8,563,3598,567,4728,2695,323,89,3107,3909,887,7903,4579,231,155,4965,3262,811,9038,2273,496,73,2842,6324,692,9858,344,875,17,1236,7235,661,9132,52,587,0,639,5044,637,6320,10,124,0,134,2852,509,3495,3,7,0,10,712,144,866,10362,3082,345,13789,37199,5567,56555,127,473,4,604,3852,555,5011,808,396,40,1244,2904,254,4402,4136,415,321,4872,2730,395,7997,5455,432,383,6270,2585,459,9314,1955,1213,104,3272,6147,443,9862,130,1907,20,2057,6278,508,8843,24,947,3,974,4757,584,6315,10,180,0,190,3371,683,4244,3,17,0,20,1664,280,1964,12648,5980,875,19503,34288,4161,57952,177,713,7,897,8115,1214,10226,1164,595,48,1807,6502,821,9130,6831,738,410,7979,6639,1282,15900,10034,663,538,11235,5847,1270,18352,4228,1709,177,6114,12471,1135,19720,474,2782,37,3293,13513,1169,17975,76,1534,3,1613,9801,1221,12635,20,304,0,324,6223,1192,7739,6,24,0,30
CED108,34,225,0,259,3958,494,4711,211,149,13,373,3459,191,4023,2409,265,82,2756,4016,299,7071,4595,236,180,5011,2905,381,8297,2105,449,77,2631,5718,377,8726,283,1178,17,1478,6343,374,8195,52,896,0,948,4322,393,5663,10,156,0,166,2662,407,3235,0,6,0,6,1003,166,1175,9699,3560,369,13628,34386,3082,51096,68,373,4,445,3545,349,4339,501,326,31,858,2855,154,3867,3682,484,258,4424,2838,255,7517,5437,379,380,6196,2285,278,8759,1807,1151,103,3061,5875,337,9273,131,2530,12,2673,5742,355,8770,40,1222,3,1265,4303,480,6048,9,173,0,182,3380,562,4124,3,8,0,11,1798,333,2142,11678,6646,791,19115,32621,3103,54839,102,598,4,704,7503,843,9050,712,475,44,1231,6314,345,7890,6091,749,340,7180,6854,554,14588,10032,615,560,11207,5190,659,17056,3912,1600,180,5692,11593,714,17999,414,3708,29,4151,12085,729,16965,92,2118,3,2213,8625,873,11711,19,329,0,348,6042,969,7359,3,14,0,17
CED109,85,249,3,337,5581,878,6796,325,259,14,598,4905,509,6012,3433,349,76,3858,6804,810,11472,4981,237,102,5320,5103,764,11187,2389,403,46,2838,7175,697,10710,426,754,18,1198,6310,606,8114,84,461,0,545,3437,475,4457,17,82,0,99,1555,303,1957,3,6,0,9,407,92,508,11743,2800,259,14802,41277,5134,61213,179,480,4,663,5057,756,6476,892,469,40,1401,4102,428,5931,6036,531,236,6803,4886,676,12365,6508,409,231,7148,4170,689,12007,2104,1108,92,3304,7115,658,11077,222,1764,25,2011,5885,625,8521,66,669,5,740,3545,534,4819,20,124,0,144,2121,395,2660,0,6,0,6,981,177,1164,16027,5560,633,22220,37862,4938,65020,264,729,7,1000,10638,1634,13272,1217,728,54,1999,9007,937,11943,9469,880,312,10661,11690,1486,23837,11489,646,333,12468,9273,1453,23194,4493,1511,138,6142,14290,1355,21787,648,2518,43,3209,12195,1231,16635,150,1130,5,1285,6982,1009,9276,37,206,0,243,3676,698,4617,3,12,0,15
CED110,17,135,0,152,3349,369,3870,71,134,3,208,3733,238,4179,1937,284,36,2257,6255,565,9077,5251,193,163,5607,3756,522,9885,2901,214,69,3184,5519,459,9162,361,912,15,1288,6146,411,7845,68,1220,4,1292,3599,343,5234,15,308,0,323,2802,388,3513,4,15,0,19,986,235,1240,10625,3415,290,14330,36145,3530,54005,28,252,0,280,3318,306,3904,179,279,5,463,3562,194,4219,2962,539,175,3676,5180,443,9299,6503,345,444,7292,2688,354,10334,2511,606,111,3228,5954,362,9544,167,2327,11,2505,5267,333,8105,54,1747,6,1807,3664,402,5873,21,352,3,376,3735,642,4753,3,15,0,18,1918,458,2394,12428,6462,755,19645,35286,3494,58425,45,387,0,432,6667,675,7774,250,413,8,671,7295,432,8398,4899,823,211,5933,11435,1008,18376,11754,538,607,12899,6444,876,20219,5412,820,180,6412,11473,821,18706,528,3239,26,3793,11413,744,15950,122,2967,10,3099,7263,745,11107,36,660,3,699,6537,1030,8266,7,30,0,37
