region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED101,452,123,149,35,759,365,127,141,24,657,89,75,228,18,410,155,152,370,15,692,1854,581,795,42,3272,1366,943,832,113,3254,1257,1156,593,101,3107,941,1498,646,97,3182,887,1450,462,77,2876,1311,2742,629,103,4785,1285,2387,349,75,4096,703,2185,283,45,3216,579,1619,101,25,2324,224,893,42,7,1166,437,1499,41,18,1995,682,2220,578,31,3511,307,268,129,22,726,12894,19918,6368,848,40028
CED102,343,115,105,27,590,366,125,116,21,628,71,97,168,9,345,152,130,264,14,560,2074,513,610,39,3236,1355,886,748,92,3081,1199,1062,599,90,2950,839,1420,683,110,3052,909,1432,445,88,2874,1400,2725,666,118,4909,1302,2288,335,100,4025,755,1869,292,44,2960,666,1538,105,28,2337,293,751,42,5,1091,433,1104,32,20,1589,746,2162,516,37,3461,318,286,140,25,769,13221,18503,5866,867,38457
CED103,403,137,139,53,732,331,103,139,32,605,57,74,125,15,271,125,73,209,27,434,1418,373,498,56,2345,1144,682,560,97,2483,1233,801,473,85,2592,874,1109,572,87,2642,932,1182,396,77,2587,1380,2406,642,96,4524,1455,2157,297,79,3988,988,2870,359,47,4264,962,2249,112,39,3362,432,1216,38,10,1696,708,2318,65,19,3110,711,2251,474,31,3467,229,162,98,15,504,13382,20163,5196,865,39606
CED104,220,77,76,19,392,194,70,72,7,343,42,36,84,7,169,97,40,139,6,282,975,209,290,18,1492,899,329,377,35,1640,1153,487,336,38,2014,805,792,383,47,2027,829,939,301,37,2106,1190,2298,525,40,4053,1095,2253,261,37,3646,1015,3603,345,14,4977,958,2797,123,21,3899,401,1581,49,9,2040,687,2898,45,13,3643,673,2702,441,12,3828,164,201,68,7,440,11397,21312,3915,367,36991
CED105,277,197,176,20,670,326,293,210,18,847,114,197,404,14,729,162,334,628,23,1147,2195,1352,1217,64,4828,1231,1959,1192,117,4499,1005,1775,762,87,3629,674,2040,822,108,3644,668,1880,511,79,3138,889,2793,648,101,4431,736,2025,327,68,3156,328,1336,204,21,1889,232,840,81,14,1167,88,407,33,12,540,97,573,28,5,703,519,2355,658,40,3572,351,422,272,49,1094,9892,20778,8173,840,39683
CED106,224,128,179,26,557,185,81,115,18,399,40,40,96,10,186,77,49,150,17,293,700,205,337,39,1281,739,338,367,36,1480,1100,426,280,39,1845,794,579,390,58,1821,884,764,348,42,2038,1412,1583,545,68,3608,1394,1515,274,58,3241,1255,4156,459,20,5890,1198,2726,154,20,4098,540,1725,52,7,2324,1262,4001,60,16,5339,807,3009,435,17,4268,214,161,66,0,441,12825,21486,4307,491,39109
CED107,164,54,72,3,293,257,68,113,22,460,54,40,288,7,389,148,63,538,18,767,2478,295,1163,42,3978,1635,619,1015,106,3375,1688,830,676,65,3259,1154,1289,616,77,3136,1107,1443,368,51,2969,1645,2642,451,45,4783,1444,2082,141,28,3695,781,1647,113,5,2546,653,1228,27,12,1920,213,483,10,3,709,284,586,18,3,891,981,2111,564,20,3676,408,216,210,30,864,15094,15696,6383,537,37710
CED108,113,37,76,9,235,247,53,80,11,391,67,25,196,3,291,112,26,421,12,571,2359,244,1019,41,3663,1735,520,1071,77,3403,1653,644,701,50,3048,1066,1172,692,52,2982,1114,1318,409,34,2875,1556,2757,537,48,4898,1329,2298,249,45,3921,793,1816,145,11,2765,561,1323,47,12,1943,185,529,17,6,737,222,647,13,8,890,826,2048,577,28,3479,286,205,161,18,670,14224,15662,6411,465,36762
CED109,224,144,160,11,539,246,190,216,21,673,57,119,448,9,633,133,181,869,25,1208,1879,684,1740,44,4347,1068,1240,1499,111,3918,958,1465,951,82,3456,798,2113,966,83,3960,824,2154,646,73,3697,1265,3910,725,90,5990,1090,3197,384,57,4728,458,1915,207,20,2600,271,1167,82,18,1538,75,556,39,3,673,89,614,26,5,734,537,2354,870,38,3799,293,408,399,29,1129,10265,22411,10227,719,43622
CED110,164,51,71,3,289,185,58,87,5,335,34,17,117,0,168,89,35,199,11,334,1303,155,524,27,2009,1237,321,620,47,2225,1439,463,555,53,2510,877,796,534,53,2260,981,951,455,56,2443,1585,2230,648,68,4531,1701,2298,345,90,4434,1221,2747,283,27,4278,1091,2285,139,31,3546,420,1164,49,5,1638,722,1890,40,9,2661,845,2339,565,25,3774,273,172,107,11,563,14167,17972,5338,521,37998
