region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
CED101,18167,990,462,227,3,18,52,19919
CED102,17083,827,341,185,7,13,46,18502
CED103,18779,828,292,206,11,15,30,20161
CED104,19583,1048,456,162,3,12,49,21313
CED105,18895,901,528,347,17,22,69,20779
CED106,20148,826,345,129,0,8,30,21486
CED107,13427,1131,836,138,12,33,117,15694
CED108,13223,1293,841,151,12,35,109,15664
CED109,19693,1232,903,387,38,37,123,22413
CED110,16307,1032,494,81,4,14,42,17974
CED111,10758,1055,739,136,7,27,114,12836
CED112,15492,1043,610,108,4,13,64,17334
CED113,13275,1408,927,148,21,22,103,15904
CED114,12059,1131,697,104,6,20,98,14115
CED115,11772,965,699,105,6,22,133,13702
CED116,18208,1068,590,405,23,25,89,20408
CED117,11907,1067,700,123,7,30,119,13953
CED118,14261,782,271,136,6,7,52,15515
CED119,21199,1172,753,304,13,18,60,23519
CED120,19510,1150,648,175,9,11,40,21543
CED121,13994,1197,866,148,12,23,114,16354
CED122,13918,1294,1013,159,14,28,143,16569
CED123,15613,858,363,144,5,11,43,17037
CED124,16481,1467,994,230,18,39,109,19338
CED125,10151,995,673,127,5,22,122,12095
CED126,16605,1348,1004,234,21,37,103,19352
CED127,17471,1143,530,126,9,13,23,19315
CED128,15087,1303,792,133,11,16,86,17428
CED129,19188,1023,576,286,9,27,71,21180
CED130,20788,978,560,187,3,14,44,22574
CED131,12604,1107,764,148,13,25,134,14795
CED132,11398,1007,588,77,6,15,69,13160
CED133,16041,824,237,95,4,7,37,17245
CED134,10627,1006,753,143,11,23,115,12678
CED135,13374,1002,841,221,18,31,230,15717
CED136,19077,856,396,223,4,16,53,20625
CED137,11355,1101,727,114,11,23,100,13431
CED138,19153,917,330,244,5,16,52,20717
CED139,11472,1120,649,113,11,12,82,13459
CED140,13959,1050,815,119,11,20,130,16104
CED141,13028,1170,734,113,9,11,71,15136
CED142,12269,1174,746,149,14,23,119,14494
CED143,8965,655,152,46,3,9,29,9859
CED144,13280,1220,799,147,12,35,110,15603
CED145,16520,926,343,76,3,3,27,17898
CED146,20224,938,452,294,14,14,56,21992
CED147,12594,724,235,42,0,0,19,13614
CED148,19016,1138,740,315,24,26,91,21350
CED194,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0
CED201,17947,1156,530,138,11,13,30,19825
CED202,13592,1142,713,108,8,16,70,15649
CED203,14005,696,295,99,3,11,33,15142
CED204,12788,1153,737,90,6,13,66,14853
CED205,16191,830,356,239,10,15,43,17684
CED206,21692,1276,757,229,5,21,65,24045
CED207,15625,1365,725,107,4,12,54,17892
CED208,15480,763,279,153,3,5,26,16709
CED209,14863,1089,637,76,5,9,53,16732
CED210,12600,1088,610,93,3,17,48,14459
CED211,14559,813,366,89,0,5,25,15857
CED212,13629,1500,737,93,10,16,48,16033
CED213,13219,1279,780,84,0,16,57,15435
CED214,15606,977,377,183,6,13,48,17210
CED215,12112,1157,760,93,11,12,104,14249
CED216,16960,915,317,77,3,4,20,18296
CED217,25378,1366,724,323,25,33,75,27924
CED218,13233,687,229,56,4,5,13,14227
CED219,24479,1768,1201,364,16,29,85,27942
CED220,15944,877,396,189,3,16,24,17449
CED221,11708,1078,627,76,10,12,71,13582
CED222,18135,1290,678,205,9,15,60,20392
CED223,15757,958,410,102,0,10,28,17265
CED224,15489,762,271,109,0,8,28,16667
CED225,17835,1541,836,116,8,20,61,20417
CED226,26012,1897,1216,291,11,32,105,29564
CED227,11717,882,661,87,9,19,91,13466
CED228,14472,786,321,167,5,22,41,15814
CED229,22431,1679,1111,122,6,27,72,25448
CED230,13333,1214,859,96,14,10,87,15613
CED231,10181,685,205,67,3,8,33,11182
CED232,11218,752,194,41,0,5,24,12234
CED233,16799,815,307,145,0,9,30,18105
CED234,12170,984,660,93,16,12,88,14023
CED235,17387,862,465,170,4,10,54,18952
CED236,11973,885,639,88,7,8,77,13677
CED237,15777,791,323,131,0,11,25,17058
CED294,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0
CED301,12857,1450,1041,167,14,31,95,15655
CED302,15734,1338,619,135,7,14,50,17897
CED303,15476,1490,863,131,7,26,54,18047
CED304,11506,754,270,48,4,7,27,12616
CED305,14327,1292,982,154,15,22,108,16900
CED306,15092,1391,926,140,21,27,86,17683
CED307,16935,1487,926,114,6,20,68,19556
CED308,14435,1449,870,123,11,24,66,16978
CED309,12768,1227,716,80,4,8,55,14858
CED310,11307,1203,660,84,12,9,48,13323
CED311,14981,1424,1104,159,11,25,113,17817
CED312,15212,1703,1195,211,24,30,98,18473
CED313,12489,936,407,74,3,14,36,13959
CED314,13409,1129,774,135,12,18,90,15567
CED315,13479,1463,982,216,32,34,121,16327
CED316,10512,1159,805,101,11,23,100,12711
CED317,13561,1143,906,296,33,35,174,16148
CED318,13706,1315,886,358,24,51,172,16512
CED319,14359,1259,592,132,3,12,50,16407
CED320,13441,1558,1242,140,20,25,81,16507
CED321,13389,1052,917,158,7,18,133,15674
CED322,13315,1338,697,101,10,19,53,15533
CED323,11181,1183,531,97,5,18,57,13072
CED324,15471,954,464,214,12,21,52,17188
CED325,16140,1482,915,260,18,36,87,18938
CED326,13514,1493,874,136,9,23,78,16127
CED327,17743,1748,1259,355,32,39,124,21300
CED328,16441,1061,482,88,0,7,26,18105
CED329,11306,1115,752,112,18,17,101,13421
CED330,15123,1367,1076,170,15,31,117,17899
CED394,0,0,0,0,0,0,0,0
CED397,0,0,0,0,0,0,0,0
CED401,13157,900,372,90,5,12,46,14582
CED402,13659,1201,830,100,15,17,123,15945
CED403,14141,1152,465,67,5,5,46,15881
CED404,11967,1119,775,174,16,35,149,14235
CED405,12886,975,376,70,0,8,37,14352
CED406,14934,1617,1035,100,12,19,77,17794
CED407,14291,1349,675,125,5,20,57,16522
CED408,14895,1280,729,99,5,7,68,17083
CED409,15718,1457,789,206,12,31,94,18307
CED410,14903,954,403,99,6,4,29,16398
CED411,14229,1664,1104,162,25,37,119,17340
CED494,0,0,0,0,0,0,0,0
CED497,0,0,0,0,0,0,0,0
CED501,15868,1776,1221,165,14,49,120,19213
CED502,13773,1502,1009,160,14,32,120,16610
CED503,17888,1398,838,215,12,23,69,20443
CED504,14589,862,309,46,4,3,26,15839
CED505,14008,1181,929,364,56,76,234,16848
CED506,13778,1264,890,115,6,13,81,16147
CED507,15400,1268,669,122,11,21,61,17552
CED508,15300,1521,860,214,18,38,96,18047
CED509,18680,1388,761,147,5,19,59,21059
CED510,13695,1164,841,179,15,28,166,16088
CED511,17068,1547,1070,161,10,31,102,19989
CED512,12730,1002,436,124,9,12,71,14384
CED513,13865,897,431,150,10,16,46,15415
CED514,13190,1102,436,155,8,15,59,14965
CED515,18447,1092,491,196,0,16,45,20287
CED594,0,0,0,0,0,0,0,0
CED597,0,0,0,0,0,0,0,0
CED601,8866,935,632,42,5,9,53,10542
CED602,8496,1065,692,81,3,19,88,10444
CED603,8327,941,530,62,3,9,49,9921
CED604,9602,1023,560,76,7,12,69,11349
CED605,9041,1033,681,76,12,18,102,10963
CED694,0,0,0,0,0,0,0,0
CED697,0,0,0,0,0,0,0,0
CED701,8976,759,541,718,104,103,296,11497
CED702,9135,1015,618,146,14,24,65,11017
CED794,0,0,0,0,0,0,0,0
CED797,0,0,0,3,0,0,0,3
CED801,18683,1627,795,162,9,25,54,21355
CED802,19329,1438,787,183,12,15,74,21838
CED894,0,0,0,0,0,0,0,0
CED897,0,0,0,0,3,0,0,3
CED994,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0
