region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
CED101,456,512,968,495,396,891,329,1210,1539,547,2613,3160,2847,1593,4440,2835,1226,4061,2850,1005,3855,3013,982,3995,2778,741,3519,4684,958,5642,4130,211,4341,3304,572,3876,2432,46,2478,1246,17,1263,2158,28,2186,3560,267,3827,657,695,1352,38321,13072,51393
CED102,441,430,871,521,344,865,258,956,1214,437,2369,2806,2770,1497,4267,2647,1200,3847,2649,1069,3718,2795,1100,3895,2705,895,3600,4847,1146,5993,4074,254,4328,3088,724,3812,2397,86,2483,1183,35,1218,1792,48,1840,3530,313,3843,691,580,1271,36825,13046,49871
CED103,487,757,1244,481,402,883,232,1039,1271,354,2237,2591,2037,1752,3789,2282,1212,3494,2385,1195,3580,2484,1313,3797,2464,1096,3560,4431,1413,5844,4006,264,4270,4292,1100,5392,3425,98,3523,1732,52,1784,3307,67,3374,3514,357,3871,474,558,1032,38387,14912,53299
CED104,272,178,450,271,193,464,132,371,503,202,1047,1249,1247,948,2195,1475,734,2209,1870,535,2405,1901,534,2435,1982,413,2395,3919,518,4437,3559,71,3630,4956,483,5439,3896,32,3928,2081,23,2104,3875,19,3894,3846,104,3950,411,289,700,35895,6492,42387
CED105,455,378,833,682,464,1146,563,1527,2090,899,2725,3624,4087,1320,5407,3974,1077,5051,3229,837,4066,3403,730,4133,3001,427,3428,4432,475,4907,3274,85,3359,2006,196,2202,1242,21,1263,633,3,636,861,9,870,3672,195,3867,969,753,1722,37382,11222,48604
CED106,443,340,783,328,258,586,148,484,632,246,1155,1401,1125,1254,2379,1336,1015,2351,1725,873,2598,1719,879,2598,1976,738,2714,3523,937,4460,3209,138,3347,5854,1151,7005,4083,56,4139,2397,26,2423,5479,41,5520,4296,184,4480,418,446,864,38305,9975,48280
CED107,263,304,567,416,515,931,306,1582,1888,654,3855,4509,3710,2272,5982,3239,1772,5011,3169,1202,4371,3103,1163,4266,2962,773,3735,4826,892,5718,3730,136,3866,2583,547,3130,1916,44,1960,753,13,766,961,29,990,3712,241,3953,832,918,1750,37135,16258,53393
CED108,206,206,412,347,244,591,217,991,1208,439,3126,3565,3320,1851,5171,3174,1232,4406,2897,980,3877,2921,860,3781,2812,562,3374,4878,698,5576,3920,114,4034,2813,348,3161,2013,37,2050,791,4,795,1004,16,1020,3506,184,3690,634,636,1270,35892,12089,47981
CED109,340,233,573,524,305,829,445,1095,1540,875,2162,3037,3584,936,4520,3337,1081,4418,3084,817,3901,3704,771,4475,3538,480,4018,5896,561,6457,4769,103,4872,2729,180,2909,1687,14,1701,797,7,804,943,12,955,3892,156,4048,1013,587,1600,41157,9500,50657
CED110,227,269,496,290,290,580,128,883,1011,277,2411,2688,1800,1794,3594,2065,1460,3525,2350,1251,3601,2144,1330,3474,2335,1050,3385,4422,1348,5770,4413,264,4677,4295,964,5259,3546,94,3640,1690,41,1731,2869,55,2924,3805,283,4088,534,638,1172,37190,14425,51615
