region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED101,29956,90648,2886,6037,3506,10060,6392,16097,3772,7736,6389,14582,4576,10809,55,122,14792,33249,4,10,0,0,225,511,229,521,23,49,51392,140564,2923,0,54315,140564
CED102,28418,84464,3384,7734,2107,5886,5491,13620,2686,5881,7055,15543,5617,12724,91,195,15449,34343,83,128,3,4,321,799,407,931,108,281,49873,133639,3464,0,53337,133639
CED103,30867,92228,3398,8027,4042,10312,7440,18339,2911,5189,7124,14093,4791,9996,48,86,14874,29364,8,10,0,0,81,184,89,194,29,69,53299,140194,3503,0,56802,140194
CED104,37852,116193,1118,2073,1729,4570,2847,6643,630,994,146,280,519,1009,156,333,1451,2616,129,205,9,25,56,117,194,347,45,88,42389,125887,2492,0,44881,125887
CED105,31274,102997,2772,7500,4003,12632,6775,20132,3871,8405,4441,11277,1806,4691,199,482,10317,24855,40,66,15,24,116,365,171,455,69,175,48606,148614,2666,0,51272,148614
CED106,33750,103314,807,1483,1851,4295,2658,5778,2232,3929,3894,7811,5588,12523,57,112,11771,24375,8,11,0,0,29,75,37,86,67,151,48283,133704,3575,0,51858,133704
CED107,47586,122719,2553,4322,315,612,2868,4934,2234,3149,119,159,27,39,74,147,2454,3494,229,337,30,59,161,304,420,700,62,130,53390,131977,7071,0,60461,131977
CED108,42578,113906,2593,4354,548,1184,3141,5538,1683,2639,77,146,27,60,60,94,1847,2939,328,515,3,6,54,113,385,634,29,68,47980,123085,4230,0,52210,123085
CED109,41983,135628,2553,6799,3551,11411,6104,18210,716,982,826,1843,714,1880,59,112,2315,4817,201,314,6,21,36,102,243,437,13,34,50658,159126,2437,0,53095,159126
CED110,30352,89814,2377,4385,4187,9676,6564,14061,3362,5458,6493,12021,4576,8312,71,156,14502,25947,82,138,3,3,99,202,184,343,12,32,51614,130197,3810,0,55424,130197
CED111,42858,109236,2525,4536,1371,2681,3896,7217,3048,4859,311,524,283,484,111,181,3753,6048,1214,1844,74,117,138,290,1426,2251,24,55,51957,124807,7280,0,59237,124807
CED112,35918,101228,3325,6347,4186,8979,7511,15326,4474,7626,2671,4654,2876,5434,134,243,10155,17957,301,456,6,6,183,373,490,835,44,79,54118,135425,4893,0,59011,135425
CED113,40461,111682,3357,6200,2249,4730,5606,10930,2114,3134,461,838,572,1050,101,160,3248,5182,527,814,5,16,84,186,616,1016,32,75,49963,128885,6644,0,56607,128885
CED114,41642,105653,2973,5280,1576,3076,4549,8356,3314,5460,887,1461,383,650,109,170,4693,7741,529,866,56,117,173,354,758,1337,114,242,51756,123329,14796,0,66552,123329
CED115,45486,112132,1570,2408,142,292,1712,2700,4407,6769,100,142,93,189,26,39,4626,7139,429,682,20,34,188,393,637,1109,119,328,52580,123408,9407,0,61987,123408
CED116,32574,112889,2330,6836,3426,10714,5756,17550,1849,4105,2544,5917,684,1661,55,134,5132,11817,5,17,3,0,42,120,50,137,48,130,43560,142523,1952,0,45512,142523
CED117,43741,110843,2165,3809,1005,2052,3170,5861,2051,3168,237,388,172,232,83,135,2543,3923,671,967,7,21,112,272,790,1260,65,116,50309,122003,15861,0,66170,122003
CED118,21784,60958,7857,18343,4964,12151,12821,30494,8593,16227,9113,17534,3470,6687,210,380,21386,40828,3,3,8,14,566,1401,577,1418,105,219,56673,133917,4312,0,60985,133917
CED119,39886,123018,2296,5628,3679,10779,5975,16407,1057,1990,1229,2986,1282,3183,100,189,3668,8348,82,120,0,4,87,206,169,330,58,140,49756,148243,2244,0,52000,148243
CED120,35910,110993,1559,3280,3211,8407,4770,11687,994,1747,2115,4604,2196,5153,64,118,5369,11622,40,67,3,0,68,162,111,229,28,50,46188,134581,2056,0,48244,134581
CED121,46904,122447,1496,2432,114,241,1610,2673,1211,1700,58,76,44,54,77,145,1390,1975,395,636,62,168,163,363,620,1167,67,150,50591,128412,8110,0,58701,128412
