region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
CED101,58043,63235,121278,26855,16932,43787,6938,12496,19434,1997,2015,4012,2225,2163,4388,38015,33606,71621,17046,26598,43644,5.9,6.4,6.1,65.5,53.1,59.1,61.7,49.7,55.4,3680,3261,6941,603,928,1531,9109,10632,19741,4832,6297,11129,11179,6032,17211,58938,62810,121748,8565,9141,17706,39969,42730,82699,23484,25396,48880
CED102,57182,59880,117062,26155,16695,42850,7282,11364,18646,2107,2047,4154,2128,1852,3980,37672,31958,69630,15855,24486,40341,5.6,5.8,5.7,65.9,53.4,59.5,62.2,50.3,56.1,3124,2795,5919,551,773,1324,8489,9585,18074,4988,6070,11058,10486,5986,16472,57020,59231,116251,8178,8276,16454,38481,40609,79090,22567,22976,45543
CED103,59272,64205,123477,28959,18669,47628,7165,13531,20696,1703,1940,3643,2205,2179,4384,40032,36319,76351,16649,25234,41883,5.5,6.0,5.7,67.5,56.6,61.8,63.8,53.2,58.3,6201,5198,11399,1005,1585,2590,13289,14703,27992,5265,6916,12181,9229,5350,14579,58515,62088,120603,10226,10731,20957,38622,41545,80167,26081,27428,53509
CED104,51334,53907,105241,27341,14902,42243,6871,15297,22168,1600,1866,3466,1630,1322,2952,37442,33387,70829,12563,19237,31800,4.4,4.0,4.2,72.9,61.9,67.3,69.8,59.5,64.5,4402,3114,7516,1052,1591,2643,10853,11842,22695,4852,6897,11749,10593,5747,16340,56433,58123,114556,6286,6395,12681,41043,42295,83338,18118,18843,36961
CED105,60316,62517,122833,22688,12902,35590,6705,8859,15564,2317,1766,4083,3242,2511,5753,34952,26038,60990,20925,32256,53181,9.3,9.6,9.4,58.0,41.6,49.7,52.6,37.6,45.0,1511,1184,2695,299,363,662,5523,6220,11743,3795,4877,8672,10645,6185,16830,63825,65414,129239,8395,8410,16805,43725,44917,88642,22640,23288,45928
CED106,53760,60473,114233,26739,14913,41652,6995,14836,21831,1454,1865,3319,1778,1578,3356,36966,33192,70158,14681,24979,39660,4.8,4.8,4.8,68.8,54.9,61.4,65.5,52.3,58.5,7468,5209,12677,1162,1937,3099,15783,16423,32206,4717,7433,12150,5588,4071,9659,55889,61023,116912,9324,10366,19690,36759,40188,76947,24780,27550,52330
CED107,56555,57953,114508,27040,13945,40985,5310,13783,19093,2050,2061,4111,1860,1596,3456,36260,31385,67645,17152,23694,40846,5.1,5.1,5.1,64.1,54.2,59.1,60.8,51.4,56.1,1044,919,1963,470,907,1377,3819,6258,10077,2883,4622,7505,16153,9354,25507,56840,58103,114943,9913,10524,20437,38462,38943,77405,23613,25228,48841
CED108,51096,54841,105937,23749,11948,35697,5334,13757,19091,1885,1937,3822,1750,1472,3222,32718,29114,61832,16397,23656,40053,5.3,5.1,5.2,64.0,53.1,58.4,60.6,50.4,55.3,1268,1062,2330,436,771,1207,3971,5690,9661,3215,4696,7911,16720,8728,25448,53451,56083,109534,7684,8221,15905,37231,38880,76111,20183,21810,41993
CED109,61213,65020,126233,28887,17004,45891,6117,10971,17088,2438,2177,4615,3300,3099,6399,40742,33251,73993,17031,28383,45414,8.1,9.3,8.6,66.6,51.1,58.6,61.2,46.4,53.5,1604,1353,2957,350,465,815,5750,7570,13320,3691,4376,8067,12756,8112,20868,67694,69815,137509,9263,9619,18882,46769,48570,95339,23894,24918,48812
CED110,54006,58425,112431,29003,16634,45637,6176,15076,21252,1802,2190,3992,1402,1301,2703,38383,35201,73584,13083,20789,33872,3.7,3.7,3.7,71.1,60.2,65.4,68.5,58.0,63.0,2239,1814,4053,697,1228,1925,7545,9342,16887,5266,7201,12467,15995,7703,23698,54894,58421,113315,8441,8902,17343,37043,39758,76801,22314,23793,46107
CED111,52797,56316,109113,17273,9860,27133,6816,13068,19884,1690,1733,3423,2805,2030,4835,28584,26691,55275,21523,26992,48515,9.8,7.6,8.7,54.1,47.4,50.7,48.8,43.8,46.2,754,742,1496,445,831,1276,3729,5468,9197,2779,4746,7525,15661,9304,24965,52357,54971,107328,9543,10508,20051,35075,36264,71339,22993,25318,48311
CED112,58057,60317,118374,25774,13403,39177,6717,15317,22034,2051,2199,4250,2523,1949,4472,37065,32868,69933,18151,25013,43164,6.8,5.9,6.4,63.8,54.5,59.1,59.5,51.3,55.3,3108,2699,5807,812,1380,2192,7366,8978,16344,4549,5796,10345,15852,8198,24050,58083,59768,117851,9631,9873,19504,40176,41548,81724,23466,24138,47604
CED113,52065,57418,109483,22850,11965,34815,5785,13642,19427,1842,1997,3839,2380,2090,4470,32857,29694,62551,16371,24758,41129,7.2,7.0,7.1,63.1,51.7,57.1,58.5,48.1,53.1,817,732,1549,408,703,1111,3421,5209,8630,3283,4974,8257,16171,9621,25792,54050,57865,111915,8837,9663,18500,35470,37944,73414,22995,25449,48444
CED114,54582,55679,110261,23583,14195,37778,6509,12938,19447,2009,2135,4144,1710,1235,2945,33811,30503,64314,17354,22173,39527,5.1,4.0,4.6,61.9,54.8,58.3,58.8,52.6,55.7,1778,1376,3154,814,1371,2185,4710,6578,11288,3473,5107,8580,15629,8274,23903,53372,54161,107533,9457,9917,19374,35928,35953,71881,23194,24507,47701
CED115,53634,55541,109175,24827,12507,37334,5077,13193,18270,2056,2070,4126,1862,1571,3433,33822,29341,63163,16638,23187,39825,5.5,5.4,5.4,63.1,52.8,57.9,59.6,50.0,54.7,640,649,1289,443,927,1370,3107,5428,8535,2632,3966,6598,14635,8268,22903,54068,55017,109085,8467,9390,17857,38347,38379,76726,20269,21964,42233
CED116,56531,60145,116676,22644,13011,35655,5767,8930,14697,2276,1767,4043,3262,2714,5976,33949,26422,60371,19010,30220,49230,9.6,10.3,9.9,60.1,43.9,51.7,54.3,39.4,46.6,599,547,1146,164,234,398,3963,4750,8713,3171,4055,7226,9569,6015,15584,61604,64011,125615,6900,7346,14246,45368,46977,92345,18366,19828,38194
CED117,52963,55660,108623,19718,9835,29553,5849,12912,18761,1816,1826,3642,2109,1679,3788,29492,26252,55744,20409,26534,46943,7.2,6.4,6.8,55.7,47.2,51.3,51.7,44.1,47.8,1031,977,2008,522,1070,1592,3921,5395,9316,3644,4974,8618,17020,8931,25951,52594,54731,107325,8594,9258,17852,36219,37336,73555,21478,23253,44731
CED118,60313,64237,124550,29663,23163,52826,7918,13305,21223,1910,2365,4275,2422,2012,4434,41913,40845,82758,13823,19276,33099,5.8,4.9,5.4,69.5,63.6,66.4,65.5,60.5,62.9,5177,5830,11007,1203,2230,3433,12802,15793,28595,5104,6231,11335,8537,5162,13699,54803,57687,112490,11161,12370,23531,33459,35582,69041,28235,30159,58394
CED119,59082,60221,119303,32796,19084,51880,6152,12965,19117,1980,2160,4140,2219,2321,4540,43147,36530,79677,13464,21243,34707,5.1,6.4,5.7,73.0,60.7,66.8,69.3,56.8,63.0,3385,2786,6171,681,864,1545,8156,10235,18391,4987,5999,10986,13314,7389,20703,62652,63702,126354,9921,9862,19783,39826,40436,80262,27030,27619,54649
CED120,55020,56936,111956,30322,16240,46562,5637,14749,20386,2032,2191,4223,1623,1512,3135,39614,34692,74306,13062,19988,33050,4.1,4.4,4.2,72.0,60.9,66.4,69.1,58.3,63.6,1842,1616,3458,581,930,1511,6280,8019,14299,4847,6198,11045,16105,7728,23833,59049,60380,119429,7567,7560,15127,42407,43430,85837,19755,20274,40029
