region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED101,39969,42730,82699,3453,3788,7241,14141,15108,29249,159,182,341,231,231,462,68,72,140,70,72,142,13,17,30,16,22,38,64,65,129,0,0,0,14762,15769,30531,4994,5567,10561,273,272,545,23482,25396,48878,3596,3491,7087,67047,71617,138664
CED102,38481,40609,79090,3259,3255,6514,13374,13776,27150,197,179,376,261,271,532,61,74,135,54,62,116,20,15,35,14,17,31,72,73,145,0,0,0,14053,14467,28520,4986,4939,9925,268,315,583,22566,22976,45542,4273,3896,8169,65320,67481,132801
CED103,38621,41546,80167,3429,3630,7059,14479,14777,29256,318,284,602,286,316,602,119,125,244,110,109,219,42,39,81,25,17,42,105,104,209,0,0,0,15484,15771,31255,6936,7783,14719,233,244,477,26082,27428,53510,3135,3079,6214,67838,72053,139891
CED104,41043,42296,83339,3137,3133,6270,11527,11996,23523,232,244,476,231,279,510,62,69,131,90,85,175,19,29,48,19,19,38,56,61,117,0,0,0,12236,12782,25018,2588,2777,5365,158,150,308,18119,18842,36961,1713,1693,3406,60875,62831,123706
CED105,43724,44918,88642,3775,3831,7606,14037,14250,28287,143,146,289,156,163,319,38,52,90,47,56,103,18,16,34,11,16,27,29,35,64,0,0,0,14479,14734,29213,4090,4454,8544,296,270,566,22640,23289,45929,5764,5108,10872,72128,73315,145443
CED106,36759,40189,76948,3348,3529,6877,14147,15825,29972,406,394,800,342,402,744,90,110,200,135,159,294,24,31,55,8,12,20,104,135,239,0,4,4,15256,17072,32328,5993,6705,12698,182,246,428,24779,27552,52331,2686,2904,5590,64224,70645,134869
CED107,38463,38943,77406,7979,8352,16331,12840,14005,26845,270,287,557,770,773,1543,118,118,236,202,208,410,71,87,158,73,71,144,140,162,302,0,3,3,14484,15714,30198,879,916,1795,271,247,518,23613,25229,48842,5049,3669,8718,67125,67841,134966
CED108,37231,38878,76109,4411,4675,9086,13292,14627,27919,219,223,442,578,578,1156,94,86,180,131,119,250,48,51,99,68,63,131,87,77,164,0,0,0,14517,15824,30341,946,1019,1965,311,290,601,20185,21808,41993,2492,2380,4872,59908,63066,122974
CED109,46768,48572,95340,3896,4130,8026,14582,14988,29570,177,157,334,257,281,538,60,57,117,62,62,124,27,30,57,15,16,31,28,44,72,0,0,0,15208,15635,30843,4426,4840,9266,364,314,678,23894,24919,48813,4325,4166,8491,74987,77657,152644
CED110,37043,39758,76801,4766,4899,9665,14354,15563,29917,219,206,425,395,408,803,59,75,134,100,116,216,33,28,61,39,16,55,91,75,166,0,0,0,15290,16487,31777,2046,2228,4274,212,179,391,22314,23793,46107,2936,2789,5725,62293,66340,128633
CED111,35074,36265,71339,6850,7522,14372,11687,12970,24657,526,571,1097,1739,1865,3604,147,161,308,223,227,450,107,114,221,132,121,253,178,206,384,0,3,3,14739,16238,30977,1069,1228,2297,334,329,663,22992,25317,48309,3825,3364,7189,61891,64946,126837
CED112,40177,41548,81725,5150,5319,10469,13523,14407,27930,211,242,453,423,440,863,59,69,128,112,126,238,44,45,89,44,42,86,210,226,436,0,0,0,14626,15597,30223,3458,3013,6471,233,207,440,23467,24136,47603,3410,3056,6466,67054,68740,135794
CED113,35471,37944,73415,4670,5205,9875,15902,17486,33388,148,192,340,536,622,1158,55,58,113,90,121,211,50,62,112,32,34,66,84,92,176,0,0,0,16897,18667,35564,971,1029,2000,458,548,1006,22996,25449,48445,3383,3443,6826,61850,66836,128686
CED114,35928,35953,71881,5929,6435,12364,9759,10246,20005,1077,1112,2189,989,1028,2017,212,206,418,265,256,521,122,128,250,171,195,366,3061,3166,6227,11,6,17,15667,16343,32010,1308,1478,2786,290,250,540,23194,24506,47700,4155,3553,7708,63277,64012,127289
CED115,38348,38380,76728,6311,6883,13194,7008,7591,14599,4055,4466,8521,686,715,1401,448,436,884,165,200,365,94,113,207,156,144,300,121,140,261,0,0,0,12733,13805,26538,942,1034,1976,285,242,527,20271,21964,42235,4021,3710,7731,62640,64054,126694
CED116,45368,46977,92345,3755,3944,7699,11122,11542,22664,133,164,297,152,139,291,47,47,94,22,43,65,8,5,13,16,11,27,21,22,43,0,0,0,11521,11973,23494,2770,3595,6365,321,316,637,18367,19828,38195,4254,4077,8331,67989,70882,138871
CED117,36218,37337,73555,6368,6853,13221,12174,13249,25423,367,401,768,675,672,1347,89,103,192,200,199,399,79,85,164,73,76,149,414,451,865,26,13,39,14097,15249,29346,763,927,1690,250,225,475,21478,23254,44732,3967,3296,7263,61663,63887,125550
CED118,33458,35583,69041,3292,3368,6660,16992,18526,35518,460,497,957,478,505,983,165,172,337,173,187,360,60,72,132,41,47,88,209,267,476,0,0,0,18578,20273,38851,6057,6224,12281,306,296,602,28233,30161,58394,5269,4719,9988,66960,70463,137423
CED119,39826,40435,80261,3581,3669,7250,17487,17557,35044,221,211,432,335,366,701,103,89,192,86,92,178,33,22,55,22,25,47,52,61,113,0,0,0,18339,18423,36762,4881,5333,10214,229,192,421,27030,27617,54647,3675,2863,6538,70531,70915,141446
CED120,42407,43429,85836,4399,4592,8991,11864,12223,24087,297,230,527,456,386,842,81,55,136,116,83,199,50,48,98,96,57,153,64,65,129,0,0,0,13024,13147,26171,2141,2367,4508,191,169,360,19755,20275,40030,2830,2813,5643,64992,66517,131509
