region_id,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
CED101,79,1412,898,669,409,159,49,6,3681,13,116,149,140,130,42,12,0,602,770,2620,2030,1862,1089,475,210,52,9108,489,1138,1042,981,635,304,184,58,4831,52,94,108,145,140,88,50,13,690,771,1565,1912,2007,1549,1179,801,299,10083,68,84,76,76,56,30,13,3,406,891,1743,2096,2228,1745,1297,864,315,11179,105,155,176,221,165,124,94,34,1074,824,720,533,729,564,505,448,248,4571,3171,7904,6924,6830,4737,2906,1861,713,35046,127,1527,822,474,234,50,20,6,3260,27,207,226,219,176,53,18,3,929,1157,3698,2507,1785,956,344,150,36,10633,607,1224,1625,1358,834,393,207,49,6297,72,125,277,357,240,124,73,43,1311,588,918,830,805,455,190,124,55,3965,101,138,168,196,102,34,13,5,757,761,1181,1275,1358,797,348,210,103,6033,105,170,281,359,320,218,169,64,1686,693,638,642,700,668,632,757,557,5287,3477,8645,7378,6253,3985,2038,1531,818,34125,206,2939
CED102,43,1261,856,516,300,98,42,8,3124,10,127,170,120,86,33,6,0,552,673,2907,1997,1472,868,377,156,40,8490,599,1473,1217,809,516,232,105,38,4989,58,109,166,156,124,68,33,14,728,607,1586,2090,1870,1374,949,638,232,9346,63,93,89,71,59,23,7,7,412,728,1788,2345,2097,1557,1040,678,253,10486,109,213,227,212,149,92,74,36,1112,841,990,824,704,684,562,515,225,5345,3003,8759,7636,5930,4160,2434,1576,600,34098,75,1293,778,392,193,49,12,3,2795,15,176,237,183,115,29,15,3,773,903,3601,2432,1454,782,254,129,30,9585,570,1444,1680,1159,701,314,147,55,6070,85,157,335,348,207,105,56,28,1321,492,979,925,705,391,203,109,38,3842,118,186,215,163,100,28,8,5,823,695,1322,1475,1216,698,336,173,71,5986,97,186,276,373,241,167,110,65,1515,720,809,767,708,727,673,688,468,5560,3075,8831,7645,5485,3457,1822,1274,695,32284,118,2554
CED103,92,1744,1566,1433,889,332,127,20,6203,13,193,259,258,200,62,19,0,1004,1145,3791,2987,2474,1686,775,345,88,13291,584,1100,1129,1032,725,362,251,82,5265,42,87,113,142,140,91,60,11,686,590,1240,1512,1694,1311,891,700,224,8162,69,67,70,68,61,24,18,3,380,701,1394,1695,1904,1512,1006,778,238,9228,75,147,186,188,168,114,93,46,1017,753,641,493,533,462,373,387,243,3885,3363,9010,8315,7822,5642,3024,2000,717,39893,132,1956,1495,945,474,155,34,7,5198,33,309,393,391,315,107,28,9,1585,1550,4558,3728,2582,1372,576,258,77,14701,686,1131,1573,1478,1074,578,296,99,6915,58,113,269,334,308,190,113,50,1435,413,664,697,692,406,186,128,54,3240,91,120,122,163,108,42,23,6,675,562,897,1088,1189,822,418,264,110,5350,72,159,232,361,314,229,175,99,1641,728,540,490,530,549,537,706,626,4706,3763,9550,8999,7476,4920,2600,1761,1027,40096,224,3700
CED104,30,380,1009,1356,1054,434,124,14,4401,9,85,248,303,275,94,25,12,1051,727,1632,2433,2646,2051,913,359,91,10852,269,594,1023,1144,957,529,263,72,4851,62,76,84,159,211,175,39,13,819,784,1167,1736,2120,1693,1260,486,147,9393,73,42,62,78,68,40,14,3,380,919,1285,1882,2357,1972,1475,539,163,10592,39,60,105,146,128,106,59,22,665,448,217,296,427,400,325,266,142,2521,2441,4253,6996,8379,6837,3876,1635,516,34933,42,518,966,893,503,154,31,8,3115,22,201,376,460,363,138,25,8,1593,920,2270,3166,2831,1755,635,210,55,11842,407,756,1487,1799,1411,691,254,92,6897,69,107,283,391,376,191,80,26,1523,489,545,814,852,499,220,89,42,3550,91,82,142,159,124,57,12,7,674,649,734,1239,1402,999,468,181,75,5747,43,70,176,307,325,210,102,41,1274,364,185,351,494,502,478,443,402,3219,2447,4734,7761,8186,5858,2774,1246,681,33687,72,898
CED105,41,521,410,274,183,61,15,6,1511,7,83,83,61,46,14,3,3,300,589,1845,1257,932,589,212,87,15,5526,425,1091,890,692,441,170,68,18,3795,64,108,110,113,89,40,22,5,551,934,1834,1850,1775,1497,969,589,188,9636,116,124,96,72,30,13,5,4,460,1114,2066,2056,1960,1616,1022,616,197,10647,110,215,196,198,162,105,61,26,1073,1245,1224,1096,1002,866,644,534,226,6837,3531,7045,5988,5119,3903,2228,1384,491,29689,69,597,266,150,81,20,0,0,1183,20,130,76,63,57,10,4,3,363,802,2424,1453,807,472,175,65,21,6219,716,1423,1191,804,471,161,88,23,4877,114,213,257,256,178,59,29,16,1122,761,1220,860,666,366,121,84,37,4115,184,264,235,173,69,15,7,0,947,1059,1697,1352,1095,613,195,120,53,6184,113,220,247,258,226,142,81,27,1314,1112,1063,1045,926,801,685,713,420,6765,3891,7554,5630,4103,2721,1388,1071,547,26905,110,1118
CED106,51,912,1809,2107,1404,804,306,76,7469,13,147,306,293,246,106,42,10,1163,810,2436,3497,3787,2643,1467,834,308,15782,257,608,889,990,754,629,440,150,4717,48,54,93,147,134,129,71,18,694,339,669,767,973,698,596,400,162,4604,43,40,46,59,45,37,16,3,289,430,763,906,1179,877,762,487,183,5587,51,86,135,148,162,152,143,75,952,612,380,402,473,384,322,324,237,3134,2224,5332,7944,8977,6470,4242,2576,1039,38804,49,1064,1538,1372,774,295,86,29,5207,12,259,469,550,393,168,74,11,1936,1092,3192,4331,3882,2173,1037,530,187,16424,330,667,1435,1739,1440,1014,595,214,7434,57,50,186,257,264,248,146,82,1290,282,400,469,472,320,149,106,67,2265,59,51,89,116,90,66,32,13,516,398,501,744,845,674,463,284,162,4071,35,88,181,307,347,323,238,137,1656,536,344,468,498,428,432,655,740,4101,2452,6115,9166,9193,6229,3732,2462,1480,40829,100,1976
CED107,3,97,200,255,284,147,52,6,1044,0,59,91,133,136,42,9,0,470,200,774,875,729,745,341,121,35,3820,102,361,612,686,619,349,127,26,2882,72,86,97,145,151,94,38,12,695,1523,2727,2992,3139,2323,1389,616,128,14837,183,153,91,82,68,29,12,3,621,1778,2966,3180,3366,2542,1512,666,143,16153,36,62,87,113,93,86,34,8,519,1202,959,949,912,866,789,633,192,6502,3321,5278,5994,6194,5285,3266,1642,410,31390,16,146,250,231,199,61,10,5,918,12,119,184,251,226,90,23,3,908,396,1667,1511,1162,926,379,175,42,6258,254,690,980,1051,903,475,210,60,4623,134,167,301,320,302,152,46,21,1443,1051,1708,1524,1314,697,214,86,34,6628,291,261,270,238,160,48,12,5,1285,1476,2136,2095,1872,1159,414,144,60,9356,60,53,156,299,265,165,82,31,1111,805,495,662,764,917,943,914,444,5944,3019,5306,5838,5630,4595,2527,1558,645,29118,19,243
CED108,4,136,277,279,297,191,72,11,1267,0,45,94,103,126,48,21,0,437,175,867,887,746,729,362,160,45,3971,138,486,704,710,593,371,150,65,3217,45,82,76,92,168,98,53,14,628,1292,2392,2957,3237,2792,1802,888,266,15626,123,116,76,61,44,34,9,3,466,1460,2590,3109,3390,3004,1934,950,283,16720,30,58,94,99,95,79,36,19,510,599,372,494,516,541,525,529,249,3825,2406,4554,5659,5843,5385,3510,1918,672,29947,7,213,288,243,215,72,18,5,1061,9,118,171,197,192,62,17,4,770,348,1608,1344,989,864,362,139,36,5690,268,775,1019,1080,836,453,206,58,4695,109,126,253,319,318,187,80,25,1417,997,1464,1422,1270,732,228,108,38,6259,222,203,223,208,123,51,18,3,1051,1328,1793,1898,1797,1173,466,206,66,8727,58,60,97,200,214,132,82,26,869,503,350,478,634,751,868,821,513,4918,2521,4917,5295,5140,4245,2415,1489,708,26730,11,349
CED109,24,523,439,355,189,55,14,4,1603,11,92,115,77,40,12,3,0,350,422,1492,1477,1230,801,251,60,15,5748,421,988,901,751,418,149,48,13,3689,91,140,146,131,106,47,13,3,677,1181,2275,2428,2493,1776,883,360,67,11463,172,155,118,96,57,14,5,0,617,1444,2570,2692,2720,1939,944,378,70,12757,117,242,251,227,205,103,48,9,1202,1253,902,908,823,764,587,373,106,5716,3692,6809,6783,6183,4356,2101,924,217,31065,49,562,383,207,114,24,11,3,1353,22,147,119,96,58,15,5,3,465,644,2316,1823,1521,936,225,81,24,7570,543,1196,1105,816,450,167,77,24,4378,151,265,340,269,180,55,16,6,1282,993,1590,1303,1021,476,130,55,15,5583,256,365,311,187,96,23,5,3,1246,1400,2220,1954,1477,752,208,76,24,8111,103,227,261,315,274,110,48,24,1362,1066,827,894,841,896,728,518,282,6052,3827,7495,6539,5273,3480,1477,816,384,29291,73,1085
CED110,25,369,591,505,435,219,80,16,2240,5,90,161,177,178,56,26,6,699,457,1723,1825,1472,1223,519,257,70,7546,348,1051,1235,1057,810,453,227,86,5267,51,113,134,145,212,155,77,17,904,1097,2693,2937,2791,2128,1611,1054,306,14617,81,75,85,78,81,47,26,3,476,1229,2881,3156,3014,2421,1813,1157,326,15997,63,137,160,180,197,133,126,42,1038,524,609,580,526,475,369,436,252,3771,2651,6860,7708,6931,5739,3562,2309,798,36558,29,482,578,358,272,77,15,3,1814,22,244,306,306,248,72,23,5,1226,841,2876,2454,1600,987,375,172,37,9342,559,1431,1783,1486,1055,547,259,80,7200,108,213,353,433,367,217,121,43,1855,664,1214,1077,870,548,290,194,73,4930,121,179,212,175,142,59,21,7,916,893,1606,1642,1478,1057,566,336,123,7701,80,183,252,387,423,329,268,84,2006,511,487,467,521,534,591,847,554,4512,2935,7309,7482,6136,4576,2557,1920,886,33801,54,851
