region_id,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
CED101,1274,3297,8493,8145,8310,5015,1115,124,17,35790,0,7,0,8,14,5,0,0,0,34,0,0,10,8,0,0,0,0,0,18,29,97,356,475,628,315,41,5,0,1946,3,5,35,44,25,8,3,0,0,123,9,39,139,175,138,66,16,0,3,585,15,104,415,409,368,148,28,0,0,1487,432,634,753,633,736,391,64,6,0,3649,385,401,466,363,430,178,23,0,0,2246,11,86,371,363,320,152,21,0,0,1324,25,79,196,137,84,44,10,0,0,575,22,192,897,708,470,175,22,4,0,2490,30,67,156,145,108,59,18,0,0,583,43,301,795,613,497,223,53,6,0,2531,23,106,326,292,299,165,22,6,0,1239,10,81,340,393,485,242,21,4,3,1579,87,274,680,712,908,676,83,4,0,3424,95,486,1133,1175,1500,874,143,7,3,5416,36,74,83,78,68,44,5,0,0,388,60,123,240,229,243,135,17,0,0,1047
CED102,1033,3072,9340,8817,7276,4768,1111,116,15,35548,0,0,0,4,4,3,0,0,0,11,0,3,7,4,3,0,0,0,0,17,31,67,303,391,435,278,37,5,0,1547,0,3,38,38,27,4,0,0,0,110,8,33,146,159,119,64,15,0,0,544,21,79,361,364,294,145,23,0,0,1287,363,536,829,708,647,358,52,3,3,3499,320,373,509,332,406,231,33,6,3,2213,18,119,407,477,442,184,28,3,0,1678,17,68,222,201,115,45,9,0,0,677,19,186,868,740,431,158,15,0,0,2417,25,52,155,150,93,59,13,5,0,552,34,247,797,665,416,185,38,6,0,2388,14,112,390,318,287,197,32,0,0,1350,7,63,367,455,420,207,25,3,0,1547,38,173,590,745,681,447,97,5,0,2776,102,439,1210,1172,1313,868,157,10,3,5274,25,53,94,106,78,24,9,0,0,389,53,115,241,250,205,129,29,0,0,1022
CED103,1241,3324,9041,8769,8550,5425,1284,170,21,37825,0,0,12,4,9,8,7,0,0,40,0,3,9,6,12,0,0,0,0,30,60,90,407,463,457,246,36,0,0,1759,0,5,42,41,27,11,3,0,0,129,10,44,162,215,174,97,13,0,0,715,21,99,507,527,441,235,28,4,0,1862,437,734,678,580,641,410,59,14,0,3553,351,381,359,297,325,150,34,3,0,1900,9,42,141,137,176,89,14,0,0,608,29,127,385,309,196,84,13,3,0,1146,27,165,836,743,488,203,19,4,3,2488,22,58,143,122,138,64,21,3,0,571,59,374,1116,1002,741,378,76,6,0,3752,14,118,292,276,298,146,37,0,0,1181,17,63,297,358,427,251,31,0,0,1444,92,323,844,939,1205,791,151,17,0,4362,139,476,1205,1309,1686,1203,227,13,3,6261,65,57,105,109,74,37,11,0,0,458,55,124,252,273,273,166,34,3,0,1180
CED104,1908,3283,4893,7739,9289,6614,1840,226,19,35811,4,7,21,39,74,58,34,3,3,243,0,0,5,4,9,8,0,0,0,26,74,104,185,370,427,271,49,6,0,1486,3,6,23,31,41,22,4,0,0,130,10,50,108,296,245,138,50,3,0,900,29,75,228,418,496,237,57,4,0,1544,613,632,405,544,701,449,89,12,0,3445,560,290,139,202,269,118,28,3,0,1609,17,25,61,111,140,77,16,3,0,450,31,94,148,218,175,72,14,3,0,755,25,136,373,547,495,256,33,3,0,1868,33,68,77,93,157,86,24,3,0,541,69,333,596,905,888,484,98,5,0,3378,18,96,145,258,234,175,31,0,0,957,7,53,238,322,406,227,28,3,0,1284,138,297,536,1021,1650,1083,170,13,3,4911,181,566,770,1314,1946,1310,223,12,0,6322,63,70,74,78,96,46,12,0,0,439,64,174,156,274,295,164,36,0,0,1163
CED105,1244,3305,8057,7275,6813,4177,764,66,10,31711,0,3,3,9,4,3,0,0,0,22,0,3,6,0,4,0,0,0,0,13,26,112,344,582,711,359,29,6,0,2169,3,6,26,26,14,13,0,0,0,88,12,44,114,124,96,55,4,3,3,455,21,88,289,255,291,123,14,3,0,1084,378,654,688,611,624,301,32,0,3,3291,331,281,291,281,336,131,16,0,0,1667,11,68,202,225,255,143,9,3,0,916,29,78,158,88,62,30,0,0,0,445,36,259,581,330,192,110,7,0,0,1515,10,44,98,66,45,35,3,0,0,301,50,211,460,239,186,94,13,0,0,1253,22,103,221,179,191,131,11,0,0,858,14,83,287,280,276,143,20,0,0,1103,31,210,542,425,472,294,52,5,0,2031,93,447,944,973,1054,631,86,12,0,4240,44,60,51,34,50,36,11,0,0,286,41,128,278,233,173,86,14,0,3,956
CED106,1309,2844,5520,8206,9051,5818,2023,373,44,35188,0,5,9,4,22,11,11,0,0,62,0,5,10,8,11,5,0,0,0,39,63,62,204,321,335,147,44,3,0,1179,0,3,15,32,21,7,3,0,0,81,12,26,85,183,155,86,15,3,0,565,19,71,267,460,421,208,57,14,3,1520,500,618,444,460,613,405,107,20,0,3167,404,338,211,169,244,112,19,3,0,1500,9,11,76,106,121,63,8,0,0,394,53,103,224,291,223,102,24,7,0,1027,13,130,548,749,573,236,59,9,3,2320,30,68,93,143,142,115,35,14,3,643,76,363,844,1129,1149,557,147,16,0,4281,23,78,163,233,292,167,44,4,0,1004,9,36,191,262,345,203,41,5,0,1092,192,313,494,806,1381,1036,199,26,0,4447,160,492,965,1297,1791,1200,350,14,3,6272,51,86,60,102,86,32,14,6,0,437,53,128,138,196,223,114,47,5,4,908
CED107,2089,3271,6155,7233,7751,5855,1695,321,30,34400,29,42,94,165,241,327,263,88,14,1263,13,50,116,84,62,12,5,0,0,342,80,128,243,294,338,173,28,4,0,1288,4,10,58,63,60,27,3,0,0,225,19,26,107,144,139,85,13,3,0,536,31,66,81,126,123,65,8,0,0,500,820,560,658,724,818,459,67,3,0,4109,616,421,403,437,536,277,41,3,0,2734,10,33,98,165,166,96,27,3,0,598,14,63,75,66,51,25,4,0,0,298,18,58,158,185,158,77,11,3,0,668,33,29,61,120,78,53,16,3,0,393,38,136,271,303,254,195,51,3,0,1251,31,87,156,240,237,140,19,3,0,913,20,111,431,591,571,299,25,0,0,2048,58,203,684,1119,1216,813,113,3,0,4209,149,520,1087,1472,1931,1250,171,7,0,6587,25,26,41,50,53,53,8,3,0,259,86,128,215,227,214,129,26,3,0,1028
CED108,2075,2988,5896,6976,7088,4960,892,82,11,30968,3,3,9,13,21,21,7,0,0,77,5,13,37,30,18,6,0,0,0,109,91,96,232,336,360,176,20,0,0,1311,3,12,71,86,69,24,0,0,0,265,12,35,113,168,172,100,17,3,0,620,20,46,104,143,152,79,19,5,0,568,788,680,759,855,743,427,51,3,3,4309,672,384,329,299,320,159,23,0,0,2186,13,35,74,130,143,91,14,3,0,503,16,40,57,53,39,25,3,0,0,233,22,133,362,364,263,110,9,3,0,1266,44,46,71,93,86,44,12,3,0,399,41,156,337,341,254,192,34,3,0,1358,26,79,174,242,233,160,28,3,0,945,10,59,271,427,392,183,10,0,0,1352,53,165,553,755,958,637,62,8,0,3191,134,491,1274,1640,2129,1285,125,11,0,7089,55,44,58,58,66,24,13,0,0,318,80,148,232,233,203,126,27,0,0,1049
CED109,1911,3942,8950,8772,8207,4869,749,38,3,37441,3,11,40,38,46,29,6,3,0,176,0,0,3,3,3,0,0,0,0,9,40,175,491,731,851,401,26,3,0,2718,3,19,55,65,37,24,0,0,0,203,18,45,128,144,106,60,6,0,0,507,32,123,362,348,379,163,19,0,0,1426,584,690,883,808,730,326,29,3,0,4053,652,345,342,317,334,135,16,3,0,2144,25,88,278,392,315,157,16,0,0,1271,27,72,148,67,54,33,3,0,0,404,47,275,810,549,393,181,7,0,0,2262,29,50,102,75,67,30,10,0,0,363,48,192,412,278,217,91,18,0,0,1256,26,161,328,269,257,152,9,0,0,1202,25,144,380,464,466,239,21,3,0,1742,40,175,500,521,547,319,36,0,0,2138,130,526,1246,1556,1660,1009,102,3,0,6232,44,63,62,49,53,30,4,0,0,305,74,113,191,172,190,108,12,3,0,863
CED110,1670,3341,7996,8783,7889,5597,1473,214,20,36983,4,0,3,11,5,5,7,0,0,35,0,0,9,0,9,0,0,0,0,18,73,79,284,417,401,285,65,9,3,1616,0,7,28,51,34,11,4,0,0,135,10,54,175,257,181,128,38,0,3,846,25,96,322,392,314,188,41,0,4,1382,579,634,662,702,759,516,107,5,0,3964,641,383,329,285,257,152,30,0,0,2077,16,119,364,432,417,180,24,3,0,1555,14,98,167,122,87,55,5,0,0,548,21,170,674,625,440,209,45,6,3,2193,46,102,187,154,154,91,18,5,0,757,58,323,782,775,579,353,82,7,0,2959,22,123,337,341,249,132,30,4,0,1238,7,126,508,474,467,260,56,3,0,1901,95,258,812,964,1191,909,109,6,0,4344,137,509,1154,1293,1581,1002,226,16,0,5918,63,75,126,101,84,51,14,6,0,520,85,172,280,256,233,150,41,3,0,1220
