region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED101,7759,15787,8694,5857,12187,6340,4021,5168,1423,67236
CED102,7608,14744,8394,5842,11306,6373,4216,5709,1463,65655
CED103,9892,23547,7415,5503,12156,6062,2163,3857,1373,71968
CED104,11459,20590,7481,5210,11022,5883,1731,3428,1074,67878
CED105,4622,8724,8703,4754,9223,5074,5870,6612,1655,55237
CED106,12587,25418,4214,4847,9868,5455,944,2299,1167,66799
CED107,8991,10560,9774,6513,8250,5692,5989,7398,1023,64190
CED108,5342,10626,9900,5831,8824,6078,4846,6248,914,58609
CED109,4574,9143,9374,6402,12152,6119,9475,8750,1605,67594
CED110,10428,16722,9514,6981,12647,6911,2801,3805,1077,70886
CED111,6360,8414,7167,6285,6538,5498,3075,6302,803,50442
CED112,7066,16752,9586,7469,9428,5489,3778,4880,1010,65458
CED113,6168,9688,9331,6657,8406,6766,3846,6268,950,58080
CED114,9166,10514,9149,6574,9350,5681,3520,6208,1206,61368
CED115,10502,8854,8503,6183,7060,5331,4892,7400,1007,59732
CED116,4030,6641,8615,4679,8111,5082,7111,8368,1753,54390
CED117,6183,9441,8713,6437,6597,5442,3195,5137,808,51953
CED118,11032,27367,7601,6553,11679,5847,2538,4467,1237,78321
CED119,8278,16250,9966,6250,14032,7057,5793,6097,1413,75136
CED120,8813,14467,10625,7037,14042,6628,4004,4417,1140,71173
CED121,10471,9719,9644,6632,8253,5329,4793,7074,1180,63095
CED122,6518,7763,11676,5736,7269,5439,9124,7568,1086,62179
CED123,9830,22828,7963,7411,12145,6595,3243,4364,1404,75783
CED124,7183,10240,10682,7053,13404,7045,7529,6898,1359,71393
CED125,5790,8359,7065,5514,6270,5366,2869,5446,647,47326
CED126,7643,10477,10365,6580,11588,6541,6389,6135,1209,66927
CED127,11660,17874,9315,6331,10987,6861,2281,3928,1143,70380
CED128,8200,14985,10536,7053,9895,5507,4183,5360,1033,66752
CED129,5718,8919,9785,5248,11504,6045,6518,6570,1452,61759
CED130,11882,19759,7843,5147,12493,7061,2251,3143,1033,70612
CED131,10550,10120,8234,6141,7362,5885,4267,8353,999,61911
CED132,6284,16045,8600,6568,8617,5989,3696,5687,851,62337
CED133,15204,32745,4871,5091,11295,5486,938,2088,1459,79177
CED134,6612,8405,7095,6200,6433,5764,3370,7002,750,51631
CED135,13091,9322,8612,6530,7422,5457,5910,7819,1142,65305
CED136,7467,18973,9031,6209,12448,6344,4887,6377,1668,73404
CED137,5984,7827,8922,5480,6720,5423,4143,5646,815,50960
CED138,11109,22087,8495,6021,11815,6986,3230,5747,1790,77280
CED139,6973,10559,8080,6491,6508,6000,2791,6103,885,54390
CED140,11168,9937,9951,6474,7828,6106,4935,9045,1120,66564
CED141,7005,12112,8721,6581,8900,6236,2761,5165,964,58445
CED142,5178,9809,8849,5754,7988,6033,3918,5527,859,53915
CED143,16713,37588,7268,8467,12635,7060,1454,3704,1697,96586
CED144,5388,8263,9322,6178,7566,5743,5100,6340,922,54822
CED145,15019,26966,6496,6123,10770,6409,1472,2692,1361,77308
CED146,6218,12463,8757,5796,9676,6351,5051,6967,1755,63034
CED147,16448,34786,5609,6621,10373,6388,959,2189,1779,85152
CED148,5826,9627,9614,5904,11702,6001,7214,6876,1352,64116
CED194,338,741,543,464,394,237,350,490,93,3650
CED197,3,3,6,3,0,3,3,10,3,34
CED201,8291,14240,9974,5741,11504,7663,3623,5196,1251,67483
CED202,7524,12557,10178,6736,8633,6469,4304,6742,1252,64395
CED203,7267,18337,7648,5935,9368,5575,3157,4950,1572,63809
CED204,7550,11789,9422,6519,7737,6445,3888,7605,1194,62149
CED205,5919,12227,8211,5071,8820,5585,4907,6438,1568,58746
CED206,6350,9186,11993,6865,11837,7236,7451,8004,2005,70927
CED207,8011,11612,12603,6632,10747,7194,3749,6165,1313,68026
CED208,8177,19939,6773,5602,9658,6345,2002,4243,1252,63991
CED209,9155,13921,10251,7116,7975,6620,3308,6448,1300,66094
CED210,5554,10124,9780,6617,7345,6040,4750,7082,1275,58567
CED211,7470,16840,7989,5525,9769,5996,2421,4107,1111,61228
