region_id,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
CED101,23,37,314,139,79,297,60,299,25,1273,127,543,794,395,344,439,189,360,105,3296,972,2201,1657,542,918,717,609,662,216,8494,1461,1854,1677,374,758,482,789,588,164,8147,1520,1591,1773,345,673,440,1054,735,180,8311,804,977,991,215,493,249,652,541,93,5015,155,250,177,56,124,70,130,117,36,1115,23,40,12,7,10,5,3,8,15,123,10,0,3,0,0,0,0,0,4,17,5095,7493,7398,2073,3399,2699,3486,3310,838,35791,13,74,59,300,176,622,5,84,20,1353,135,683,150,626,773,674,18,123,60,3242,657,2747,311,742,1954,697,61,268,142,7579,756,2021,304,733,2126,626,116,315,127,7124,735,1716,314,881,2232,621,227,623,121,7470,322,925,135,435,1279,332,97,388,78,3991,41,122,20,61,224,63,9,52,19,611,3,4,0,5,22,3,5,3,11,56,0,3,0,0,3,3,0,3,4,16,2662,8295,1293,3783,8789,3641,538,1859,582,31442
CED102,17,38,220,123,64,237,48,246,41,1034,158,392,721,365,297,425,194,420,101,3073,1103,2385,1742,686,952,735,640,870,226,9339,1520,1985,1713,492,810,521,933,662,182,8818,1191,1361,1469,377,646,430,1004,662,137,7277,667,755,947,206,416,261,779,613,125,4769,148,176,197,39,98,68,172,179,34,1111,14,28,19,3,10,15,7,10,10,116,0,6,0,0,3,0,0,0,0,9,4818,7126,7028,2291,3296,2692,3777,3662,856,35546,18,48,49,218,168,545,7,57,12,1122,136,542,148,531,598,629,16,158,64,2822,748,2597,317,851,1855,818,48,316,181,7731,885,2140,320,733,2169,681,79,338,120,7465,675,1415,324,751,1958,587,165,582,121,6578,275,751,174,398,1038,350,107,509,82,3684,43,113,28,64,209,67,14,80,18,636,8,9,4,4,16,3,0,4,6,54,3,3,0,0,0,3,0,3,3,15,2791,7618,1364,3550,8011,3683,436,2047,607,30107
CED103,23,96,212,179,88,334,22,258,29,1241,178,683,594,437,375,552,114,294,96,3323,1139,3571,1431,440,898,623,307,439,194,9042,1938,3095,1353,305,674,452,367,417,169,8770,1829,2587,1492,299,629,438,558,539,180,8551,999,1627,848,166,519,286,417,461,102,5425,191,379,189,52,138,68,109,126,32,1284,25,47,18,4,22,11,12,22,8,169,0,11,5,0,0,0,0,4,0,20,6322,12096,6142,1882,3343,2764,1906,2560,810,37825,22,80,51,394,198,597,5,66,18,1431,153,769,136,634,744,763,13,76,70,3358,859,3448,318,670,1827,546,29,136,113,7946,1106,3016,296,644,1961,438,40,215,140,7856,933,2499,303,763,2287,512,96,436,126,7955,434,1366,138,419,1487,369,65,315,71,4664,59,246,29,93,280,64,6,51,17,845,7,23,3,3,22,8,4,4,4,78,0,3,0,0,4,0,0,0,3,10,3573,11450,1274,3620,8810,3297,258,1299,562,34143
CED104,32,101,374,252,84,449,83,496,36,1907,178,596,863,374,316,448,138,299,71,3283,735,1538,1025,253,386,355,220,274,108,4894,2122,2490,1285,260,442,407,268,337,129,7740,2674,2783,1530,261,644,422,385,447,143,9289,1738,2093,903,165,525,362,343,371,114,6614,410,537,277,51,155,115,115,133,46,1839,59,81,17,4,15,13,8,19,10,226,7,0,3,0,7,0,0,0,3,20,7955,10219,6277,1620,2574,2571,1560,2376,660,35812,26,118,65,479,250,856,7,153,24,1978,155,680,153,710,692,635,10,68,34,3137,490,1888,192,430,894,340,8,77,66,4385,979,2659,256,651,1912,429,38,165,99,7188,1118,3011,330,793,2555,597,74,306,92,8876,600,1733,176,443,1732,372,30,222,65,5373,121,257,29,81,380,77,4,59,25,1033,12,20,3,3,33,6,0,0,10,87,3,4,0,0,3,0,0,0,0,10,3504,10370,1204,3590,8451,3312,171,1050,415,32067
CED105,27,35,396,93,55,259,67,257,55,1244,166,421,821,288,355,388,288,437,141,3305,757,1466,1869,436,807,500,1015,929,277,8056,815,989,1810,365,567,364,1241,913,211,7275,735,665,1583,258,505,325,1478,1058,206,6813,416,433,932,177,373,204,912,629,102,4178,80,93,161,36,78,35,149,108,23,763,12,13,12,0,7,5,4,8,6,67,0,0,3,0,0,0,0,0,5,8,3008,4115,7587,1653,2747,2080,5154,4339,1026,31709,21,43,50,221,199,564,11,55,30,1194,149,558,122,492,806,659,31,105,95,3017,502,1702,245,659,1627,549,84,256,168,5792,413,1027,264,683,1438,477,183,519,130,5134,353,752,289,703,1402,494,277,827,115,5212,156,459,135,304,878,224,117,457,68,2798,16,54,12,39,110,26,13,49,13,332,3,12,0,0,12,0,0,3,10,40,0,3,0,0,7,0,0,0,0,10,1613,4610,1117,3101,6479,2993,716,2271,629,23529
CED106,15,76,133,275,93,349,48,293,27,1309,155,669,404,449,293,507,87,225,55,2844,835,2321,693,321,502,387,128,237,96,5520,2435,3416,708,224,526,380,147,237,132,8205,2965,3551,777,169,569,379,218,252,171,9051,1666,2436,397,125,419,293,141,220,121,5818,468,855,120,48,183,141,54,101,53,2023,75,167,21,3,45,18,5,10,29,373,12,20,0,0,3,3,0,0,8,46,8626,13511,3253,1614,2633,2457,828,1575,692,35189,31,118,57,519,189,643,8,117,26,1708,149,725,101,696,585,643,10,54,38,3001,577,2403,189,448,1010,344,13,72,69,5125,1174,3083,224,505,1494,383,24,102,105,7094,1276,3314,239,613,1996,519,34,214,112,8317,620,1825,122,346,1431,346,22,125,82,4919,107,393,29,102,462,103,4,35,23,1258,24,43,0,6,59,14,0,6,14,166,4,3,0,0,8,0,0,0,6,21,3962,11907,961,3235,7234,2995,115,725,475,31609
CED107,48,28,709,115,40,408,102,602,37,2089,169,195,1293,234,102,279,438,518,44,3272,701,724,1853,312,229,352,1080,804,100,6155,1252,977,1659,446,277,292,1350,843,136,7232,1586,962,1598,386,416,281,1404,965,153,7751,1367,894,992,250,350,241,973,678,109,5854,646,234,173,62,75,84,214,168,39,1695,207,29,8,3,8,17,17,18,15,322,23,3,0,0,0,0,3,0,0,29,5999,4046,8285,1808,1497,1954,5581,4596,633,34399,35,53,95,463,177,998,27,268,30,2146,115,396,191,672,520,560,46,214,30,2744,393,1417,300,817,1179,543,67,338,55,5109,611,1653,353,996,1699,612,99,571,81,6675,814,1719,342,1027,1846,632,95,810,69,7354,624,1109,180,641,1115,354,58,504,69,4654,307,160,22,87,199,40,16,81,32,944,80,5,7,5,18,0,0,14,14,143,12,3,0,0,0,0,0,0,8,23,2991,6515,1490,4708,6753,3739,408,2800,388,29792
CED108,24,35,657,133,37,409,91,645,44,2075,97,216,1176,205,110,301,295,540,48,2988,479,978,1850,333,290,301,810,771,85,5897,998,1107,1795,369,387,345,1060,765,148,6974,1002,1082,1736,344,481,314,1252,739,136,7086,654,958,1168,196,355,235,847,485,61,4959,128,203,152,40,56,70,131,89,24,893,10,30,8,3,9,5,4,9,5,83,3,0,0,0,3,3,0,0,3,12,3395,4609,8542,1623,1728,1983,4490,4043,554,30967,36,46,107,390,187,1090,12,231,40,2139,135,370,197,562,568,663,27,163,27,2712,394,1425,289,790,1319,611,43,255,77,5203,500,1519,332,863,1797,684,101,505,72,6373,525,1562,276,1028,1902,637,97,635,82,6744,302,972,149,519,1153,368,63,367,41,3934,43,110,9,57,157,43,14,45,12,490,7,12,0,0,13,0,0,4,10,46,3,0,0,0,0,0,0,0,0,3,1945,6016,1359,4209,7096,4096,357,2205,361,27644
CED109,25,35,502,94,78,357,166,575,79,1911,158,354,935,285,360,447,596,681,126,3942,691,1319,1861,504,871,512,1821,1145,225,8949,835,1142,1869,471,734,355,2113,1044,209,8772,744,854,1745,384,741,302,2106,1154,177,8207,404,429,1016,286,478,192,1211,739,114,4869,51,74,125,58,58,45,180,141,18,750,0,6,5,3,4,0,0,12,8,38,0,0,0,3,0,0,0,0,0,3,2908,4213,8058,2088,3324,2210,8193,5491,956,37441,36,41,88,288,267,968,16,159,50,1913,175,461,172,584,946,701,88,181,75,3383,472,1600,357,879,2148,695,235,423,141,6950,438,1241,278,1002,2173,643,345,785,127,7032,383,991,280,992,2029,584,398,1090,138,6885,150,532,126,522,1138,282,183,568,87,3588,13,61,16,46,121,31,14,50,20,372,0,3,0,4,3,4,0,5,8,27,0,0,0,0,0,0,0,0,4,4,1667,4930,1317,4317,8825,3908,1279,3261,650,30154
CED110,24,63,428,196,71,374,70,416,28,1670,196,457,1070,400,255,402,181,324,54,3339,1236,1769,2103,697,620,538,440,458,135,7996,2038,1914,1925,545,585,535,599,492,149,8782,1929,1664,1577,400,633,441,652,478,115,7889,1257,1282,978,205,515,366,509,394,92,5598,261,361,216,59,141,121,131,141,41,1472,34,50,23,8,28,20,12,26,16,217,4,5,4,0,3,3,0,0,4,23,6979,7565,8324,2510,2851,2800,2594,2729,634,36986,28,71,80,519,218,862,4,143,29,1954,184,682,151,759,804,672,26,69,34,3381,901,2502,289,945,1851,616,30,118,81,7333,991,2419,255,903,2224,666,32,203,107,7800,823,2020,231,827,2501,733,60,296,87,7578,437,1249,157,429,1730,464,45,193,60,4764,79,206,28,81,425,90,7,43,22,981,7,8,3,5,38,6,0,10,16,93,3,0,0,3,6,0,0,0,6,18,3453,9157,1194,4471,9797,4109,204,1075,442,33902
