CED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
CED101,27006,19627,22278,20182,20247,18068,12164,7809,4041,151416,10,13,11,11,12,18,19,19,16,118,336,402,579,353,316,300,212,160,73,2716,4,4,14,10,14,12,3,3,0,72,8,4,18,7,13,17,16,4,0,91,0,3,0,0,3,3,8,0,0,24,3,3,6,3,3,7,0,5,0,30,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,7,0,3,17,3,4,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,351,423,640,376,354,347,238,165,75,2974,358,432,649,391,363,365,258,189,90,3087,27361,20060,22928,20570,20613,18430,12420,7995,4133,154501
CED102,27103,22024,33830,24001,20458,16719,11904,8090,3793,167919,19,36,51,19,31,20,23,15,7,223,428,496,883,524,485,455,450,332,227,4276,3,8,58,24,35,17,12,3,3,169,4,27,38,26,39,20,12,0,3,176,0,3,21,13,8,10,17,3,0,67,4,9,19,10,9,4,0,0,0,59,0,0,0,9,3,0,7,0,0,22,0,4,5,0,3,7,0,0,0,19,0,0,9,29,10,7,8,0,0,66,0,0,0,0,0,0,0,0,0,0,442,550,1032,638,594,526,504,337,227,4849,458,588,1088,650,623,545,528,356,240,5073,27562,22611,34913,24652,21082,17263,12433,8438,4032,172997
CED103,28000,22473,27604,23747,20954,17954,11717,7455,3996,163893,13,26,18,19,20,16,13,14,15,144,265,538,768,417,390,408,334,201,135,3447,18,33,72,112,111,61,21,10,0,430,7,24,69,52,88,49,27,3,0,310,4,10,7,21,19,11,18,4,0,95,4,3,25,11,29,21,0,0,0,103,0,3,4,4,7,6,3,3,0,31,0,8,0,3,0,0,0,0,0,10,6,13,18,17,8,28,11,0,5,109,0,0,0,0,0,3,0,0,0,3,299,627,971,639,653,589,418,223,138,4552,309,648,987,658,668,605,435,232,156,4700,28310,23123,28593,24401,21620,18559,12144,7684,4156,168592
CED104,27605,18865,12137,18609,21506,18277,13114,6870,3466,140446,6,15,12,5,10,7,20,7,9,100,258,405,405,278,274,261,231,154,101,2372,6,5,8,22,15,13,21,11,0,100,6,15,13,23,14,28,20,11,5,139,0,0,4,0,5,5,0,3,0,16,3,3,4,4,6,4,8,3,0,42,0,0,0,0,6,5,7,8,0,30,0,0,0,3,3,0,0,0,0,10,3,7,8,5,7,0,6,0,0,35,0,0,0,0,0,0,0,0,0,0,275,439,444,335,331,324,294,186,114,2745,282,456,461,339,334,334,317,196,123,2840,27889,19325,12595,18948,21841,18615,13427,7061,3588,143291
CED105,36264,24769,29408,21812,20067,17160,10938,6253,3096,169769,50,35,62,39,36,22,26,10,10,286,516,553,914,546,401,394,309,173,164,3961,8,23,29,16,24,27,9,8,0,141,8,17,24,29,45,14,13,3,0,162,7,0,10,0,10,8,6,0,0,38,3,6,13,4,13,0,0,3,0,41,0,0,7,0,4,0,3,0,0,13,3,0,4,4,0,0,0,0,0,7,4,9,8,8,0,9,9,0,0,45,0,0,0,0,0,0,0,0,0,0,545,602,997,618,497,448,346,193,170,4415,595,634,1064,653,536,472,367,201,180,4702,36858,25406,30469,22468,20608,17629,11311,6456,3273,174473
CED106,31399,19818,16241,21721,22947,16887,12694,8349,4823,154885,16,15,10,9,10,11,8,4,13,98,367,559,543,311,312,357,358,333,365,3506,14,21,13,32,24,10,17,14,8,145,4,28,17,21,30,26,38,15,4,173,3,0,0,7,6,12,13,0,0,46,0,6,7,5,3,10,4,4,3,47,0,3,0,0,3,8,3,3,0,24,3,8,0,0,5,0,0,0,0,20,4,10,14,3,8,3,6,0,3,45,0,0,0,0,0,0,0,0,0,0,400,631,594,378,389,424,441,377,387,4006,412,642,606,391,397,435,453,384,401,4108,31813,20462,16842,22112,23344,17318,13143,8727,5218,158991
CED107,31181,18170,17691,18014,20146,19225,15749,8545,3434,152154,50,46,39,31,41,40,18,24,4,292,665,1677,1024,765,875,844,597,325,144,6912,16,36,32,26,28,49,32,9,5,241,19,48,48,42,53,66,54,9,3,334,0,0,8,9,4,7,15,0,0,37,3,5,16,20,3,12,18,3,0,78,3,0,8,3,6,11,17,0,0,50,3,11,3,0,3,3,0,0,0,27,4,43,21,11,10,12,16,0,0,118,0,0,0,0,0,0,0,0,0,0,714,1815,1152,871,985,1012,741,350,155,7795,765,1864,1190,901,1024,1049,764,378,163,8086,31943,20030,18874,18918,21168,20279,16509,8921,3596,160241
CED108,38498,24284,25217,22904,20614,17057,11075,5029,1900,166571,73,54,40,45,32,25,26,11,3,298,603,670,741,451,390,281,209,113,47,3509,3,9,19,22,50,22,13,0,0,140,16,19,40,45,19,22,9,3,0,175,4,3,3,7,14,7,3,0,0,42,7,10,14,8,6,4,5,0,0,55,0,0,4,0,5,0,4,0,0,23,0,0,0,0,0,0,0,0,0,3,3,7,9,10,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,634,714,837,540,495,337,250,116,47,3968,703,771,875,581,530,362,273,126,51,4269,39201,25054,26092,23486,21151,17418,11344,5155,1956,170846
CED109,24348,15005,16243,18210,18603,16306,12563,8003,4375,133650,15,14,16,21,23,13,22,17,10,158,377,408,551,371,378,330,327,302,220,3263,5,3,20,13,20,24,9,7,3,114,17,5,13,33,28,29,23,8,4,168,0,0,4,4,3,4,4,3,0,28,0,4,11,8,8,5,12,3,0,51,0,3,0,0,4,3,6,3,0,21,0,0,3,0,4,0,0,0,0,12,0,4,3,0,7,3,3,0,0,23,0,0,0,0,0,0,0,0,0,0,399,427,612,432,458,406,383,331,220,3671,417,440,628,452,482,414,410,350,230,3829,24762,15443,16871,18662,19080,16725,12977,8354,4604,137482
CED110,26668,15190,13883,15895,19457,22251,19857,11765,5365,150318,53,41,34,28,34,40,25,30,13,294,658,937,953,722,949,1293,1391,627,238,7769,52,44,74,62,84,281,588,232,36,1458,93,128,149,123,162,249,201,50,18,1169,4,3,7,8,12,27,103,33,0,199,3,4,24,18,21,34,11,10,0,123,8,6,9,8,19,26,91,10,3,176,0,12,9,6,5,8,3,0,0,40,12,3,17,11,18,41,84,28,3,216,0,0,0,0,0,0,0,0,0,0,833,1136,1239,957,1268,1961,2473,992,294,11156,888,1180,1273,986,1301,1996,2497,1020,307,11454,27550,16370,15154,16874,20761,24246,22354,12785,5675,161768
