CED_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED101,2222,1008,1033,2032,936,970,1904,972,1054,2022,949,1019,1968,4900,5245,10141,902,949,1858,896,925,1821,817,887,1703,805,900,1705,671,799,1476,4088,4472,8554,761,743,1504,723,767,1492,666,748,1412,681,744,1419,652,754,1405,3483,3754,7235,564,650,1214,587,607,1195,554,561,1122,457,526,977,430,515,945,2595,2861,5457,423,511,936,426,507,926,413,523,938,354,487,840,380,461,847,2001,2487,4484,1600,2070,3666,1014,1618,2630,432,876,1312,61,219,283,3,25,24,75773,80026,155806
CED102,1953,923,961,1886,845,932,1771,812,949,1761,866,899,1762,4410,4732,9137,831,896,1719,784,879,1662,807,892,1702,718,769,1492,728,746,1472,3867,4185,8050,777,769,1541,669,708,1377,623,685,1310,655,701,1351,665,676,1349,3384,3549,6932,588,637,1228,544,608,1144,497,587,1087,469,502,973,438,513,950,2531,2847,5379,457,498,948,463,543,1009,416,510,923,388,491,875,406,474,882,2128,2509,4639,1725,2024,3751,1076,1425,2497,416,771,1189,79,209,290,9,7,16,85720,87129,172850
CED103,2053,976,1023,2001,908,979,1887,914,1048,1962,899,1015,1914,4695,5129,9818,948,1004,1955,835,910,1751,799,886,1687,805,911,1713,736,859,1594,4124,4576,8700,762,757,1516,748,748,1496,676,736,1411,638,694,1329,677,717,1389,3499,3645,7142,557,579,1138,465,518,986,496,565,1063,433,510,938,449,503,949,2397,2672,5076,403,469,873,406,476,880,363,479,844,362,479,844,337,525,858,1874,2424,4300,1530,1945,3470,1047,1608,2652,401,852,1250,94,202,292,10,22,23,82368,86580,168948
CED104,2211,1000,1052,2050,985,1033,2017,964,1103,2065,934,998,1932,4973,5300,10277,911,879,1792,916,916,1828,832,910,1741,859,921,1779,778,799,1577,4287,4423,8712,777,806,1587,775,814,1583,694,757,1452,757,796,1548,769,863,1631,3777,4028,7804,661,716,1374,613,653,1269,632,581,1218,542,539,1081,486,551,1036,2929,3038,5968,457,524,979,467,471,936,388,441,825,367,440,808,359,384,748,2036,2257,4296,1351,1595,2943,863,1288,2150,360,797,1159,70,244,318,3,15,16,71298,73835,145136
CED105,1927,997,1020,2020,969,963,1929,1003,954,1961,933,941,1872,4863,4846,9712,876,848,1726,818,872,1691,828,838,1663,756,734,1485,684,711,1399,3959,4004,7963,679,704,1389,646,657,1297,645,656,1293,673,640,1313,647,631,1280,3285,3287,6574,607,561,1165,505,464,967,506,460,965,456,425,881,387,413,800,2455,2314,4772,380,437,818,362,428,790,317,389,709,345,373,715,285,349,630,1693,1977,3674,1246,1552,2800,796,1217,2014,326,670,996,68,175,242,3,13,17,89077,85554,174634
CED106,2189,972,1026,2002,858,954,1812,880,916,1792,853,893,1753,4601,4945,9549,824,932,1757,813,901,1712,748,797,1547,714,793,1505,707,827,1532,3806,4251,8055,706,807,1512,729,826,1559,684,729,1411,643,734,1378,715,815,1532,3484,3912,7394,602,731,1331,603,713,1316,565,652,1221,503,567,1075,515,564,1081,2789,3230,6020,452,554,1010,502,571,1074,424,555,975,431,485,918,407,483,897,2225,2645,4872,1722,2171,3897,1247,1794,3041,546,1070,1615,109,321,429,7,18,28,76948,83302,160255
CED107,2317,1103,1116,2223,1079,1068,2145,1028,1079,2105,970,1072,2046,5371,5460,10831,968,1027,1991,1057,934,1995,933,976,1908,930,998,1929,1021,930,1955,4905,4861,9774,982,1007,1986,939,1002,1943,933,940,1871,945,928,1873,960,997,1956,4754,4877,9633,861,801,1660,830,790,1612,746,732,1478,669,727,1394,693,699,1389,3803,3738,7541,560,589,1149,519,557,1074,532,580,1112,489,515,1006,461,504,962,2551,2749,5301,1645,2153,3794,934,1412,2350,287,699,989,61,179,242,3,29,37,80634,80662,161298
CED108,2022,932,979,1912,902,954,1855,940,1033,1971,818,946,1761,4626,4896,9520,824,901,1730,843,867,1711,736,819,1551,710,771,1479,739,781,1520,3850,4141,7995,679,764,1444,716,742,1455,647,697,1341,649,669,1321,597,693,1293,3287,3563,6854,556,583,1136,466,519,981,466,477,940,386,423,813,324,406,727,2196,2403,4596,350,425,771,294,327,621,274,347,627,257,326,579,231,304,531,1407,1727,3137,887,1206,2091,443,772,1213,181,458,640,23,92,117,0,5,4,84513,86738,171249
CED109,1968,849,916,1765,890,906,1795,887,953,1840,835,866,1703,4438,4631,9066,841,903,1748,778,827,1607,726,844,1567,732,800,1530,681,809,1495,3758,4175,7938,683,773,1453,742,766,1506,672,710,1383,687,739,1422,746,779,1524,3525,3764,7292,576,690,1266,534,677,1212,622,717,1341,510,568,1077,507,530,1031,2749,3180,5922,465,498,963,432,512,948,405,513,920,399,502,896,389,525,910,2086,2549,4636,1643,2157,3798,1152,1825,2977,425,856,1285,84,218,304,7,11,16,67499,71568,139062
CED110,2364,1163,1320,2481,1180,1237,2416,1091,1303,2390,1191,1239,2432,5746,6340,12087,1201,1201,2395,1159,1262,2421,1149,1175,2324,1157,1204,2363,1110,1203,2317,5775,6051,11825,1217,1233,2454,1192,1156,2351,1108,1230,2335,1111,1165,2279,1240,1296,2537,5869,6081,11952,1090,1067,2156,946,1059,2001,914,1022,1933,851,909,1759,871,839,1713,4669,4893,9566,765,830,1595,762,793,1557,678,758,1435,595,697,1288,632,750,1385,3436,3826,7260,2311,2798,5109,1432,2069,3501,544,1130,1679,106,270,378,3,33,39,77043,82275,159321
