CED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED101,3,7,4615,4626,130,172,4917,5226,4180,1038,5355,10572,6369,780,2114,9267,6450,648,2213,9315,5829,490,2057,8377,3968,229,1396,5595,2346,82,816,3242,682,8,516,1210,29960,3461,24007,57427,9,19,4367,4398,403,261,4143,4810,5307,1168,4454,10933,6944,780,2549,10275,6556,651,3085,10297,5500,417,3183,9108,3383,165,2568,6115,1726,41,2315,4084,327,3,1558,1892,30156,3521,28228,61905,14,28,8984,9030,533,437,9066,10034,9487,2210,9809,21505,13314,1564,4661,19543,13011,1303,5300,19613,11331,913,5239,17485,7345,400,3966,11708,4073,127,3127,7322,1010,14,2075,3097,60124,6982,52231,119338
CED102,4,9,4331,4344,244,352,5774,6376,5821,2076,8172,16068,7024,1201,3170,11399,5852,844,2722,9415,4892,560,2115,7561,3789,258,1326,5375,2450,72,752,3276,668,11,406,1089,30748,5394,28764,64908,19,24,4149,4197,690,540,4932,6161,7411,2085,6510,16002,6948,1147,3282,11379,5842,781,3430,10061,4720,441,3130,8290,3293,152,2368,5815,1747,36,2064,3853,223,7,1193,1419,30903,5218,31055,67176,22,33,8484,8540,936,892,10711,12537,13232,4161,14676,32069,13972,2353,6452,22779,11695,1631,6150,19478,9609,995,5244,15849,7086,413,3696,11190,4204,107,2816,7127,895,22,1594,2511,61655,10609,59821,132078
CED103,3,21,4661,4689,97,351,5509,5957,5101,1562,6224,12889,7966,835,2395,11192,6987,595,2063,9641,5959,373,1901,8235,4093,212,1127,5436,2226,61,746,3032,721,8,472,1197,33155,4025,25091,62273,6,33,4174,4209,278,522,5270,6069,6517,1586,5498,13601,8263,822,2680,11771,7207,573,2870,10651,5794,367,2976,9135,3412,131,2248,5796,1660,28,2152,3843,323,4,1500,1831,33464,4062,29373,66894,8,56,8834,8898,370,873,10778,12021,11621,3148,11719,26486,16227,1656,5075,22960,14194,1164,4930,20290,11751,744,4879,17373,7510,343,3381,11232,3884,91,2898,6869,1042,19,1975,3030,66615,8082,54463,129160
CED104,6,9,5277,5286,52,121,4212,4381,2095,480,3326,5895,6638,586,1228,8454,8011,646,1282,9947,7051,459,1161,8671,5154,225,819,6199,2370,60,542,2969,596,9,354,961,31973,2587,18201,52758,0,11,4856,4866,89,142,3702,3941,2927,543,2431,5902,7726,649,1311,9690,8469,699,1897,11060,6765,415,1998,9175,4475,140,1902,6508,1691,29,1635,3356,288,10,1136,1431,32422,2631,20870,55923,4,19,10130,10151,139,264,7920,8320,5019,1017,5755,11794,14365,1239,2539,18137,16480,1345,3179,21002,13820,868,3157,17848,9626,361,2722,12709,4063,87,2183,6329,878,17,1491,2386,64393,5220,39071,108686
CED105,7,10,5473,5490,353,152,6424,6931,5481,691,8542,14709,6512,554,3478,10539,6267,499,2672,9439,5373,378,2371,8121,3663,188,1332,5188,1834,49,673,2554,480,9,382,869,29960,2528,31353,63842,65,28,5096,5189,1144,199,4648,5989,7318,788,5073,13179,6596,542,2948,10085,5948,502,3134,9583,4705,326,3150,8180,2830,115,2121,5073,1193,25,1818,3037,203,4,1129,1334,30003,2533,29122,61649,73,38,10574,10678,1496,349,11067,12912,12792,1481,13612,27886,13105,1090,6426,20623,12217,1003,5813,19024,10080,703,5515,16302,6497,301,3462,10255,3027,75,2493,5591,678,16,1506,2206,59963,5058,60473,125486
CED106,0,9,5353,5360,51,154,3967,4179,3075,807,3527,7409,7900,592,1404,9899,8504,561,1403,10472,6356,362,1102,7823,4776,174,801,5749,2823,73,622,3513,919,27,472,1425,34413,2761,18660,55830,0,12,5107,5128,151,217,3833,4201,4309,868,3120,8297,8784,610,1907,11297,8882,572,2424,11875,6044,298,2322,8668,4347,127,2047,6515,2150,43,2008,4200,448,4,1554,2004,35110,2754,24323,62194,5,21,10463,10488,206,374,7805,8383,7380,1672,6648,15702,16686,1202,3312,21197,17390,1132,3828,22349,12404,664,3422,16486,9121,304,2840,12268,4971,112,2628,7714,1364,33,2031,3429,69524,5512,42984,118023
CED107,0,65,4400,4472,131,653,2720,3503,2799,1798,2969,7566,4586,1104,2029,7721,5233,1063,2641,8939,5547,733,2533,8811,4745,391,2062,7191,2299,105,1102,3510,502,16,439,960,25840,5932,20903,52678,7,146,4012,4163,257,946,2384,3579,3601,1783,2802,8177,5131,1158,2337,8628,5698,1074,2811,9580,5511,621,2882,9011,4216,301,2777,7296,1616,51,2376,4046,242,11,1183,1434,26275,6093,23558,55922,7,211,8418,8640,384,1599,5102,7085,6397,3582,5771,15744,9723,2261,4368,16348,10932,2135,5456,18518,11060,1357,5408,17827,8956,689,4837,14487,3920,156,3480,7558,747,27,1625,2401,52121,12020,44465,108605
CED108,3,28,6026,6058,178,376,5290,5844,4576,1268,5643,11496,7103,933,2696,10728,6352,769,2509,9630,5416,488,1967,7869,3568,224,1244,5035,1361,60,603,2020,264,12,202,475,28829,4156,26174,59155,12,60,5626,5694,491,502,4707,5699,6427,1353,4864,12649,7182,940,3082,11208,6097,756,3221,10066,4966,444,3024,8431,2786,166,2491,5438,859,29,1562,2447,112,3,654,769,28926,4251,29228,62405,19,85,11656,11756,669,878,9996,11546,11010,2617,10515,24141,14282,1875,5780,21938,12451,1522,5726,19693,10383,927,4990,16302,6354,389,3729,10477,2217,89,2160,4468,375,14,853,1243,57753,8402,55405,121562
CED109,3,9,3780,3794,49,198,3330,3580,2511,1512,3362,7386,5476,936,1990,8399,5761,785,2134,8681,5164,519,1850,7529,4198,259,1254,5707,2508,96,738,3340,816,31,526,1367,26487,4336,18961,49785,4,24,3665,3691,117,363,2963,3441,3444,1617,2967,8035,6078,902,2090,9066,6014,775,2485,9278,5056,482,2612,8150,3773,191,2386,6346,1895,54,2203,4146,397,10,1715,2126,26773,4420,23092,54286,8,34,7450,7483,161,565,6296,7020,5960,3135,6332,15417,11551,1836,4077,17463,11778,1559,4623,17957,10220,994,4461,15679,7968,445,3642,12059,4402,150,2940,7489,1210,42,2239,3490,53261,8752,42052,104068
CED110,3,50,4190,4246,100,464,2484,3047,1909,1384,2751,6045,3713,1175,2084,6970,4513,1153,2845,8505,5584,1094,3353,10020,6038,619,2417,9080,3324,192,1384,4904,896,31,590,1521,26069,6170,22095,54333,4,110,3843,3961,187,676,2127,2989,2619,1497,2686,6805,4173,1226,2628,8026,5109,1246,3455,9819,5910,1060,3984,10951,5431,468,3593,9494,2524,131,2963,5616,439,12,1846,2296,26414,6429,27119,59953,6,164,8034,8205,285,1147,4607,6037,4527,2886,5431,12846,7884,2398,4717,15002,9620,2407,6296,18322,11497,2148,7331,20979,11471,1087,6008,18567,5852,320,4342,10513,1336,51,2435,3822,52482,12593,49214,114290
CED111,0,55,4465,4517,98,470,5167,5730,2800,1706,4593,9094,5503,1104,2303,8913,5555,919,2633,9106,5077,609,2297,7988,4167,226,1436,5829,2439,91,903,3429,682,13,476,1171,26317,5186,24276,55782,8,77,4106,4196,228,696,4245,5168,3793,1799,3360,8954,5915,1104,2380,9397,5693,901,2877,9474,5106,546,2984,8638,3749,198,2386,6325,1845,51,2297,4190,313,8,1508,1836,26648,5384,26147,58177,4,133,8571,8713,319,1165,9410,10896,6594,3502,7951,18043,11421,2203,4685,18306,11249,1823,5506,18583,10185,1158,5285,16634,7912,424,3820,12159,4281,137,3197,7624,995,26,1986,3004,52966,10566,50418,113954
CED112,3,33,4561,4604,124,449,3358,3934,2609,1649,3181,7444,4671,1256,2214,8149,5153,1116,2598,8877,5077,687,2302,8066,4398,378,1771,6549,2484,146,1018,3645,666,20,577,1260,25190,5738,21583,52508,6,67,4349,4424,220,722,3007,3948,3432,1737,2921,8096,5161,1253,2699,9117,5258,1098,3224,9577,5138,652,3330,9117,4053,305,3067,7424,1855,76,2581,4515,338,14,1556,1909,25455,5936,26737,58132,9,102,8911,9024,344,1173,6371,7884,6045,3387,6103,15532,9833,2517,4917,17265,10411,2215,5828,18456,10214,1335,5634,17184,8449,689,4832,13971,4337,219,3603,8163,1000,33,2131,3164,50647,11674,48324,110635
CED113,0,45,3870,3910,65,478,2413,2958,2308,1537,2720,6566,4477,1272,1816,7563,5599,1272,2517,9390,5759,1032,2600,9395,4839,512,1774,7128,2217,122,914,3257,456,18,383,856,25732,6285,19012,51029,6,104,3576,3679,208,702,2027,2934,3089,1654,2235,6977,5068,1283,1879,8229,5957,1361,2608,9930,5796,932,2742,9469,4154,371,2274,6800,1494,78,1759,3335,223,9,1052,1289,25992,6489,20149,52637,7,148,7443,7595,277,1180,4444,5894,5398,3192,4952,13539,9543,2557,3697,15798,11559,2634,5128,19318,11558,1963,5347,18859,8989,883,4049,13925,3714,201,2672,6587,681,28,1438,2146,51727,12782,39163,103668
CED114,8,70,4333,4410,105,634,3023,3756,2776,1714,3122,7611,4696,1071,2089,7862,5450,981,2651,9073,6122,789,2726,9629,5164,367,1940,7469,2710,118,1189,4018,664,15,515,1194,27697,5741,21581,55019,7,134,3965,4114,253,910,2440,3605,3633,1733,2791,8150,5187,1103,2216,8508,5927,1013,2667,9606,6144,672,2748,9570,4649,292,2512,7450,1963,70,2479,4511,294,8,1325,1627,28054,5935,23149,57134,12,206,8300,8523,356,1541,5466,7362,6412,3441,5911,15761,9884,2174,4313,16369,11369,1990,5313,18679,12266,1460,5477,19201,9808,657,4446,14917,4681,185,3670,8530,957,24,1840,2825,55750,11674,44730,112154
