CED_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
CED101,1904,4107,2895,22255,493,31655,8,25,12,251,5,301,30313,322,504,406,216,31755,1324,129,112,397,20,1979,354,108,78,181,3,732,6094,3121,2094,19439,502,31251,2440,71,265,30,30,2838,334,59,39,221,11,659,926,246,164,1467,50,2857,5019,826,457,2468,60,8840,327,55,23,71,3,476,3264,83,79,35,19,3475,1463,881,571,8217,121,11250,2780,788,377,2020,57,6022,678,6,37,11,3,738,4804,869,423,892,78,7069,2762,366,217,612,24,3991,624,167,96,298,14,1202,1008,114,69,29,23,1245,570,193,104,83,16,971,551,79,55,135,3,821,483,31,23,62,6,609,1337,770,519,5167,88,7885,444,47,24,41,4,563,308,46,34,24,4,421,931,73,57,69,13,1146,269,25,16,15,0,322,289,44,21,39,0,393,3143,46,107,37,27,3360,184,94,32,218,8,537,18829,1409,1132,1337,203,22912,765,78,74,376,5954,7248,85061,9398,6523,47160,7664,155806
CED102,2587,3219,2387,12663,321,21178,13,53,12,233,12,315,33082,254,477,337,271,34412,895,90,56,137,9,1181,336,109,60,155,4,671,6597,2314,1693,11042,386,22033,3620,72,285,46,49,4075,427,67,48,136,8,687,1039,240,127,1047,37,2486,11458,1298,701,3619,170,17249,412,50,34,67,11,570,4144,86,37,39,31,4339,1655,847,555,5645,106,8804,4710,833,402,1988,132,8061,843,6,25,3,8,886,7871,1181,561,1105,135,10854,4887,345,229,550,53,6073,722,159,89,275,15,1264,923,96,59,37,5,1125,564,174,114,41,15,911,579,68,58,120,4,833,726,32,47,41,9,857,1334,564,431,3116,60,5500,789,58,38,48,7,943,230,24,27,12,9,302,1424,50,56,104,18,1658,222,12,4,11,0,251,638,75,31,63,13,818,3687,45,102,30,44,3903,143,56,30,175,4,415,29586,1472,1208,1319,296,33880,1120,106,59,312,9513,11104,115406,8956,6238,30873,11372,172850
CED103,1532,4140,3382,20234,388,29681,5,10,3,93,0,110,42171,514,818,542,301,44341,679,83,62,166,8,995,578,181,91,227,8,1094,7583,3463,2419,18149,380,31996,2864,47,211,47,20,3194,451,71,60,186,7,782,1171,292,243,1566,39,3309,1360,230,145,789,22,2542,356,68,24,78,5,536,8279,98,120,67,30,8586,1899,1013,698,8247,133,11985,4487,1079,492,2701,100,8864,9639,65,103,33,50,9884,1929,346,236,634,17,3159,213,22,19,50,7,303,351,73,82,248,5,766,239,50,28,18,3,337,575,198,157,79,9,1020,679,99,63,154,8,1002,669,32,64,62,3,828,1669,948,614,5616,89,8943,418,33,12,30,0,489,450,76,36,23,3,591,851,41,38,59,9,994,1503,38,19,18,9,1589,341,22,22,12,3,400,1341,37,47,19,8,1457,238,89,51,314,6,696,18674,1225,1151,1265,177,22498,633,46,49,277,6107,7113,103438,8775,6844,42265,7624,168948
CED104,1244,5740,4259,29488,359,41091,6,6,9,85,0,108,16547,254,544,358,148,17845,426,79,57,160,9,733,1103,332,168,422,9,2036,11230,4883,3501,26820,467,46905,1501,48,137,36,17,1733,427,90,58,347,13,934,1510,424,314,2234,39,4517,638,138,86,415,6,1292,343,71,40,88,3,542,6084,130,103,53,31,6399,2362,1210,849,10311,109,14841,2619,700,317,2120,55,5812,2610,9,59,9,15,2704,1670,309,222,629,25,2841,47,7,13,19,0,84,510,164,82,380,7,1147,171,46,22,19,3,262,729,325,232,126,3,1420,786,97,90,186,7,1160,642,44,59,115,5,863,2410,1234,890,7962,115,12610,180,27,13,37,0,262,1180,121,85,17,5,1410,642,45,43,82,0,814,1576,64,37,18,4,1704,181,17,4,10,0,215,598,14,43,11,0,665,465,105,69,391,5,1038,11387,1225,1110,1338,94,15159,374,47,43,371,4908,5743,62279,10421,7830,58466,6135,145136
CED105,4679,3102,1568,10013,496,19850,0,13,5,132,3,159,22374,104,244,170,207,23102,850,61,30,147,14,1101,160,31,18,45,5,260,5721,1604,936,8006,377,16653,2323,40,134,25,38,2554,287,17,12,89,13,417,732,123,59,627,29,1567,2611,370,202,720,40,3938,188,26,13,29,4,263,4907,35,34,28,40,5044,673,361,223,2953,58,4261,2441,467,185,940,66,4091,2361,3,27,3,15,2411,19977,4178,1548,2723,340,28776,1934,181,76,174,31,2399,448,71,41,161,9,731,604,50,41,29,19,740,291,66,49,38,6,454,725,66,28,106,16,935,424,25,20,41,9,520,655,300,173,1761,46,2930,315,20,21,14,0,371,113,15,16,5,0,152,648,27,29,38,6,747,810,10,11,4,4,845,3938,346,209,225,71,4791,16586,88,190,101,162,17128,73,20,16,81,3,190,38574,1554,924,912,423,42394,2067,201,99,348,9622,12340,125886,9602,5018,22271,11855,174634
CED106,1440,5838,4718,24092,314,36404,0,0,0,63,0,69,29613,453,910,647,210,31840,370,75,38,180,5,667,1135,252,156,358,13,1908,14387,5018,3685,23026,454,46571,1689,36,144,24,10,1903,609,93,83,318,7,1108,1994,437,344,1855,32,4667,669,196,95,433,9,1399,525,67,65,92,7,745,5939,126,89,53,29,6236,2888,1341,1008,9709,105,15057,1796,527,302,1261,39,3921,5395,21,139,27,12,5598,404,111,40,217,11,791,80,11,5,25,0,126,183,71,48,135,8,445,126,31,12,12,0,180,929,281,224,87,0,1525,817,97,93,135,4,1152,902,71,73,124,9,1168,3087,1197,948,7828,100,13159,199,17,24,39,3,276,2665,165,140,40,14,3028,691,47,56,64,7,860,946,56,35,20,9,1059,159,14,0,7,0,186,771,24,61,12,7,870,527,108,88,355,4,1080,16189,1270,1412,1331,133,20334,518,61,44,247,5786,6650,84483,10465,8701,49571,7034,160255
CED107,453,4146,2932,62773,1388,71695,3,30,15,928,20,996,736,46,57,402,15,1254,176,51,12,77,4,315,791,294,197,665,23,1967,5529,3853,2897,51826,1294,65393,562,15,168,37,19,795,156,53,34,409,5,652,951,357,268,4076,110,5762,219,73,27,251,10,577,167,36,14,68,5,292,914,41,21,36,5,1013,1115,943,614,18359,326,21368,724,324,150,1602,29,2830,120,11,7,14,0,152,139,55,21,112,11,343,33,14,5,6,0,66,211,86,59,290,8,654,249,113,56,75,12,499,380,214,147,162,10,915,333,92,45,212,8,698,154,41,41,97,0,336,1512,1003,758,12354,262,15885,88,16,11,34,3,152,239,32,40,20,3,342,184,17,9,95,5,311,100,10,9,18,0,144,36,7,0,7,0,51,163,3,18,7,0,191,235,99,68,488,20,907,3266,693,446,1334,64,5806,215,63,51,1620,13389,15329,16475,7515,5373,115721,16218,161298
CED108,3581,4423,2847,26452,777,38082,4,107,33,886,19,1051,4962,55,141,161,40,5360,983,104,57,197,15,1359,535,172,111,282,10,1111,7831,3111,2111,20121,756,33932,19230,294,677,88,162,20447,348,40,20,132,3,544,1500,327,173,1474,76,3554,826,192,79,383,25,1505,460,52,21,85,7,625,15196,98,86,75,108,15562,1295,653,462,5817,122,8347,1444,413,182,1099,46,3185,592,0,4,3,3,605,1717,370,174,265,32,2555,196,20,10,30,0,260,2378,423,240,1110,46,4196,1671,188,148,88,56,2154,734,188,118,102,21,1170,930,76,58,195,7,1271,263,23,17,60,10,374,1526,625,500,3999,98,6738,486,33,17,24,6,569,337,40,35,19,0,432,1873,53,47,59,22,2059,1107,23,10,11,3,1159,1105,108,75,71,9,1364,804,26,22,15,3,870,119,46,37,164,4,368,37469,1774,1042,1186,453,41930,1739,102,107,638,8508,11097,98873,8514,5807,47162,10894,171249
CED109,1037,4933,3691,32100,523,42278,6,30,12,167,0,220,6079,154,253,304,56,6847,855,161,74,329,12,1429,636,199,113,327,17,1289,7823,4403,3057,29729,596,45610,1021,38,203,20,20,1300,446,98,54,377,10,980,1177,360,261,2263,42,4104,6156,1008,596,3207,74,11047,273,53,29,97,4,466,1333,61,59,33,6,1502,2126,1166,838,11843,177,16147,3160,829,395,2621,71,7073,213,3,20,16,3,255,1447,278,147,429,16,2316,1360,162,74,343,3,1946,798,195,109,478,13,1588,654,173,75,41,13,955,601,237,192,88,11,1129,577,94,59,210,8,951,726,40,51,100,12,926,1895,1001,707,7612,126,11338,518,57,29,67,10,677,381,67,59,36,0,549,847,52,73,124,17,1111,110,17,15,22,0,164,293,49,30,20,3,398,471,7,39,11,4,537,310,114,65,378,7,868,9641,1364,1129,1751,132,14016,343,69,37,612,6281,7341,45513,10489,7412,67818,7836,139062
CED110,571,5207,3550,56498,1286,67116,0,40,30,1628,54,1752,669,77,80,311,21,1151,147,33,21,56,3,253,1045,318,184,499,16,2058,9085,4949,3416,49422,1260,68129,564,16,166,33,23,795,322,74,52,445,12,902,1312,382,323,4411,93,6516,180,107,27,263,14,593,207,62,21,81,6,377,771,42,46,67,4,933,1827,1117,699,16406,299,20352,756,364,124,1674,45,2962,70,3,3,8,0,81,69,38,8,119,3,250,32,3,3,19,0,54,231,76,55,267,7,642,236,89,55,91,7,477,479,288,194,143,14,1120,344,80,39,189,9,667,180,38,26,82,3,324,2134,1193,937,12062,240,16557,37,7,11,15,0,69,257,49,43,37,0,391,298,36,38,195,9,574,68,7,0,6,0,78,40,11,0,12,0,66,139,8,16,6,0,173,351,118,67,466,6,1011,4427,884,658,1491,115,7582,269,79,48,1416,10975,12785,22016,9294,6404,107867,13748,159321
