CED_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
CED101,3,9,0,64,41,25,26,19,5,189,0,7,3,44,55,76,138,150,49,513,3,11,9,35,17,9,3,0,0,85,3,12,20,71,47,30,19,10,3,219,6,9,54,331,308,228,201,77,15,1226,3,18,31,183,84,98,55,28,3,500,0,0,0,3,6,32,50,21,10,121,0,0,3,29,13,17,15,7,3,82,0,3,7,15,14,4,6,4,0,55,12,36,404,1207,29,17,13,4,0,1717,0,0,5,11,3,7,16,11,6,60,14,90,207,418,244,169,82,18,11,1246,0,0,0,4,10,6,12,4,0,45,9,14,29,111,20,22,7,0,0,211,0,0,0,12,9,7,0,4,0,36,15,48,88,399,129,83,22,9,0,803,0,0,4,52,7,31,4,7,14,120,0,3,4,18,31,39,37,20,14,170,3,8,15,44,21,27,11,10,0,138,3,5,22,82,46,39,31,20,3,239
CED102,3,14,12,142,52,20,24,13,4,275,3,5,20,110,68,140,250,303,144,1044,3,3,19,63,13,10,9,3,0,123,0,11,32,154,33,29,14,16,0,290,9,35,75,548,509,403,274,114,26,1997,0,11,40,264,69,87,61,24,4,560,0,0,0,3,9,28,73,32,13,160,0,0,0,26,13,15,10,11,0,80,0,0,15,25,14,13,7,3,0,74,10,76,867,2444,68,26,10,3,0,3504,0,0,3,16,12,4,14,13,3,60,11,68,173,561,253,217,67,13,5,1366,0,5,3,23,4,3,3,6,0,52,4,9,44,147,32,22,0,3,0,251,0,0,3,13,9,11,3,3,3,46,17,80,112,682,188,119,71,13,8,1278,0,0,0,108,22,19,14,3,3,177,0,0,7,29,29,33,16,11,6,132,0,21,30,82,23,32,17,6,0,205,0,3,25,70,45,24,18,4,0,190
CED103,3,11,3,103,63,39,19,15,11,264,8,16,19,93,84,149,249,243,118,972,4,28,28,69,34,24,17,3,0,218,35,217,499,1588,590,418,207,71,8,3643,3,6,4,83,120,112,133,67,17,546,13,39,96,418,146,167,129,45,6,1065,0,0,0,3,4,17,30,18,5,83,0,0,11,24,13,16,6,9,0,78,0,0,13,44,25,15,18,4,8,129,0,7,52,220,4,0,0,0,0,288,0,3,4,17,22,7,27,15,13,114,14,84,129,357,201,184,88,37,10,1096,0,0,0,8,7,9,8,7,0,38,10,23,57,204,27,19,9,3,0,344,0,0,3,17,21,13,6,4,4,72,10,103,94,547,118,110,64,12,3,1062,0,0,5,55,19,40,25,3,5,152,0,3,7,38,36,52,49,32,18,228,15,63,61,124,38,44,24,8,0,379,12,9,38,174,81,41,52,11,4,427
CED104,0,6,5,59,60,35,37,20,3,227,0,3,4,19,45,111,165,117,42,507,7,16,19,32,14,9,10,3,0,112,0,71,118,303,192,141,61,26,0,920,0,0,15,63,87,86,72,56,12,375,0,39,79,179,125,157,155,46,3,783,0,0,0,0,15,25,32,13,3,85,0,0,0,11,14,20,0,3,3,52,0,0,5,9,12,11,4,11,0,57,3,3,9,66,19,3,3,0,0,102,0,7,18,30,50,34,49,36,18,240,9,66,114,261,273,203,138,64,12,1134,0,3,3,12,11,13,5,10,0,65,0,10,33,54,47,28,11,0,0,191,0,0,0,11,23,18,7,3,0,62,7,25,43,153,109,86,42,15,4,482,0,0,3,29,17,52,36,5,4,152,0,16,10,41,63,59,66,49,17,325,8,54,42,57,45,49,29,14,3,301,10,93,163,257,217,155,65,35,9,990
CED105,0,4,5,22,8,14,23,7,3,94,0,3,8,20,50,81,160,195,92,609,0,3,0,11,3,4,0,3,0,27,3,33,107,428,151,112,62,42,4,937,21,96,263,1870,1242,1000,737,244,54,5516,9,16,54,165,30,61,25,4,3,361,0,0,0,4,3,16,46,41,9,124,0,0,3,29,19,31,18,10,3,124,0,6,43,172,82,55,16,6,0,385,4,25,373,1136,23,13,3,3,0,1587,0,0,6,8,0,4,13,7,8,40,25,137,188,341,120,101,42,7,3,958,0,0,0,0,3,3,5,0,0,11,72,208,509,1582,210,83,19,3,0,2683,0,0,3,7,4,4,4,0,0,25,5,43,89,317,156,116,62,20,0,806,0,0,6,23,17,41,29,17,23,155,0,0,0,11,8,22,25,9,16,89,5,4,7,24,3,18,7,4,0,69,0,0,0,25,22,16,15,10,0,88
CED106,0,21,12,83,69,41,31,17,3,270,0,3,6,21,25,51,71,78,47,308,17,86,54,176,98,50,28,13,0,537,15,189,275,780,353,191,102,45,11,1969,0,0,3,19,27,31,31,14,8,125,5,45,68,297,157,150,116,49,10,891,0,0,0,3,5,3,3,3,3,24,0,0,3,21,6,11,7,0,3,45,0,0,0,15,11,3,10,3,7,53,3,9,73,313,16,6,6,0,0,430,0,20,22,33,44,29,39,30,18,235,15,118,179,276,325,238,134,80,23,1384,0,0,0,11,15,4,14,12,0,55,7,11,4,84,18,23,9,4,0,162,0,0,3,24,60,39,23,29,3,181,8,45,58,329,65,47,31,6,0,590,0,8,4,37,12,41,19,10,3,138,0,9,11,48,85,60,56,48,28,348,16,117,85,105,67,39,30,11,3,481,26,189,250,498,467,377,189,84,22,2113
CED107,0,14,0,40,18,12,29,11,0,120,0,0,0,6,17,41,40,27,13,139,0,3,5,0,5,0,0,0,0,14,0,10,12,38,5,5,0,0,0,67,0,0,6,14,10,13,7,3,0,58,0,4,6,24,14,12,3,3,0,60,0,0,0,0,3,15,21,3,0,41,0,0,0,7,0,3,3,0,0,13,0,0,3,7,0,0,0,0,0,7,0,4,5,64,11,0,0,0,0,83,0,0,3,6,19,30,69,44,9,180,11,36,72,241,177,146,100,44,7,830,0,0,0,0,11,4,7,3,3,28,0,3,3,35,3,0,0,0,0,45,0,0,0,14,10,0,0,3,0,33,8,40,40,61,20,14,4,3,0,189,0,0,0,6,0,11,10,6,4,47,0,8,4,26,33,54,70,28,12,235,0,0,0,9,6,0,3,3,0,23,0,28,22,60,41,28,24,13,3,213
CED108,0,12,7,34,18,24,33,12,3,135,0,3,5,21,32,46,87,55,21,274,0,3,3,4,0,3,0,0,0,12,0,9,21,71,37,40,28,8,10,217,0,5,15,148,82,92,81,24,6,453,4,10,11,57,27,41,17,5,3,176,0,0,0,19,36,172,266,121,21,637,0,0,4,33,25,39,36,20,3,158,0,3,18,67,50,20,14,6,0,181,0,22,34,216,20,5,4,0,0,306,0,3,3,9,8,27,42,19,9,120,54,346,552,860,287,188,71,19,0,2376,0,0,0,7,11,13,10,7,3,45,47,153,196,725,225,110,41,13,3,1505,0,0,0,7,9,4,0,0,0,23,44,334,730,2576,1371,1137,515,99,33,6839,0,3,3,36,18,54,36,22,40,210,0,0,3,15,44,66,50,39,8,230,4,15,8,15,14,20,12,0,0,81,0,5,17,76,50,36,25,7,5,222
CED109,3,20,3,97,43,25,24,18,12,247,0,0,12,49,53,100,131,139,47,526,0,4,4,22,11,9,0,0,0,51,0,4,6,24,9,7,3,4,0,62,0,3,4,72,84,57,73,22,9,319,0,4,8,35,29,32,42,14,3,169,0,0,3,8,7,30,55,41,10,151,0,0,0,3,10,12,3,0,0,27,0,0,0,7,6,0,4,0,0,19,0,8,12,45,7,0,0,0,0,74,0,3,4,17,6,17,40,21,19,130,9,55,91,436,204,169,88,28,13,1088,0,0,5,15,13,8,13,5,5,59,0,7,11,19,15,3,3,0,0,51,0,0,0,8,18,5,3,5,3,41,4,30,35,123,47,39,0,7,0,284,0,0,3,46,14,20,12,10,0,104,0,4,4,47,38,42,57,38,16,253,0,8,13,20,10,15,17,3,0,85,3,10,32,103,71,42,36,14,0,310
CED110,3,10,3,69,18,19,34,7,12,180,0,3,4,12,6,14,63,36,12,154,0,7,9,5,6,0,0,3,0,34,0,4,12,11,5,0,0,0,0,29,0,0,0,8,5,4,7,3,0,21,13,9,6,18,8,16,7,0,0,81,0,0,0,0,0,6,22,16,3,49,0,0,0,0,3,0,0,3,0,5,0,13,29,70,30,4,4,5,3,144,0,3,3,14,0,0,0,0,0,18,0,0,0,11,15,40,97,64,20,248,0,34,49,241,184,219,163,86,18,1000,0,4,0,12,9,7,18,16,0,65,3,8,8,7,8,3,0,0,0,41,0,0,10,23,17,10,3,0,0,60,3,16,24,38,12,8,3,5,0,117,0,0,0,3,3,5,9,5,5,38,0,12,6,26,39,73,104,67,28,359,0,5,0,9,10,0,4,0,0,31,0,16,15,64,49,38,48,21,5,259
