CED_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
CED101,0,0,0,11,20,25,18,15,3,91,0,3,8,42,17,16,20,4,0,122,7,11,19,131,8,17,9,3,0,198,3,6,38,99,30,16,6,0,0,208,3,6,12,136,168,181,145,74,10,738,0,0,4,23,23,23,10,9,0,97,4,20,26,57,24,24,14,7,0,172,3,16,57,341,289,231,85,40,14,1079,0,3,0,16,9,10,3,5,0,50,0,0,5,19,12,5,3,0,0,40,20,77,197,866,475,394,279,168,60,2525,180,339,406,993,481,461,365,250,126,3599,4854,9212,10381,21205,9952,8985,6071,3598,1513,75773,0,0,0,3,3,0,0,0,0,11,4236,7565,6700,9964,4781,4036,3048,2280,1805,44409,3,18,65,199,18,7,0,0,0,309,0,0,4,49,53,26,19,12,0,165,0,0,0,25,6,5,0,4,0,41,3,9,9,37,12,6,8,3,0,87,0,7,0,49,38,29,36,16,0,176
CED102,0,0,3,18,21,28,30,17,8,125,0,4,9,56,14,15,12,6,3,115,0,7,15,166,11,15,6,0,0,213,3,22,41,239,39,24,8,3,0,374,3,8,33,218,240,381,420,201,67,1576,0,3,12,79,58,35,24,9,8,226,12,36,22,100,41,19,9,7,0,243,18,29,141,490,236,264,113,29,15,1328,0,0,3,11,6,6,4,0,0,35,3,3,9,24,8,0,0,0,0,43,42,114,389,2136,652,561,504,263,111,4774,285,447,645,1934,662,554,423,357,248,5552,5341,8993,11544,29981,10241,8273,5916,3854,1582,85720,0,0,0,7,3,0,0,0,0,14,4440,6887,6317,10541,4097,2411,1405,930,869,37902,10,24,157,598,53,23,3,0,0,877,0,0,3,32,19,30,12,12,0,119,0,3,3,24,14,19,3,0,3,69,0,3,3,47,12,7,3,0,3,84,0,0,10,58,49,48,42,20,0,236
CED103,0,0,0,21,13,21,15,11,5,79,10,35,58,304,146,146,95,40,9,847,5,29,71,251,44,42,30,10,0,487,3,6,37,105,27,19,4,3,0,199,0,4,3,12,9,12,16,0,0,54,0,0,0,42,28,15,19,8,3,118,14,56,55,121,61,26,21,6,5,354,8,15,69,219,105,92,23,20,4,559,0,0,6,13,17,9,10,7,4,73,0,4,13,45,11,9,3,0,0,81,61,143,211,1093,439,324,230,163,56,2708,177,257,418,1140,442,372,286,195,117,3410,5144,9429,11748,26010,10362,8823,5896,3406,1551,82368,3,0,5,52,38,34,13,3,3,153,4389,7026,6524,8764,4370,3607,2559,2097,1636,40972,0,16,44,148,16,8,3,0,0,246,0,0,3,19,8,6,8,4,0,47,0,3,7,20,10,3,6,0,0,58,3,4,19,57,24,22,7,0,0,142,0,0,5,32,21,20,28,8,0,119
CED104,0,0,0,3,8,8,11,3,3,37,3,29,58,196,189,211,103,29,8,831,4,9,31,106,35,45,33,3,0,262,0,4,21,29,14,15,0,0,0,81,0,0,0,0,0,0,0,0,0,8,0,3,3,12,17,17,0,0,0,49,8,71,59,105,64,50,27,9,3,390,0,10,11,65,65,50,26,0,0,226,3,7,6,19,30,13,20,5,0,103,0,3,5,35,25,24,11,0,0,111,16,104,152,427,363,277,242,147,63,1788,106,233,267,624,386,324,281,199,83,2511,4094,10412,10158,15431,10556,9262,6704,3389,1298,71298,0,0,0,29,15,16,12,3,0,81,3419,8416,7395,8831,6110,5046,3988,2249,1473,46925,0,0,3,24,21,9,8,3,0,70,0,0,0,10,6,0,0,0,0,21,0,0,3,9,6,6,0,0,0,29,3,12,21,56,43,21,16,4,7,182,0,0,3,11,22,15,25,4,6,84
CED105,0,0,0,10,18,20,17,18,0,74,4,23,96,432,118,93,52,21,12,854,3,4,37,261,4,8,9,0,0,330,0,11,37,84,7,10,3,5,0,162,0,3,11,68,120,167,161,70,14,619,3,21,62,320,346,223,140,60,9,1178,6,16,27,39,9,14,3,0,0,114,34,115,466,1846,1579,1543,522,197,85,6378,0,0,0,0,3,0,7,0,4,18,0,5,11,20,4,4,0,0,0,47,69,272,479,1643,777,546,394,204,103,4485,396,678,769,1768,727,613,475,268,108,5799,6791,12133,13355,27767,10327,8823,5744,2935,1196,89077,11,81,197,413,91,47,11,11,3,854,5829,9153,7477,8356,2076,1875,1450,983,980,38182,4,22,66,367,37,14,0,0,0,510,0,0,11,47,26,31,27,16,0,158,0,5,9,54,59,48,38,15,3,234,3,3,11,11,4,0,0,0,0,38,0,0,0,22,34,35,30,10,0,132
CED106,0,0,0,8,16,14,3,13,0,45,6,5,16,131,98,65,37,18,12,390,13,22,56,331,53,67,62,12,0,608,6,22,24,97,22,9,4,3,0,183,0,0,0,3,7,0,0,0,0,17,0,3,3,16,23,15,3,4,3,67,25,150,94,117,115,68,40,16,7,628,5,3,8,130,54,39,8,3,3,260,0,4,0,16,25,18,16,4,5,92,0,3,11,57,43,39,14,4,0,165,31,191,162,709,428,304,211,169,85,2283,144,313,385,733,423,309,259,190,172,2945,4640,11808,10283,18523,11157,8403,6275,3944,1909,76948,0,0,3,13,12,4,0,0,0,36,3827,8391,6774,7213,5288,3959,3539,2679,1966,43635,0,0,3,26,3,0,4,0,0,40,0,0,0,3,3,6,0,0,0,14,0,0,3,9,6,5,0,0,0,29,3,26,24,70,55,34,25,7,0,244,0,0,0,20,24,15,28,7,3,101
CED107,0,0,0,0,11,6,10,9,0,39,0,6,5,26,12,9,0,0,0,63,0,0,6,4,3,3,0,0,0,14,0,4,9,27,3,0,0,0,0,52,0,0,0,4,7,3,3,3,0,18,0,0,0,12,4,0,0,0,0,17,0,19,18,35,23,17,21,9,0,138,0,3,7,56,23,11,0,0,0,104,0,0,0,8,17,4,24,9,0,60,0,14,8,28,12,15,3,0,0,73,3,27,44,174,93,122,119,92,21,687,331,672,819,1582,1050,1038,998,515,175,7188,5437,11173,10176,18986,10536,10277,8555,4204,1288,80634,0,0,0,6,0,0,0,0,0,6,4706,9388,8344,15473,8595,8161,6496,3667,1733,66563,0,3,4,20,0,0,0,0,0,31,0,0,0,4,3,3,4,0,0,8,0,0,0,11,0,0,0,0,0,16,0,3,10,35,18,11,6,3,3,98,0,0,0,0,3,7,3,0,0,15
CED108,0,0,0,13,21,31,32,31,5,129,6,48,60,340,111,89,61,20,7,747,0,0,5,20,5,3,3,0,0,37,0,9,21,37,6,6,6,0,0,89,0,0,7,7,5,13,9,9,0,52,3,4,24,81,87,53,45,17,0,314,3,23,23,41,14,21,3,0,0,141,0,0,5,81,67,64,23,5,7,251,0,0,0,5,0,3,10,6,0,26,0,0,8,15,8,10,0,0,0,48,29,303,590,1467,903,740,436,221,71,4758,430,739,785,1397,714,612,451,217,74,5405,6954,13275,12870,24092,10421,8472,5482,2288,652,84513,3,25,108,281,79,64,24,5,0,594,5924,9734,8069,10171,4048,3184,2270,1134,432,44969,16,58,40,471,65,31,10,3,0,696,0,0,12,32,24,31,15,9,0,132,0,0,3,30,5,8,6,0,0,54,0,8,6,21,6,6,0,0,0,48,0,0,4,47,39,45,36,10,7,184
CED109,0,0,0,7,17,15,11,15,0,73,0,0,0,8,12,15,8,0,3,46,0,3,0,14,0,9,9,0,0,37,0,9,19,34,9,0,0,0,0,76,4,0,12,53,88,86,56,27,6,334,3,0,11,34,20,12,21,9,3,108,4,24,16,71,42,18,19,6,5,208,0,3,4,36,38,30,20,3,0,138,0,3,6,20,23,17,19,8,0,88,0,3,0,20,8,3,3,0,0,42,17,93,102,682,367,287,302,154,57,2069,150,310,350,1096,494,492,414,246,140,3694,4297,8573,7936,17438,9387,8196,6276,3730,1666,67499,0,0,0,0,0,0,0,0,0,0,3691,7329,6602,12826,6392,5588,4085,2927,2056,51486,4,3,7,31,10,6,0,0,0,58,0,0,4,39,18,20,5,9,0,91,0,0,0,14,7,7,4,0,0,41,0,9,13,70,33,27,7,4,3,162,0,0,8,33,39,29,39,5,3,156
CED110,0,0,0,3,3,10,8,3,3,32,0,0,4,10,10,0,5,0,0,27,0,3,7,15,3,0,3,0,0,28,4,12,18,9,3,0,0,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,0,17,6,16,8,54,25,38,59,15,0,225,0,0,0,24,13,4,0,0,0,44,0,3,4,21,16,15,15,15,8,97,0,5,0,18,10,12,12,3,0,57,20,93,85,208,131,138,163,103,40,974,217,514,550,1135,860,1071,975,638,274,6232,4117,9777,8393,15168,9698,11519,10538,5740,2088,77043,0,11,23,24,12,3,0,0,0,72,3743,8473,6989,13143,8472,9602,8043,4796,2495,65761,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,3,0,3,0,8,0,3,3,8,3,0,0,0,0,11,3,0,3,46,26,35,23,5,5,150,0,0,0,10,9,3,5,0,0,26
