CED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
CED101,0,4,8,18,24,27,39,19,4,0,11,4,3,4,0,169,11,27,90,109,400,3392,4972,3551,596,624,704,829,774,411,622,17113,0,7,133,301,26,58,41,8,0,0,0,7,0,0,18,599,3,69,123,281,104,346,207,167,32,39,37,33,31,14,27,1519,0,0,12,36,112,299,170,72,7,6,15,15,14,4,28,794,0,102,52,44,35,25,47,26,0,7,14,10,10,3,8,372,3,128,701,566,73,68,50,15,29,36,28,11,8,3,59,1785,0,5,20,112,475,1227,603,188,27,39,50,56,36,33,63,2942,0,15,10,88,108,329,509,490,68,59,71,113,134,62,44,2107,0,3,3,38,129,276,611,276,38,26,40,28,35,12,32,1545,0,0,0,10,9,34,44,24,11,15,16,0,9,0,3,179,0,0,0,4,9,30,67,23,5,13,13,9,0,0,0,181,5,11,25,65,29,59,55,29
CED102,0,3,4,15,24,37,35,25,9,5,3,6,11,11,3,189,9,56,122,174,518,3695,4847,4086,778,866,951,1191,1241,635,770,19935,0,9,132,198,25,55,40,11,0,0,4,4,0,4,19,510,0,56,192,360,95,255,112,122,18,29,45,15,30,3,63,1389,0,0,10,46,168,293,205,70,15,11,15,19,7,15,42,921,0,39,37,45,46,32,50,33,3,13,7,8,13,4,15,338,6,392,2515,1582,217,96,61,46,26,77,68,47,44,21,263,5463,0,3,32,108,454,921,465,177,38,47,55,57,54,18,56,2489,3,4,7,108,54,206,432,627,139,172,232,234,318,255,85,2888,4,3,8,31,212,344,677,360,71,51,49,85,62,44,35,2030,0,0,0,5,14,42,37,60,13,34,42,16,10,3,11,288,0,0,0,6,9,32,57,23,0,5,3,3,0,4,0,148,0,5,10,59,15,80,89,64
CED103,0,0,12,40,36,46,53,39,11,8,14,4,10,9,7,284,7,67,105,111,412,3320,5446,4591,1008,1073,1262,1663,1675,884,902,22527,0,7,85,149,10,24,26,7,0,0,0,0,3,0,8,325,0,33,64,118,33,96,37,23,4,10,5,8,20,3,16,468,3,10,12,43,94,146,123,37,9,15,6,13,11,7,30,550,3,93,76,53,30,42,75,63,12,17,10,9,15,10,14,510,0,52,192,122,21,11,11,0,3,4,3,3,3,3,22,457,5,9,41,178,770,2287,962,282,74,96,72,98,101,57,105,5141,0,15,27,146,203,745,1100,1148,245,319,408,547,719,538,175,6344,0,15,12,58,149,235,543,244,36,58,49,61,79,55,29,1625,0,3,6,106,220,374,257,272,97,151,189,69,124,40,35,1934,0,0,7,24,29,40,70,35,4,0,3,33,20,5,3,267,0,5,37,53,37,120,85,70
CED104,0,6,18,61,57,63,57,30,4,4,6,6,3,4,13,337,6,28,81,51,144,1272,2237,1383,220,274,248,285,301,143,219,6901,0,7,44,75,9,21,12,0,0,0,0,0,0,0,7,181,0,22,32,87,10,48,33,15,0,3,3,0,0,0,11,261,3,0,13,36,79,115,79,25,0,6,3,0,3,0,6,370,8,126,120,91,62,58,83,62,3,3,3,9,8,4,15,665,0,25,61,45,5,10,7,0,4,0,0,0,0,0,6,167,5,4,23,68,296,1179,458,118,17,25,12,30,11,6,44,2299,3,13,19,179,223,871,1394,680,93,74,64,98,92,60,84,3964,3,10,15,33,89,132,180,49,8,6,13,4,8,3,10,553,0,4,0,34,116,285,204,189,45,46,25,22,35,5,14,1025,0,0,3,4,8,11,20,3,0,0,0,0,0,0,0,63,0,8,30,67,40,100,91,49
CED105,0,0,0,9,3,7,18,11,3,0,0,0,8,11,5,72,3,15,99,59,297,2151,2934,2749,380,382,416,474,383,214,406,10955,0,10,108,270,19,34,19,3,0,0,3,5,0,0,12,483,0,19,41,155,65,157,155,194,25,44,53,54,54,24,74,1120,0,0,11,32,129,331,217,107,13,17,33,16,26,9,59,997,3,168,61,32,20,23,40,16,0,3,7,3,0,3,18,390,3,63,470,393,65,39,18,3,11,24,15,7,10,3,49,1167,0,0,8,22,117,286,168,71,9,14,19,36,25,11,21,811,0,7,11,80,65,202,479,1095,114,149,201,350,343,198,115,3403,0,0,0,17,82,163,271,134,30,12,12,9,15,4,39,781,0,0,0,4,18,56,177,102,42,132,165,14,16,14,49,781,0,0,0,18,20,200,940,332,117,106,148,98,79,8,65,2130,3,7,10,54,14,14,18,11
CED106,4,4,16,76,50,69,124,60,8,11,24,12,15,9,17,494,24,77,119,100,325,2079,3742,2862,531,672,685,838,884,467,575,13965,0,7,45,41,3,26,3,3,0,0,3,0,0,0,8,134,3,24,51,45,15,21,11,5,0,6,5,3,3,6,7,206,8,7,17,21,45,60,47,19,10,5,9,3,0,0,4,260,21,98,83,71,56,54,133,77,9,20,11,14,15,15,24,698,0,24,46,36,4,7,6,0,0,0,4,0,0,0,0,133,6,22,74,185,687,1705,784,307,52,75,80,90,111,44,93,4316,5,32,41,203,223,516,860,841,146,188,233,251,358,244,98,4246,0,15,19,61,93,166,332,112,24,18,24,30,10,8,19,936,0,3,7,55,216,342,281,404,149,137,122,67,134,50,49,2014,0,0,0,12,3,3,17,3,0,3,0,0,0,0,0,46,0,10,27,51,43,121,87,77
CED107,0,4,3,19,23,13,27,27,7,3,8,9,3,6,7,155,0,5,25,13,37,40,66,70,19,20,14,12,13,6,56,396,0,7,27,50,3,3,6,0,0,0,0,0,0,0,6,100,0,6,3,3,0,5,11,8,0,6,0,0,0,0,5,54,0,0,5,6,14,38,23,14,3,3,0,0,5,0,19,138,3,196,93,55,34,38,11,14,3,4,0,0,3,0,20,463,0,13,36,25,3,0,3,0,0,0,0,0,0,0,9,97,0,0,5,15,22,8,5,5,0,0,0,6,3,3,12,86,0,5,7,22,8,21,56,218,53,110,48,42,46,29,25,695,0,4,10,3,3,5,14,9,3,3,0,0,0,7,4,69,0,0,0,0,3,4,15,8,10,12,3,0,8,0,9,66,0,0,0,3,0,4,6,16,0,0,0,3,0,0,25,62,0,11,20,47,13,25,28,26
CED108,0,3,0,14,10,17,29,7,0,0,0,0,3,7,4,85,0,12,19,14,68,354,430,424,54,50,57,70,48,29,59,1674,0,14,59,253,40,72,55,0,0,0,0,0,3,0,13,514,0,15,29,165,52,279,212,146,28,39,66,49,31,11,28,1154,0,0,3,37,270,1323,1619,697,128,103,110,92,64,54,101,4604,0,183,100,76,35,27,25,15,3,0,0,3,0,0,15,487,0,26,124,114,23,23,20,13,0,6,4,0,0,0,10,360,0,0,6,14,36,109,46,22,7,3,6,0,6,3,13,275,0,3,6,112,107,619,2230,3858,338,323,418,496,428,297,227,9473,0,8,12,18,78,141,225,64,13,0,3,3,8,3,20,604,0,0,0,15,37,78,86,62,58,51,52,16,15,7,8,483,0,0,0,12,24,157,464,262,88,60,123,51,103,32,24,1406,0,5,20,81,14,41,10,28
CED109,0,3,5,34,26,31,88,26,5,9,9,8,5,7,3,266,3,23,32,31,76,896,913,467,89,72,105,64,104,43,92,3012,0,9,89,152,13,44,21,3,0,0,0,0,0,0,8,333,0,97,185,328,112,252,113,67,14,9,15,11,19,5,38,1271,3,0,3,28,63,93,66,23,0,5,0,0,0,3,5,316,7,110,85,60,50,22,73,40,9,14,3,10,4,7,11,503,4,183,940,564,69,39,35,21,13,41,26,24,12,9,71,2066,3,0,18,51,138,250,96,30,5,3,8,5,9,9,9,629,0,13,17,91,40,80,132,160,36,42,31,21,46,25,26,754,0,6,15,27,53,97,100,43,10,7,3,0,4,3,8,375,0,0,0,8,18,24,16,30,11,3,7,3,0,4,0,117,0,0,3,4,6,31,19,3,0,0,0,0,0,0,0,72,0,11,31,74,39,100,83,67
CED110,0,0,23,50,33,39,54,26,3,4,3,12,17,7,7,274,6,8,18,6,6,39,56,66,12,10,8,4,18,10,26,302,0,3,12,22,0,0,3,0,0,0,0,0,0,0,0,51,0,12,24,13,0,5,14,11,5,3,6,0,4,0,6,103,3,5,17,20,21,38,30,21,0,3,4,7,0,0,4,179,4,204,149,91,98,62,55,31,4,3,7,9,4,3,35,750,0,10,17,11,3,0,6,0,0,0,0,0,0,0,3,49,3,3,12,22,19,11,11,7,0,0,0,4,3,3,4,104,0,23,19,48,31,53,62,202,23,58,44,46,26,15,20,657,0,7,4,4,5,7,10,13,3,4,6,0,0,0,3,81,0,0,0,0,4,3,3,5,3,9,6,14,0,0,0,61,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,18,0,7,18,69,30,32,46,64
