CED_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
CED101,0,0,0,3,7,3132,190,141,16,23,24,13,20,13,135,3703,322,3,0,0,0,0,0,0,0,39,364,344,3,3,0,0,0,0,0,0,22,375,412,25,21,4,0,0,4,0,0,65,531,11,0,0,0,0,0,0,0,0,9,15,766,32,21,4,0,0,0,0,0,92,923,3,0,0,0,0,0,0,0,0,0,6,1093,32,21,4,0,0,0,0,0,128,1289,7614,1155,970,224,192,214,164,172,121,372,11193,17595,5076,6200,974,1103,1307,1588,1476,852,768,36930,5920,1322,1600,326,375,466,540,565,397,669,12176,150,24,24,4,3,12,13,4,6,31,268,23669,6416,7821,1301,1478,1779,2131,2043,1259,1467,49378,20,3,9,3,0,0,0,3,5,24,70,31300,7578,8799,1523,1671,1990,2295,2216,1385,1869,60637
CED102,0,0,0,12,12,5274,146,110,15,18,13,11,14,12,349,5948,230,3,0,0,0,0,0,0,0,40,269,560,3,6,0,0,0,0,0,0,84,646,880,23,23,0,4,0,3,0,0,171,1099,15,0,0,0,0,0,0,0,0,15,27,1455,26,22,0,4,0,3,0,0,264,1781,0,0,0,0,0,0,0,0,0,3,3,1686,23,25,0,4,0,3,0,0,307,2053,7365,1302,1367,334,299,359,299,358,212,451,12351,23119,6167,9668,1618,2010,2684,3110,3309,2065,1545,55299,9073,1200,1574,346,448,577,699,932,792,1107,16754,220,40,51,9,8,14,10,22,19,84,478,32411,7399,11287,1979,2469,3279,3821,4266,2882,2745,72535,18,9,3,3,3,0,3,9,7,51,104,39800,8711,12658,2319,2771,3639,4125,4627,3099,3250,84998
CED103,0,0,0,14,18,3172,180,154,23,12,25,18,30,13,158,3788,359,10,4,0,0,0,0,0,0,46,412,414,10,3,0,0,0,0,3,0,36,458,442,35,12,3,0,0,3,0,0,38,533,3,0,0,0,0,0,0,0,0,8,8,853,43,11,7,0,3,4,6,0,76,1008,9,0,0,0,0,0,0,0,0,19,20,1222,50,14,6,0,3,3,6,0,138,1445,9377,1596,1455,333,354,346,350,385,265,434,14881,20572,7579,8999,1875,2195,2444,2838,3059,1685,1157,52397,4668,1277,1728,424,522,632,842,1052,737,858,12731,136,44,44,5,8,12,14,19,11,37,340,25373,8893,10766,2301,2723,3094,3691,4134,2434,2056,65466,39,9,3,3,0,3,0,3,8,65,141,34785,10496,12221,2645,3075,3436,4045,4516,2710,2560,80491
CED104,0,0,0,33,44,2346,112,94,21,17,13,14,13,12,154,2796,466,9,4,0,0,0,0,3,0,30,510,242,11,3,0,4,0,0,0,0,19,277,170,17,5,3,0,0,3,0,3,52,256,3,0,0,0,0,0,0,0,0,0,4,412,30,7,3,4,0,3,0,3,69,533,14,0,0,0,0,0,0,0,0,94,105,890,31,15,3,4,0,3,8,3,192,1144,12412,2316,1978,314,283,250,230,215,141,411,18552,12890,4283,3714,524,595,507,540,507,282,356,24204,1602,459,555,147,164,140,199,213,136,273,3884,87,20,16,3,3,0,10,3,4,8,152,14584,4763,4281,673,757,647,750,726,416,640,28237,32,0,3,0,0,0,0,4,0,147,185,27030,7082,6260,988,1048,895,984,944,555,1194,46976
CED105,0,0,0,3,6,3633,173,99,14,27,14,14,14,15,188,4180,227,0,0,0,0,0,0,0,0,34,267,425,3,3,0,0,0,0,0,0,65,496,676,27,13,7,0,0,0,0,0,67,793,12,0,0,0,0,0,0,0,0,3,13,1112,36,9,7,0,0,0,0,0,131,1304,0,0,0,0,0,0,0,0,0,4,3,1341,36,9,7,0,0,0,0,0,174,1573,4710,713,632,111,114,197,181,152,113,316,7240,24962,6839,8536,1523,2108,2477,2400,2153,1238,1418,53666,11497,2507,3309,707,1095,1338,1105,1083,749,1107,24488,208,80,77,22,33,36,32,18,10,53,569,36665,9425,11918,2249,3247,3851,3536,3259,2003,2582,78724,35,4,9,3,3,3,6,7,7,473,547,41410,10140,12553,2364,3362,4053,3725,3412,2120,3367,86509
CED106,0,0,0,10,12,3056,149,138,32,9,19,19,24,6,116,3568,696,29,20,6,0,0,0,0,0,81,833,350,3,5,0,0,0,0,0,0,27,391,202,16,11,0,0,4,3,3,0,15,254,12,0,0,0,0,0,0,0,0,0,13,564,22,12,3,0,4,3,0,0,44,653,10,0,0,0,0,0,0,0,0,9,21,1268,52,33,9,0,3,3,0,0,134,1504,14607,3532,3115,639,560,583,525,579,286,640,25071,14345,5668,6738,1261,1393,1504,1613,1622,929,705,35776,2299,717,1097,250,355,429,474,643,492,594,7343,86,15,33,10,11,3,11,10,6,14,196,16729,6401,7864,1520,1752,1934,2098,2281,1431,1307,43316,26,4,3,0,0,3,0,3,0,35,69,31361,9939,10983,2163,2314,2516,2619,2860,1720,1982,68457
CED107,0,0,0,0,9,1148,12,14,0,4,0,0,0,0,65,1243,278,8,0,0,0,0,0,0,0,21,306,81,0,0,0,0,0,0,0,0,13,96,14,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,3,3,102,0,0,0,0,0,0,0,0,18,124,3,0,0,0,0,0,0,0,0,4,6,376,8,3,0,0,0,0,0,0,46,432,6411,537,584,97,154,140,83,73,63,352,8484,1424,428,838,188,270,154,138,172,83,122,3817,153,47,82,22,26,24,38,52,43,48,521,20,0,8,0,0,7,0,0,4,5,46,1594,472,932,208,293,184,181,219,131,168,4389,26,0,0,0,0,0,0,3,0,429,459,8036,1010,1514,309,456,325,261,293,186,946,13335
CED108,0,0,0,0,12,2448,121,103,9,14,11,12,8,12,97,2827,228,3,3,0,0,3,0,0,0,15,253,414,8,6,0,0,0,0,0,0,20,450,396,11,14,0,0,0,0,0,0,38,469,18,0,0,0,0,0,0,0,0,0,16,826,21,22,0,3,0,0,0,0,62,932,4,0,0,0,0,0,0,0,0,3,8,1054,20,21,0,3,3,0,0,0,86,1188,9210,1740,1544,228,302,292,224,234,115,538,14426,20810,8023,10238,1508,1500,1560,1540,1364,764,930,48231,3192,757,1004,234,268,301,327,365,339,354,7137,221,74,79,18,19,19,12,14,4,28,478,24221,8849,11317,1761,1781,1878,1878,1739,1100,1313,55842,50,5,16,3,4,3,3,8,5,60,157,33479,10596,12877,1990,2088,2173,2105,1978,1227,1911,70419
CED109,0,0,0,6,6,2674,47,36,0,3,12,6,4,0,102,2884,411,3,0,0,0,0,0,0,0,45,469,309,0,0,0,0,0,0,0,0,23,332,216,10,8,0,0,0,0,0,0,16,251,9,0,0,0,0,0,0,0,0,3,16,539,15,8,0,0,0,0,0,0,39,600,10,0,0,0,0,0,0,0,0,4,13,957,17,5,0,0,0,0,0,0,97,1075,8928,1225,1173,266,273,245,251,186,104,401,13046,9260,1542,1579,316,371,354,360,312,184,351,14635,1761,224,252,55,60,83,73,115,89,127,2846,79,6,6,3,0,3,3,4,4,13,129,11105,1768,1840,381,433,439,437,433,276,490,17611,21,3,0,0,0,0,0,0,0,22,49,20054,2994,3015,642,703,689,689,619,382,919,30702
CED110,0,0,0,14,22,2074,39,31,5,3,0,3,7,5,92,2255,603,11,3,0,0,0,0,0,0,70,689,117,0,0,0,0,0,0,0,0,19,139,21,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,0,0,0,5,139,5,0,0,0,0,0,0,0,25,169,17,0,0,0,0,0,0,0,0,13,31,763,18,3,0,0,0,3,0,0,102,888,10153,885,922,159,195,178,128,152,70,530,13380,1676,443,822,171,225,205,238,191,102,131,4206,129,43,103,34,47,69,81,115,99,42,765,24,8,9,0,3,3,3,4,3,7,70,1827,500,930,199,273,283,321,315,204,184,5041,50,6,0,0,0,0,0,0,0,78,137,12028,1391,1857,361,466,463,454,473,276,797,18560
