CED_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
CED101,2817,352,4,7,360,8,3182,488,3546,194,24,3766,0,4254,9,264,201,3,468,0,478,3,9,0,0,10,0,12,506,3813,402,32,4238,0,4750,6,3,0,0,3,7,18,3327,4172,404,38,4606,17,7951,3028,292,0,0,295,3,3328,459,2867,181,18,3067,0,3520,19,234,216,0,455,0,470,4,8,5,4,15,0,20,473,3111,398,25,3538,0,4010,14,0,0,0,0,6,13,3512,3402,401,25,3830,10,7356,1689,149,0,0,150,8,1843,233,1476,112,8,1594,0,1827,8,125,137,0,263,0,271,0,3,0,3,8,0,7,240,1606,246,9,1862,0,2105,3,0,0,0,0,3,5,1929,1758,246,14,2014,7,3951,1105,88,0,0,88,3,1192,157,946,85,4,1039,0,1193,3,83,114,0,203,0,207,0,6,3,0,4,0,9,162,1032,205,4,1244,3,1404,3,3,0,0,3,3,5,1266,1119,205,4,1332,11,2604,1498,80,0,3
CED102,2324,357,3,3,369,0,2692,485,4548,202,22,4778,0,5259,5,351,229,3,585,0,593,0,14,0,5,26,0,28,488,4923,439,34,5387,0,5880,3,8,0,0,8,10,17,2815,5290,438,39,5767,13,8590,2178,291,5,3,304,0,2486,401,3504,175,21,3701,0,4102,5,291,220,0,509,0,517,0,20,3,7,35,0,35,410,3816,396,34,4241,0,4648,4,5,0,0,4,8,17,2591,4117,404,32,4548,16,7154,1044,157,3,0,157,0,1198,229,1800,95,7,1901,0,2127,6,160,168,0,326,0,334,0,12,0,11,14,0,17,240,1965,266,17,2242,0,2486,3,6,0,0,7,4,14,1283,2125,271,15,2411,8,3698,631,71,0,0,78,0,706,115,1127,74,3,1203,0,1319,7,108,122,0,226,0,231,3,7,0,0,4,0,12,122,1235,196,3,1433,0,1555,0,0,0,0,0,4,5,752,1313,198,3,1507,3,2262,821,115,0,0
CED103,2917,276,6,3,278,0,3202,621,4205,192,18,4421,0,5043,7,383,153,7,535,0,544,0,25,4,7,30,0,31,626,4611,345,28,4988,0,5618,5,3,0,0,3,13,14,3549,4887,353,35,5271,17,8835,3187,275,8,0,280,3,3475,521,3324,174,15,3508,0,4022,8,326,195,5,529,0,534,3,11,3,0,10,0,10,531,3651,370,16,4041,0,4575,0,0,0,0,3,5,11,3719,3927,381,19,4325,9,8052,1920,133,3,0,135,0,2057,204,1500,82,8,1589,0,1795,6,178,119,0,298,0,306,0,3,0,0,12,0,12,216,1684,202,9,1894,0,2111,0,0,0,0,0,3,3,2132,1820,202,9,2028,4,4169,1181,61,0,0,62,0,1242,133,911,64,3,973,0,1104,0,116,88,0,197,0,199,3,3,3,4,5,0,9,135,1023,146,3,1181,0,1316,0,0,0,0,0,0,0,1311,1090,148,4,1240,0,2559,1638,64,0,0
CED104,4166,198,3,0,197,3,4370,448,1849,71,3,1927,0,2376,4,104,30,0,132,0,144,3,9,0,3,14,0,16,460,1960,106,6,2070,0,2529,3,8,0,0,8,3,14,4635,2164,104,6,2275,9,6922,5566,193,3,3,204,6,5779,417,2113,100,6,2223,4,2646,3,131,54,3,183,0,188,0,15,0,0,18,0,18,426,2254,155,14,2427,4,2849,8,3,0,0,3,3,22,6003,2455,158,19,2634,19,8650,3362,119,3,3,124,10,3493,205,1188,45,3,1238,0,1442,0,57,39,0,95,0,97,0,9,0,3,12,0,12,208,1251,87,7,1345,0,1547,7,0,0,0,0,3,12,3573,1372,83,10,1468,6,5046,2302,90,0,3,87,0,2398,124,765,15,0,785,0,905,8,39,33,0,69,0,77,0,3,0,0,8,0,8,130,813,43,0,859,0,985,3,0,0,0,0,3,3,2437,897,43,3,950,3,3387,3185,103,3,4
CED105,1250,362,12,0,371,0,1626,285,5946,701,26,6664,0,6953,13,1119,781,8,1909,9,1936,0,31,0,15,43,0,47,296,7096,1487,44,8623,7,8933,4,11,4,6,26,29,55,1555,7467,1498,52,9024,44,10617,1061,276,5,0,285,4,1350,232,5259,609,26,5897,0,6128,10,1034,708,19,1759,3,1776,7,26,4,27,58,3,66,247,6319,1320,73,7716,3,7966,3,12,0,0,15,25,42,1311,6606,1330,71,8010,37,9357,634,120,3,0,122,3,752,124,2751,338,17,3108,0,3234,8,552,426,6,983,5,998,0,19,0,7,34,0,33,131,3328,766,31,4121,5,4263,4,0,0,0,0,9,11,769,3443,767,31,4246,15,5025,376,43,0,0,43,4,423,71,1593,225,6,1828,0,1905,3,348,328,3,680,0,686,0,16,3,5,20,0,20,76,1963,561,18,2537,0,2611,0,0,0,0,0,9,13,451,2007,561,18,2581,18,3048,500,68,4,3
CED106,3542,216,0,0,218,0,3764,541,3110,111,11,3237,0,3777,10,252,119,0,369,0,377,0,9,3,6,18,0,20,552,3368,233,16,3624,0,4168,3,4,0,0,4,5,13,4090,3593,233,18,3848,5,7946,5461,211,0,0,212,5,5674,596,2865,123,17,3001,3,3600,12,248,139,0,383,0,396,0,7,0,0,12,0,13,606,3122,262,15,3397,3,4010,3,3,0,0,3,4,8,6066,3329,258,15,3611,9,9682,3578,110,0,3,111,0,3684,281,1279,57,0,1335,0,1618,7,100,85,0,186,0,190,0,7,0,0,10,0,10,285,1384,144,3,1528,0,1814,0,0,0,0,0,0,3,3864,1494,144,6,1639,4,5502,2354,69,0,0,71,4,2429,182,710,44,0,753,0,932,0,66,76,0,138,0,138,0,0,0,0,0,0,3,181,774,115,0,893,0,1078,0,0,0,0,0,4,3,2533,842,119,3,968,6,3506,3417,99,0,0
CED107,6725,85,7,3,89,7,6823,132,299,5,0,308,3,447,3,26,18,0,37,0,40,0,0,0,0,0,0,3,136,322,21,4,346,3,489,3,3,0,0,3,8,17,6867,408,27,4,439,21,7323,7024,62,0,0,72,9,7100,140,249,11,3,257,3,403,0,26,16,0,42,0,46,0,0,0,0,4,0,8,143,277,25,3,303,3,453,6,0,0,0,0,20,29,7177,342,28,3,374,31,7581,3836,43,3,0,44,7,3883,73,126,3,3,135,0,208,0,4,19,0,21,0,22,0,0,0,0,0,0,0,75,133,21,3,160,0,231,9,0,0,0,0,23,33,3920,176,22,4,206,24,4150,2420,23,0,0,23,7,2450,49,81,4,0,82,0,134,0,9,6,0,12,0,12,0,0,0,0,0,0,0,55,89,11,0,99,0,148,5,0,0,0,0,10,17,2478,106,11,0,116,10,2608,3115,37,0,0
CED108,3127,343,8,8,362,4,3489,414,4999,161,23,5185,4,5600,9,369,155,6,532,0,539,6,34,3,12,52,0,63,434,5404,315,44,5765,3,6203,8,9,0,0,12,13,37,3564,5759,331,52,6135,26,9727,3026,284,9,5,296,3,3322,320,4855,182,46,5073,4,5402,4,362,200,4,570,0,576,9,21,3,13,35,3,49,340,5232,382,59,5680,6,6026,7,6,0,0,10,26,40,3372,5527,397,62,5988,38,9387,1636,152,0,0,161,0,1792,158,2391,109,23,2524,0,2685,3,178,137,0,313,0,316,3,29,0,9,38,0,40,159,2600,242,34,2874,0,3036,4,3,0,0,3,11,17,1801,2755,247,34,3038,9,4847,1103,92,4,0,96,3,1204,107,1519,75,14,1604,3,1721,11,126,88,3,218,0,230,0,10,0,8,19,0,19,121,1659,161,23,1846,3,1965,6,0,0,0,0,6,12,1227,1753,169,23,1938,10,3175,1444,106,4,0
CED109,4593,293,0,3,295,9,4893,399,1442,27,3,1471,0,1871,7,64,22,0,82,0,90,9,10,0,9,13,0,23,409,1510,44,12,1566,0,1977,7,3,0,0,3,5,14,5017,1807,43,9,1861,16,6889,4579,220,0,5,224,11,4810,340,1410,36,7,1445,3,1790,9,45,20,0,66,0,74,5,9,0,6,13,0,14,358,1463,57,10,1524,3,1883,3,0,0,0,0,3,5,4941,1680,57,13,1752,14,6705,2609,106,6,0,113,4,2721,196,784,29,0,812,0,1012,3,36,19,0,49,0,55,0,7,0,0,3,0,8,199,822,41,4,870,0,1068,0,0,0,0,0,4,5,2808,929,47,8,984,6,3798,1644,69,0,0,64,0,1710,107,531,32,0,558,0,668,3,20,8,0,32,0,30,0,0,0,3,7,0,7,108,551,40,3,593,0,702,0,0,0,0,0,0,3,1754,612,41,4,658,4,2417,2179,96,0,0
CED110,4796,92,0,0,93,7,4896,164,288,9,0,301,0,467,4,26,56,0,78,0,83,0,0,0,0,3,0,4,163,315,65,4,387,0,550,8,4,0,0,3,6,20,4976,406,69,7,479,19,5474,5489,105,3,3,109,12,5617,153,256,11,0,271,0,423,3,23,42,0,62,0,68,3,0,0,0,3,0,4,160,280,54,4,340,0,494,17,0,0,0,0,6,23,5665,385,58,5,446,18,6132,3166,44,0,0,44,10,3221,89,139,7,0,149,0,241,0,10,17,0,30,0,30,0,0,0,0,0,0,0,89,145,25,0,174,0,264,5,0,0,0,0,6,12,3264,196,25,0,220,16,3504,1991,23,0,3,22,5,2018,64,73,0,0,75,0,135,0,10,21,0,24,0,24,0,0,0,0,0,0,0,64,78,26,0,105,0,162,3,0,0,0,0,3,6,2053,105,26,3,128,6,2190,2715,33,0,0
