CED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,22,37,125,221,481,1116,1424,1400,927,5749,7,30,157,113,231,395,329,369,157,1800,349,489,1214,907,1024,1045,992,874,682,7584,4063,10654,22974,20652,20760,18664,12652,8137,4245,122795
CED102,13,52,192,233,614,1395,2544,2458,1016,8521,8,43,215,137,278,519,678,795,306,2984,418,892,2361,1606,1341,1230,1116,1219,1094,11275,4301,13609,34898,24635,21021,17123,12278,8366,3986,140212
CED103,13,57,90,129,251,646,949,1041,684,3859,4,36,140,124,172,255,239,294,184,1455,315,608,1361,1048,869,874,819,778,686,7358,4224,13469,28639,24411,21546,18479,12187,7759,4215,134932
CED104,17,15,39,71,155,331,525,561,411,2122,5,11,42,53,75,79,107,141,93,601,261,277,525,704,796,740,724,802,963,5786,3934,8882,12717,19162,22110,18963,13762,7228,3646,110415
CED105,31,204,764,1087,1530,2037,2014,1629,902,10215,20,203,706,730,1064,1089,846,742,326,5728,618,1027,2222,1662,1558,1315,1134,871,652,11049,5325,14012,30359,22350,20492,17595,11318,6447,3258,131156
CED106,23,11,27,59,106,252,298,407,326,1514,0,15,52,72,87,120,91,119,80,630,412,365,757,792,913,674,746,810,1046,6507,3838,9048,16911,22362,23634,17577,13389,8759,5107,120624
CED107,57,87,222,266,607,1345,1831,1469,891,6777,3,9,27,50,52,81,102,71,26,424,866,1235,2291,2025,2234,2081,2288,1550,682,15244,4741,9320,18842,18947,21256,20597,17164,9094,3614,123571
CED108,57,117,363,520,943,1653,1959,1184,666,7467,13,40,172,267,275,350,343,288,117,1857,708,780,1579,1489,1486,1398,1392,792,292,9908,5961,12524,26031,23454,21091,17483,11428,5223,1974,125163
CED109,10,12,65,101,185,509,954,1057,793,3678,7,3,33,35,58,103,159,160,75,638,296,377,1083,1034,973,1021,1016,948,861,7604,3245,7646,17155,18887,19296,16984,13194,8427,4574,109413
CED110,57,82,253,294,605,1292,1849,1640,1138,7203,15,12,43,72,79,75,89,61,46,494,558,646,1364,1288,1776,2115,2369,2196,1629,13948,3861,7189,14859,16682,20606,23903,21508,12360,5585,126555
CED111,45,79,159,223,391,1017,1560,1883,1156,6508,9,19,77,62,84,140,199,315,160,1068,427,712,1230,987,1157,1248,1385,1277,820,9242,4844,12649,20239,19802,20186,18380,13869,8883,4200,123049
CED112,41,70,209,249,483,1100,1377,1231,861,5627,3,20,21,21,46,92,114,63,33,415,465,541,997,1070,1380,1480,1779,1828,1547,11085,4388,8910,17162,18703,20152,19070,15885,9587,4808,118666
CED113,44,48,146,208,442,1023,1467,1186,682,5244,10,7,22,22,37,61,92,109,44,402,556,625,1454,1514,1957,2050,1859,1413,892,12318,3654,7092,15730,17877,21964,21955,16463,7956,3213,115898
CED114,63,110,265,338,630,1469,2312,2109,1191,8476,9,21,88,93,132,108,164,149,87,848,737,851,1689,1701,1958,2397,2381,2075,1195,14982,4474,8983,18323,18464,21182,22371,18011,10582,4417,126815
CED115,77,142,641,1173,2059,2701,2539,2045,981,12363,25,121,508,753,1523,1837,1210,1018,555,7544,604,827,1854,1614,1612,1596,1245,887,537,10776,5123,12519,23659,20962,21890,20165,12313,6687,2938,126258
CED116,46,49,175,246,461,1181,1822,1526,820,6317,10,3,21,15,30,58,65,78,29,307,535,624,1240,1310,1598,1960,2410,2080,1308,13081,3605,6712,13287,15191,18826,23925,22874,12355,4890,121671
CED117,21,28,85,135,283,616,1265,1524,690,4640,4,21,73,58,122,189,277,454,220,1412,354,841,2819,2132,1649,1342,1074,764,510,11481,2269,10107,30143,26631,20893,15119,10084,5372,2392,123012
CED118,20,56,197,278,506,1017,1263,1010,425,4770,4,34,97,125,176,256,200,223,91,1203,427,601,1707,1542,1206,1072,867,608,407,8438,4699,10254,26918,28946,21131,16358,10379,4732,1705,125132
CED119,14,16,61,108,187,482,773,683,561,2885,5,8,28,39,57,80,96,100,41,446,277,334,654,774,756,679,681,591,506,5256,3856,8772,17351,20818,20164,17163,12191,5691,2827,108832
CED120,27,58,122,202,405,963,1353,977,531,4636,4,13,28,36,54,74,88,86,28,416,506,554,1211,1287,1424,1336,1476,1186,938,9913,4635,8621,18028,19753,20752,18474,14114,6727,2702,113806
CED121,69,95,236,276,595,1348,1621,1301,856,6407,8,16,21,33,53,76,74,56,25,358,483,654,1557,1424,1501,1565,1778,1407,1114,11493,4626,9177,19000,19129,20361,19991,16156,8541,3883,120870
CED122,24,74,121,164,304,698,1218,1388,702,4696,9,24,77,80,122,180,252,353,179,1283,630,1596,3287,2388,1834,1592,1506,1151,751,14742,6012,18208,33613,26208,21319,16387,12254,7548,3511,145059
CED123,38,64,213,281,565,1345,1598,1050,598,5754,3,14,62,88,101,127,152,156,44,756,604,875,2054,1745,1533,1345,1307,872,436,10773,5228,11782,26077,23614,20586,18077,12501,5493,2103,125467
CED124,58,67,155,266,507,1286,2007,1736,1016,7093,8,4,8,27,40,39,63,71,32,293,497,430,807,1058,1549,1919,2472,1989,1214,11929,3520,5690,11104,14168,19213,22971,23025,12286,4813,116783
