CED_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED101,833,3720,285,4832,781,4499,274,5550,1178,9512,638,11333,1420,7962,496,9875,1573,7892,495,9952,1231,7308,444,8985,925,4770,378,6071,436,2847,312,3598,89,1255,171,1513,8457,49764,3490,61707,1112,3211,266,4592,943,3934,266,5141,1556,9492,630,11685,2243,8092,467,10801,2073,8258,511,10845,1475,7760,479,9713,1140,5059,416,6617,587,3581,385,4553,156,2273,303,2735,11283,51660,3738,66685,1946,6930,551,9428,1722,8429,538,10685,2738,19006,1271,23016,3663,16055,963,20678,3642,16145,1005,20792,2707,15067,923,18700,2063,9832,800,12691,1017,6426,701,8149,241,3534,481,4255,19735,101421,7229,128392
CED102,680,3593,336,4610,799,5643,496,6935,1688,14569,1297,17559,1558,10002,869,12421,1345,8242,652,10241,881,6822,570,8273,569,4921,429,5916,262,3179,410,3854,60,1254,269,1582,7851,58213,5323,71383,807,3352,264,4433,1014,5253,461,6723,1930,14272,1217,17411,2042,9439,781,12261,1763,8417,636,10812,1083,7309,521,8913,700,5211,481,6395,335,3728,471,4535,71,1829,509,2408,9747,58813,5343,73902,1495,6947,602,9037,1813,10894,951,13658,3619,28840,2508,34970,3598,19438,1648,24681,3110,16663,1282,21059,1971,14132,1089,17188,1268,10134,911,12313,596,6903,886,8387,129,3084,776,3995,17592,117029,10665,145283
CED103,1173,3626,256,5056,1205,5184,304,6690,1933,11343,738,14015,2234,9181,578,11991,2331,7584,449,10362,1713,6707,397,8823,1160,4423,316,5896,559,2610,239,3406,131,1272,146,1551,12433,51930,3428,67790,1206,3146,219,4563,1471,5022,326,6818,2340,11587,732,14652,3249,8697,492,12441,3026,7773,409,11210,1963,7343,400,9697,1358,4614,346,6320,729,3281,362,4369,207,2111,354,2675,15549,53575,3636,72757,2379,6769,476,9621,2677,10204,628,13511,4273,22935,1472,28675,5482,17877,1068,24430,5354,15363,863,21575,3674,14051,791,18521,2519,9040,661,12216,1285,5889,605,7775,335,3385,501,4224,27981,105503,7064,140551
CED104,1365,3879,246,5497,959,3530,171,4665,1047,5032,311,6384,2198,6457,387,9042,2948,7225,383,10556,2244,6693,330,9262,1652,4755,296,6704,775,2349,265,3389,147,954,197,1298,13338,40875,2587,56798,1533,3334,209,5071,1160,2927,155,4239,1262,4822,257,6336,3328,6466,340,10130,3744,7446,376,11566,2386,7004,335,9722,1946,4804,325,7069,861,2642,340,3850,182,1699,466,2346,16390,41140,2803,60335,2899,7210,453,10565,2122,6461,324,8901,2304,9856,571,12722,5528,12920,723,19177,6691,14673,758,22123,4625,13697,667,18983,3600,9556,621,13779,1633,4993,611,7236,330,2650,665,3645,29727,82016,5389,117135
CED105,637,4679,479,5796,780,6129,645,7556,1340,13386,1492,16213,1092,9480,983,11553,937,8515,870,10327,780,7386,668,8823,502,4739,504,5744,203,2423,315,2935,55,972,167,1196,6324,57706,6123,70150,866,4180,457,5508,878,5163,547,6587,1394,11858,1030,14274,1352,8720,825,10890,1176,8360,728,10265,941,7304,601,8850,600,4570,437,5608,233,2904,400,3534,73,1754,245,2071,7506,54813,5278,67594,1506,8861,943,11308,1662,11289,1190,14140,2732,25239,2521,30490,2444,18197,1806,22447,2111,16878,1600,20595,1723,14686,1270,17678,1103,9304,943,11348,433,5331,710,6474,125,2724,411,3267,13832,112518,11396,137741
CED106,1687,3778,318,5786,959,3373,175,4503,1182,6427,416,8023,2289,7815,396,10500,3292,7414,449,11157,2069,6020,314,8403,1701,4289,282,6275,963,2750,230,3944,238,1437,234,1909,14389,43292,2815,60504,2126,3269,267,5659,1189,3160,220,4569,1535,6985,387,8911,3724,7724,424,11876,4382,7648,457,12488,2421,6442,332,9193,2030,4746,359,7140,1119,3322,379,4825,264,2419,527,3209,18791,45726,3354,67876,3816,7042,585,11445,2148,6531,390,9077,2721,13415,805,16933,6016,15537,827,22375,7676,15065,910,23647,4493,12462,650,17601,3731,9036,644,13418,2078,6071,615,8767,505,3860,756,5117,33178,89022,6176,128377
CED107,934,3680,733,5351,643,3357,825,4821,1338,6716,1570,9628,1835,6287,1237,9356,2214,7085,1236,10536,2178,7055,1046,10277,1946,5591,1018,8555,769,2815,612,4204,139,924,229,1288,12008,43499,8515,64022,1060,3281,659,5004,826,3244,443,4512,1688,6802,732,9218,2800,6054,758,9609,2701,7139,901,10732,2540,6895,888,10326,2432,5240,949,8615,1030,3085,787,4900,215,1716,395,2328,15283,43453,6509,65239,1997,6964,1399,10359,1467,6595,1267,9334,3028,13516,2307,18848,4632,12338,1994,18964,4909,14217,2137,21264,4720,13955,1935,20600,4378,10827,1969,17178,1804,5894,1399,9101,354,2640,626,3617,27295,86950,15022,129260
CED108,775,5125,575,6480,698,5221,470,6391,1222,10451,807,12484,1558,9302,741,11608,1256,8441,734,10421,864,7034,575,8472,529,4457,493,5482,176,1830,284,2288,22,547,83,652,7102,52402,4778,64277,1002,4563,506,6071,965,4837,395,6189,1600,11110,889,13600,1847,9293,771,11910,1512,8522,663,10701,1059,7356,632,9038,610,4750,610,5966,222,2353,368,2935,37,1160,136,1331,8835,53937,4962,67745,1780,9690,1080,12553,1656,10059,861,12584,2822,21555,1697,26077,3402,18597,1510,23514,2759,16965,1397,21123,1920,14386,1212,17517,1137,9207,1106,11451,400,4175,652,5231,52,1705,218,1980,15939,106343,9737,132022
CED109,655,3097,264,4014,552,3163,206,3919,949,6759,562,8269,1375,7246,555,9172,1765,7150,476,9387,1255,6467,479,8196,1048,4810,416,6276,553,2889,285,3730,156,1335,181,1666,8303,42911,3425,54634,851,2797,238,3886,675,2886,189,3743,1187,7143,567,8896,2122,7101,504,9727,2126,7310,475,9918,1413,6920,473,8806,1231,5275,436,6943,722,3585,400,4707,232,2344,342,2913,10566,45355,3624,59544,1506,5893,502,7905,1224,6049,392,7668,2133,13901,1135,17161,3500,14346,1055,18899,3890,14463,956,19306,2666,13389,952,17006,2279,10088,852,13217,1282,6477,689,8441,385,3672,518,4576,18862,88266,7046,114180
CED110,839,3309,558,4701,479,2815,392,3693,992,5409,814,7216,1574,5703,682,7957,2054,6779,864,9698,2418,8072,1032,11519,2332,7194,1009,10538,960,3942,837,5740,161,1478,453,2088,11813,44701,6638,63151,960,2986,488,4429,633,2614,287,3529,1367,5708,579,7655,2294,5883,562,8735,2643,7471,813,10923,2981,8516,886,12389,3024,6882,1065,10973,1315,4239,1075,6631,219,2481,805,3503,15434,46776,6563,68776,1798,6292,1042,9129,1109,5432,678,7220,2358,11118,1397,14874,3862,11585,1241,16687,4701,14244,1673,20619,5397,16597,1918,23905,5364,14076,2076,21518,2277,8181,1913,12372,380,3959,1259,5595,27246,91475,13206,131922
