CED_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED101,2081,565,4255,29517,30774,14164,10894,35232,7811,128392
CED102,1942,790,3995,33433,32753,13290,10247,44414,11150,145283
CED103,1930,583,4224,34467,35793,15988,11456,35369,7472,140551
CED104,1531,738,3645,28534,33213,16494,11690,21450,5749,117135
CED105,1818,474,3267,26214,25288,11462,11915,50808,12061,137741
CED106,2073,818,5117,32230,35140,17184,12062,25300,6457,128377
CED107,1691,703,3617,24653,33103,16160,13620,25525,16202,129260
CED108,1227,245,1980,26362,28379,12273,12243,42171,10590,132022
CED109,2143,615,4576,28461,30229,13083,9457,25259,7690,114180
CED110,2425,1402,5595,23988,34319,17801,14247,27186,14382,131922
CED111,2025,678,4206,29718,34327,15463,11206,28178,9338,128230
CED112,2065,1291,4809,25773,31764,15449,12682,27451,10998,124112
CED113,1281,797,3218,24516,34123,16387,12238,20613,13016,120903
CED114,1954,1084,4422,25792,32950,16228,13193,28651,15764,132590
CED115,1929,308,2947,25273,23864,10968,10786,50687,11327,132904
CED116,1964,1231,4897,22504,33081,18172,14260,24545,13636,126202
CED117,1276,289,2391,36755,36370,11757,6788,23251,11282,126207
CED118,886,260,1711,29787,33784,14662,12237,32262,8770,131500
CED119,1643,271,2827,28275,32648,14883,10469,22882,5218,114365
CED120,1075,762,2705,25766,32201,15504,12556,22856,10293,119176
CED121,1904,806,3882,24276,32490,16461,14397,26989,11523,126136
CED122,1518,671,3521,39387,35385,12678,8482,38761,14878,149570
CED123,1096,332,2105,29029,33835,14483,12229,30526,11084,131195
CED124,2000,1164,4814,20413,30804,17863,15222,24701,12537,121542
CED125,661,289,1445,27649,31017,13497,12067,32345,9534,126110
CED126,2005,918,4599,30296,34262,15233,9634,22372,8003,119796
CED127,1273,397,2641,25710,33296,15642,11946,19942,7971,114511
CED128,1316,410,2522,26248,27143,12106,11514,44675,9606,131291
CED129,1057,279,2203,29847,33358,15718,11786,24499,4803,120008
CED130,1638,861,3784,23469,31928,15867,13394,25240,14561,124455
CED131,1244,1294,3958,31492,35839,14867,10055,25147,9599,127000
CED132,1867,461,3750,38636,38387,14101,8823,25002,9184,134124
CED133,2098,806,4499,23312,34147,18211,15620,25530,14159,130979
CED134,1658,753,3535,21862,29418,14443,12931,27669,16053,122377
CED135,1392,485,2743,31767,33640,14580,12909,44859,12566,150329
CED136,1435,675,3193,24330,32446,16438,13781,26828,10845,124668
CED137,1976,402,3644,37361,35652,14210,10465,42868,13495,154050
CED138,2344,1480,5565,25317,33627,16727,12191,25047,14578,127476
CED139,1940,880,4237,24198,31251,15621,13635,26323,14075,125092
CED140,2004,1009,4747,25960,32288,15215,11568,23520,9453,117999
CED141,1542,816,3838,24480,32287,16183,12245,24879,8148,118216
CED142,634,339,1456,56192,40800,9264,4990,50004,25225,186472
CED143,1305,734,3536,34414,33952,13108,8499,20283,9066,119324
CED144,1886,430,3434,28967,28110,12383,12063,47077,10986,139594
CED145,1652,925,3919,38763,31071,9976,6171,23366,14218,123563
CED146,908,419,1801,27215,27271,11859,11592,42932,10943,131818
CED147,1649,716,3641,25055,31748,16175,13009,27471,9753,123212
CED194,41,26,78,1976,1606,620,412,3500,3428,11545
CED197,5,0,10,23,36,19,40,163,93,374
CED201,1369,385,2603,27978,29631,13079,9697,25757,6052,112194
CED202,1608,623,3412,26466,33608,15865,12874,25038,11099,124957
CED203,1723,820,3953,34862,35733,12961,9219,31590,11985,136350
CED204,1579,907,3757,25241,33313,15876,12866,22467,12624,122395
CED205,1950,628,3812,27867,29055,13578,11093,39383,9552,130519
CED206,1012,351,1893,26749,26747,11803,11218,44649,10788,131960
CED207,1211,448,2548,27549,31674,14641,11313,22222,7985,115387
CED208,1994,828,4788,34545,34527,14527,10099,36865,8778,139344
CED209,1931,662,3978,27732,34468,16722,12666,22002,9371,122969
CED210,1763,842,3961,26398,31119,14674,11717,27725,12044,123675
CED211,1993,781,4369,30102,33281,14685,10417,24607,6929,120018
CED212,1757,614,3702,27591,32367,14525,10535,24977,9999,119996
CED213,1894,1066,4541,26309,33643,16590,12849,25552,11849,126797
CED214,1736,623,3558,33120,35338,13240,10120,33777,11505,137098
CED215,1554,889,3623,21344,29459,15669,13679,23674,14175,117989
CED216,2361,754,5121,32085,33609,14528,9055,22811,7769,119860
CED217,763,194,1332,31342,33562,14359,13582,42817,12918,148579
CED218,1595,556,3576,39849,35467,12413,7757,26381,10225,132082
CED219,1207,298,2108,33355,35492,15062,13312,45094,11750,154064
CED220,1882,749,4156,29012,30505,12790,9509,34082,8423,124324
CED221,1620,854,3755,22464,30948,15374,12180,21957,12073,114998
CED222,1769,703,3458,30775,33099,13340,9678,31911,9479,128284
CED223,1471,644,3368,28528,32788,14907,10146,21593,7205,115161
CED224,2036,527,4377,34037,32830,13942,9149,23760,7463,121182
CED225,971,355,2077,30071,34344,15582,11577,24769,7362,123705
CED226,813,349,1608,37766,43091,18709,16830,45278,13758,175430
CED227,1982,962,4469,21245,27529,14387,12228,24902,13425,113709
CED228,1803,669,3842,32180,31752,13311,10676,38644,12113,138675
CED229,1023,415,2156,35650,42433,18755,16403,35465,12700,161415
CED230,1770,827,3861,27149,34236,17118,15000,27136,12947,133583
CED231,1034,514,2233,58121,44679,11171,6451,47463,21418,189301
CED232,1494,527,2973,44224,37410,10685,6067,27460,15617,141464
CED233,2012,611,4018,27863,29142,14274,10514,26625,6313,114724
CED234,1937,975,4181,22535,28585,14326,12335,26702,14067,118546
CED235,1402,317,2430,29385,30786,13832,11851,40129,9395,135376
CED236,1755,880,3930,20801,27407,14308,12349,22733,12859,110449
CED237,2199,561,4431,37233,37773,13341,9718,33117,11132,142318
CED294,22,12,38,1281,954,324,278,1969,2020,6825
CED297,0,0,0,7,3,3,0,11,3,25
CED301,1081,365,2239,25386,31748,14534,12634,25591,11278,121175
CED302,1469,502,3167,30125,34427,14788,10331,23502,7572,120740
CED303,1403,797,3279,27900,34283,15525,11029,23102,7571,119405
CED304,774,620,2279,43238,38800,12175,7452,26283,13730,141674
CED305,1013,668,2493,23421,30753,14742,13001,22739,14872,119527
CED306,1214,459,2513,25724,33126,15066,12669,24717,14548,125849
CED307,700,471,1794,27623,34593,15377,11297,19026,6568,114482
CED308,1425,701,3054,31761,35932,15321,11528,29977,12747,137276
CED309,1729,720,3752,27415,35816,16808,12415,22763,9783,124998
CED310,1846,723,3950,24806,32096,15300,11572,22339,9295,115405
CED311,790,341,1694,23091,31052,15025,15070,22695,14254,121193
CED312,1174,377,2134,28545,34345,14964,11826,28265,10415,128360
CED313,1198,360,2517,39370,38564,12580,7915,23497,10481,132404
CED314,1347,981,3511,24956,32278,15176,12478,22665,10832,118387
CED315,946,327,1988,29006,35181,14335,11224,25290,12115,127151
CED316,1800,825,3830,20083,28882,15653,14016,26743,11828,117208
CED317,1241,497,2703,22506,30283,15159,13947,25306,16444,123642
CED318,931,475,1998,30350,37267,15129,11469,27809,16843,138861
CED319,1581,929,3961,32349,37144,14702,10161,24511,8956,127817
CED320,939,953,2794,26114,33483,16154,13760,26069,12087,127659
CED321,1467,653,3128,21610,29107,15084,14533,24839,14081,119257
CED322,1698,1064,3983,29769,33486,14196,9978,25910,10772,124120
CED323,1831,933,3976,32773,34112,13432,9040,33024,15517,137892
CED324,1392,529,3046,32261,33830,13909,10116,31343,8735,130188
CED325,626,541,1774,28596,32564,13905,10626,27497,13015,126209
CED326,1772,951,3901,29614,35759,15363,12119,27208,10237,130302
CED327,1063,228,1738,30674,34175,14952,12344,34947,10584,137672
CED328,1059,613,2868,34987,37984,15447,9972,21626,7178,127205
CED329,1359,838,3396,21623,30760,16475,14427,23103,12695,119082
CED330,917,446,2018,25405,33428,16234,13618,22746,12103,123530
CED394,25,11,44,2026,1961,823,592,3533,2759,11693
CED397,0,3,4,23,24,19,6,50,23,144
CED401,2206,505,4292,34819,38674,14603,9107,31886,10345,139437
CED402,1784,845,4071,23758,32116,16627,13435,24549,12157,122642
CED403,2276,678,4909,28549,36553,16650,10417,22508,6794,121475
CED404,1644,743,3613,20620,29284,15579,13740,25162,13257,117645
CED405,2514,1025,5693,30471,36120,15022,9971,28770,8785,129134
CED406,1413,574,2917,26520,34390,15513,11454,23602,8291,119764
CED407,1576,472,3013,27170,34087,15552,11093,27167,7678,122745
CED408,1601,610,3578,23346,34358,17853,13187,18300,8759,115807
CED409,1963,508,3618,28825,34551,14629,11121,36118,9674,134917
CED410,2797,710,5555,28752,34795,16305,10734,27223,6858,124662
CED411,1587,581,3201,26358,34255,16319,13581,30779,11487,132763
CED494,17,0,22,466,435,143,126,850,627,2648
CED497,0,0,0,4,0,0,0,3,0,3
CED501,863,477,2037,26329,32862,14640,13289,27566,12758,127434
CED502,747,462,1842,28663,33485,14655,13120,31580,10471,131971
CED503,1300,627,2976,22510,30332,14902,14142,25178,10828,117896
CED504,1049,249,1850,26426,29904,12881,10580,28851,7567,116205
CED505,1502,694,3824,31798,32626,13647,9499,21167,9288,118026
CED506,666,374,1639,28195,33801,14437,13105,32318,22321,144177
CED507,1139,538,2742,23162,31582,15971,13946,21166,11492,117326
CED508,1001,655,2544,28900,33227,13711,10332,24510,10294,120976
CED509,886,532,2322,24447,30575,14183,12034,24150,11140,116535
CED510,834,324,1954,27969,32666,14818,10678,21197,5968,113296
CED511,1113,637,2787,24180,31433,15480,14206,24069,15914,125274
CED512,604,525,1691,30327,36826,16169,14685,28421,13683,140106
CED513,1404,744,3289,33778,34479,12364,8711,27287,13023,129646
CED514,1219,686,3184,29278,31596,12873,10166,28777,9957,122647
CED515,1613,875,3741,33510,34773,12727,9843,33315,14000,138167
CED516,1559,794,3979,27250,30739,14455,11007,22086,6512,112054
CED594,7,6,23,962,791,327,210,1663,1594,5559
CED597,3,0,3,32,31,10,9,274,81,434
CED601,1266,464,2552,16683,22064,10487,8314,18114,7659,83310
CED602,1057,438,2295,14489,20264,10715,9237,17733,7174,79611
CED603,1159,464,2701,19862,24670,10116,6605,17614,6912,85773
CED604,1129,340,2394,17597,24886,12211,8571,15410,6369,85049
CED605,779,370,1823,14800,21200,11764,10262,18327,8756,85106
CED694,0,0,3,153,152,50,40,256,178,835
CED697,0,0,0,7,6,3,10,36,8,73
CED701,167,78,380,19300,21596,8668,5473,16456,16758,88246
CED702,279,89,560,21598,24495,8407,5931,19159,11122,90714
CED794,0,0,0,334,366,137,92,522,839,2281
CED797,0,0,0,0,0,0,4,43,23,72
CED801,1304,854,3752,40996,51147,20001,11244,26485,12053,161925
CED802,907,492,2449,41665,51442,19633,11538,27662,10300,162247
CED894,3,0,3,133,94,23,10,138,118,506
CED897,0,0,0,0,0,0,0,0,0,0
CED994,0,0,0,5,11,0,3,22,4,46
CED997,0,0,0,0,0,0,0,3,0,6
