CED_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
CED101,3505,2795,1504,1049,1572,1280,660,12370,867,861,456,314,407,210,101,3218,786,748,395,240,295,146,76,2686,2931,3132,1714,1075,1425,785,366,11429,50,40,21,25,11,3,9,152,8135,7582,4092,2699,3716,2427,1213,29861,270,445,327,269,459,371,203,2351,112,177,106,83,111,71,23,695,85,146,102,59,91,37,22,541,358,466,326,251,367,159,69,2002,36,39,24,15,20,9,3,146,865,1274,887,679,1052,645,321,5729,9005,8857,4976,3383,4766,3076,1527,35586
CED102,4179,3082,1668,1087,1755,1333,688,13790,951,927,471,261,353,211,77,3249,922,779,364,203,245,115,51,2684,2724,2541,1297,797,953,460,198,8979,55,49,15,12,14,18,4,168,8828,7377,3822,2365,3317,2137,1023,28866,304,469,340,278,478,360,196,2417,148,215,150,110,123,65,33,834,85,155,102,56,71,42,19,535,286,382,251,157,228,104,43,1453,45,38,31,18,21,11,4,161,863,1255,878,621,924,577,288,5401,9694,8634,4693,2987,4235,2718,1312,34267
CED103,5080,4239,1986,1272,1982,1544,924,17040,714,739,434,237,324,172,89,2709,899,833,395,209,304,182,79,2909,2379,2535,1508,955,1251,738,380,9738,34,19,10,9,10,3,3,92,9113,8360,4334,2690,3870,2646,1474,32488,311,459,290,266,375,347,228,2282,59,110,68,64,95,52,30,483,57,88,41,45,70,34,22,362,172,314,210,171,239,129,67,1308,16,15,12,3,8,0,4,57,608,995,624,556,786,569,358,4493,9722,9354,4958,3241,4659,3215,1831,36980
CED104,2314,2971,1735,1186,1860,1386,757,12202,697,950,557,362,509,250,135,3459,819,858,486,325,448,274,119,3327,3246,4163,2469,1667,2277,1305,612,15740,33,29,21,12,13,4,3,118,7111,8972,5265,3545,5106,3216,1621,34848,83,201,149,125,231,187,117,1091,59,93,74,77,90,45,23,457,23,69,63,52,79,50,15,341,152,364,314,231,330,153,109,1645,13,15,15,6,13,9,0,66,328,733,607,489,730,448,263,3604,7437,9708,5874,4037,5836,3661,1890,38447
CED105,6239,5647,3152,2079,3002,2228,1166,23517,1483,1444,747,434,501,235,82,4926,852,744,380,187,209,92,37,2498,2158,1651,829,423,490,221,103,5870,98,87,52,28,17,12,3,294,10832,9577,5156,3153,4211,2795,1391,37109,659,890,696,546,825,527,378,4524,277,388,222,130,148,59,26,1249,145,174,122,67,76,29,12,618,559,449,251,135,214,50,30,1687,79,109,41,32,32,19,10,323,1716,2013,1327,916,1296,693,451,8400,12548,11584,6484,4067,5506,3486,1838,45513
CED106,4229,4717,2427,1534,2199,1469,840,17411,757,1066,676,418,602,336,171,4029,937,1144,597,353,545,326,161,4051,2271,3227,2165,1436,1994,1137,624,12853,34,23,9,6,18,3,0,100,8224,10179,5871,3755,5352,3274,1785,38446,208,399,332,267,494,342,189,2235,46,85,71,64,106,68,37,469,47,98,74,63,84,49,26,442,103,268,217,176,270,165,92,1289,10,6,6,5,7,3,4,48,413,861,698,574,954,626,347,4476,8643,11039,6576,4328,6304,3900,2135,42925
CED107,387,377,222,145,169,51,9,1357,290,385,222,126,168,30,10,1231,332,366,178,136,174,33,14,1228,6582,6794,3699,2361,3014,573,146,23163,39,49,44,19,19,3,0,171,7621,7964,4370,2781,3540,698,179,27150,36,30,30,31,46,15,0,187,83,116,66,49,92,14,6,429,44,58,52,35,59,14,3,265,1702,1989,1208,783,982,192,40,6901,99,77,39,32,32,5,0,275,1955,2279,1399,928,1200,244,53,8056,9578,10240,5770,3704,4746,945,226,35209
CED108,5894,5954,3108,2007,2955,1883,932,22741,766,689,340,193,241,80,32,2345,675,593,258,166,209,100,44,2038,2495,2298,1247,882,1100,301,129,8444,78,88,38,24,33,9,8,281,9897,9625,4994,3275,4540,2373,1139,35841,497,764,512,387,561,309,207,3233,322,361,190,141,164,51,13,1241,136,172,85,86,100,35,7,614,1652,1674,994,643,684,154,53,5846,133,149,94,43,54,14,7,490,2730,3116,1872,1297,1568,557,289,11429,12631,12740,6865,4573,6103,2932,1427,47271
CED109,1173,1057,634,443,674,496,304,4782,757,773,470,267,351,171,90,2877,801,737,409,221,316,151,82,2725,4367,4364,2425,1587,2017,1074,500,16333,31,22,16,13,9,7,0,94,7127,6957,3955,2530,3375,1895,975,26813,87,145,110,87,123,79,45,679,122,169,117,82,113,48,31,672,64,136,84,53,91,35,12,494,341,583,416,297,445,166,94,2361,30,28,18,15,18,3,0,109,639,1060,746,542,799,336,192,4315,7764,8022,4699,3073,4170,2234,1168,31126
CED110,432,442,280,180,253,56,18,1663,410,492,259,152,211,32,8,1574,399,433,253,139,201,36,13,1472,4391,5008,2887,1822,2473,464,111,17157,34,33,27,17,18,0,0,131,5674,6412,3700,2313,3153,593,148,21992,47,78,85,58,91,44,15,422,126,205,113,91,120,18,10,679,52,105,86,57,85,13,3,408,1570,2147,1317,918,1145,174,46,7324,72,89,55,36,19,3,7,284,1871,2632,1652,1161,1463,252,83,9123,7544,9046,5352,3472,4616,845,235,31116
