CED_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
CED101,..,11195,11195,13610,1130,14742,9373,341,9718,9991,174,10165,4359,68,4428,2490,28,2524,39829,12940,52765
CED102,..,11863,11863,15155,2244,17394,10401,871,11276,9863,390,10250,4205,159,4368,2746,111,2858,42379,15632,58015
CED103,..,12429,12429,15670,1797,17463,10473,674,11146,10758,294,11051,4159,155,4312,2066,121,2183,43126,15464,58587
CED104,..,6744,6744,12446,466,12911,8138,112,8255,10950,47,11001,4767,16,4786,2260,3,2262,38561,7392,45955
CED105,..,9233,9233,10374,994,11368,8456,418,8871,9175,277,9451,5560,215,5775,5385,281,5663,38948,11412,50367
CED106,..,9593,9593,14868,872,15735,9602,211,9808,11730,89,11820,4823,48,4867,1762,26,1787,42782,10840,53619
CED107,..,16436,16436,18627,1415,20043,7908,195,8102,7694,79,7773,3708,27,3737,1737,9,1747,39672,18158,57831
CED108,..,8125,8125,11413,910,12319,9614,166,9780,10084,72,10158,5546,23,5573,4606,16,4621,41260,9325,50580
CED109,..,12636,12636,15141,1176,16320,7735,167,7906,8581,52,8631,3737,9,3749,1451,6,1457,36653,14047,50704
CED110,..,18302,18302,21634,1844,23480,8015,236,8249,6742,72,6815,3118,20,3135,1607,6,1613,41111,20486,61604
CED111,..,14860,14860,16825,1853,18675,8208,659,8862,8795,290,9083,3602,97,3701,1522,61,1587,38950,17818,56765
CED112,..,13845,13845,16705,1396,18096,8268,170,8432,8480,56,8537,4036,25,4057,2010,3,2015,39504,15482,54982
CED113,..,15196,15196,18971,1139,20107,7395,144,7545,7309,38,7344,3225,12,3234,1358,12,1371,38259,16536,54799
CED114,..,17603,17603,20369,1447,21817,7663,237,7897,7499,79,7576,3745,28,3774,1636,20,1655,40912,19417,60325
CED115,..,8360,8360,10872,935,11806,8956,194,9146,9142,78,9215,5137,37,5176,4512,29,4546,38617,9630,48247
CED116,..,16171,16171,22052,1287,23338,7188,127,7312,6408,35,6442,2950,12,2953,1439,3,1442,40037,17629,57667
CED117,..,15784,15784,16437,3104,19545,8626,1338,9963,7741,538,8276,2221,166,2386,839,71,907,35869,20999,56867
CED118,..,7628,7628,11800,841,12646,10393,197,10589,12679,99,12781,5148,58,5206,3100,65,3166,43128,8890,52020
CED119,..,7665,7665,13103,642,13746,8513,83,8593,10769,25,10794,4672,3,4676,1713,5,1710,38763,8429,47189
CED120,..,10176,10176,15507,780,16288,8010,94,8106,8961,19,8975,4411,11,4425,2341,6,2351,39229,11081,50315
CED121,..,13349,13349,18299,1241,19542,8601,140,8743,8463,43,8509,3746,7,3756,1718,6,1724,40829,14785,55614
CED122,..,15979,15979,16644,3582,20221,9507,1641,11144,9378,711,10093,3431,310,3737,1459,169,1625,40418,22386,62803
CED123,..,11170,11170,15163,1263,16426,9690,196,9889,9767,50,9817,4626,18,4642,2867,7,2875,42124,12700,54820
CED124,..,15508,15508,21806,1312,23121,6975,109,7088,6275,30,6303,2941,6,2951,1446,0,1450,39444,16973,56417
CED125,..,8699,8699,13581,862,14439,9409,132,9539,9803,49,9856,4896,18,4912,3441,9,3451,41126,9777,50901
CED126,..,10839,10839,14579,951,15534,7924,215,8136,10278,64,10336,4253,20,4272,1703,7,1713,38736,12093,50828
CED127,..,11771,11771,15388,1143,16533,7831,146,7979,7952,45,7999,3776,14,3793,1843,5,1849,36788,13130,49918
CED128,..,8479,8479,11901,808,12709,8977,192,9168,9623,110,9735,5474,30,5510,4380,43,4416,40349,9662,50016
CED129,..,6228,6228,12065,504,12566,8971,157,9126,12087,58,12142,5331,36,5367,2380,45,2428,40833,7027,47861
CED130,..,16363,16363,19293,1438,20733,7439,229,7665,6809,84,6894,3413,33,3448,1531,18,1553,38484,18165,56655
CED131,..,16982,16982,17328,2495,19828,8371,996,9366,7946,357,8300,3043,113,3154,1120,81,1208,37813,21035,58846
CED132,..,17303,17303,19237,2411,21648,9507,720,10227,8965,174,9143,3122,57,3181,952,21,969,41790,20682,62469
CED133,..,16999,16999,20925,1802,22727,7963,200,8163,6895,64,6959,3396,17,3415,1767,18,1781,40941,19098,60035
CED134,..,16438,16438,18104,1286,19383,7607,166,7782,6675,24,6699,3466,9,3474,1915,0,1914,37775,17927,55700
CED135,..,12615,12615,14558,1816,16374,12129,633,12766,10765,335,11103,4647,161,4807,3103,141,3247,45207,15697,60905
CED136,..,13715,13715,18900,1232,20133,8623,161,8779,8274,34,8307,3694,17,3712,1794,9,1804,41284,15162,56447
CED137,..,12874,12874,17223,2628,19850,10923,1198,12123,10354,573,10927,3864,234,4101,1997,192,2185,44361,17698,62053
CED138,..,16680,16680,19597,2101,21699,7725,403,8129,7172,128,7294,3019,47,3063,1333,17,1342,38850,19370,58217
CED139,..,16189,16189,19306,1317,20622,7465,255,7718,6813,84,6891,3714,19,3738,1825,14,1836,39118,17887,57001
CED140,..,14986,14986,17105,1373,18477,7873,226,8097,7985,54,8039,3209,27,3237,1424,12,1438,37591,16681,54272
CED141,..,13747,13747,18225,1184,19405,8262,153,8410,8374,47,8416,3292,5,3298,1325,11,1339,39478,15140,54618
CED142,..,29228,29228,24348,6976,31323,7674,3122,10793,4822,1826,6644,1311,622,1932,677,492,1170,38838,42266,81100
CED143,..,13859,13859,16231,1844,18079,8020,495,8514,9273,100,9370,3575,40,3613,1075,10,1090,38170,16352,54524
CED144,..,10222,10222,12454,1447,13901,9733,451,10184,9718,271,9994,5292,144,5443,4253,132,4378,41455,12661,54119
CED145,..,17424,17424,16885,3553,20435,7302,1160,8463,6726,407,7140,2498,87,2591,721,45,763,34131,22688,56820
CED146,..,6753,6753,9525,582,10110,8763,96,8858,10951,28,10970,6271,14,6282,4935,4,4933,40439,7473,47915
CED147,..,12545,12545,17669,947,18613,8455,105,8558,8709,38,8747,3829,10,3845,1911,5,1916,40573,13653,54222
CED194,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,..,9074,9074,13470,815,14282,8675,171,8848,9573,65,9636,3578,14,3595,1504,5,1516,36805,10144,46946
CED202,..,16141,16141,18120,1668,19786,7921,343,8266,8073,158,8229,3548,39,3581,1411,19,1431,39070,18367,57439
CED203,..,16820,16820,16743,2830,19574,8956,1247,10205,8683,552,9236,2944,171,3124,1339,126,1462,38674,21750,60427
CED204,..,15818,15818,18544,1555,20102,7809,364,8171,7413,99,7509,3292,40,3331,1330,26,1351,38387,17905,56291
CED205,..,10512,10512,14595,1232,15823,9559,470,10032,9616,303,9914,3816,154,3976,2255,149,2402,39841,12817,52659
CED206,..,8165,8165,12348,740,13088,9031,184,9212,10299,92,10391,5409,51,5458,3828,37,3869,40910,9269,50179
CED207,..,10594,10594,15557,913,16472,8244,117,8359,8806,18,8828,3815,6,3826,1691,6,1698,38120,11654,49773
CED208,..,13579,13579,15266,1938,17206,9531,1266,10792,9836,837,10675,3515,339,3854,1363,248,1613,39508,18209,57713
CED209,..,13492,13492,18004,1108,19117,7638,349,7988,8796,160,8951,3760,88,3847,1284,75,1360,39476,15267,54750
CED210,..,16788,16788,18029,1541,19567,8190,315,8503,7500,114,7614,3149,29,3178,1285,22,1304,38147,18801,56949
CED211,..,13484,13484,15745,1283,17028,8609,310,8916,9378,135,9507,3543,34,3578,1307,16,1324,38583,15262,53847
CED212,..,15122,15122,17115,1346,18460,8328,188,8516,8390,42,8429,3265,24,3285,1196,4,1203,38293,16721,55020
CED213,..,15215,15215,19756,1108,20867,7845,82,7924,7983,23,8010,3434,6,3446,1361,7,1363,40381,16447,56821
CED214,..,15836,15836,17344,2216,19559,9797,791,10586,9301,332,9636,3328,148,3472,1682,128,1805,41446,19456,60896
CED215,..,16385,16385,19221,1212,20438,6968,169,7144,6418,39,6453,2867,12,2878,1136,15,1148,36611,17835,54441
CED216,..,13410,13410,15399,1156,16552,8165,294,8457,10465,94,10561,3778,47,3820,896,28,915,38704,15016,53716
CED217,..,9450,9450,14467,1110,15572,11295,179,11477,13154,54,13205,5959,22,5979,3813,14,3829,48690,10830,59516
CED218,..,19805,19805,18168,3627,21796,7511,1161,8677,7916,347,8258,2920,107,3026,727,49,778,37243,25104,62343
CED219,..,9314,9314,14998,1114,16105,11614,209,11818,13066,102,13167,5880,55,5932,4451,41,4489,50005,10828,60831
CED220,..,11276,11276,14172,1173,15345,9364,454,9813,9738,223,9957,3795,96,3895,1920,76,1996,38989,13302,52285
CED221,..,15298,15298,18911,1221,20129,6758,124,6873,6562,48,6614,2883,19,2903,1112,5,1121,36223,16714,52937
CED222,..,13562,13562,15376,1259,16636,9288,216,9507,9965,93,10057,4025,59,4088,1971,39,2005,40627,15228,55853
CED223,..,11484,11484,15215,999,16210,8363,277,8646,9616,105,9721,3521,39,3558,1083,19,1102,37793,12919,50718
CED224,..,13082,13082,14607,1880,16486,7732,639,8366,9200,262,9459,3781,92,3875,1147,46,1196,36472,15998,52464
CED225,..,8807,8807,14280,895,15179,9010,121,9131,11270,47,11316,4771,5,4778,2088,11,2092,41413,9889,51300
CED226,..,11177,11177,17475,1410,18877,15102,318,15417,15558,133,15684,6551,53,6607,4211,33,4245,58896,13117,72018
CED227,..,16218,16218,17899,1193,19084,6615,192,6805,5964,71,6038,3124,35,3161,1345,24,1373,34948,17726,52681
CED228,..,13851,13851,16030,1641,17669,9504,584,10086,9709,283,9995,4156,110,4264,2228,74,2297,41626,16531,58164
CED229,..,11448,11448,18782,1092,19873,12382,139,12525,14346,52,14397,6403,15,6419,2973,17,2982,54889,12761,67648
CED230,..,15995,15995,20090,1245,21338,8621,135,8756,8560,38,8594,4044,19,4058,1983,7,1990,43296,17438,60734
CED231,..,29756,29756,24309,9328,33636,8685,4086,12765,5649,1568,7218,1656,488,2146,757,206,966,41061,45435,86495
CED232,..,25394,25394,21715,4890,26606,7392,1397,8790,5320,362,5685,1784,90,1881,707,56,759,36921,32190,69108
CED233,..,8368,8368,14243,654,14898,8394,189,8583,9549,71,9616,3987,27,4014,1385,15,1398,37548,9324,46867
CED234,..,15307,15307,18345,1216,19563,6952,153,7105,6548,68,6622,3270,19,3290,1625,20,1644,36746,16783,53532
CED235,..,8926,8926,14807,907,15716,10390,246,10638,11361,159,11526,4881,60,4940,2589,25,2615,44033,10323,54358
CED236,..,15658,15658,17796,1192,18993,6284,181,6463,5827,63,5896,2778,27,2804,1270,26,1288,33950,17151,51098
CED237,..,17221,17221,17872,3190,21057,9346,1467,10813,8963,660,9625,3170,245,3419,1617,131,1747,40963,22907,63876
CED294,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED301,..,11743,11743,16029,1539,17564,8786,245,9026,8187,70,8252,3841,19,3859,2510,6,2521,39352,13622,52975
CED302,..,10798,10798,15418,1388,16801,8932,502,9434,9528,151,9672,3722,55,3783,1680,24,1707,39281,12921,52198
CED303,..,10890,10890,17433,1156,18582,8508,172,8681,8944,47,8988,3605,7,3608,1690,9,1694,40171,12274,52446
CED304,..,20444,20444,18731,4625,23356,7560,1765,9323,6955,722,7676,2582,237,2814,835,127,965,36659,27917,64582
CED305,..,12732,12732,16980,1289,18273,7704,220,7926,7692,68,7763,3477,16,3494,1642,10,1646,37506,14332,51836
CED306,..,13747,13747,18230,1587,19815,8314,304,8615,7873,92,7973,3525,23,3552,1415,12,1433,39360,15768,55127
CED307,..,8268,8268,15240,999,16236,8715,214,8928,9844,44,9881,4089,8,4097,1898,3,1897,39781,9530,49315
CED308,..,12377,12377,19420,2017,21442,9858,436,10294,9588,162,9750,3643,47,3694,1878,29,1902,44386,15075,59458
CED309,..,13160,13160,19528,1849,21372,8225,389,8618,8407,118,8528,3316,23,3340,1418,15,1432,40894,15557,56451
CED310,..,12306,12306,18639,1555,20200,7325,365,7691,7284,99,7383,2958,31,2989,1337,12,1348,37546,14368,51910
CED311,..,12773,12773,17944,1331,19276,7828,203,8026,7905,51,7949,3671,16,3689,1885,15,1894,39225,14389,53614
CED312,..,9746,9746,15602,1511,17111,9603,219,9818,9579,86,9664,4553,14,4566,2915,13,2931,42250,11590,53842
CED313,..,16589,16589,17444,3643,21087,8129,1467,9597,7925,528,8460,2945,182,3126,1023,78,1105,37466,22494,59957
CED314,..,14032,14032,17841,1442,19282,7500,288,7790,7117,88,7206,3518,22,3538,1881,9,1890,37859,15872,53736
CED315,..,13921,13921,17406,2149,19551,8799,472,9278,7937,170,8108,3455,55,3514,1911,18,1935,39508,16788,56302
CED316,..,14605,14605,21024,1639,22660,7011,206,7215,5925,51,5975,2679,13,2696,1433,9,1447,38071,16532,54602
CED317,..,14486,14486,18326,1362,19692,7180,210,7390,6883,56,6947,3298,16,3317,2321,16,2335,38008,16146,54158
CED318,..,16014,16014,18470,2379,20845,8971,459,9430,8057,153,8212,3501,27,3526,2491,34,2527,41495,19064,60555
CED319,..,15772,15772,17872,2346,20216,9231,558,9787,8638,163,8798,3312,39,3352,1357,12,1374,40415,18885,59299
CED320,..,11270,11270,18297,1480,19779,8739,234,8973,8493,80,8573,3985,24,4009,2430,35,2462,41943,13125,55062
CED321,..,15276,15276,19204,1338,20543,7008,180,7193,6455,41,6496,3353,16,3371,1752,3,1753,37775,16857,54631
