CED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED101,30239,93237,2725,5945,6422,19183,9150,25131,2484,4852,4971,11936,5438,13588,49,99,12944,30471,7,16,5,10,0,0,277,694,284,717,144,402,52765,149962,3430,..,56191,149962
CED102,27561,86855,3355,8648,2687,8195,6034,16841,2834,6197,5611,13394,15131,38487,167,413,23749,58484,62,84,0,3,0,5,373,939,438,1033,235,503,58015,163716,4470,..,62482,163716
CED103,30427,95931,3222,7989,5953,15977,9182,23969,1795,3281,8425,18234,8327,19457,30,70,18579,41036,8,12,3,9,3,12,129,315,146,349,260,621,58587,161904,4340,..,62927,161904
CED104,39324,124567,1272,2315,2721,7349,3989,9656,1075,1802,825,1525,331,659,47,88,2285,4074,33,67,74,137,7,34,64,179,175,411,178,419,45955,139130,2828,..,48784,139130
CED105,29689,104123,1559,3933,5516,18779,7081,22714,3948,9806,5272,14807,3710,11663,133,392,13063,36665,0,0,5,8,15,35,296,957,313,999,225,563,50367,165071,3645,..,54011,165071
CED106,33949,108441,536,1165,2005,4631,2537,5797,2071,3808,4590,10022,10298,24894,3,8,16968,38739,4,9,3,4,0,0,44,101,49,116,122,248,53619,153339,3968,..,57586,153339
CED107,50786,130065,3264,5324,628,1093,3898,6419,1589,2403,88,110,21,37,8,16,1703,2560,134,198,73,120,37,86,636,1513,881,1920,566,1073,57831,142041,8473,..,66304,142041
CED108,41540,137453,2024,5683,4320,14182,6341,19867,662,1100,525,1117,1042,2683,27,61,2248,4963,27,46,128,198,41,102,96,303,286,640,164,442,50580,163359,2810,..,53391,163359
CED109,27535,84481,2644,5196,5787,13402,8428,18601,2711,4754,6634,12741,4968,9415,13,19,14327,26937,41,72,35,56,0,0,190,438,269,569,147,334,50704,130920,4231,..,54930,130920
CED110,46378,118051,4765,8272,2181,4365,6947,12632,4316,7093,912,1522,1308,2165,18,26,6547,10804,366,560,650,964,40,67,125,253,1174,1843,555,1164,61604,144490,7814,..,69417,144490
CED111,36357,103839,2946,5555,4794,10554,7739,16110,4956,9247,2953,5303,3891,7514,27,58,11821,22113,194,319,19,34,4,11,222,533,443,893,408,770,56765,143724,5125,..,61890,143724
CED112,43577,122234,4606,7750,2591,5441,7194,13191,2275,3668,512,891,672,1209,31,66,3496,5844,238,361,85,165,10,32,136,357,472,920,246,456,54982,142646,6767,..,61755,142646
CED113,44839,114783,3086,5310,1996,3848,5079,9158,2091,3447,593,1039,964,1699,16,40,3664,6220,169,271,279,458,95,183,121,237,660,1149,556,1177,54799,132492,10639,..,65439,132492
CED114,51859,130781,4168,6679,466,779,4633,7458,2571,4333,84,128,31,34,11,28,2698,4525,240,403,283,487,41,92,208,480,773,1466,367,846,60325,145072,9663,..,69992,145072
CED115,30568,107378,1267,3288,4819,14888,6088,18179,2500,5857,5613,13662,2920,7710,112,265,11149,27502,3,9,3,15,11,32,257,817,273,868,172,434,48247,154355,2674,..,50925,154355
CED116,49112,120596,2781,4491,1660,3020,4440,7513,2074,3290,123,202,215,303,19,30,2431,3824,336,564,823,1267,23,52,80,182,1263,2066,423,874,57667,134868,20917,..,78581,134868
CED117,13148,37791,10801,27027,9317,24240,20121,51262,7323,14084,8847,17346,5728,10959,311,605,22216,42994,5,6,3,5,5,9,986,2271,996,2296,387,782,56867,135117,5164,..,62028,135117
CED118,37187,119709,4941,14875,6175,19463,11113,34330,909,2163,370,1022,2027,5377,35,64,3345,8625,3,16,70,106,24,62,75,199,176,384,198,529,52020,163581,2410,..,54431,163581
CED119,36256,113571,1315,2990,4015,10296,5327,13285,1347,2379,2973,5694,953,1900,21,54,5293,10036,18,38,88,148,3,3,97,237,208,427,112,261,47189,137581,2662,..,49856,137581
CED120,46231,132756,2048,3361,670,1411,2718,4770,635,954,106,143,4,3,16,24,758,1127,133,201,81,137,64,160,96,222,381,722,225,526,50315,139905,6062,..,56379,139905
CED121,49414,132555,3343,5669,965,1666,4313,7333,1012,1565,101,184,29,48,23,40,1162,1839,112,200,250,380,31,67,58,118,457,764,273,585,55614,143077,6835,..,62451,143077
CED122,17847,56093,3828,9917,5575,16290,9402,26206,6735,14647,15673,33032,12369,27820,70,145,34843,75639,0,3,3,10,5,16,456,1127,467,1162,252,581,62803,159681,5297,..,68101,159681
