CED_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
CED101,209,228,191,27,66,12,731,36,46,37,8,12,3,142,64,68,71,12,21,4,235,42,69,69,13,18,0,216,65,107,89,20,40,3,328,104,157,125,31,51,9,474,144,203,193,30,72,3,638,150,267,191,39,82,14,746,154,324,160,33,88,5,771,190,362,203,52,74,17,894,133,299,132,28,48,12,646,358,861,385,93,111,16,1825,167,413,108,34,54,4,770,159,410,135,32,23,8,757,282,810,244,64,77,15,1491,556,1487,424,84,99,20,2670,238,645,182,33,37,10,1145,138,420,133,13,27,10,736,135,275,177,35,47,11,691,3313,7453,3244,684,1039,162,15896
CED102,186,192,171,43,62,21,679,27,32,31,9,22,0,125,63,72,58,14,29,3,240,39,47,52,11,21,0,161,86,99,75,21,34,3,315,92,122,90,19,73,8,398,162,216,135,21,61,4,592,173,262,139,42,71,0,695,177,257,135,38,58,9,684,192,350,137,50,75,19,823,140,289,114,42,48,13,644,446,782,312,86,120,29,1771,146,279,83,18,41,10,575,195,328,96,27,28,7,690,333,641,223,69,75,18,1351,594,1319,391,85,78,22,2490,268,634,172,35,46,21,1178,168,397,115,28,21,7,738,157,310,169,30,68,18,743,3645,6635,2697,685,1031,206,14897
CED103,285,297,241,36,74,20,953,49,31,50,5,10,3,141,51,77,82,10,31,0,254,60,82,63,9,19,0,235,73,88,80,18,23,3,285,124,142,121,31,45,4,467,134,233,163,27,55,3,615,148,234,182,23,56,9,645,156,227,147,35,57,7,631,143,266,126,29,51,6,618,167,214,92,20,30,6,533,407,776,337,68,81,16,1688,150,261,94,31,21,5,557,189,385,101,24,31,0,741,315,615,207,42,54,6,1238,613,1567,458,88,97,21,2844,313,915,282,49,37,19,1615,240,785,249,41,41,12,1367,137,313,177,26,63,13,743,3742,7509,3248,616,868,177,16165
CED104,288,270,258,25,56,6,908,48,52,48,9,14,0,167,68,78,98,15,35,3,294,64,73,80,10,18,0,244,76,105,130,13,20,0,347,105,130,150,19,39,0,443,155,259,218,32,50,6,731,112,269,194,26,57,4,670,134,303,202,30,51,4,721,120,309,200,46,80,8,756,100,269,134,30,36,6,585,304,819,445,69,100,9,1750,117,356,131,31,33,3,676,145,541,170,27,22,6,903,232,913,315,57,63,5,1593,622,2278,710,109,99,16,3826,307,1149,393,35,48,11,1942,267,886,298,44,40,6,1544,145,371,215,24,48,6,799,3411,9439,4390,637,911,104,18896
CED105,133,230,166,40,80,10,661,27,36,33,4,12,3,113,64,73,58,14,35,3,243,49,71,57,21,24,3,217,77,133,86,16,40,3,349,105,155,122,34,64,5,486,146,291,197,64,78,12,777,174,368,204,71,97,16,930,186,431,195,62,73,8,960,180,466,193,67,103,13,1022,143,358,127,52,61,14,751,305,927,363,108,133,27,1853,119,337,107,34,35,9,645,110,307,126,32,40,5,618,204,586,214,65,73,19,1170,302,924,330,84,78,29,1751,92,256,88,23,21,3,490,59,164,71,12,22,3,335,105,307,182,34,60,11,706,2583,6405,2921,847,1134,192,14078
CED106,276,355,266,53,65,12,1036,42,39,43,3,9,3,138,51,70,58,4,19,0,205,54,59,49,9,19,0,192,64,71,59,11,27,0,241,67,113,78,12,34,4,307,118,222,128,28,57,3,552,100,181,115,14,43,6,457,132,240,135,19,25,8,553,133,220,124,22,48,0,545,113,198,74,12,33,6,436,311,694,338,64,74,12,1492,94,239,75,15,22,0,456,169,381,122,30,23,3,724,217,535,190,43,51,4,1030,559,1803,533,92,82,13,3084,346,1431,415,72,49,9,2321,395,2157,588,101,81,23,3346,144,391,191,35,37,12,819,3388,9409,3567,639,802,128,17933
CED107,238,116,68,18,28,5,471,56,22,25,8,15,0,120,152,67,55,23,32,6,332,124,81,58,31,29,3,318,235,179,130,72,61,6,673,324,328,179,91,101,5,1022,403,467,180,108,83,12,1245,464,657,236,134,110,6,1610,374,685,204,89,69,10,1437,438,854,213,116,67,8,1691,273,615,135,47,27,4,1105,393,873,246,67,55,9,1644,137,398,77,13,14,0,640,94,247,43,5,11,0,396,244,597,177,18,25,4,1070,226,527,160,32,20,0,963,80,172,55,13,7,0,331,57,113,28,12,0,0,209,212,234,116,49,41,3,655,4512,7220,2369,954,797,80,15933
CED108,142,160,126,29,45,16,515,39,31,38,4,9,4,126,54,55,72,10,29,8,228,43,49,63,13,32,6,204,82,108,126,24,48,8,395,147,173,151,46,89,9,609,176,301,229,47,104,7,867,204,474,269,79,117,12,1151,254,590,298,89,103,13,1342,312,843,360,91,112,12,1733,273,702,264,81,71,10,1400,436,1292,519,115,139,21,2528,241,660,222,44,40,5,1199,187,544,147,34,26,3,942,416,961,339,71,55,22,1864,382,1019,445,62,45,12,1963,100,235,99,12,13,0,464,68,135,65,10,14,0,290,162,314,180,43,86,16,804,3713,8652,4015,918,1169,167,18639
CED109,172,167,151,26,43,17,571,46,23,32,4,12,0,112,63,41,61,6,19,3,199,41,41,41,5,9,3,141,55,57,71,8,26,4,230,107,101,101,24,49,3,379,125,191,140,30,41,4,531,128,180,124,37,50,12,533,137,219,119,41,51,7,570,156,259,138,38,61,10,667,101,213,75,29,31,4,453,291,603,296,64,79,11,1350,122,270,91,26,32,3,536,127,309,82,14,23,3,565,308,678,223,50,59,10,1327,591,1646,447,103,83,19,2896,302,937,280,36,43,3,1598,270,911,310,35,42,14,1572,162,332,172,37,51,9,753,3307,7176,2950,620,792,128,14978
CED110,231,77,69,16,41,4,429,90,28,21,7,23,3,178,169,79,70,23,38,5,381,141,53,56,24,43,3,313,245,116,93,49,61,5,570,333,279,153,89,90,6,947,313,333,152,112,107,3,1023,388,502,203,141,130,9,1371,358,590,185,123,98,5,1356,411,606,215,117,71,10,1429,283,504,134,72,46,7,1047,385,685,212,59,58,4,1408,162,305,59,25,15,3,559,84,144,41,15,7,0,292,206,385,114,38,20,6,771,174,322,114,31,27,3,671,68,98,31,7,5,0,209,59,62,19,5,9,0,157,213,189,76,42,54,12,580,4320,5352,2003,1006,938,82,13698
CED111,167,136,117,22,32,5,476,32,40,28,9,15,3,121,99,57,73,15,33,4,278,49,57,54,13,23,0,198,106,125,104,31,36,7,405,131,162,116,20,63,0,500,161,236,175,51,51,5,681,199,346,174,65,94,11,884,184,375,180,59,56,8,859,255,511,193,66,76,13,1113,221,443,127,62,47,3,901,375,1009,273,97,77,17,1851,182,502,80,43,36,7,847,139,339,78,23,16,3,604,340,932,180,51,55,10,1572,490,1223,259,60,67,7,2104,133,366,105,14,16,0,648,87,209,76,9,6,0,396,110,229,120,26,48,3,533,3480,7290,2530,730,845,113,14983
CED112,195,105,88,22,36,13,461,56,32,33,10,13,5,152,125,44,79,20,41,3,313,101,37,36,17,31,5,229,166,104,114,30,72,6,488,200,200,181,71,85,15,750,272,312,224,87,115,9,1016,351,475,241,128,141,3,1345,353,624,245,118,122,9,1475,429,872,298,133,142,10,1885,348,765,220,88,70,8,1495,495,1112,382,126,92,12,2225,226,538,126,45,26,4,962,143,341,91,20,12,8,612,281,725,230,48,46,3,1338,291,647,212,40,50,4,1243,98,186,73,11,11,4,370,67,124,45,8,7,0,253,167,222,139,55,65,6,655,4380,7446,3046,1086,1187,126,17267
CED113,231,98,82,25,34,6,474,98,33,29,10,22,0,186,163,67,53,20,37,3,348,142,69,51,20,27,0,311,223,176,99,62,51,4,609,311,284,159,61,78,15,917,359,374,194,75,83,4,1093,395,514,167,70,79,6,1224,370,519,163,56,58,6,1177,358,583,191,87,63,8,1284,273,439,146,49,43,3,950,439,741,233,68,55,6,1550,198,371,77,26,25,5,702,126,243,71,14,11,3,460,349,703,197,39,31,3,1321,506,909,289,55,47,3,1800,157,283,99,17,13,0,568,131,186,67,7,8,4,400,230,234,124,34,45,4,683,5044,6830,2491,790,805,85,16051
CED114,313,223,142,19,29,4,725,79,29,18,7,7,3,146,203,106,69,28,31,0,437,164,109,56,38,39,4,418,352,292,145,92,89,9,978,441,545,226,115,89,16,1437,457,634,214,107,87,13,1513,512,857,252,122,102,13,1856,393,717,214,78,64,8,1473,393,768,223,56,40,8,1500,196,474,111,33,20,3,828,331,620,204,38,34,9,1231,97,210,57,10,7,0,387,54,84,38,3,0,0,183,136,300,82,13,22,0,546,122,285,82,11,8,0,510,55,99,36,3,5,0,191,40,83,22,3,7,0,158,274,273,142,38,43,3,778,4607,6708,2336,817,726,98,15286
CED115,159,216,179,60,80,13,702,21,28,41,4,16,0,105,67,74,79,15,45,3,293,44,55,66,26,37,5,239,80,108,123,39,64,14,427,97,219,163,52,86,11,626,149,299,215,67,105,14,843,184,349,238,80,123,18,993,148,407,195,91,93,15,948,203,442,246,102,106,22,1120,91,344,134,63,66,8,705,294,753,388,137,170,33,1783,94,239,120,38,53,9,546,77,206,71,29,38,9,429,178,484,226,72,79,13,1059,242,642,289,99,72,14,1369,52,212,86,31,31,6,424,39,126,45,9,12,0,242,110,236,218,51,74,12,694,2343,5433,3133,1071,1353,208,13534
CED116,294,95,78,17,33,4,526,122,20,30,17,15,3,211,166,47,67,14,36,3,345,147,48,57,27,32,0,307,230,106,113,38,53,0,544,306,222,124,63,81,8,796,348,314,173,85,83,11,1014,371,462,212,110,83,6,1246,328,510,169,95,59,8,1167,352,579,207,80,67,7,1293,256,416,103,47,43,3,873,381,679,191,55,40,6,1351,117,312,56,32,7,0,529,92,180,47,11,16,0,346,207,413,126,23,30,0,807,279,383,139,34,18,0,857,104,136,42,13,12,3,304,59,78,27,0,4,0,175,215,203,108,40,52,7,620,4384,5206,2068,802,776,74,13307
CED117,151,174,70,35,49,11,487,28,28,10,0,8,0,82,47,47,26,5,14,0,146,42,45,31,14,9,0,139,61,65,39,14,28,3,212,82,90,57,17,31,3,281,135,142,63,38,35,5,411,104,155,75,27,42,4,406,130,173,72,27,31,5,433,150,203,60,29,41,10,494,112,172,32,21,31,4,368,321,478,135,47,63,13,1053,120,176,33,26,25,3,383,162,268,50,26,23,5,528,342,501,81,45,43,17,1025,778,1443,239,108,64,21,2655,475,1014,124,48,33,15,1717,501,1122,160,50,34,5,1879,116,213,67,21,34,7,458,3852,6507,1438,585,644,126,13157
CED118,175,287,157,35,53,7,711,34,39,40,0,15,3,126,73,96,74,12,18,3,286,45,66,61,10,21,0,215,96,123,91,18,47,3,368,121,182,137,23,56,7,521,143,299,167,37,68,4,719,175,451,226,69,79,10,999,179,556,205,56,76,14,1093,245,744,268,79,79,7,1424,210,706,192,48,66,13,1228,529,1532,501,128,143,26,2858,243,858,197,49,53,8,1409,269,896,204,42,45,3,1465,511,1646,447,77,71,12,2775,869,2567,685,92,100,22,4330,233,624,228,20,28,7,1140,105,354,108,12,17,0,599,165,438,188,35,41,11,870,4419,12456,4173,843,1080,171,23137
CED119,199,173,190,29,47,8,647,43,40,50,3,6,3,156,66,61,83,8,36,3,265,56,72,74,3,26,0,230,78,117,115,24,38,0,375,100,162,153,14,44,12,493,141,239,239,40,66,7,729,170,311,262,37,66,10,857,151,371,159,46,69,9,801,209,498,223,59,90,5,1086,168,433,167,55,51,3,881,369,1078,405,107,102,17,2075,190,595,135,50,31,3,1006,173,553,123,35,32,8,914,411,1387,340,83,61,12,2292,797,2609,567,125,101,8,4203,281,891,222,41,41,7,1486,143,441,131,14,19,3,752,110,387,173,43,38,13,762,3862,10421,3816,821,972,119,20002
CED120,173,146,103,26,37,10,494,50,28,27,11,18,0,132,115,60,68,8,25,6,280,104,68,63,14,30,0,286,182,117,107,32,43,6,481,229,222,162,62,80,11,766,279,295,196,68,85,4,927,361,453,250,89,97,8,1258,340,555,208,88,85,4,1279,386,808,313,119,74,17,1723,282,719,208,77,40,11,1339,536,1237,463,129,109,15,2485,277,650,165,48,36,8,1183,208,501,122,30,18,5,882,554,1216,347,111,52,10,2288,616,1303,449,88,47,6,2502,205,405,111,22,18,3,761,119,228,81,17,8,3,460,248,345,184,60,60,8,912,5273,9358,3627,1104,949,129,20438
CED121,204,109,90,34,36,4,478,65,24,37,8,17,0,154,159,50,76,23,34,3,348,111,50,66,17,42,0,293,215,121,122,35,60,3,564,259,221,198,70,92,6,843,331,363,217,105,107,9,1128,435,645,290,120,113,9,1614,384,702,251,118,98,13,1566,528,924,291,133,104,10,1993,361,672,202,99,69,8,1406,523,1112,338,104,46,10,2136,198,481,117,41,19,3,851,126,297,58,8,7,0,504,330,747,198,48,23,3,1346,300,602,224,47,23,5,1198,101,157,71,10,7,0,336,78,64,37,10,5,0,197,194,274,138,59,50,13,715,4903,7614,3018,1080,962,98,17678
CED122,147,176,130,28,59,19,563,23,30,29,0,5,3,90,34,45,41,11,16,5,151,39,45,35,5,14,0,139,53,60,54,8,25,0,200,89,85,77,20,41,10,323,78,156,113,18,43,5,418,113,153,108,19,45,3,444,116,169,91,29,44,4,462,149,166,90,29,44,5,485,106,151,73,20,32,8,382,251,510,221,62,57,17,1117,111,184,59,25,24,5,400,177,273,68,24,21,12,570,260,514,138,45,50,6,1018,570,1383,349,103,89,20,2514,298,883,220,47,46,16,1505,247,1039,204,40,40,17,1578,156,275,137,31,43,15,652,3009,6311,2227,560,730,181,13020
CED123,166,115,122,30,47,10,480,50,21,32,3,11,0,120,88,43,73,14,36,0,255,75,52,59,19,29,3,232,108,94,113,30,63,7,412,167,171,138,55,87,3,614,233,238,194,70,102,9,846,270,387,232,91,123,12,1120,299,516,226,101,113,10,1259,376,825,308,127,129,14,1775,381,775,220,99,103,5,1590,612,1317,420,137,147,25,2665,270,685,155,54,48,8,1221,231,502,133,38,30,3,932,561,1190,338,102,63,5,2256,502,1225,375,53,77,9,2236,125,277,126,23,21,3,572,80,181,65,19,12,0,356,171,322,201,61,63,8,826,4763,8920,3515,1125,1300,145,19769
CED124,264,78,61,24,40,4,469,85,21,29,11,27,0,173,178,68,69,23,42,4,377,173,58,46,25,34,0,335,294,154,114,48,61,4,680,349,237,184,75,80,6,933,327,358,185,96,87,6,1060,435,563,219,114,77,12,1424,377,508,173,79,66,11,1212,344,612,185,86,71,3,1301,249,484,115,51,38,3,937,342,600,191,68,39,3,1245,120,264,70,12,15,0,492,86,166,47,4,8,0,308,228,368,105,31,19,3,751,254,413,138,36,16,0,852,76,117,32,6,12,0,245,41,78,28,6,3,0,164,212,176,101,45,36,11,579,4446,5314,2093,843,772,70,13538
