CED_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
CED101,25674,7476,10331,217,116,43820,3902,1432,2211,57,18,7610,663,244,401,8,13,1334,30239,9150,12944,284,144,52765
CED102,22473,5073,20262,329,139,48271,4317,791,2718,94,29,7945,767,177,767,22,61,1798,27561,6034,23749,438,235,58015
CED103,27117,7985,16148,114,187,51553,2721,962,1999,24,25,5728,594,235,436,9,41,1308,30427,9182,18579,146,260,58587
CED104,36714,3397,1687,133,117,42040,2025,508,515,37,23,3098,585,83,85,12,35,813,39324,3989,2285,175,178,45955
CED105,23846,5730,10047,250,133,40007,4770,1064,2453,47,43,8374,1076,289,566,14,43,1989,29689,7081,13063,313,225,50367
CED106,31955,2203,15079,42,89,49370,1526,270,1521,4,9,3333,466,62,365,0,21,917,33949,2537,16968,49,122,53619
CED107,39559,2359,926,593,290,43736,9833,1360,697,226,130,12253,1390,175,87,56,144,1848,50786,3898,1703,881,566,57831
CED108,34455,5054,1439,185,105,41243,5813,1062,692,87,25,7681,1266,236,116,12,29,1659,41540,6341,2248,286,164,50580
CED109,24245,6887,11622,195,109,43059,2750,1312,2332,56,24,6468,538,237,375,9,16,1180,27535,8428,14327,269,147,50704
CED110,37479,4782,4259,637,376,47535,7741,1871,1997,464,98,12169,1162,293,297,74,78,1905,46378,6947,6547,1174,555,61604
CED111,30460,5751,8947,291,216,45661,5133,1764,2457,132,68,9553,760,234,421,17,123,1551,36357,7739,11821,443,408,56765
CED112,36684,4742,2193,271,115,44005,5843,2111,1116,171,53,9293,1051,343,183,38,77,1684,43577,7194,3496,472,246,54982
CED113,36715,3680,2610,404,412,43813,6990,1184,899,209,77,9356,1140,213,160,45,66,1623,44839,5079,3664,660,556,54799
CED114,39945,2928,1515,421,244,45056,10419,1492,996,296,85,13288,1495,212,192,57,31,1986,51859,4633,2698,773,367,60325
CED115,24868,4546,7935,193,98,37639,4699,1282,2755,60,45,8833,1003,259,453,25,36,1773,30568,6088,11149,273,172,48247
CED116,39861,3033,1505,684,297,45379,7951,1237,790,501,80,10553,1299,169,141,82,45,1737,49112,4440,2431,1263,423,57667
