CED_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED101,13,36,3,3,5,40,44,31,116,2071,1318,151,3538,144,186,332,3863,2797,60,6724
CED102,15,32,3,0,3,33,40,32,102,1910,1211,156,3281,155,159,309,3589,3072,68,6732
CED103,7,31,0,4,4,35,36,5,76,1901,1083,111,3094,84,102,190,3280,2304,36,5622
CED104,6,25,0,0,0,25,11,13,54,1645,927,99,2673,48,59,108,2782,1363,33,4181
CED105,5,22,4,3,3,25,98,66,185,1623,1212,176,3008,222,246,466,3475,4256,117,7847
CED106,5,16,0,0,0,16,23,4,49,1765,973,102,2845,69,89,160,3001,1868,19,4881
CED107,10,46,7,0,9,51,109,59,219,1838,1467,169,3475,245,224,464,3945,2957,113,7020
CED108,12,46,5,4,10,61,144,85,293,2374,1397,238,4010,320,324,642,4654,4829,155,9636
CED109,5,46,3,0,3,47,28,17,90,1884,1310,127,3318,76,96,175,3492,1860,33,5390
CED110,15,51,10,6,17,59,119,56,234,1796,2082,195,4071,228,261,496,4567,3562,116,8243
CED111,8,32,4,3,9,36,66,28,129,1837,1447,162,3440,170,169,340,3777,2829,64,6672
CED112,13,42,3,4,7,49,82,47,174,2179,1930,222,4338,248,256,504,4844,3427,89,8356
CED113,9,36,0,3,8,41,48,28,123,1781,1231,161,3172,116,111,225,3403,1902,67,5364
CED114,12,41,3,5,6,49,104,60,213,1674,1503,187,3364,198,184,384,3745,2532,103,6385
CED115,9,28,0,5,10,38,104,79,215,1975,1436,186,3600,277,394,674,4271,5296,127,9698
CED116,19,45,0,0,0,46,94,37,178,1431,1658,180,3276,174,166,344,3618,2849,87,6551
CED117,7,29,0,0,0,29,21,16,68,1820,920,100,2844,78,109,189,3029,1855,45,4935
CED118,7,40,3,0,10,43,61,37,146,2349,1133,167,3650,168,147,319,3969,2388,74,6430
CED119,4,32,0,0,5,35,24,14,75,2056,1210,131,3396,74,82,148,3547,1480,28,5055
CED120,9,50,0,0,3,53,46,28,127,2011,1389,170,3579,150,153,303,3879,1987,56,5923
CED121,4,46,8,3,9,54,105,44,203,1774,1710,228,3702,277,259,532,4237,3281,87,7606
CED122,12,39,5,0,5,46,49,32,130,2061,1173,170,3404,109,125,234,3641,2418,79,6135
CED123,20,50,3,0,3,59,75,53,185,2896,1703,246,4837,216,229,448,5286,3367,78,8735
CED124,13,43,9,7,14,55,102,42,201,1269,1506,158,2940,225,198,426,3361,3067,87,6523
CED125,12,46,3,3,5,53,81,66,200,2574,1590,208,4382,257,278,532,4916,3697,114,8721
CED126,12,45,0,3,3,44,28,8,83,1793,1253,111,3163,70,49,123,3286,1440,34,4757
CED127,7,42,0,3,4,47,44,18,110,2025,1448,134,3603,101,116,221,3822,2140,49,6008
CED128,8,35,0,6,6,44,96,58,200,2092,1281,183,3551,172,237,410,3962,4102,97,8162
CED129,3,18,0,0,3,23,23,19,62,1845,963,104,2910,82,77,162,3070,1411,42,4524
CED130,12,41,10,10,13,55,99,55,210,1654,1490,188,3336,255,229,479,3815,3008,99,6918
CED131,8,29,4,3,8,33,44,28,111,2038,1586,162,3782,207,180,382,4165,2752,59,6980
CED132,15,35,0,0,0,36,14,9,66,1897,913,84,2895,92,70,163,3061,1500,24,4586
CED133,6,27,14,6,20,44,109,44,196,1714,1836,205,3750,264,262,522,4271,3546,100,7917
CED134,14,76,11,10,21,94,176,100,367,1799,1423,219,3443,310,244,554,3992,3375,166,7537
CED135,6,27,3,0,3,31,42,30,105,1949,1161,165,3272,165,180,351,3619,3064,65,6744
CED136,14,39,5,9,10,51,84,40,174,1971,1728,220,3924,292,242,540,4462,3293,75,7820
CED137,11,24,0,0,0,25,28,20,71,1995,1107,138,3238,108,125,234,3471,2385,42,5899
CED138,15,52,0,3,4,55,70,46,170,1657,2186,207,4046,178,214,394,4439,2842,83,7362
CED139,13,40,8,3,9,51,102,65,216,1754,1380,166,3307,220,173,394,3700,2837,115,6659
CED140,6,32,4,3,9,42,45,35,122,1937,1654,171,3758,173,168,342,4108,2637,67,6809
