ASGS_Structure,Census_Code_2016,ASGS_Code_2016,Census_Name_2016,Area_sqkm
CED,CED101,101,Banks,49.446
CED,CED102,102,Barton,39.6466
CED,CED103,103,Bennelong,58.6052
CED,CED104,104,Berowra,749.6359
CED,CED105,105,Blaxland,61.1166
CED,CED106,106,Bradfield,98.3974
CED,CED107,107,Calare,32417.3417
CED,CED108,108,Chifley,129.3806
CED,CED109,109,Cook,64.433
CED,CED110,110,Cowper,7770.764
CED,CED111,111,Cunningham,1026.2288
CED,CED112,112,Dobell,716.3126
CED,CED113,113,Eden-Monaro,41312.3947
CED,CED114,114,Farrer,126818.3094
CED,CED115,115,Fowler,60.3246
CED,CED116,116,Gilmore,6120.3693
CED,CED117,117,Grayndler,27.0637
CED,CED118,118,Greenway,80.4886
CED,CED119,119,Hughes,323.7042
CED,CED120,120,Hume,18759.7437
CED,CED121,121,Hunter,9987.0834
CED,CED122,122,Kingsford Smith,57.6527
CED,CED123,123,Lindsay,349.1732
CED,CED124,124,Lyne,16049.8232
CED,CED125,125,Macarthur,375.9412
CED,CED126,126,Mackellar,212.4568
CED,CED127,127,Macquarie,3616.5619
CED,CED128,128,McMahon,163.1994
CED,CED129,129,Mitchell,98.4496
CED,CED130,130,New England,65448.3965
CED,CED131,131,Newcastle,163.9201
CED,CED132,132,North Sydney,41.6454
CED,CED133,133,Page,19312.4908
CED,CED134,134,Parkes,393579.6705
CED,CED135,135,Parramatta,56.4764
CED,CED136,136,Paterson,1076.3151
CED,CED137,137,Reid,48.8519
CED,CED138,138,Richmond,2138.3118
CED,CED139,139,Riverina,48941.9263
CED,CED140,140,Robertson,892.2777
CED,CED141,141,Shortland,204.2522
CED,CED142,142,Sydney,41.3143
CED,CED143,143,Warringah,52.2796
CED,CED144,144,Watson,47.6845
CED,CED145,145,Wentworth,28.3334
CED,CED146,146,Werriwa,169.6371
CED,CED147,147,Whitlam,972.9507
CED,CED194,194,No usual address (NSW),0
CED,CED197,197,Migratory - Offshore - Shipping (NSW),0
CED,CED201,201,Aston,103.4133
CED,CED202,202,Ballarat,4627.2702
CED,CED203,203,Batman,66.4352
CED,CED204,204,Bendigo,6252.0908
CED,CED205,205,Bruce,72.9999
CED,CED206,206,Calwell,162.1677
CED,CED207,207,Casey,2348.8279
CED,CED208,208,Chisholm,64.7179
CED,CED209,209,Corangamite,7691.9191
CED,CED210,210,Corio,936.4826
CED,CED211,211,Deakin,69.961
CED,CED212,212,Dunkley,155.0398
CED,CED213,213,Flinders,1994.2532
CED,CED214,214,Gellibrand,100.6851
CED,CED215,215,Gippsland,33008.4039
CED,CED216,216,Goldstein,50.6625
CED,CED217,217,Gorton,561.6044
CED,CED218,218,Higgins,40.0019
CED,CED219,219,Holt,129.5571
CED,CED220,220,Hotham,74.0984
CED,CED221,221,Indi,28842.313
CED,CED222,222,Isaacs,155.1207
CED,CED223,223,Jagajaga,127.9928
CED,CED224,224,Kooyong,52.4187
CED,CED225,225,La Trobe,517.3437
CED,CED226,226,Lalor,547.187
CED,CED227,227,Mallee,73888.3593
CED,CED228,228,Maribyrnong,72.5146
CED,CED229,229,McEwen,4670.3368
CED,CED230,230,McMillan,8412.3792
CED,CED231,231,Melbourne,46.5391
CED,CED232,232,Melbourne Ports,40.0184
CED,CED233,233,Menzies,126.2593
CED,CED234,234,Murray,19049.2225
CED,CED235,235,Scullin,160.0911
CED,CED236,236,Wannon,32220.0874
CED,CED237,237,Wills,56.8549
CED,CED294,294,No usual address (Vic.),0
CED,CED297,297,Migratory - Offshore - Shipping (Vic.),0
CED,CED301,301,Blair,6403.066
CED,CED302,302,Bonner,375.2379
CED,CED303,303,Bowman,537.167
CED,CED304,304,Brisbane,58.4653
CED,CED305,305,Capricornia,94179.9956
CED,CED306,306,Dawson,11515.5774
CED,CED307,307,Dickson,720.9737
CED,CED308,308,Fadden,396.0948
CED,CED309,309,Fairfax,1049.4682
CED,CED310,310,Fisher,1154.5794
CED,CED311,311,Flynn,132931.674
