2010 Federal Election House of Representatives Distribution of Preferences By Division [Event:15508 Phase:FinalResults Generated:2013-01-22T15:02:50 Cycle:109e02bb-5f15-4808-984f-b47255b191fb Created:2013-01-22T14:55:43 Environment:PROD Site:PARKES Server:NTR01 Version:6.0.10.10009]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,0,1,20863,JONES,Giulia,LP,Liberal,N,N,Preference Count,41732
ACT,101,Canberra,0,1,20863,JONES,Giulia,LP,Liberal,N,N,Preference Percent,37.21
ACT,101,Canberra,0,1,20863,JONES,Giulia,LP,Liberal,N,N,Transfer Count,0
ACT,101,Canberra,0,1,20863,JONES,Giulia,LP,Liberal,N,N,Transfer Percent,0
ACT,101,Canberra,0,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Preference Count,20816
ACT,101,Canberra,0,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Preference Percent,18.56
ACT,101,Canberra,0,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Transfer Count,0
ACT,101,Canberra,0,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Transfer Percent,0
ACT,101,Canberra,0,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Preference Count,49608
ACT,101,Canberra,0,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Preference Percent,44.23
ACT,101,Canberra,0,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Transfer Count,0
ACT,101,Canberra,0,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Transfer Percent,0
ACT,101,Canberra,1,1,20863,JONES,Giulia,LP,Liberal,N,N,Preference Count,45821
ACT,101,Canberra,1,1,20863,JONES,Giulia,LP,Liberal,N,N,Preference Percent,40.85
ACT,101,Canberra,1,1,20863,JONES,Giulia,LP,Liberal,N,N,Transfer Count,4089
ACT,101,Canberra,1,1,20863,JONES,Giulia,LP,Liberal,N,N,Transfer Percent,19.64
ACT,101,Canberra,1,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Preference Count,0
ACT,101,Canberra,1,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Preference Percent,0
ACT,101,Canberra,1,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Transfer Count,-20816
ACT,101,Canberra,1,2,20864,ELLERMAN,Sue,GRN,The Greens,N,N,Transfer Percent,-100
ACT,101,Canberra,1,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Preference Count,66335
ACT,101,Canberra,1,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Preference Percent,59.15
ACT,101,Canberra,1,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Transfer Count,16727
ACT,101,Canberra,1,3,21228,BRODTMANN,Gai,ALP,Australian Labor Party,Y,N,Transfer Percent,80.36
ACT,102,Fraser,0,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Preference Count,36148
ACT,102,Fraser,0,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Preference Percent,32.41
ACT,102,Fraser,0,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Transfer Count,0
ACT,102,Fraser,0,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Transfer Percent,0
ACT,102,Fraser,0,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Preference Count,2175
ACT,102,Fraser,0,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Preference Percent,1.95
ACT,102,Fraser,0,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Transfer Count,0
ACT,102,Fraser,0,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Transfer Percent,0
ACT,102,Fraser,0,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Preference Count,51092
ACT,102,Fraser,0,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Preference Percent,45.81
ACT,102,Fraser,0,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Transfer Count,0
ACT,102,Fraser,0,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Transfer Percent,0
ACT,102,Fraser,0,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Preference Count,22126
ACT,102,Fraser,0,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Preference Percent,19.84
ACT,102,Fraser,0,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Transfer Count,0
ACT,102,Fraser,0,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Transfer Percent,0
ACT,102,Fraser,1,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Preference Count,36792
ACT,102,Fraser,1,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Preference Percent,32.99
ACT,102,Fraser,1,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Transfer Count,644
ACT,102,Fraser,1,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Transfer Percent,29.61
ACT,102,Fraser,1,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Preference Count,0
ACT,102,Fraser,1,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Preference Percent,0
ACT,102,Fraser,1,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Transfer Count,-2175
ACT,102,Fraser,1,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Transfer Percent,-100
ACT,102,Fraser,1,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Preference Count,51716
ACT,102,Fraser,1,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Preference Percent,46.37
ACT,102,Fraser,1,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Transfer Count,624
ACT,102,Fraser,1,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Transfer Percent,28.69
ACT,102,Fraser,1,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Preference Count,23033
ACT,102,Fraser,1,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Preference Percent,20.65
ACT,102,Fraser,1,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Transfer Count,907
ACT,102,Fraser,1,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Transfer Percent,41.7
ACT,102,Fraser,2,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Preference Count,39928
ACT,102,Fraser,2,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Preference Percent,35.8
ACT,102,Fraser,2,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Transfer Count,3136
ACT,102,Fraser,2,1,20858,MILLIGAN,James Keith,LP,Liberal,N,N,Transfer Percent,13.62
ACT,102,Fraser,2,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Preference Count,0
ACT,102,Fraser,2,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Preference Percent,0
ACT,102,Fraser,2,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Transfer Count,0
ACT,102,Fraser,2,2,21307,HEDGES-PHILLIPS,Quintin,SPA,Secular Party of Australia,N,N,Transfer Percent,0
ACT,102,Fraser,2,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Preference Count,71613
ACT,102,Fraser,2,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Preference Percent,64.2
ACT,102,Fraser,2,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Transfer Count,19897
ACT,102,Fraser,2,3,21210,LEIGH,Andrew,ALP,Australian Labor Party,Y,N,Transfer Percent,86.38
ACT,102,Fraser,2,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Preference Count,0
ACT,102,Fraser,2,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Preference Percent,0
ACT,102,Fraser,2,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Transfer Count,-23033
ACT,102,Fraser,2,4,20860,ESGUERRA,Indra,GRN,The Greens,N,N,Transfer Percent,-100
NSW,103,Banks,0,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Preference Count,8062
NSW,103,Banks,0,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Preference Percent,9.61
NSW,103,Banks,0,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Transfer Count,0
NSW,103,Banks,0,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Transfer Percent,0
NSW,103,Banks,0,2,20888,PARSONS,Michael,ON,One Nation,N,N,Preference Count,1595
NSW,103,Banks,0,2,20888,PARSONS,Michael,ON,One Nation,N,N,Preference Percent,1.9
NSW,103,Banks,0,2,20888,PARSONS,Michael,ON,One Nation,N,N,Transfer Count,0
NSW,103,Banks,0,2,20888,PARSONS,Michael,ON,One Nation,N,N,Transfer Percent,0
NSW,103,Banks,0,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Preference Count,36034
NSW,103,Banks,0,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Preference Percent,42.96
NSW,103,Banks,0,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Transfer Count,0
NSW,103,Banks,0,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Transfer Percent,0
NSW,103,Banks,0,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Preference Count,38178
NSW,103,Banks,0,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Preference Percent,45.52
NSW,103,Banks,0,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Transfer Count,0
NSW,103,Banks,0,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Transfer Percent,0
NSW,103,Banks,1,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Preference Count,8638
NSW,103,Banks,1,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Preference Percent,10.3
NSW,103,Banks,1,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Transfer Count,576
NSW,103,Banks,1,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Transfer Percent,36.11
NSW,103,Banks,1,2,20888,PARSONS,Michael,ON,One Nation,N,N,Preference Count,0
NSW,103,Banks,1,2,20888,PARSONS,Michael,ON,One Nation,N,N,Preference Percent,0
NSW,103,Banks,1,2,20888,PARSONS,Michael,ON,One Nation,N,N,Transfer Count,-1595
NSW,103,Banks,1,2,20888,PARSONS,Michael,ON,One Nation,N,N,Transfer Percent,-100
NSW,103,Banks,1,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Preference Count,36470
NSW,103,Banks,1,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Preference Percent,43.48
NSW,103,Banks,1,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Transfer Count,436
NSW,103,Banks,1,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Transfer Percent,27.34
NSW,103,Banks,1,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Preference Count,38761
NSW,103,Banks,1,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Preference Percent,46.22
NSW,103,Banks,1,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Transfer Count,583
NSW,103,Banks,1,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Transfer Percent,36.55
NSW,103,Banks,2,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Preference Count,0
NSW,103,Banks,2,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Preference Percent,0
NSW,103,Banks,2,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Transfer Count,-8638
NSW,103,Banks,2,1,20846,SPIGHT,Paul,GRN,The Greens,N,N,Transfer Percent,-100
NSW,103,Banks,2,2,20888,PARSONS,Michael,ON,One Nation,N,N,Preference Count,0
NSW,103,Banks,2,2,20888,PARSONS,Michael,ON,One Nation,N,N,Preference Percent,0
NSW,103,Banks,2,2,20888,PARSONS,Michael,ON,One Nation,N,N,Transfer Count,0
NSW,103,Banks,2,2,20888,PARSONS,Michael,ON,One Nation,N,N,Transfer Percent,0
NSW,103,Banks,2,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Preference Count,43150
NSW,103,Banks,2,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Preference Percent,51.45
NSW,103,Banks,2,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Transfer Count,6680
NSW,103,Banks,2,3,21087,MELHAM,Daryl,ALP,Labor,Y,Y,Transfer Percent,77.33
NSW,103,Banks,2,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Preference Count,40719
NSW,103,Banks,2,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Preference Percent,48.55
NSW,103,Banks,2,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Transfer Count,1958
NSW,103,Banks,2,4,21561,DELEZIO,Ron,LP,Liberal,N,N,Transfer Percent,22.67
NSW,104,Barton,0,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Preference Count,38149
NSW,104,Barton,0,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Preference Percent,48.48
NSW,104,Barton,0,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Transfer Count,0
NSW,104,Barton,0,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Transfer Percent,0
NSW,104,Barton,0,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Preference Count,8536
NSW,104,Barton,0,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Preference Percent,10.85
NSW,104,Barton,0,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Transfer Count,0
NSW,104,Barton,0,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Transfer Percent,0
NSW,104,Barton,0,3,21616,La MELA,John,LP,Liberal,N,N,Preference Count,31998
NSW,104,Barton,0,3,21616,La MELA,John,LP,Liberal,N,N,Preference Percent,40.67
NSW,104,Barton,0,3,21616,La MELA,John,LP,Liberal,N,N,Transfer Count,0
NSW,104,Barton,0,3,21616,La MELA,John,LP,Liberal,N,N,Transfer Percent,0
NSW,104,Barton,1,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Preference Count,44742
NSW,104,Barton,1,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Preference Percent,56.86
NSW,104,Barton,1,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Transfer Count,6593
NSW,104,Barton,1,1,21158,McCLELLAND,Robert,ALP,Labor,Y,Y,Transfer Percent,77.24
NSW,104,Barton,1,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Preference Count,0
NSW,104,Barton,1,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Preference Percent,0
NSW,104,Barton,1,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Transfer Count,-8536
NSW,104,Barton,1,2,21619,FRANCIS,Simone,GRN,The Greens,N,N,Transfer Percent,-100
NSW,104,Barton,1,3,21616,La MELA,John,LP,Liberal,N,N,Preference Count,33941
NSW,104,Barton,1,3,21616,La MELA,John,LP,Liberal,N,N,Preference Percent,43.14
NSW,104,Barton,1,3,21616,La MELA,John,LP,Liberal,N,N,Transfer Count,1943
NSW,104,Barton,1,3,21616,La MELA,John,LP,Liberal,N,N,Transfer Percent,22.76
NSW,105,Bennelong,0,1,20839,WATERSON,Victor,ON,One Nation,N,N,Preference Count,725
NSW,105,Bennelong,0,1,20839,WATERSON,Victor,ON,One Nation,N,N,Preference Percent,0.85
NSW,105,Bennelong,0,1,20839,WATERSON,Victor,ON,One Nation,N,N,Transfer Count,0
NSW,105,Bennelong,0,1,20839,WATERSON,Victor,ON,One Nation,N,N,Transfer Percent,0
NSW,105,Bennelong,0,2,21113,WORSLEY,Julie,CDP,Christian Democratic Party (Fred Nile Group),N,N,Preference Count,1824
NSW,105,Bennelong,0,2,21113,WORSLEY,Julie,CDP,Christian Democratic Party (Fred Nile Group),N,N,Preference Percent,2.13
NSW,105,Bennelong,0,2,21113,WORSLEY,Julie,CDP,Christian Democratic Party (Fred Nile Group),N,N,Transfer Count,0
NSW,105,Bennelong,0,2,21113,WORSLEY,Julie,CDP,Christian Democratic Party (Fred Nile Group),N,N,Transfer Percent,0
NSW,105,Bennelong,0,3,20879,RAYE,Sue,ASXP,Australian Sex Party,N,N,Preference Count,1105
NSW,105,Bennelong,0,3,20879,RAYE,Sue,ASXP,Australian Sex Party,N,N,Preference Percent,1.29
NSW,105,Bennelong,0,3,20879,RAYE,Sue,ASXP,Australian Sex Party,N,N,Transfer Count,0
NSW,105,Bennelong,0,3,20879,RAYE,Sue,ASXP,Australian Sex Party,N,N,Transfer Percent,0
NSW,105,Bennelong,0,4,21939,MOCKLER,Mary Louise,CA,Carers Alliance,N,N,Preference Count,478
NSW,105,Bennelong,0,4,21939,MOCKLER,Mary Louise,CA,Carers Alliance,N,N,Preference Percent,0.56
NSW,105,Bennelong,0,4,21939,MOCKLER,Mary Louise,CA,Carers Alliance,N,N,Transfer Count,0
NSW,105,Bennelong,0,4,21939,MOCKLER,Mary Louise,CA,Carers Alliance,N,N,Transfer Percent,0
NSW,105,Bennelong,0,5,21685,CHAVURA,Stephen,FFP,Family First,N,N,Preference Count,570
NSW,105,Bennelong,0,5,21685,CHAVURA,Stephen,FFP,Family First,N,N,Preference Percent,0.67
NSW,105,Bennelong,0,5,21685,CHAVURA,Stephen,FFP,Family First,N,N,Transfer Count,0
NSW,105,Bennelong,0,5,21685,CHAVURA,Stephen,FFP,Family First,N,N,Transfer Percent,0
NSW,105,Bennelong,0,6,21270,POUNDER,Bill,TCS,The Climate Sceptics,N,N,Preference Count,275
NSW,105,Bennelong,0,6,21270,POUNDER,Bill,TCS,The Climate Sceptics,N,N,Preference Percent,0.32
NSW,105,Bennelong,0,6,21270,POUNDER,Bill,TCS,The Climate Sceptics,N,N,Transfer Count,0
