2013 Federal Election House of Representatives Distribution of Preferences By Division [Event:17496 Phase:FinalResults Generated:2014-10-28T11:23:02 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,0,1,24857,SEFTON,Tom,LP,Liberal,N,N,Preference Count,43919
ACT,101,Canberra,0,1,24857,SEFTON,Tom,LP,Liberal,N,N,Preference Percent,37.87
ACT,101,Canberra,0,1,24857,SEFTON,Tom,LP,Liberal,N,N,Transfer Count,0
ACT,101,Canberra,0,1,24857,SEFTON,Tom,LP,Liberal,N,N,Transfer Percent,0
ACT,101,Canberra,0,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Preference Count,14691
ACT,101,Canberra,0,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Preference Percent,12.67
ACT,101,Canberra,0,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Transfer Count,0
ACT,101,Canberra,0,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Transfer Percent,0
ACT,101,Canberra,0,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Preference Count,3725
ACT,101,Canberra,0,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Preference Percent,3.21
ACT,101,Canberra,0,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Transfer Count,0
ACT,101,Canberra,0,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Transfer Percent,0
ACT,101,Canberra,0,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Preference Count,4756
ACT,101,Canberra,0,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Preference Percent,4.1
ACT,101,Canberra,0,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Transfer Count,0
ACT,101,Canberra,0,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Transfer Percent,0
ACT,101,Canberra,0,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Count,47613
ACT,101,Canberra,0,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Percent,41.06
ACT,101,Canberra,0,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,101,Canberra,0,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,101,Canberra,0,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Preference Count,1264
ACT,101,Canberra,0,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Preference Percent,1.09
ACT,101,Canberra,0,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Transfer Count,0
ACT,101,Canberra,0,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Transfer Percent,0
ACT,101,Canberra,1,1,24857,SEFTON,Tom,LP,Liberal,N,N,Preference Count,44041
ACT,101,Canberra,1,1,24857,SEFTON,Tom,LP,Liberal,N,N,Preference Percent,37.98
ACT,101,Canberra,1,1,24857,SEFTON,Tom,LP,Liberal,N,N,Transfer Count,122
ACT,101,Canberra,1,1,24857,SEFTON,Tom,LP,Liberal,N,N,Transfer Percent,9.65
ACT,101,Canberra,1,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Preference Count,15016
ACT,101,Canberra,1,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Preference Percent,12.95
ACT,101,Canberra,1,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Transfer Count,325
ACT,101,Canberra,1,2,24895,MELROSE,Julie,GRN,Australian Greens,N,N,Transfer Percent,25.71
ACT,101,Canberra,1,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Preference Count,3824
ACT,101,Canberra,1,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Preference Percent,3.3
ACT,101,Canberra,1,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Transfer Count,99
ACT,101,Canberra,1,3,24239,HANLEY,Tony,PUP,Palmer United Party,N,N,Transfer Percent,7.83
ACT,101,Canberra,1,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Preference Count,5141
ACT,101,Canberra,1,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Preference Percent,4.43
ACT,101,Canberra,1,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Transfer Count,385
ACT,101,Canberra,1,4,24118,MAHER,Damien,BTA,Bullet Train For Australia,N,N,Transfer Percent,30.46
ACT,101,Canberra,1,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Count,47946
ACT,101,Canberra,1,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Preference Percent,41.34
ACT,101,Canberra,1,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Count,333
ACT,101,Canberra,1,5,24122,BRODTMANN,Gai,ALP,Australian Labor Party,Y,Y,Transfer Percent,26.34
ACT,101,Canberra,1,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Preference Count,0
ACT,101,Canberra,1,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Preference Percent,0
ACT,101,Canberra,1,6,24238,BURT,Nicolle,SPA,Secular Party of Australia,N,N,Transfer Count,-1264
