2004 Federal Election House of Representatives Two Party Preferred By Division [12246 8/11/2005 11:10:13 PM]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,41405,48.67,43671,51.33,85076,-1.95
Aston,197,VIC,LP,51436,63.15,30009,36.85,81445,7.13
Ballarat,198,VIC,ALP,40057,47.77,43795,52.23,83852,1.02
Banks,103,NSW,ALP,35914,48.94,37468,51.06,73382,1.83
Barker,180,SA,LP,63392,69.88,27322,30.12,90714,3.25
Barton,104,NSW,ALP,31557,42.46,42772,57.54,74329,-1.52
Bass,192,TAS,LP,32860,52.63,29579,47.37,62439,4.69
Batman,199,VIC,ALP,21664,28.68,53880,71.32,75544,3.75
Bendigo,200,VIC,ALP,43210,49.04,44900,50.96,88110,2.59
Bennelong,105,NSW,LP,41735,54.33,35079,45.67,76814,-3.38
Berowra,106,NSW,LP,48358,62.16,29437,37.84,77795,-3.49
Blair,304,QLD,LP,50057,61.21,31724,38.79,81781,4.59
Blaxland,107,NSW,ALP,25622,37.13,43383,62.87,69005,2.34
Bonner,310,QLD,LP,39298,50.51,38503,49.49,77801,2.4
Boothby,182,SA,LP,47730,55.37,38478,44.63,86208,-2
Bowman,155,QLD,LP,46004,59.12,31805,40.88,77809,6.06
Braddon,193,TAS,LP,33127,51.13,31660,48.87,64787,7.09
Bradfield,108,NSW,LP,55336,68.51,25434,31.49,80770,-2.65
Brand,235,WA,ALP,33605,45.35,40499,54.65,74104,5.4
Brisbane,156,QLD,ALP,36564,46.1,42759,53.9,79323,-2.87
Bruce,201,VIC,ALP,36497,46.52,41954,53.48,78451,3
Calare,109,NSW,LP,41562,51.1,39772,48.9,81334,-0.6346
Calwell,203,VIC,ALP,33184,41.81,46184,58.19,79368,7.04
Canberra,101,ACT,ALP,40649,40.38,60029,59.62,100678,-0.18
Canning,236,WA,LP,44434,59.54,30189,40.46,74623,9.16
Capricornia,157,QLD,ALP,37044,44.86,45531,55.14,82575,0.38
Casey,204,VIC,LP,49111,61.35,30946,38.65,80057,4.15
Charlton,110,NSW,ALP,32751,42.08,45084,57.92,77835,-1.26
Chifley,111,NSW,ALP,26500,37.02,45084,62.98,71584,2.31
Chisholm,205,VIC,ALP,36850,47.35,40980,52.65,77830,0.03
Cook,112,NSW,LP,47470,63.82,26907,36.18,74377,-0.18
Corangamite,207,VIC,LP,46828,55.32,37814,44.68,84642,-0.05
Corio,208,VIC,ALP,35549,44.36,44588,55.64,80137,2.87
Cowan,237,WA,ALP,37598,49.22,38784,50.78,76382,4.73
Cowper,113,NSW,NP,43853,56.45,33830,43.55,77683,1.72
Cunningham,114,NSW,ALP,28229,38.54,45026,61.46,73255,-0.81
Curtin,238,WA,LP,48887,64.62,26771,35.38,75658,0.71
Dawson,158,QLD,NP,49399,60.38,32420,39.62,81819,2.39
Deakin,209,VIC,LP,44462,54.97,36422,45.03,80884,3.37
Denison,194,TAS,ALP,23427,36.71,40397,63.29,63824,0.97
Dickson,252,QLD,LP,44199,57.83,32229,42.17,76428,1.81
Dobell,115,NSW,LP,42151,55.9,33247,44.1,75398,5.52
Dunkley,210,VIC,LP,49253,59.38,33695,40.62,82948,4.16
Eden-Monaro,117,NSW,LP,43867,52.14,40263,47.86,84130,0.45
Fadden,159,QLD,LP,46393,65.28,24680,34.72,71073,2.16
Fairfax,160,QLD,LP,45452,60.83,29267,39.17,74719,1.65
Farrer,118,NSW,LP,53129,69.82,22968,30.18,76097,3.45
Fisher,161,QLD,LP,48068,62.98,28253,37.02,76321,1.21
Flinders,211,VIC,LP,50689,61.11,32255,38.89,82944,3.67
Forde,162,QLD,LP,47502,62.98,27916,37.02,75418,6
Forrest,239,WA,LP,46871,60.45,30665,39.55,77536,2.84
Fowler,119,NSW,ALP,20140,28.64,50174,71.36,70314,0.13
Franklin,195,TAS,ALP,27350,42.41,37139,57.59,64489,0.45
Fraser,102,ACT,ALP,39589,36.67,68359,63.33,107948,-0.64
Fremantle,240,WA,ALP,30696,42.24,41970,57.76,72666,2.91
Gellibrand,212,VIC,ALP,27833,35.05,51587,64.95,79420,5.46
Gilmore,120,NSW,LP,48130,60.08,31981,39.92,80111,-4.55
Gippsland,213,VIC,NP,49181,57.7,36053,42.3,85234,5.12
Goldstein,214,VIC,LP,49147,60.03,32721,39.97,81868,0.53
Gorton,309,VIC,ALP,28927,35.1,53486,64.9,82413,5.07
Grayndler,121,NSW,ALP,20686,27.4,54798,72.6,75484,-1.31
Greenway,122,NSW,LP,38381,50.58,37498,49.42,75879,3.69
Grey,183,SA,LP,55528,63.82,31480,36.18,87008,3.17
Griffith,163,QLD,ALP,33313,41.37,47207,58.63,80520,-2.48
Groom,164,QLD,LP,56121,68.95,25275,31.05,81396,3.86
Gwydir,123,NSW,NP,51835,68.39,23957,31.61,75792,3.51
Hasluck,305,WA,LP,37078,51.82,34468,48.18,71546,3.6
Herbert,165,QLD,LP,43828,56.2,34155,43.8,77983,4.67
Higgins,215,VIC,LP,46561,58.76,32678,41.24,79239,0.37
Hindmarsh,185,SA,ALP,43399,49.94,43507,50.06,86906,-1.02
Hinkler,166,QLD,NP,46458,54.81,38311,45.19,84769,2.66
Holt,216,VIC,ALP,39577,48.49,42036,51.51,81613,6.4
Hotham,217,VIC,ALP,33877,42.6,45655,57.4,79532,3.59
Hughes,124,NSW,LP,48279,61.04,30813,38.96,79092,0.63
Hume,125,NSW,LP,51908,64.13,29038,35.87,80946,4.34
Hunter,126,NSW,ALP,29231,36.25,51401,63.75,80632,-2.89
Indi,218,VIC,LP,54863,66.29,27901,33.71,82764,5.59
Isaacs,219,VIC,ALP,40783,48.52,43277,51.48,84060,5.14
Jagajaga,220,VIC,ALP,39006,45.6,46531,54.4,85537,0.88
Kalgoorlie,241,WA,LP,36502,56.3,28329,43.7,64831,1.96
Kennedy,167,QLD,NP,48022,58.95,33435,41.05,81457,0.4993
Kingsford Smith,127,NSW,ALP,30217,40.99,43498,59.01,73715,-0.11
Kingston,186,SA,LP,42327,50.07,42208,49.93,84535,1.42
Kooyong,221,VIC,LP,47498,59.58,32229,40.42,79727,-1.36
La Trobe,223,VIC,LP,43394,55.83,34337,44.17,77731,2.16
Lalor,222,VIC,ALP,33806,41.21,48218,58.79,82024,3.27
Leichhardt,168,QLD,LP,46541,60,31022,40,77563,3.61
Lilley,169,QLD,ALP,36817,44.73,45493,55.27,82310,-0.7
Lindsay,128,NSW,LP,40367,55.26,32687,44.74,73054,-0.21
Lingiari,306,NT,ALP,18204,42.34,24795,57.66,42999,-2.37
Longman,302,QLD,LP,44848,57.66,32926,42.34,77774,5.14
Lowe,129,NSW,ALP,35688,46.7,40727,53.3,76415,0.51
Lyne,130,NSW,NP,52564,63.03,30830,36.97,83394,1.79
Lyons,196,TAS,ALP,28065,46.32,32519,53.68,60584,4.49
Macarthur,131,NSW,LP,44209,59.51,30082,40.49,74291,2.55
Mackellar,132,NSW,LP,51415,65.75,26780,34.25,78195,-1.12
Macquarie,133,NSW,LP,46482,58.92,32403,41.08,78885,0.25
Makin,187,SA,LP,43186,50.93,41616,49.07,84802,-2.73
Mallee,224,VIC,NP,62680,74.75,21175,25.25,83855,3.89
Maranoa,170,QLD,NP,56085,70.93,22986,29.07,79071,5.55
Maribyrnong,225,VIC,ALP,31643,40.53,46431,59.47,78074,5.96
Mayo,188,SA,LP,52780,63.59,30223,36.41,83003,-0.7201
McEwen,226,VIC,LP,49322,56.42,38096,43.58,87418,4.1
McMillan,227,VIC,LP,41477,54.99,33954,45.01,75431,2.15
McPherson,171,QLD,LP,46737,63.89,26411,36.11,73148,1.72
Melbourne,228,VIC,ALP,23438,28.86,57766,71.14,81204,-1.26
Melbourne Ports,230,VIC,ALP,37763,46.26,43873,53.74,81636,1.95
Menzies,229,VIC,LP,49288,60.67,31951,39.33,81239,1.76
Mitchell,134,NSW,LP,59950,70.68,24865,29.32,84815,-0.64
Moncrieff,172,QLD,LP,51003,70.14,21718,29.86,72721,3.8
Moore,242,WA,LP,41486,60.83,26710,39.17,68196,4.79
Moreton,173,QLD,LP,42694,54.17,36118,45.83,78812,1.61
Murray,231,VIC,LP,59574,74.08,20843,25.92,80417,2.14
New England,135,NSW,NP,50847,63.21,29594,36.79,80441,-0.6387
Newcastle,136,NSW,ALP,32547,40.02,48771,59.98,81318,-3.07
North Sydney,137,NSW,LP,48145,60.03,32054,39.97,80199,-3.19
O'Connor,243,WA,LP,51389,70.39,21620,29.61,73009,1.3
Oxley,174,QLD,ALP,31774,40.28,47103,59.72,78877,-1.76
Page,138,NSW,NP,42099,54.23,35534,45.77,77633,1.46
Parkes,139,NSW,NP,48512,64.4,26823,35.6,75335,5.66
Parramatta,140,NSW,ALP,36926,49.23,38083,50.77,75009,-1.92
Paterson,249,NSW,LP,45244,56.97,34176,43.03,79420,5.55
Pearce,244,WA,LP,47219,62.94,27804,37.06,75023,6.06
Perth,245,WA,ALP,31826,43.27,41723,56.73,73549,4.48
Petrie,175,QLD,LP,46119,57.92,33508,42.08,79627,4.44
Port Adelaide,189,SA,ALP,31769,37.09,53888,62.91,85657,3.09
Prospect,142,NSW,ALP,32374,42.88,43119,57.12,75493,5.69
Rankin,176,QLD,ALP,36707,46.77,41774,53.23,78481,-0.81
Reid,144,NSW,ALP,23958,37.23,40388,62.77,64346,4.1
Richmond,145,NSW,ALP,39259,49.81,39560,50.19,78819,-1.87
Riverina,250,NSW,NP,57440,70.66,23854,29.34,81294,0.79
Robertson,146,NSW,LP,44308,56.81,33682,43.19,77990,-0.17
Ryan,177,QLD,LP,47997,60.42,31438,39.58,79435,0.86
Scullin,232,VIC,ALP,27563,35.21,50726,64.79,78289,5.45
Shortland,148,NSW,ALP,32521,40.51,47754,59.49,80275,-0.71
Solomon,307,NT,CLP,25303,52.81,22613,47.19,47916,2.72
Stirling,246,WA,LP,39578,52.04,36468,47.96,76046,3.62
Sturt,190,SA,LP,49481,56.8,37638,43.2,87119,-1.69
Swan,247,WA,ALP,34610,49.92,34714,50.08,69324,1.96
Sydney,149,NSW,ALP,27627,33.58,54656,66.42,82283,-1.38
Tangney,248,WA,LP,46050,61.75,28530,38.25,74580,3.78
Throsby,150,NSW,ALP,27680,35,51407,65,79087,0.1
Wakefield,191,SA,LP,40848,50.67,39768,49.33,80616,1.93
Wannon,233,VIC,LP,52504,62.37,31680,37.63,84184,3.14
Warringah,151,NSW,LP,45250,60.48,29566,39.52,74816,-2.18
Watson,251,NSW,ALP,24029,34.86,44899,65.14,68928,2.17
Wentworth,152,NSW,LP,40847,55.48,32777,44.52,73624,-2.38
Werriwa,153,NSW,ALP,31570,40.69,46012,59.31,77582,-0.82
Wide Bay,178,QLD,NP,51489,62.89,30388,37.11,81877,2.99
Wills,234,VIC,ALP,27155,33.1,54893,66.9,82048,3.67
