2019 Federal Election House of Representatives Two Party Preferred By Division [Event:24310 Phase:FinalResults Generated:2019-07-30T11:10:55 Cycle:02109509-c159-4199-88f6-389818be8a1c Created:2019-07-26T10:57:31 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.7.17.56581]
DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing
Adelaide,179,SA,ALP,44819,41.82,62362,58.18,107181,0.12
Aston,197,VIC,LP,60180,60.13,39910,39.87,100090,2.72
Ballarat,198,VIC,ALP,40068,39.02,62615,60.98,102683,-3.62
Banks,103,NSW,LP,51609,56.26,40121,43.74,91730,4.82
Barker,180,SA,LP,72851,68.94,32815,31.06,105666,5.07
Barton,104,NSW,ALP,36489,40.59,53418,59.41,89907,-1.11
Bass,192,TAS,LP,34648,50.41,34085,49.59,68733,5.83
Bean,318,ACT,ALP,39484,42.48,53455,57.52,92939,1.33
Bendigo,200,VIC,ALP,41645,40.96,60016,59.04,101661,-5.17
Bennelong,105,NSW,LP,54809,56.91,41496,43.09,96305,-2.81
Berowra,106,NSW,LP,61675,65.65,32272,34.35,93947,-0.8
Blair,304,QLD,ALP,46802,48.79,49123,51.21,95925,6.93
Blaxland,107,NSW,ALP,28509,35.28,52299,64.72,80808,4.76
Bonner,310,QLD,LNP,54072,57.41,40115,42.59,94187,4.02
Boothby,182,SA,LP,56812,51.38,53765,48.62,110577,-1.33
Bowman,155,QLD,LNP,59237,60.24,39102,39.76,98339,3.17
Braddon,193,TAS,LP,37151,53.09,32822,46.91,69973,4.82
Bradfield,108,NSW,LP,63997,66.56,32146,33.44,96143,-4.48
Brand,235,WA,ALP,38508,43.34,50333,56.66,88841,4.77
Brisbane,156,QLD,LNP,55995,54.92,45962,45.08,101957,-1.08
Bruce,201,VIC,ALP,33351,35.85,59689,64.15,93040,-0.1
Burt,317,WA,ALP,39626,45.01,48414,54.99,88040,2.12
Calare,109,NSW,NP,66006,63.29,38282,36.71,104288,1.48
Calwell,203,VIC,ALP,27288,31.2,60164,68.8,87452,0.93
Canberra,101,ACT,ALP,28442,32.92,57961,67.08,86403,-4.14
Canning,236,WA,LP,55947,61.55,34945,38.45,90892,4.76
Capricornia,157,QLD,LNP,55475,62.35,33492,37.65,88967,11.72
Casey,204,VIC,LP,54551,54.64,45277,45.36,99828,0.1
Chifley,111,NSW,ALP,34245,37.63,56761,62.37,91006,6.82
Chisholm,205,VIC,LP,48005,50.57,46915,49.43,94920,-2.34
Clark,319,TAS,ALP,22819,33.83,44642,66.17,67461,-0.84
Cook,112,NSW,LP,64894,69.02,29129,30.98,94023,3.63
Cooper,320,VIC,ALP,23079,23.68,74402,76.32,97481,-4.23
Corangamite,207,VIC,ALP,49725,48.93,51895,51.07,101620,-1.04
Corio,208,VIC,ALP,39180,39.68,59572,60.32,98752,-2.12
Cowan,237,WA,ALP,41718,49.17,43135,50.83,84853,-0.15
Cowper,113,NSW,NP,65302,61.88,40226,38.12,105528,-0.7
Cunningham,114,NSW,ALP,36841,36.59,63836,63.41,100677,-0.09
Curtin,238,WA,LP,57296,64.33,31766,35.67,89062,-6.37
Dawson,158,QLD,LNP,57405,64.61,31446,35.39,88851,11.24
Deakin,209,VIC,LP,53288,54.78,43981,45.22,97269,-1.66
Dickson,252,QLD,LNP,52968,54.64,43980,45.36,96948,2.95
Dobell,115,NSW,ALP,49209,48.5,52244,51.5,101453,3.31
Dunkley,210,VIC,ALP,45762,47.26,51066,52.74,96828,-1.71
Durack,312,WA,LP,50332,64.76,27389,35.24,77721,3.7
Eden-Monaro,117,NSW,ALP,48787,49.15,50472,50.85,99259,2.08
