region_id,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED101,71755,76005,147760,4712,4382,9094,9007,8380,17387,4744,4413,9157,5346,5234,10580,10537,11107,21644,9553,10717,20270,10132,10828,20960,7852,8365,16217,5177,5600,10777,3434,4490,7924,1261,2489,3750,69781,74168,143949,1976,1835,3811,430,488,918,29,25,54,17,12,29,476,525,1001,39661,41071,80732,28357,31265,59622,34633,36005,70638,33827,36891,70718,58894,62520,121414,989,977,1966,8056,7558,15614,3789,3625,7414,2571,2570,5141,2444,3366,5810,33402,35077,68479,2965,2767,5732,10707,11850,22557,2992,3703,6695,2939,3943,6882,690,1181,1871,68327,72239,140566,2874,3280,6154
CED102,70048,72021,142069,4726,4539,9265,8136,7599,15735,3855,3682,7537,4705,4480,9185,11557,11356,22913,10635,10903,21538,9037,9368,18405,7418,7800,15218,5104,5750,10854,3653,4207,7860,1222,2337,3559,68188,70387,138575,1859,1634,3493,354,367,721,23,15,38,5,14,19,382,396,778,36327,37053,73380,29205,30771,59976,28553,29133,57686,37520,39315,76835,56634,58955,115589,978,953,1931,7110,6696,13806,3030,2926,5956,2111,1971,4082,2834,3079,5913,32468,32493,64961,2806,2549,5355,9512,10186,19698,2452,2986,5438,3860,5084,8944,929,1416,2345,65758,67881,133639,4282,4362,8644
CED103,72395,76312,148707,4555,4261,8816,8558,7849,16407,4544,4327,8871,6097,6320,12417,11137,11212,22349,10209,11208,21417,10132,10739,20871,7906,8308,16214,4735,5452,10187,3340,4360,7700,1180,2276,3456,69977,74262,144239,2418,2050,4468,232,242,474,13,24,37,10,10,20,255,276,531,39123,40200,79323,30082,32995,63077,39402,40536,79938,30085,33008,63093,58087,60850,118937,1144,1021,2165,7921,7302,15223,3845,3724,7569,3611,3925,7536,3271,4104,7375,40004,41495,81499,2559,2633,5192,8205,9671,17876,2297,2938,5235,1966,2546,4512,494,700,1194,68030,72163,140193,4067,3893,7960
CED104,64822,66549,131371,3948,3717,7665,9537,8928,18465,5268,4908,10176,4379,4008,8387,5637,5799,11436,8498,9759,18257,10316,11137,21453,8724,8838,17562,5306,5212,10518,2429,2790,5219,780,1453,2233,62194,64489,126683,2627,2061,4688,218,228,446,11,21,32,8,8,16,237,257,494,43756,44669,88425,19267,20132,39399,49606,50377,99983,13716,14764,28480,58156,59617,117773,1186,1166,2352,9045,8465,17510,4478,4279,8757,2162,2141,4303,1730,2610,4340,32735,33563,66298,2980,3027,6007,9615,10748,20363,2438,2695,5133,1245,1334,2579,211,290,501,61877,64010,125887,1426,1741,3167
CED105,78768,79640,158408,6635,6328,12963,11816,10794,22610,5797,5335,11132,5724,5865,11589,11426,12143,23569,10248,10597,20845,10096,10054,20150,8031,7797,15828,4874,4782,9656,3062,3954,7016,1058,1993,3051,76809,77931,154740,1958,1711,3669,484,554,1038,40,45,85,9,9,18,533,608,1141,38731,39094,77825,34223,35217,69440,23772,23798,47570,49531,51155,100686,64731,66054,130785,1214,1159,2373,9808,8998,18806,4217,4053,8270,2025,2119,4144,2269,3261,5530,27931,28688,56619,3363,3267,6630,11958,11832,23790,3706,3954,7660,4953,5995,10948,1812,2665,4477,73652,74960,148612,5025,4646,9671
CED106,68427,74661,143088,4206,4015,8221,10463,10172,20635,5253,5378,10631,4190,4132,8322,6495,7144,13639,9212,10663,19875,10370,11410,21780,7885,8418,16303,5363,5860,11223,3499,4478,7977,1490,2992,4482,65623,72071,137694,2805,2588,5393,104,145,249,17,10,27,0,3,3,121,158,279,40203,43520,83723,25513,28303,53816,49196,52573,101769,16696,19473,36169,57368,62372,119740,1289,1203,2492,9843,9580,19423,4625,4829,9454,2450,2516,4966,2168,3242,5410,40360,42360,82720,2541,3202,5743,5224,7890,13114,1723,2172,3895,889,1206,2095,159,285,444,64216,69487,133703,3182,4615,7797
CED107,72472,72842,145314,5349,4998,10347,10570,9890,20460,5215,5010,10225,4726,4402,9128,7903,7998,15901,9038,9314,18352,9857,9862,19719,9131,8844,17975,6321,6315,12636,3495,4244,7739,866,1965,2831,68116,69215,137331,4354,3628,7982,3623,3519,7142,95,87,182,63,57,120,3781,3663,7444,62581,63344,125925,5591,5416,11007,65643,67271,132914,2258,2414,4672,65000,66725,131725,1177,1103,2280,9379,8723,18102,3498,3585,7083,1131,1468,2599,1519,2768,4287,17669,21431,39100,3751,3936,7687,19050,18206,37256,5722,5764,11486,4246,3639,7885,262,233,495,65040,66936,131976,7621,5446,13067
CED108,64014,67023,131037,4105,3953,8058,8814,8226,17040,4710,4339,9049,4024,3869,7893,7073,7515,14588,8296,8760,17056,8728,9273,18001,8194,8771,16965,5660,6049,11709,3235,4125,7360,1175,2143,3318,60712,64075,124787,3301,2947,6248,2046,2159,4205,53,39,92,47,26,73,2146,2224,4370,54910,57558,112468,6588,7005,13593,58946,61699,120645,3036,3356,6392,59354,62316,121670,1037,988,2025,8057,7528,15585,3183,3058,6241,1198,1285,2483,1567,2459,4026,16844,19055,35899,3755,3389,7144,18066,18629,36695,5754,6585,12339,3049,3251,6300,225,170,395,60063,63023,123086,3034,3408,6442
CED109,82100,84207,166307,7113,6548,13661,13775,12637,26412,6795,6478,13273,6012,5930,11942,11471,12367,23838,11188,12007,23195,10710,11077,21787,8113,8521,16634,4460,4816,9276,1957,2660,4617,507,1166,1673,79806,82282,162088,2295,1923,4218,2999,3118,6117,91,86,177,44,40,84,3134,3244,6378,46220,46889,93109,31292,32899,64191,46641,47145,93786,31387,33359,64746,68001,69878,137879,1351,1229,2580,11826,10909,22735,4512,4519,9031,1735,1791,3526,2264,3310,5574,27161,29033,56194,3913,3988,7901,15331,15488,30819,4849,5323,10172,4028,4772,8800,612,986,1598,78510,80615,159125,3291,3330,6621
CED110,66963,70693,137656,4670,4353,9023,8287,7915,16202,3872,3902,7774,4180,4220,8400,9077,9300,18377,9885,10334,20219,9162,9544,18706,7845,8104,15949,5233,5873,11106,3514,4751,8265,1238,2395,3633,64239,68300,132539,2724,2393,5117,539,507,1046,31,18,49,7,10,17,577,535,1112,52038,54715,106753,11780,13114,24894,56434,59195,115629,7829,9111,16940,60219,63617,123836,1215,1193,2408,7675,7322,14997,3098,3155,6253,1512,1637,3149,1714,2637,4351,28399,30054,58453,3414,3057,6471,13851,15345,29196,3053,4018,7071,1542,2026,3568,171,220,391,63192,67004,130196,2699,3018,5717
