region_id,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED101,0,14,4479,4493,171,225,4592,4988,4068,951,4798,9817,6251,645,2115,9011,6894,488,2115,9497,5359,312,1703,7374,3583,121,1094,4798,2324,26,783,3133,584,3,414,1001,29234,2785,22093,54112,7,34,4167,4208,484,326,4106,4916,5289,1025,4161,10475,6999,613,2579,10191,6804,460,3071,10335,5001,238,2678,7917,3048,69,2134,5251,1638,13,2347,3998,251,6,1348,1605,29521,2784,26591,58896,7,48,8646,8701,655,551,8698,9904,9357,1976,8959,20292,13250,1258,4694,19202,13698,948,5186,19832,10360,550,4381,15291,6631,190,3228,10049,3962,39,3130,7131,835,9,1762,2606,58755,5569,48684,113008
CED102,0,8,3651,3659,212,179,3928,4319,4289,1040,5221,10550,6380,819,2621,9820,5515,643,2204,8362,4785,357,1753,6895,3603,99,1043,4745,2496,24,755,3275,581,3,390,974,27861,3172,21566,52599,17,14,3442,3473,650,293,3223,4166,5551,1112,3887,10550,6678,785,2784,10247,5535,575,2785,8895,4588,255,2518,7361,3228,52,2117,5397,1574,14,2122,3710,271,3,1373,1647,28092,3103,24251,55446,17,22,7093,7132,862,472,7151,8485,9840,2152,9108,21100,13058,1604,5405,20067,11050,1218,4989,17257,9373,612,4271,14256,6831,151,3160,10142,4070,38,2877,6985,852,6,1763,2621,55953,6275,45817,108045
CED103,3,10,4189,4202,129,257,5007,5393,4181,1122,4964,10267,6709,670,2151,9530,7006,500,1986,9492,5456,289,1607,7352,3372,99,909,4380,2276,35,710,3021,523,5,397,925,29655,2987,21920,54562,7,25,4026,4058,305,400,4920,5625,5275,1173,4048,10496,7540,637,2529,10706,7056,469,2724,10249,5000,246,2588,7834,2956,52,2058,5066,1581,12,2311,3904,251,0,1343,1594,29971,3014,26547,59532,10,35,8215,8260,434,657,9927,11018,9456,2295,9012,20763,14249,1307,4680,20236,14062,969,4710,19741,10456,535,4195,15186,6328,151,2967,9446,3857,47,3021,6925,774,5,1740,2519,59626,6001,48467,114094
CED104,0,6,5020,5026,52,86,3951,4089,1991,492,2776,5259,6261,547,1267,8075,7922,558,1239,9719,6926,326,951,8203,4184,112,605,4901,1754,23,425,2202,378,5,235,618,29468,2155,16469,48092,3,19,4667,4689,108,141,3506,3755,2891,522,2065,5478,7486,613,1331,9430,8410,522,1804,10736,6466,277,1634,8377,3306,75,1492,4873,1177,11,1299,2487,181,3,783,967,30028,2183,18581,50792,3,25,9687,9715,160,227,7457,7844,4882,1014,4841,10737,13747,1160,2598,17505,16332,1080,3043,20455,13392,603,2585,16580,7490,187,2097,9774,2931,34,1724,4689,559,8,1018,1585,59496,4338,35050,98884
CED105,7,10,5450,5467,378,138,4697,5213,4736,532,5069,10337,6165,485,2704,9354,6346,387,2632,9365,5040,224,2137,7401,3233,87,1146,4466,1892,19,774,2685,428,7,364,799,28225,1889,24973,55087,71,33,4964,5068,1188,197,4036,5421,6385,569,4293,11247,6405,477,3055,9937,5991,342,3175,9508,4442,191,2680,7313,2454,54,1893,4401,1248,13,2148,3409,196,5,1154,1355,28380,1881,27398,57659,78,43,10414,10535,1566,335,8733,10634,11121,1101,9362,21584,12570,962,5759,19291,12337,729,5807,18873,9482,415,4817,14714,5687,141,3039,8867,3140,32,2922,6094,624,12,1518,2154,56605,3770,52371,112746
CED106,4,0,4913,4917,68,106,3670,3844,2487,624,2843,5954,6926,478,1207,8611,8071,451,1159,9681,5975,257,1052,7284,4084,109,677,4870,2513,35,580,3128,762,8,383,1153,30890,2068,16484,49442,0,10,4816,4826,162,180,3410,3752,3511,673,2396,6580,8000,497,1632,10129,8307,407,2179,10893,5764,207,1939,7910,3627,70,1701,5398,1840,13,2027,3880,377,0,1405,1782,31588,2057,21505,55150,4,10,9729,9743,230,286,7080,7596,5998,1297,5239,12534,14926,975,2839,18740,16378,858,3338,20574,11739,464,2991,15194,7711,179,2378,10268,4353,48,2607,7008,1139,8,1788,2935,62478,4125,37989,104592
CED107,0,67,4265,4332,171,688,2816,3675,2590,1566,2505,6661,4783,1062,2044,7889,5501,845,2430,8776,5461,498,2129,8088,3827,181,1513,5521,2051,30,933,3014,364,3,274,641,24748,4940,18909,48597,15,197,4016,4228,329,952,2368,3649,3448,1533,2390,7371,5338,1059,2295,8692,5877,783,2483,9143,5285,404,2313,8002,3248,129,2208,5585,1448,21,2164,3633,187,3,1043,1233,25175,5081,21280,51536,15,264,8281,8560,500,1640,5184,7324,6038,3099,4895,14032,10121,2121,4339,16581,11378,1628,4913,17919,10746,902,4442,16090,7075,310,3721,11106,3499,51,3097,6647,551,6,1317,1874,49923,10021,40189,100133
CED108,4,38,4270,4312,158,414,3032,3604,2583,1360,2535,6478,4758,1013,1912,7683,5364,678,2064,8106,5440,447,1639,7526,3888,165,999,5052,2029,49,764,2842,493,9,333,835,24717,4173,17548,46438,4,94,3916,4014,297,646,2540,3483,3422,1416,2230,7068,5233,916,2220,8369,5659,740,2404,8803,5428,387,2308,8123,3371,142,1971,5484,1497,16,1995,3508,250,3,1019,1272,25161,4360,20603,50124,8,132,8186,8326,455,1060,5572,7087,6005,2776,4765,13546,9991,1929,4132,16052,11023,1418,4468,16909,10868,834,3947,15649,7259,307,2970,10536,3526,65,2759,6350,743,12,1352,2107,49878,8533,38151,96562
CED109,4,53,6329,6386,239,364,4937,5540,4414,1185,5038,10637,6732,915,2826,10473,7009,636,2480,10125,5577,314,1771,7662,3089,95,980,4164,1180,19,546,1745,198,3,146,347,28442,3584,25053,57079,26,103,6016,6145,631,508,4363,5502,6009,1267,4444,11720,7134,868,3512,11514,6748,629,3224,10601,4992,251,2867,8110,2319,65,2114,4498,705,9,1549,2263,65,0,564,629,28629,3700,28653,60982,30,156,12345,12531,870,872,9300,11042,10423,2452,9482,22357,13866,1783,6338,21987,13757,1265,5704,20726,10569,565,4638,15772,5408,160,3094,8662,1885,28,2095,4008,263,3,710,976,57071,7284,53706,118061
CED110,0,8,3675,3683,93,320,3433,3846,2925,1680,3582,8187,6068,990,2091,9149,5813,602,2109,8524,5292,413,1568,7273,3768,120,896,4784,2443,34,732,3209,589,7,414,1010,26991,4174,18500,49665,4,23,3666,3693,200,529,3151,3880,3947,1708,2922,8577,6683,933,2255,9871,5941,623,2540,9104,5068,305,2229,7602,3413,94,1930,5437,1867,18,2382,4267,293,7,1349,1649,27416,4240,22424,54080,4,31,7341,7376,293,849,6584,7726,6872,3388,6504,16764,12751,1923,4346,19020,11754,1225,4649,17628,10360,718,3797,14875,7181,214,2826,10221,4310,52,3114,7476,882,14,1763,2659,54407,8414,40924,103745
