region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
CED101,5256,42781,8900,147762
CED102,5041,32046,10305,142064
CED103,6115,45004,7895,148710
CED104,7071,58211,4738,131372
CED105,4434,25770,14112,158402
CED106,8186,52495,6997,143094
CED107,4711,109087,11030,145315
CED108,5460,93050,6821,131021
CED109,5750,52184,11847,166314
CED110,7563,77503,7322,137649
CED111,5491,94791,9144,134852
CED112,8170,75716,8108,144772
CED113,6871,89175,9164,138035
CED114,6237,85990,9498,135390
CED115,3970,103219,9299,135008
CED116,3433,20440,11381,148970
CED117,6368,84447,9174,133216
CED118,7380,46847,11797,147247
CED119,6073,52960,8663,154741
CED120,6334,69283,7604,141704
CED121,5647,98830,9340,139139
CED122,4817,105028,9443,138393
CED123,6962,46640,14446,157483
CED124,7559,77580,10054,148981
CED125,4970,91994,8161,127421
CED126,6964,73462,8677,140484
CED127,8926,65786,7822,139674
CED128,8058,81740,8854,138211
CED129,4565,34762,8143,143443
CED130,6543,55147,5606,137979
CED131,4103,113819,9961,144889
CED132,5769,88319,9448,132236
CED133,8219,52167,9438,148080
CED134,4955,99709,8193,132869
CED135,3936,119900,12061,150930
CED136,5022,34355,14196,164645
CED137,5190,91413,8414,127990
CED138,5418,33675,14926,166482
CED139,6831,84064,9013,133987
CED140,4117,107652,9843,145030
CED141,7092,80972,9888,134897
CED142,5554,90500,7183,127854
CED143,7485,49652,21535,170698
CED144,7282,71900,7842,133448
CED145,9138,59515,10281,146798
CED146,4638,21637,13482,161620
CED147,8669,50334,19277,157032
CED148,5742,45163,10997,148307
CED194,512,5475,2883,12918
CED197,9,44,8,119
CED201,6077,55591,4962,130432
CED202,5496,101099,8599,141324
CED203,5449,46672,10230,136479
CED204,4654,106156,8924,140617
CED205,3908,29929,8121,135286
CED206,6254,55368,11585,167564
CED207,7641,74880,6076,131586
CED208,5192,46344,7737,139662
CED209,6390,95708,7201,141282
CED210,5748,77442,8587,131774
CED211,6062,59241,6214,126674
CED212,8065,71671,9036,138953
CED213,7602,83754,9393,140889
CED214,6216,50203,11813,148818
CED215,5539,92903,9856,138101
CED216,7484,60488,7300,134715
CED217,6505,39998,14346,189513
CED218,6859,58411,8789,132120
CED219,7788,60277,11079,190193
CED220,5105,40769,7341,133689
CED221,4894,93182,6969,128221
CED222,7135,60231,9907,155987
CED223,6312,68763,6434,129585
CED224,6730,58001,6503,129436
CED225,8379,74466,7687,145903
CED226,9863,85428,15450,217496
CED227,3377,96517,8288,128163
CED228,4358,40524,9320,128995
CED229,8838,108738,9779,181600
CED230,6673,89488,7723,138276
CED231,7726,59741,18557,177635
CED232,8108,55046,13657,153141
CED233,5070,44590,5033,122210
CED234,3884,92882,9200,130075
CED235,4416,41128,8081,132061
CED236,3892,98218,8237,126900
CED237,6251,51138,10556,150354
CED294,338,3186,1827,8303
CED297,0,16,3,35
CED301,6405,88588,9891,136041
CED302,7292,72401,7737,141174
CED303,7553,76404,7181,138668
CED304,7942,73723,10912,145060
CED305,5478,105743,13339,147423
CED306,6366,98946,13358,151511
CED307,7520,82855,5934,136793
CED308,7775,66901,10307,145984
CED309,7134,78190,7500,132004
CED310,6566,74269,7666,125222
CED311,5457,104927,12239,148120
CED312,8168,71394,9757,144962
CED313,7658,70159,9832,142638
CED314,5025,102013,8684,139619
CED315,6980,97094,12079,149203
CED316,5519,90013,9055,134642
CED317,6422,101751,13965,155119
CED318,8722,90428,15395,162266
CED319,7484,80302,9048,145657
CED320,7399,86517,10531,141757
CED321,4701,112652,10679,147837
CED322,7864,71972,10280,141065
CED323,7815,64328,15228,147711
CED324,6783,56583,9276,145975
CED325,6758,56665,11193,144526
CED326,7043,74848,8803,139584
CED327,8052,68140,12108,167858
CED328,8722,75274,6937,148092
CED329,6215,89098,9801,135708
CED330,7273,83548,8975,137516
CED394,452,6009,1984,12546
CED397,29,218,79,472
CED401,6774,64197,10578,150021
CED402,5242,107257,8848,148383
CED403,6913,71532,6369,134142
CED404,5211,103499,10080,144797
CED405,6006,67315,7701,137653
CED406,8458,78068,8198,149177
CED407,7341,63178,7304,133051
CED408,7331,85249,6246,139625
CED409,6875,67951,10717,160214
CED410,6153,59475,6682,140211
CED411,8869,83925,10324,156223
CED494,141,1401,568,3070
CED497,0,0,5,5
CED501,10229,62214,12497,155742
CED502,9816,65248,11531,147509
CED503,8296,48007,7835,142414
CED504,8778,54240,9754,138550
CED505,8187,101427,24385,177237
CED506,8392,76403,10319,139437
CED507,8942,55579,9188,144415
CED508,9132,57293,11566,149335
CED509,8764,45977,7840,144452
CED510,8478,85088,12669,150391
CED511,9855,63354,12973,153912
CED512,7642,44998,11944,145064
CED513,7404,45448,11155,141984
CED514,8165,49036,13891,159106
CED515,7700,45826,7601,141938
CED594,297,2791,1344,7294
CED597,18,163,69,409
CED601,3721,71259,5638,99251
CED602,2898,75060,5976,98142
CED603,4317,62295,6087,98953
CED604,4088,67072,5400,97700
CED605,2988,75548,6159,100109
CED694,22,640,163,1069
CED697,0,63,13,108
CED701,3495,76086,11343,109476
CED702,5686,48732,13543,103111
CED794,70,929,268,1869
CED797,3,50,10,110
CED801,10072,89913,8225,168502
CED802,10945,90627,11135,188466
CED894,38,288,79,641
CED897,0,0,0,0
CED994,0,16,0,23
CED997,0,3,0,3
