region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED101,3469,4550,8019,8874,10328,19202,4,3,7,1386,1729,3115,44,41,85,17208,19291,36499,60,58,118,7421,7396,14817,157,236,393,135,174,309,182,198,380,848,804,1652,201,263,464,498,640,1138,1463,1670,3133,144,184,328,95,122,217,1646,2165,3811,1161,1291,2452,170,206,376,41697,46799,88496,1709,1411,3120,3736,3616,7352,118,110,228,3,0,3,388,402,790,391,402,793,15195,14036,29231,414,270,684,5026,4811,9837,71755,76005,147760
CED102,2429,3204,5633,5488,6512,12000,16,18,34,610,661,1271,18,20,38,16974,18784,35758,57,72,129,13910,14325,28235,180,232,412,112,119,231,167,176,343,989,981,1970,155,165,320,462,553,1015,1021,1136,2157,143,238,381,81,83,164,1053,1315,2368,757,924,1681,111,110,221,42304,46424,88728,2487,1802,4289,6362,5740,12102,147,159,306,3,3,6,375,324,699,378,327,705,10255,9267,19522,413,246,659,5272,4852,10124,70047,72021,142068
CED103,2940,3873,6813,8662,9922,18584,15,9,24,1746,2103,3849,162,221,383,19318,21361,40679,79,90,169,1948,2068,4016,107,152,259,80,98,178,283,312,595,876,965,1841,282,312,594,736,827,1563,3055,3454,6509,74,83,157,97,109,206,2347,2900,5247,1447,1690,3137,113,113,226,41427,46789,88216,2466,2168,4634,1631,1493,3124,234,245,479,3,3,6,587,577,1164,590,580,1170,17767,16229,33996,523,289,812,4817,4646,9463,72395,76312,148707
CED104,1584,1903,3487,13214,14559,27773,0,4,4,1813,2018,3831,123,160,283,16506,17812,34318,116,132,248,878,832,1710,134,180,314,138,164,302,371,371,742,158,160,318,199,227,426,960,1090,2050,2078,2210,4288,89,96,185,391,452,843,3299,3870,7169,1398,1508,2906,110,102,212,41975,45947,87922,1610,1606,3216,866,818,1684,190,190,380,4,3,7,505,511,1016,509,514,1023,14189,12057,26246,508,311,819,3389,3204,6593,64820,66550,131370
CED105,7394,8272,15666,5219,5737,10956,71,56,127,1188,1336,2524,22,23,45,20527,21753,42280,46,80,126,5174,5074,10248,185,266,451,240,250,490,209,213,422,499,466,965,279,297,576,762,876,1638,1010,1059,2069,106,140,246,183,232,415,1122,1329,2451,887,1038,1925,141,118,259,37870,40343,78213,1022,927,1949,18221,17684,35905,25,22,47,6,0,6,576,515,1091,582,515,1097,6836,5797,12633,260,190,450,6557,5891,12448,78767,79641,158408
CED106,1736,2312,4048,14263,16930,31193,0,0,0,874,1056,1930,23,22,45,14264,16766,31030,76,90,166,842,934,1776,68,107,175,60,58,118,348,439,787,219,202,421,249,298,547,528,662,1190,2346,2673,5019,70,91,161,317,487,804,3595,4745,8340,1222,1472,2694,106,115,221,39470,47147,86617,1636,1605,3241,782,778,1560,2006,2053,4059,0,0,0,703,689,1392,703,689,1392,16801,14897,31698,559,325,884,4734,4855,9589,68427,74661,143088
CED107,377,449,826,17868,19342,37210,0,0,0,1099,1193,2292,360,380,740,22520,23781,46301,53,78,131,286,235,521,164,227,391,87,87,174,302,337,639,25,28,53,173,181,354,538,613,1151,2848,3057,5905,215,302,517,168,176,344,4754,5452,10206,1318,1467,2785,51,43,94,52829,56979,109808,127,132,259,197,165,362,28,25,53,23,13,36,189,266,455,212,279,491,11336,9448,20784,572,290,862,6793,5075,11868,72471,72842,145313
CED108,403,499,902,16045,17978,34023,0,0,0,1634,1807,3441,107,114,221,13809,15385,29194,39,63,102,759,710,1469,283,386,669,147,167,314,214,261,475,13,10,23,124,153,277,723,844,1567,2158,2317,4475,452,555,1007,1606,1821,3427,4356,5437,9793,1407,1672,3079,182,175,357,44058,49855,93913,221,211,432,319,241,560,27,37,64,7,7,14,177,248,425,184,255,439,13844,11526,25370,567,332,899,4389,4068,8457,64012,67024,131036
CED109,1000,1226,2226,11417,12666,24083,68,64,132,1104,1192,2296,34,32,66,28527,30553,59080,319,303,622,1730,1758,3488,338,424,762,786,846,1632,226,237,463,1094,1077,2171,706,772,1478,1513,1607,3120,1771,1975,3746,132,170,302,547,617,1164,2087,2309,4396,2074,2262,4336,254,298,552,54727,59162,113889,3932,3824,7756,5810,5606,11416,28,33,61,8,8,16,1592,1363,2955,1600,1371,2971,9100,7575,16675,466,337,803,5438,5073,10511,82101,84207,166308
CED110,686,1002,1688,16532,18738,35270,3,3,6,1196,1350,2546,15,15,30,19909,22183,42092,90,106,196,3055,3112,6167,124,163,287,72,92,164,265,322,587,249,243,492,165,199,364,509,613,1122,1781,2163,3944,124,165,289,45,48,93,2461,3124,5585,970,1071,2041,73,99,172,47638,53809,101447,336,324,660,497,522,1019,116,111,227,0,3,3,197,189,386,197,192,389,12556,10320,22876,499,287,786,4437,4126,8563,66962,70693,137655
CED111,595,842,1437,16065,18005,34070,0,0,0,894,966,1860,0,6,6,14250,15567,29817,60,67,127,136,163,299,403,539,942,75,102,177,279,323,602,10,8,18,85,138,223,833,1002,1835,2840,3080,5920,320,379,699,425,550,975,3330,4115,7445,1498,1745,3243,85,94,179,41588,46849,88437,112,109,221,138,115,253,53,42,95,55,41,96,752,839,1591,807,880,1687,15834,14093,29927,842,628,1470,5997,5322,11319,65966,68880,134846
CED112,1019,1197,2216,13833,15721,29554,3,0,3,799,815,1614,174,180,354,18884,20729,39613,134,144,278,3536,3454,6990,231,307,538,86,110,196,393,474,867,78,56,134,129,171,300,624,819,1443,2054,2388,4442,279,334,613,97,107,204,3140,3812,6952,1226,1420,2646,60,77,137,45760,51118,96878,394,345,739,1420,1251,2671,56,68,124,17,11,28,279,331,610,296,342,638,16790,13961,30751,831,471,1302,5056,4400,9456,71622,73153,144775
