region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,8723,4943,3392,1530,69169
CED102,7616,4256,2850,1294,66383
CED103,10563,5624,3762,1743,79987
CED104,12695,6651,2882,1197,68621
CED105,6622,3616,2458,1037,56594
CED106,12699,7973,5038,2519,79630
CED107,9880,5794,3199,1055,60507
CED108,9630,5924,3408,1379,56677
CED109,7835,3577,1740,602,60355
CED110,10315,6119,4229,1685,70359
CED111,11447,6929,3914,1667,57789
CED112,10520,5767,3660,1535,70758
CED113,9046,5775,3894,1764,58418
CED114,11863,7175,3613,1365,62189
CED115,9024,5584,3490,1460,54367
CED116,5663,2872,1564,551,46940
CED117,11148,7902,4633,1561,60893
CED118,8742,3666,2185,1123,82127
CED119,8045,3611,1805,579,69343
CED120,9808,4602,2241,758,64893
CED121,10670,6389,3129,1060,58622
CED122,8297,4318,2366,790,54930
CED123,9263,5300,3170,1308,83959
CED124,8340,3992,1861,718,58995
CED125,10580,7675,4804,1859,55528
CED126,8262,3747,1625,508,55761
CED127,11443,7493,4066,2292,72743
CED128,12246,6469,2982,1174,66881
CED129,7188,3461,1630,447,51956
CED130,10577,5542,2320,1153,68375
CED131,10311,6325,3354,1264,58702
CED132,8745,4981,3299,1505,63489
CED133,12083,6765,3637,1837,90584
CED134,10689,6162,3860,1487,54815
CED135,8940,5523,2981,980,57280
CED136,8020,4413,2694,1171,82090
CED137,10053,7598,4130,1500,55800
CED138,9067,4459,2564,1126,85550
CED139,11670,6479,4094,1628,61170
CED140,8457,4687,2752,1049,56421
CED141,10356,6997,4721,2236,63256
CED142,9174,6442,4129,1341,55433
CED143,10370,4986,2106,619,113622
CED144,8941,6054,3718,1126,54991
CED145,11207,6985,3760,1835,86032
CED146,6936,3871,2643,1268,66852
CED147,12009,7029,3815,2094,102114
CED148,7489,3094,1450,604,57585
CED194,1020,562,136,71,7324
CED197,8,15,13,3,63
CED201,9058,4782,2364,1015,58746
CED202,9786,5569,3115,1229,60768
CED203,6037,2988,2244,1103,66188
CED204,10467,6374,3621,1564,60508
CED205,8448,5687,3071,1060,61480
CED206,6932,3490,1758,443,59982
CED207,8927,4952,2589,1179,58279
CED208,8485,5305,4185,1941,73425
CED209,11331,6803,3906,1604,65766
CED210,8013,4800,3112,1215,55693
CED211,7887,5551,3954,1812,62957
CED212,9793,6482,3864,1691,63093
CED213,10551,8206,4845,1893,62517
CED214,7140,3461,2392,1021,70691
CED215,10361,6321,3338,1103,57497
CED216,11254,6382,4002,2402,71931
CED217,7872,3485,1612,571,73332
CED218,10231,5978,3306,1528,79006
CED219,8313,3791,1932,625,72883
CED220,7058,4106,3047,1340,60762
CED221,10076,5738,3193,1249,54683
CED222,8665,4944,3053,1282,67082
CED223,10290,5512,3090,1498,65452
CED224,11283,6098,3724,2156,73775
CED225,9666,5044,2396,911,65315
CED226,9539,4132,1782,636,88851
CED227,7497,4449,2886,1247,47143
CED228,7010,3997,2619,1087,56045
CED229,12231,6226,2574,823,78714
CED230,9241,5966,3263,1204,56648
CED231,9608,4638,2029,698,109873
CED232,11318,5636,2970,1533,97575
CED233,9424,6733,3294,1287,60089
CED234,7576,4864,3085,1262,48636
CED235,6358,3161,1754,646,50866
CED236,8711,4909,2979,1169,50331
