region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,117,267,532,545,587,334,80,3,0,2465,87,218,452,377,354,201,59,26,7,1781,2627,6540,16074,15271,15781,9006,1727,178,30,67234
CED102,110,248,561,615,553,335,83,12,0,2517,91,242,508,441,350,232,70,18,6,1958,2156,5895,17070,16285,13854,8452,1747,170,27,65656
CED103,98,252,547,597,645,402,104,8,0,2653,62,179,405,366,372,231,60,13,8,1696,2672,6682,16987,16627,16505,10089,2129,247,30,71968
CED104,155,312,330,548,673,406,123,6,0,2553,93,131,212,306,312,219,84,25,6,1388,3885,6421,9279,14928,18165,11988,2872,313,28,67879
CED105,125,291,614,612,499,264,53,3,3,2464,125,346,563,501,464,194,48,16,7,2264,2439,6323,13848,12409,12025,6974,1096,106,19,55239
CED106,84,209,282,386,429,287,94,17,4,1792,80,131,229,308,340,233,109,30,9,1469,3017,5845,10644,15299,17367,10738,3282,539,66,66797
CED107,223,371,523,513,495,320,82,9,0,2536,120,135,205,258,254,221,104,30,11,1338,4234,6015,11265,13909,15105,10508,2638,467,50,64191
CED108,207,351,549,623,516,356,84,10,0,2696,121,124,238,269,281,172,52,7,0,1264,4214,5697,11098,13348,13831,8894,1383,131,14,58610
CED109,168,309,555,533,549,330,55,6,0,2505,186,305,538,495,436,239,62,13,4,2278,3825,7323,15899,15804,15093,8457,1120,67,7,67595
CED110,141,321,563,556,518,336,100,13,0,2548,103,138,320,323,313,209,75,39,6,1526,3624,6723,15327,16583,15467,10362,2454,307,39,70886
CED111,150,189,304,449,461,317,64,11,0,1945,93,65,159,244,251,187,59,34,8,1100,3544,3438,7300,10877,13728,9642,1631,258,25,50443
CED112,155,343,520,560,516,303,93,12,0,2502,103,165,242,253,286,172,40,18,3,1282,3906,6990,13348,15139,15428,9041,1432,154,19,65457
CED113,142,271,511,616,519,302,52,8,0,2421,106,119,249,271,251,194,60,16,7,1273,4217,5355,10745,13633,13906,8637,1433,140,13,58079
CED114,175,271,366,497,496,358,62,8,0,2233,121,102,195,254,268,210,73,22,4,1249,3948,4538,10005,13859,15814,10671,2188,315,31,61369
CED115,167,262,384,446,433,300,85,9,0,2086,132,116,224,256,295,259,117,42,12,1453,3924,4975,9968,12467,14730,10597,2582,432,56,59731
CED116,111,297,594,650,491,214,48,3,0,2408,130,322,601,575,513,270,38,12,5,2466,2567,6267,12571,12550,13155,6425,782,70,5,54392
CED117,133,252,329,412,421,302,52,6,0,1907,86,100,146,181,226,137,61,26,19,982,3543,4311,8133,11541,13699,8901,1605,196,23,51952
CED118,79,266,741,678,540,312,64,11,3,2694,79,222,490,387,314,178,54,21,6,1751,1779,7060,22903,21297,15302,8406,1412,142,19,78320
CED119,133,338,749,715,544,322,63,3,0,2867,112,214,515,457,371,210,54,8,0,1941,3381,6783,19781,19512,15215,9041,1341,78,3,75135
CED120,174,347,515,593,661,405,85,3,0,2783,108,191,328,343,330,228,50,15,0,1593,4187,7256,14030,16574,16713,10581,1730,85,19,71175
CED121,234,260,428,587,446,366,91,11,0,2423,107,138,210,287,297,260,103,47,15,1464,4019,4922,9583,14481,15680,11106,2731,509,65,63096
CED122,291,513,714,669,538,278,52,3,0,3058,128,160,274,337,280,205,75,35,3,1497,4476,6286,12776,14249,13916,8631,1578,244,23,62179
CED123,80,268,650,534,503,331,99,5,4,2474,79,219,504,389,345,212,90,22,9,1869,2440,7629,21491,18437,14667,8779,2066,245,28,75782
CED124,233,407,707,637,524,345,65,5,0,2923,146,246,406,439,371,229,59,10,3,1909,4457,7657,16638,16353,14866,9834,1489,86,15,71395
CED125,124,164,314,467,458,309,72,6,0,1914,73,56,102,172,209,173,66,37,0,888,3259,3141,6657,10433,12888,8836,1805,275,29,47323
CED126,222,366,595,604,505,363,60,3,0,2718,145,204,369,366,328,197,53,12,0,1674,4217,6885,14417,15786,14591,9468,1449,108,6,66927
CED127,161,321,572,654,672,425,125,12,0,2942,104,134,256,401,392,258,124,27,5,1701,3532,5522,12076,17432,16997,11305,3124,349,41,70378
