region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
CED101,6393,6637,13030,274,503,777,5,3,8,10,15,25,74,38,112,20805,14371,35176,1009,1822,2831,669,3,672,207,17,224,166,18,184,182,85,267,709,1003,1712,30503,24515,55018,704,816,1520,11,3,14,29,24,53,533,457,990,145,306,451,78,35,113,1500,1641,3141,0,0,0,0,0,0,12,14,26,14,45,59,3,3,6,29,62,91,159,87,246,1688,1790,3478,160,176,336,3,6,9,12,0,12,175,182,357,788,1065,1853,2070,3391,5461,566,500,1066,35790,31443,67233
CED102,5709,5597,11306,539,943,1482,3,4,7,7,13,20,110,60,170,20559,13350,33909,992,1961,2953,658,11,669,272,34,306,187,35,222,212,96,308,823,1075,1898,30071,23179,53250,1078,1206,2284,11,7,18,11,14,25,408,429,837,91,246,337,67,39,106,1666,1941,3607,0,0,0,0,0,0,30,35,65,18,61,79,5,5,10,53,101,154,149,69,218,1868,2111,3979,176,193,369,3,6,9,12,0,12,191,199,390,759,981,1740,2035,3137,5172,624,500,1124,35548,30107,65655
CED103,4103,3647,7750,2556,2973,5529,88,57,145,12,11,23,81,45,126,21270,16265,37535,955,2055,3010,482,0,482,415,39,454,380,47,427,187,79,266,1271,1132,2403,31800,26350,58150,841,801,1642,5,5,10,13,15,28,422,320,742,141,238,379,77,19,96,1499,1398,2897,9,11,20,0,0,0,129,131,260,41,110,151,27,25,52,206,277,483,197,125,322,1902,1800,3702,166,189,355,19,25,44,13,3,16,198,217,415,1270,1478,2748,2233,3911,6144,423,388,811,37826,34144,71970
CED104,3151,2341,5492,1564,1256,2820,5,5,10,4,8,12,55,25,80,20831,17331,38162,916,1504,2420,686,11,697,313,19,332,166,37,203,218,73,291,705,643,1348,28614,23253,51867,487,387,874,5,13,18,8,0,8,951,601,1552,207,267,474,104,25,129,1762,1293,3055,0,5,5,0,0,0,119,124,243,40,67,107,4,7,11,163,203,366,238,128,366,2163,1624,3787,208,181,389,9,7,16,20,3,23,237,191,428,2013,2485,4498,2400,4171,6571,385,344,729,35812,32068,67880
CED105,3060,3092,6152,300,553,853,0,0,0,5,5,10,123,40,163,20536,12301,32837,1439,1992,3431,909,13,922,133,4,137,140,13,153,220,61,281,505,603,1108,27370,18677,46047,462,567,1029,4,3,7,10,8,18,421,325,746,123,220,343,43,13,56,1063,1136,2199,0,0,0,0,3,3,12,19,31,19,45,64,5,9,14,36,76,112,133,79,212,1232,1291,2523,123,137,260,4,8,12,4,0,4,131,145,276,435,640,1075,1646,2209,3855,896,563,1459,31710,23525,55235
CED106,6702,5036,11738,544,406,950,3,3,6,14,3,17,111,29,140,17764,14389,32153,708,1506,2214,232,12,244,257,20,277,331,35,366,205,92,297,1019,1144,2163,27890,22675,50565,658,595,1253,0,3,3,12,12,24,1077,700,1777,222,348,570,112,33,145,2081,1691,3772,0,0,0,0,4,4,51,36,87,16,20,36,3,0,3,70,60,130,190,98,288,2341,1849,4190,197,159,356,3,3,6,25,10,35,225,172,397,2112,2526,4638,2280,4065,6345,339,323,662,35187,31610,66797
CED107,42,37,79,244,154,398,6,8,14,4,0,4,103,101,204,22825,19245,42070,2096,1989,4085,1024,38,1062,270,28,298,266,37,303,267,115,382,1688,1266,2954,28835,23018,51853,5,5,10,0,0,0,0,0,0,14,8,22,3,7,10,3,3,6,25,23,48,0,0,0,0,0,0,32,9,41,15,12,27,3,6,9,50,27,77,241,122,363,316,172,488,3,7,10,6,4,10,12,6,18,21,17,38,1820,1924,3744,2845,4196,7041,563,465,1028,34400,29792,64192
CED108,255,230,485,220,336,556,4,3,7,5,0,5,34,17,51,22574,18725,41299,1618,1562,3180,750,23,773,350,38,388,236,22,258,127,56,183,442,412,854,26615,21424,48039,46,30,76,4,0,4,0,0,0,85,79,164,28,38,66,23,7,30,186,154,340,0,5,5,3,0,3,13,25,38,25,36,61,6,7,13,47,73,120,239,111,350,472,338,810,28,22,50,6,10,16,8,3,11,42,35,77,677,1132,1809,2677,4287,6964,486,426,912,30969,27642,58611
CED109,3049,3351,6400,365,569,934,3,6,9,5,8,13,98,40,138,24201,15815,40016,2067,2638,4705,905,11,916,279,9,288,147,10,157,186,75,261,438,508,946,31743,23040,54783,937,1125,2062,0,3,3,14,8,22,653,516,1169,238,469,707,59,16,75,1901,2137,4038,0,0,0,0,0,0,25,16,41,40,80,120,8,7,15,73,103,176,190,90,280,2164,2330,4494,293,368,661,5,9,14,8,5,13,306,382,688,403,649,1052,2051,3151,5202,774,603,1377,37441,30155,67596
CED110,3781,4024,7805,122,173,295,9,0,9,5,4,9,45,30,75,23590,18751,42341,1256,1610,2866,734,3,737,305,31,336,316,55,371,208,82,290,737,1035,1772,31108,25798,56906,339,333,672,0,4,4,5,4,9,629,592,1221,147,224,371,69,18,87,1189,1175,2364,0,0,0,0,0,0,3,15,18,4,22,26,5,0,5,12,37,49,191,68,259,1392,1280,2672,113,111,224,0,0,0,9,4,13,122,115,237,1218,1739,2957,2639,4516,7155,504,454,958,36983,33902,70885
CED111,17,11,28,142,139,281,14,0,14,3,3,6,36,32,68,16633,15548,32181,1499,1745,3244,961,34,995,346,37,383,355,77,432,222,103,325,1063,1061,2124,21291,18790,40081,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,9,9,0,0,0,0,0,0,4,4,8,8,22,30,4,8,12,16,34,50,216,95,311,232,138,370,4,3,7,3,3,6,12,0,12,19,6,25,1518,1738,3256,2294,3582,5876,426,409,835,25780,24663,50443
CED112,1514,1062,2576,463,645,1108,9,8,17,6,4,10,54,43,97,22681,18327,41008,1466,1937,3403,547,11,558,326,40,366,452,113,565,194,73,267,1168,1209,2377,28880,23472,52352,115,133,248,10,7,17,3,5,8,443,318,761,71,98,169,58,15,73,700,576,1276,3,0,3,0,0,0,31,47,78,24,52,76,17,7,24,75,106,181,252,118,370,1027,800,1827,82,69,151,9,12,21,20,5,25,111,86,197,876,1310,2186,3144,4808,7952,500,444,944,34538,30920,65458
