CED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED101,75773,80026,155806,4854,4584,9442,9212,8761,17970,4832,4592,9428,5550,5141,10685,11333,11685,23016,9875,10801,20678,9952,10845,20792,8985,9713,18700,6071,6617,12691,3598,4553,8149,1513,2735,4255,73505,77907,151416,2266,2121,4388,558,670,1231,20,19,32,12,6,20,591,698,1287,43371,44409,87776,28806,31830,60637,39078,39824,78899,33513,36908,70425,61219,64475,125686,1143,1036,2177,8554,8225,16778,3999,3922,7922,2688,2547,5234,2660,3638,6298,37412,39463,76872,3228,2941,6164,10950,11916,22864,3143,3802,6937,2614,3425,6038,721,1079,1804,72179,75965,148146,2914,3449,6359
CED102,85720,87129,172850,5341,4969,10311,8993,8261,17259,4610,4433,9037,6935,6723,13658,17559,17411,34970,12421,12261,24681,10241,10812,21059,8273,8913,17188,5916,6395,12313,3854,4535,8387,1582,2408,3995,83205,84722,167919,2521,2413,4927,532,597,1126,22,34,56,15,11,25,570,638,1208,38840,37902,76742,41333,43663,84998,30973,29799,60772,49754,52402,102154,61982,63173,125152,1086,1035,2118,8231,7598,15831,3778,3765,7536,3752,3561,7309,4696,5496,10192,46048,46852,92904,3250,2808,6060,9171,9061,18233,2362,2607,4972,3804,4932,8742,1181,1812,2991,79963,81206,161163,5770,6055,11826
CED103,82368,86580,168948,5144,5071,10213,9429,8753,18184,5056,4563,9621,6690,6818,13511,14015,14652,28675,11991,12441,24430,10362,11210,21575,8823,9697,18521,5896,6320,12216,3406,4369,7775,1551,2675,4224,79713,84178,163893,2651,2400,5056,271,325,598,13,12,30,11,5,15,297,340,641,40559,40972,81526,38403,42090,80491,39485,39747,79239,39620,43491,83110,61938,64084,126023,1174,1244,2416,8910,8348,17256,4462,4083,8539,4210,4273,8487,4058,5323,9373,49431,51670,101104,2729,2637,5365,7417,8657,16073,2237,2663,4898,1839,2375,4206,602,857,1454,77479,81509,158982,4657,4953,9613
CED104,71298,73835,145136,4094,3655,7743,10412,9841,20254,5497,5071,10565,4665,4239,8901,6384,6336,12722,9042,10130,19177,10556,11566,22123,9262,9722,18983,6704,7069,13779,3389,3850,7236,1298,2346,3645,68775,71676,140446,2525,2160,4687,342,365,712,14,7,23,6,3,9,365,380,751,46132,46925,93056,22660,24319,46976,50851,51263,102115,17991,19795,37786,62512,64277,126785,1214,1082,2298,9959,9416,19371,4824,4488,9311,2405,2278,4686,1766,2710,4480,37781,39524,77306,3144,2931,6069,9289,10300,19597,2427,2641,5072,1200,1386,2586,273,333,602,67722,70049,137775,2429,3086,5515
CED105,89077,85554,174634,6791,6634,13427,12133,11330,23462,5796,5508,11308,7556,6587,14140,16213,14274,30490,11553,10890,22447,10327,10265,20595,8823,8850,17678,5744,5608,11348,2935,3534,6474,1196,2071,3267,86515,83257,169769,2558,2305,4858,438,491,927,22,38,63,13,15,24,468,549,1011,38532,38182,76707,44745,41762,86509,22737,21745,44481,60717,58764,119474,65727,66504,132233,1258,1200,2456,10745,10091,20836,4517,4465,8981,3290,2893,6187,3774,4471,8241,38180,36386,74572,3750,3188,6934,11133,10539,21673,3558,3628,7187,5006,5417,10427,2676,3070,5744,83441,80049,163490,5613,5370,10989
CED106,76948,83302,160255,4640,4389,9031,11808,11044,22851,5786,5659,11445,4503,4569,9077,8023,8911,16933,10500,11876,22375,11157,12488,23647,8403,9193,17601,6275,7140,13418,3944,4825,8767,1909,3209,5117,74204,80686,154885,2745,2619,5371,157,166,321,13,10,23,0,6,6,166,182,350,41915,43635,85548,32092,36369,68457,49153,50822,99972,24989,29355,54345,61937,65842,127782,1348,1298,2644,11243,10593,21836,5150,5172,10318,2724,2778,5504,2486,3770,6260,47219,50613,97835,2530,3055,5580,4808,6777,11584,1832,2163,3995,936,1201,2140,246,384,628,72600,78157,150760,3460,4773,8230
CED107,80634,80662,161298,5437,5061,10497,11173,10362,21531,5351,5004,10359,4821,4512,9334,9628,9218,18848,9356,9609,18964,10536,10732,21264,10277,10326,20600,8555,8615,17178,4204,4900,9101,1288,2328,3617,75712,76446,152154,4920,4217,9143,5159,4612,9767,97,84,180,99,73,175,5351,4767,10120,66819,66563,133380,6629,6703,13335,69339,71060,140402,2987,3209,6196,69732,71504,141233,1163,1180,2344,10034,9305,19340,3525,3544,7072,1035,1454,2485,1696,3182,4874,21185,26379,47568,4349,4336,8683,20066,18621,38688,5583,5490,11069,3942,3306,7242,230,192,420,69873,71885,141751,10308,8175,18485
CED108,84513,86738,171249,6954,6650,13609,13275,12343,25619,6480,6071,12553,6391,6189,12584,12484,13600,26077,11608,11910,23514,10421,10701,21123,8472,9038,17517,5482,5966,11451,2288,2935,5231,652,1331,1980,82021,84555,166571,2491,2184,4677,3218,3450,6662,83,90,173,52,49,95,3343,3585,6928,44873,44969,89846,34232,36195,70419,44380,44274,88651,35299,37518,72818,67827,69181,137009,1292,1235,2527,11924,11133,23057,4648,4529,9174,2060,2169,4229,2264,3658,5919,32624,34628,67250,4179,4065,8243,14066,13865,27927,4294,4582,8879,3495,4232,7730,731,1130,1862,79976,81814,161791,4385,4669,9054
CED109,67499,71568,139062,4297,3960,8253,8573,8066,16632,4014,3886,7905,3919,3743,7668,8269,8896,17161,9172,9727,18899,9387,9918,19306,8196,8806,17006,6276,6943,13217,3730,4707,8441,1666,2913,4576,64693,68959,133650,2808,2602,5416,654,634,1293,37,27,63,12,23,32,709,684,1387,49347,51486,100833,14455,16243,30702,50253,52550,102805,13958,15607,29562,59698,63057,122758,1154,1008,2162,8005,7558,15563,3255,3296,6554,1562,1592,3151,1564,2408,3970,30757,33185,63940,3223,2866,6087,12257,13442,25703,2730,3376,6108,1735,2238,3971,276,362,641,63250,66947,130200,3365,3916,7279
CED110,77043,82275,159321,4117,4069,8185,9777,9439,19216,4701,4429,9129,3693,3529,7220,7216,7655,14874,7957,8735,16687,9698,10923,20619,11519,12389,23905,10538,10973,21518,5740,6631,12372,2088,3503,5595,72400,77919,150318,4649,4356,9001,4600,4870,9478,60,64,121,94,99,194,4761,5034,9791,62098,65761,127858,8715,9845,18560,67848,72555,140405,3202,3823,7021,67921,72896,140817,1134,1086,2218,8894,8559,17455,3199,3151,6353,683,1016,1698,1422,3175,4597,21691,25233,46931,4872,4803,9679,19158,21054,40211,6227,6438,12660,3938,3732,7672,234,261,496,69468,74644,144111,8768,8890,17660
