CED_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
CED101,906,850,1755,964,934,1897,1003,896,1902,966,930,1898,1011,981,1991,4854,4584,9442,963,888,1853,946,937,1882,939,921,1858,922,980,1900,874,872,1751,4649,4597,9251,918,769,1689,945,819,1766,869,876,1753,932,849,1785,887,849,1736,4557,4161,8724,964,869,1834,926,862,1787,981,937,1917,972,962,1935,992,961,1952,4832,4592,9428,1068,1016,2085,1074,959,2034,1087,997,2084,1177,1068,2248,1136,1094,2230,5550,5141,10685,1155,1148,2302,1177,1221,2396,1110,1167,2277,1138,1194,2336,1099,1139,2243,5677,5876,11553,1152,1151,2305,1058,1187,2250,1145,1142,2282,1152,1208,2361,1147,1126,2266,5655,5812,11459,1061,1157,2224,1062,1054,2112,939,1030,1973,949,1003,1947,926,1110,2030,4935,5354,10288,949,1028,1977,988,1059,2045,1014,1076,2092,963,1146,2114,1025,1139,2165,4936,5453,10388,1039,1100,2142,954,1073,2034,919,1115,2035,1020,1092,2114,903,967,1876,4840,5362,10195,967,1071,2037,978,1073,2050,1030,1119,2148,1044,1100,2148,1096,1120,2219,5118,5486,10601,1048,1174
CED102,1091,987,2073,1135,1060,2201,1053,1021,2074,990,910,1898,1073,983,2054,5341,4969,10311,995,902,1903,971,921,1883,912,931,1844,932,869,1800,877,833,1705,4689,4453,9139,926,756,1683,870,808,1672,852,756,1606,851,760,1611,811,730,1535,4306,3804,8114,846,832,1672,830,781,1610,849,879,1727,981,898,1881,1107,1043,2147,4610,4433,9037,1203,1169,2374,1249,1186,2436,1364,1295,2653,1499,1454,2951,1615,1631,3242,6935,6723,13658,1702,1844,3540,1793,1844,3637,1869,1831,3692,1872,1829,3706,1839,1786,3623,9069,9124,18194,1840,1748,3583,1705,1616,3319,1733,1690,3425,1647,1713,3365,1565,1512,3077,8486,8289,16772,1544,1365,2903,1438,1364,2806,1249,1270,2515,1233,1154,2381,1214,1177,2392,6675,6325,12998,1202,1197,2395,1125,1138,2263,1180,1171,2350,1100,1192,2291,1148,1234,2384,5747,5937,11685,1197,1221,2420,1062,1100,2160,997,1074,2070,990,1113,2108,959,1045,2007,5207,5553,10763,935,1080,2015,1006,1007,2015,1032,1085,2119,1078,1122,2203,978,971,1956,5033,5263,10300,966,985
CED103,910,904,1815,1063,977,2038,1011,1036,2046,1088,1123,2213,1070,1036,2103,5144,5071,10213,1050,946,1996,1046,948,1995,984,926,1907,997,981,1976,986,854,1834,5060,4648,9706,890,833,1730,903,828,1740,845,824,1671,911,805,1716,818,803,1622,4376,4102,8475,872,797,1672,939,891,1835,973,807,1778,1005,930,1938,1265,1138,2400,5056,4563,9621,1233,1304,2537,1302,1310,2608,1337,1360,2698,1424,1423,2842,1399,1423,2822,6690,6818,13511,1434,1475,2911,1486,1472,2957,1373,1514,2888,1378,1457,2830,1276,1423,2703,6950,7342,14293,1404,1411,2819,1356,1477,2834,1419,1443,2866,1452,1497,2954,1435,1483,2922,7068,7315,14380,1409,1458,2866,1306,1340,2642,1279,1295,2573,1219,1232,2453,1192,1150,2337,6392,6486,12878,1157,1194,2350,1128,1134,2260,1114,1237,2353,1068,1128,2202,1135,1254,2391,5594,5955,11552,1074,1265,2340,1102,1180,2283,994,1084,2076,1001,1154,2156,902,1000,1900,5073,5677,10756,961,1073,2033,1054,1120,2177,1105,1156,2262,1121,1157,2270,1046,1031,2085,5285,5534,10821,997,1062
CED104,637,565,1199,805,691,1497,806,748,1555,881,833,1711,964,821,1780,4094,3655,7743,955,933,1895,1069,925,1997,987,962,1949,1119,1009,2129,1059,1025,2090,5192,4865,10056,1033,968,2000,999,1031,2031,1031,993,2026,1027,1009,2038,1120,983,2099,5220,4981,10201,1047,1017,2066,1172,1044,2215,1158,1028,2180,1092,1038,2135,1026,942,1965,5497,5071,10565,1042,952,1997,981,909,1884,912,876,1789,899,798,1696,836,696,1534,4665,4239,8901,711,650,1364,702,618,1319,634,551,1186,611,585,1195,580,528,1108,3242,2942,6184,573,599,1179,580,585,1164,615,698,1311,654,727,1386,720,794,1510,3146,3399,6542,734,865,1600,745,850,1599,734,905,1643,830,958,1791,890,990,1879,3937,4579,8510,982,1056,2036,963,1040,2002,1023,1106,2127,1027,1136,2164,1112,1219,2329,5111,5560,10665,1164,1323,2483,1040,1147,2185,1072,1175,2251,977,1153,2137,990,1065,2050,5246,5862,11106,992,1112,2107,979,1088,2069,1102,1146,2251,1132,1214,2344,1107,1145,2246,5317,5709,11020,1097,1115
CED105,1287,1216,2501,1396,1389,2784,1429,1367,2795,1373,1327,2699,1320,1327,2644,6791,6634,13427,1344,1226,2572,1283,1202,2484,1198,1197,2394,1247,1194,2443,1262,1163,2425,6332,5985,12316,1183,1112,2294,1211,1074,2286,1176,1089,2261,1149,1022,2174,1077,1047,2123,5801,5347,11147,1073,1109,2179,1155,1072,2230,1122,1043,2167,1154,1087,2240,1295,1197,2494,5796,5508,11308,1462,1217,2674,1525,1274,2803,1518,1321,2837,1497,1411,2906,1553,1370,2921,7556,6587,14140,1699,1495,3190,1738,1567,3308,1845,1511,3357,1644,1488,3135,1695,1455,3152,8619,7515,16142,1547,1466,3018,1597,1368,2972,1566,1360,2926,1493,1348,2837,1391,1208,2594,7589,6758,14352,1367,1268,2629,1274,1127,2403,1234,1102,2336,1156,1078,2233,1165,1028,2190,6193,5598,11793,1082,1072,2152,1088,1043,2128,1076,1035,2108,1051,1048,2096,1069,1101,2171,5366,5293,10656,1087,1141,2228,1020,1062,2083,963,1066,2028,1077,999,2074,1016,911,1932,5168,5171,10338,999,1031,2029,1005,1005,2011,1037,1025,2060,1085,1002,2087,1037,1026,2062,5159,5092,10248,958,974
CED106,757,752,1503,864,831,1691,982,840,1820,1052,983,2035,1000,985,1982,4640,4389,9031,1223,1067,2289,1186,1108,2296,1143,1096,2242,1182,1070,2257,1256,1093,2353,6001,5435,11434,1142,1158,2301,1182,1053,2239,1114,1151,2262,1235,1103,2340,1132,1139,2274,5808,5603,11413,1242,1192,2431,1267,1164,2432,1214,1242,2455,1052,1060,2109,1014,999,2012,5786,5659,11445,986,976,1963,952,972,1923,858,917,1773,838,858,1696,871,851,1725,4503,4569,9077,785,802,1586,798,766,1565,737,753,1491,682,824,1502,690,810,1494,3693,3949,7647,731,837,1574,813,908,1721,892,981,1878,880,1081,1964,1007,1149,2157,4329,4961,9291,1001,1085,2086,961,1123,2087,983,1107,2091,1036,1165,2206,1060,1179,2244,5041,5668,10713,1042,1165,2211,1034,1201,2231,1086,1210,2303,1136,1303,2440,1161,1323,2482,5457,6209,11666,1205,1436,2648,1192,1357,2548,1123,1304,2427,1105,1320,2429,1083,1155,2239,5712,6570,12285,1098,1176,2274,998,1183,2188,1092,1233,2323,1120,1185,2307,1130,1137,2268,5441,5920,11361,1033,1154
CED107,1031,946,1973,1130,946,2076,1078,1055,2131,1135,1045,2185,1070,1075,2138,5437,5061,10497,1122,1039,2157,1112,1039,2150,1146,1120,2269,1203,1064,2269,1146,1126,2268,5725,5387,11114,1127,1019,2153,1071,1032,2102,1082,955,2038,1082,958,2040,1081,1009,2093,5446,4976,10419,1099,1026,2122,1112,1068,2180,1098,1003,2098,1054,952,2001,996,958,1953,5351,5004,10359,940,954,1896,1007,914,1925,990,913,1897,916,824,1737,968,907,1879,4821,4512,9334,977,916,1893,966,943,1906,1006,921,1930,970,887,1855,944,926,1863,4854,4593,9448,947,932,1875,979,921,1898,964,926,1888,943,951,1897,945,905,1855,4775,4624,9402,933,889,1825,865,899,1756,881,908,1792,853,956,1813,914,882,1794,4443,4533,8977,899,912,1803,959,964,1919,962,1023,1979,993,1054,2039,1106,1122,2233,4914,5070,9984,1089,1146,2235,1065,1035,2102,1038,1085,2119,1065,1004,2068,1020,1025,2038,5273,5288,10563,1017,977,1993,972,1116,2097,1072,1076,2149,1053,1146,2198,1144,1129,2273,5260,5440,10702,1189,1127
CED108,1258,1225,2486,1440,1328,2767,1443,1382,2823,1449,1337,2788,1372,1378,2753,6954,6650,13609,1426,1336,2762,1423,1361,2783,1389,1273,2662,1330,1266,2593,1432,1293,2723,7003,6529,13530,1362,1188,2548,1275,1134,2410,1185,1144,2326,1227,1171,2398,1230,1180,2412,6274,5814,12091,1250,1224,2471,1333,1244,2583,1313,1209,2523,1260,1179,2439,1317,1221,2540,6480,6071,12553,1264,1239,2508,1359,1246,2603,1243,1186,2430,1236,1253,2489,1285,1262,2550,6391,6189,12584,1233,1271,2501,1162,1317,2480,1208,1271,2475,1199,1300,2495,1149,1391,2542,5952,6542,12497,1285,1414,2701,1320,1396,2712,1344,1440,2781,1279,1424,2707,1296,1381,2684,6525,7050,13582,1317,1333,2647,1338,1203,2544,1165,1288,2456,1186,1209,2398,1101,1138,2236,6105,6171,12277,1104,1143,2247,1069,1094,2160,1092,1169,2262,1127,1158,2288,1113,1169,2287,5501,5736,11236,1116,1162,2282,1119,1063,2175,1002,1105,2107,1062,1122,2184,1017,1025,2045,5321,5466,10789,999,1073,2070,1006,1027,2034,1022,1056,2083,1030,1069,2103,1038,996,2039,5103,5228,10334,1042,978
CED109,822,767,1585,859,757,1618,832,855,1680,853,795,1652,934,785,1719,4297,3960,8253,827,771,1599,856,841,1694,877,793,1671,899,847,1747,916,838,1753,4370,4098,8470,850,796,1650,845,816,1660,837,815,1654,854,760,1611,809,774,1590,4195,3966,8166,816,765,1581,808,798,1604,822,804,1621,785,758,1542,780,766,1549,4014,3886,7905,789,699,1490,782,752,1529,771,752,1518,768,728,1498,813,813,1629,3919,3743,7668,811,817,1632,796,861,1662,791,919,1706,822,912,1730,775,859,1641,3995,4369,8366,850,927,1780,887,842,1726,831,929,1758,859,922,1786,842,911,1753,4270,4528,8796,925,913,1835,866,911,1772,831,900,1730,858,919,1785,853,982,1836,4331,4622,8959,881,944,1830,931,972,1903,901,980,1886,1059,1055,2114,1059,1148,2211,4839,5104,9942,1087,1122,2206,953,1037,1986,933,1054,1986,897,996,1893,911,941,1852,4779,5145,9929,897,928,1823,906,959,1865,899,956,1852,985,967,1957,923,959,1879,4609,4769,9378,977,985
CED110,753,746,1503,805,758,1567,814,786,1599,825,873,1698,917,901,1815,4117,4069,8185,991,903,1890,940,970,1909,1017,935,1952,1009,980,1988,977,1012,1988,4932,4795,9727,969,956,1923,1014,905,1913,966,975,1943,944,888,1836,952,918,1872,4842,4647,9489,993,883,1873,1013,1004,2016,1023,960,1980,863,826,1689,814,760,1566,4701,4429,9129,748,686,1432,756,706,1465,733,669,1402,694,751,1448,755,719,1474,3693,3529,7220,718,718,1435,778,803,1579,743,723,1459,728,771,1496,652,753,1408,3623,3764,7386,735,764,1503,671,728,1398,717,806,1519,739,806,1543,735,789,1523,3595,3894,7488,732,816,1546,707,804,1502,688,776,1459,710,764,1475,752,839,1589,3587,3989,7580,746,877,1626,823,851,1675,840,924,1765,913,991,1904,1041,1100,2137,4363,4743,9109,1000,1092,2093,856,1030,1890,920,1018,1934,910,999,1902,912,1028,1946,4594,5167,9766,930,1086,2013,915,1047,1959,1071,1115,2189,1049,1180,2230,1137,1318,2451,5096,5748,10849,1122,1244
