CED_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
CED101,18,0,3,3,4811,4832,221,7,3,3,5303,5550,4931,139,168,6,6092,11333,6943,268,479,17,2158,9875,7022,389,902,63,1577,9952,6350,351,1113,134,1031,8985,4373,242,744,265,446,6071,2597,94,295,446,164,3598,853,22,54,549,42,1513,33314,1523,3761,1493,21623,61707,31,0,4,0,4554,4592,531,21,15,9,4559,5141,6041,235,304,12,5091,11685,7493,462,869,54,1925,10801,7173,541,1614,203,1302,10845,6172,413,1645,586,894,9713,3776,239,1091,1113,397,6617,1958,76,385,1998,135,4553,430,17,129,2077,86,2735,33612,2008,6055,6059,18941,66685,48,0,5,4,9367,9428,754,27,20,17,9862,10685,10972,375,468,20,11180,23016,14437,727,1350,75,4086,20678,14198,933,2516,267,2876,20792,12520,773,2755,719,1925,18700,8150,483,1830,1384,838,12691,4555,169,681,2451,297,8149,1275,43,184,2621,127,4255,66926,3533,9819,7555,40569,128392
CED102,16,3,3,5,4583,4610,454,9,8,4,6454,6935,7536,205,285,12,9519,17559,7990,336,668,28,3395,12421,6510,454,1081,50,2148,10241,5449,378,1094,113,1240,8273,4173,274,647,222,594,5916,2861,100,230,414,246,3854,936,26,72,440,98,1582,35922,1798,4093,1292,28287,71383,48,3,3,0,4373,4433,1021,31,20,5,5648,6723,8873,283,462,21,7770,17411,7731,499,1021,64,2945,12261,6563,584,1648,187,1833,10812,5385,431,1530,550,1023,8913,3714,214,859,1203,403,6395,2036,78,309,1952,164,4535,378,17,119,1778,120,2408,35744,2152,5963,5760,24280,73902,62,4,7,7,8962,9037,1471,39,29,7,12109,13658,16407,486,748,35,17291,34970,15720,837,1692,88,6344,24681,13073,1040,2731,235,3982,21059,10826,814,2617,668,2265,17188,7883,491,1510,1431,1000,12313,4891,180,542,2363,411,8387,1321,48,185,2218,219,3995,71666,3946,10057,7054,52569,145283
CED103,17,0,0,4,5025,5056,150,11,12,0,6524,6690,5978,131,145,5,7756,14015,8792,267,466,19,2444,11991,7572,271,818,49,1653,10362,6463,292,897,107,1059,8823,4480,169,599,200,450,5896,2506,115,214,398,175,3406,902,13,53,513,62,1551,36865,1271,3211,1298,25159,67790,18,0,3,0,4541,4563,355,5,13,6,6437,6818,7351,174,295,17,6819,14652,8974,370,743,51,2294,12441,7872,406,1333,161,1434,11210,6504,328,1435,479,951,9697,3815,162,905,936,505,6320,1910,81,375,1741,259,4369,457,3,130,1910,168,2675,37258,1531,5241,5320,23416,72757,35,4,4,3,9572,9621,503,16,22,11,12960,13511,13326,303,446,28,14577,28675,17765,640,1212,70,4741,24430,15447,676,2148,211,3085,21575,12964,618,2331,585,2019,18521,8298,333,1510,1134,954,12216,4418,191,590,2143,428,7775,1364,23,187,2420,234,4224,74118,2796,8443,6617,48571,140551
CED104,17,3,4,3,5470,5497,64,4,0,3,4591,4665,2350,59,66,4,3905,6384,7142,145,270,8,1479,9042,8529,271,667,40,1057,10556,7585,237,710,109,620,9262,5615,141,478,208,262,6704,2713,54,169,351,98,3389,798,12,46,416,29,1298,34822,930,2399,1146,17508,56798,19,0,0,3,5047,5071,126,3,7,0,4101,4239,3206,91,98,4,2943,6336,8169,239,489,31,1200,10130,9006,403,1159,142,859,11566,7358,271,1215,390,486,9722,4930,139,856,907,240,7069,1958,52,338,1395,106,3850,419,7,105,1712,104,2346,35194,1214,4266,4583,15078,60335,36,3,4,4,10518,10565,195,12,8,3,8687,8901,5556,145,168,8,6849,12722,15314,382,757,45,2674,19177,17533,679,1828,178,1910,22123,14950,512,1920,495,1111,18983,10538,284,1333,1119,502,13779,4678,110,500,1746,200,7236,1216,21,147,2129,130,3645,70010,2146,6671,5726,32587,117135
CED105,21,3,3,0,5770,5796,658,19,22,5,6845,7556,7549,354,419,18,7870,16213,8086,467,720,15,2271,11553,7249,494,1069,64,1454,10327,6040,421,1270,137,954,8823,4096,286,698,236,421,5744,2088,71,226,401,158,2935,631,33,63,433,46,1196,36415,2149,4481,1314,25784,70150,121,4,9,0,5370,5508,1605,77,50,4,4852,6587,8531,611,580,28,4526,14274,7341,719,1184,97,1552,10890,6602,644,1692,298,1030,10265,5298,437,1643,726,739,8850,3213,200,736,1144,311,5608,1401,55,264,1705,110,3534,309,13,83,1582,80,2071,34423,2770,6237,5585,18577,67594,148,7,9,3,11145,11308,2265,96,72,12,11699,14140,16083,964,1001,44,12397,30490,15420,1184,1908,108,3822,22447,13852,1141,2760,360,2490,20595,11338,865,2915,867,1691,17678,7306,489,1429,1385,728,11348,3490,133,488,2103,265,6474,937,43,139,2013,128,3267,70838,4918,10722,6897,44360,137741
CED106,20,3,0,5,5751,5786,75,0,3,3,4423,4503,3532,71,100,10,4309,8023,8523,177,320,9,1470,10500,9181,280,600,41,1054,11157,6905,203,651,81,569,8403,5258,122,454,188,263,6275,3178,61,188,382,148,3944,1172,25,68,578,61,1909,37843,939,2378,1291,18045,60504,10,0,3,3,5643,5659,216,4,5,4,4351,4569,4803,105,149,7,3845,8911,9517,272,597,40,1442,11876,9728,387,1271,179,919,12488,6774,271,1194,367,588,9193,4881,145,894,917,298,7140,2465,42,397,1738,173,4825,648,10,136,2266,144,3209,39054,1238,4650,5521,17410,67876,35,0,4,6,11398,11445,289,4,7,6,8776,9077,8340,171,254,18,8154,16933,18044,450,921,53,2912,22375,18914,664,1871,222,1974,23647,13674,477,1848,451,1152,17601,10141,268,1353,1096,559,13418,5644,105,583,2117,321,8767,1827,38,202,2845,205,5117,76895,2170,7036,6815,35452,128377
CED107,11,0,5,0,5334,5351,203,17,3,0,4597,4821,3367,183,147,12,5919,9628,5339,414,564,27,3011,9356,6089,593,1302,76,2474,10536,6487,521,1605,197,1466,10277,5707,389,1306,462,683,8555,2777,131,397,597,300,4204,673,17,66,478,63,1288,30655,2258,5397,1859,23852,64022,10,4,6,0,4993,5004,292,33,10,11,4168,4512,4024,293,210,19,4674,9218,5659,552,854,66,2480,9609,6405,672,1633,226,1795,10732,6411,496,1875,625,921,10326,5068,330,1349,1437,433,8615,1944,80,457,2198,217,4900,328,24,109,1774,97,2328,30128,2479,6510,6358,19771,65239,21,4,11,3,10327,10359,487,51,16,13,8767,9334,7393,483,357,33,10587,18848,10994,960,1420,92,5492,18964,12493,1266,2939,298,4272,21264,12896,1017,3478,820,2387,20600,10777,721,2656,1905,1120,17178,4722,202,854,2799,518,9101,1005,35,169,2253,159,3617,60788,4737,11904,8210,43623,129260
CED108,22,4,3,3,6449,6480,268,15,6,7,6095,6391,5314,264,185,18,6705,12484,7788,464,561,14,2784,11608,6862,521,932,71,2032,10421,5866,496,1026,184,905,8472,3936,283,666,341,264,5482,1540,102,187,376,87,2288,332,13,40,233,36,652,31916,2166,3605,1242,25349,64277,36,9,5,0,6023,6071,635,42,20,3,5492,6189,7132,405,304,33,5726,13600,7737,689,867,102,2504,11910,6583,692,1450,319,1653,10701,5453,616,1420,849,694,9038,3130,288,922,1420,209,5966,1021,61,277,1488,92,2935,149,7,71,1050,46,1331,31877,2806,5336,5277,22449,67745,55,8,10,4,12471,12553,897,57,25,9,11586,12584,12447,663,486,49,12430,26077,15527,1154,1431,116,5292,23514,13448,1218,2388,390,3682,21123,11316,1115,2445,1033,1604,17517,7067,571,1585,1755,468,11451,2555,162,464,1870,176,5231,481,19,109,1286,82,1980,63793,4969,8946,6515,47798,132022
CED109,10,0,0,0,4002,4014,72,5,3,3,3837,3919,2863,97,102,6,5204,8269,5964,283,547,15,2363,9172,6238,405,1037,53,1654,9387,5685,317,1135,120,941,8196,4613,218,725,271,447,6276,2824,85,257,423,142,3730,998,13,56,535,63,1666,29263,1421,3871,1425,18646,54634,15,0,3,3,3871,3886,147,10,4,0,3588,3743,3832,164,169,13,4723,8896,6530,407,790,47,1953,9727,6493,489,1435,142,1355,9918,5547,367,1693,442,755,8806,4162,232,1212,1049,293,6943,2208,68,448,1845,141,4707,526,8,172,2132,84,2913,29444,1749,5928,5662,16758,59544,18,3,3,3,7873,7905,219,14,7,3,7428,7668,6697,252,275,15,9924,17161,12495,694,1336,59,4311,18899,12731,897,2474,195,3010,19306,11234,686,2830,563,1699,17006,8773,448,1936,1315,742,13217,5032,153,708,2272,279,8441,1523,21,227,2662,141,4576,58709,3170,9796,7092,35407,114180
CED110,13,0,7,0,4682,4701,133,7,3,3,3535,3693,2233,170,122,9,4681,7216,4142,388,573,33,2815,7957,5170,599,1334,79,2514,9698,6500,691,2301,209,1821,11519,7057,461,1804,502,715,10538,3919,153,692,737,250,5740,1164,26,90,726,78,2088,30334,2502,6934,2290,21098,63151,16,0,3,3,4409,4429,220,26,15,3,3265,3529,2962,310,214,28,4142,7655,4542,592,890,96,2612,8735,5749,844,2001,271,2054,10923,6858,714,2802,704,1315,12389,6373,368,2030,1706,499,10973,2991,115,741,2618,167,6631,602,25,183,2608,87,3503,30303,2991,8872,8046,18562,68776,27,0,7,3,9094,9129,357,37,14,3,6802,7220,5195,480,335,38,8822,14874,8688,979,1469,128,5431,16687,10920,1449,3339,344,4568,20619,13360,1409,5102,909,3130,23905,13429,823,3832,2207,1221,21518,6906,269,1430,3356,416,12372,1767,50,277,3334,170,5595,60636,5496,15799,10332,39656,131922
