CED_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
CED101,6,27,84,538,322,274,114,68,18,1453,0,0,0,10,6,0,7,3,3,40,0,0,3,24,17,8,3,0,0,51,16,93,170,927,495,396,295,195,118,2698,174,297,395,1057,508,494,387,299,181,3794,4584,8761,9735,22492,10845,9713,6617,4553,2735,80026,0,0,3,3,3,0,0,0,0,17,8677,15619,13915,19912,9414,7988,5697,3894,2648,87776,6,24,119,494,48,29,8,0,0,731,0,3,9,92,92,68,37,23,8,336,0,0,0,40,16,16,3,4,0,76,6,7,21,72,25,18,9,7,4,169,0,6,3,96,63,58,62,20,0,310,110,357,1938,6446,3148,2789,1241,836,258,17113,0,3,5,50,95,96,170,158,26,599,8,60,51,402,222,288,260,140,84,1519,21,89,71,439,401,432,452,233,148,2278,3,13,38,300,154,138,83,44,11,794,0,9,3,43,22,8,9,3,5,106,0,10,23,70,50,33,101,43,28,372
CED102,11,28,199,624,293,301,107,40,25,1628,0,0,0,9,0,0,3,3,3,18,0,0,16,33,3,7,0,0,0,64,45,134,388,2165,644,648,544,322,118,5006,237,406,574,1848,669,527,478,422,413,5565,4969,8261,11159,29672,10812,8913,6395,4535,2408,87129,0,0,0,16,5,3,0,0,0,30,9174,14418,12896,21371,8259,4933,2745,1657,1280,76742,30,57,392,1789,146,53,11,0,0,2470,0,0,8,87,35,45,31,25,5,239,0,3,6,43,27,33,8,3,3,120,0,7,13,103,27,21,10,0,4,189,0,6,21,134,103,84,94,34,0,477,108,351,3032,8172,3064,2786,1304,804,304,19935,0,3,8,54,62,75,129,144,31,510,7,48,40,278,187,257,288,213,75,1389,27,94,87,683,481,309,284,145,79,2198,3,13,49,318,197,182,100,36,17,921,3,3,16,115,31,18,9,10,5,209,3,9,18,110,55,34,58,42,15,338
CED103,6,9,91,304,148,107,44,14,11,724,0,0,0,14,12,3,6,6,3,49,0,3,17,35,13,9,5,0,0,81,56,133,172,1141,405,382,290,202,94,2877,187,215,431,1097,418,366,327,274,217,3523,5071,8753,11381,27094,11210,9697,6320,4369,2675,86580,4,3,19,124,70,59,26,13,4,317,8822,14540,13512,17995,8742,7154,4785,3518,2450,81526,9,27,115,344,31,16,14,0,3,555,0,0,4,30,26,16,19,3,0,103,0,3,10,44,24,12,10,0,3,103,9,14,29,117,52,38,18,3,0,284,0,3,12,63,44,41,50,18,4,234,226,581,3804,9788,3264,2501,1302,817,245,22527,0,0,8,26,41,71,88,75,14,325,3,11,4,89,61,89,98,74,30,468,49,190,163,750,640,560,519,296,146,3318,3,12,29,193,123,85,71,32,9,550,0,17,20,102,27,15,17,5,4,212,4,13,28,156,69,40,101,63,36,510
CED104,0,4,17,106,76,67,17,3,0,291,0,5,3,12,22,10,13,11,4,78,0,4,4,37,24,15,4,4,0,101,13,89,109,540,401,313,255,148,84,1953,100,237,257,583,376,351,288,229,164,2590,3655,9841,9306,16475,11566,9722,7069,3850,2346,73835,0,0,7,54,37,36,32,0,0,162,7233,17338,15381,17743,11677,10006,7422,4007,2247,93056,0,0,9,57,30,26,10,4,0,134,0,0,0,19,15,5,0,3,0,40,0,0,4,16,17,3,0,0,0,44,3,20,31,97,80,60,30,11,10,337,0,3,3,21,34,38,41,8,6,155,69,299,459,2774,1381,941,614,260,107,6901,0,0,0,17,51,35,33,39,5,181,0,3,10,36,46,49,61,34,15,261,53,427,403,1010,1398,1102,1158,567,269,6386,0,3,10,92,98,85,47,28,3,370,0,14,15,57,29,22,12,7,3,150,0,23,29,96,99,81,186,98,44,665
CED105,27,97,529,2585,1699,1597,571,282,120,7505,0,0,0,0,0,0,5,0,0,11,0,4,11,14,8,0,0,0,0,37,73,279,433,1575,723,541,400,265,151,4449,427,660,753,1591,679,605,414,325,163,5613,6634,11330,12098,25167,10265,8850,5608,3534,2071,85554,17,169,793,1789,329,157,27,18,3,3304,11847,19017,15175,16686,4128,3833,2898,1700,1428,76707,13,49,143,867,87,51,10,0,0,1218,0,3,15,89,69,49,42,31,0,299,0,10,13,91,113,100,69,28,5,417,3,4,15,29,8,3,0,0,0,72,0,0,3,49,66,50,63,28,3,253,50,210,1085,4113,2226,1808,767,520,171,10955,0,3,4,33,47,76,155,141,23,483,36,76,69,391,130,165,141,87,21,1120,3,19,29,120,123,170,216,126,93,911,4,25,65,351,198,204,103,42,6,997,0,0,7,18,12,11,13,6,0,69,0,7,27,51,21,24,170,53,44,390
CED106,3,14,20,189,84,49,19,5,4,394,0,5,4,28,20,15,11,18,6,102,0,4,16,58,45,41,9,3,0,174,29,164,170,841,470,286,299,190,128,2577,107,284,367,765,454,306,330,321,364,3300,4389,11044,10230,20789,12488,9193,7140,4825,3209,83302,0,0,6,30,14,14,3,0,0,70,7878,17262,13685,14431,10185,7816,6534,4686,3073,85548,0,0,5,45,9,3,4,0,0,75,0,0,0,11,6,7,7,0,0,32,0,0,7,21,12,5,0,0,0,43,8,41,52,139,120,72,51,17,0,494,0,0,3,43,46,21,41,14,3,173,201,814,1380,5796,2400,1610,1030,566,159,13965,0,0,0,15,24,34,29,26,8,134,0,7,3,31,21,37,54,41,17,206,78,937,765,1253,1779,1099,962,686,359,7931,0,5,15,89,49,48,34,19,8,260,0,16,28,98,35,33,37,9,10,267,3,39,38,122,133,72,149,86,57,698
CED107,0,3,12,55,14,5,0,0,0,84,0,0,0,4,16,10,11,6,3,47,0,4,21,37,11,11,3,0,0,89,4,34,37,146,90,88,88,62,34,587,307,680,804,1584,1028,1028,969,653,333,7391,5061,10362,9512,18827,10732,10326,8615,4900,2328,80662,0,3,7,13,0,0,0,0,0,26,9779,19575,17290,31162,17042,16338,12834,6686,2674,133380,0,7,3,49,3,3,4,0,0,74,0,0,0,7,4,5,6,0,0,28,0,4,0,19,0,3,0,0,0,29,0,9,9,59,33,18,12,7,3,155,0,0,0,4,11,7,10,0,0,39,3,13,32,150,64,58,55,16,4,396,0,0,0,7,13,19,21,26,6,100,0,10,9,14,3,4,12,0,3,54,5,69,94,348,549,680,837,497,156,3235,0,6,9,51,33,20,13,3,0,138,0,3,5,22,13,11,14,11,4,80,0,0,9,39,39,71,217,62,35,463
CED108,0,0,16,110,69,88,28,9,4,322,0,0,0,5,3,8,5,5,0,25,0,0,16,26,9,4,0,0,0,50,61,266,585,1589,901,727,441,252,169,4990,380,707,687,1532,724,649,512,283,98,5578,6650,12343,12261,25502,10701,9038,5966,2935,1331,86738,8,53,240,598,162,128,49,18,3,1249,12168,20303,16455,19866,8123,6208,4198,1899,620,89846,27,105,85,945,159,100,20,6,0,1455,3,0,19,75,58,66,38,19,3,283,0,0,3,37,17,14,14,3,0,83,0,12,15,37,14,7,0,0,0,85,0,0,10,86,68,73,74,19,14,338,7,43,135,620,307,325,113,80,35,1674,0,0,4,61,63,107,145,100,39,514,11,100,103,268,178,220,170,78,28,1154,9,48,23,239,463,561,526,329,81,2278,16,129,387,1978,994,630,331,109,17,4604,0,0,7,11,12,17,12,10,3,60,0,3,20,31,42,61,178,87,65,487
CED109,0,0,13,94,56,42,21,3,4,218,0,0,3,19,13,7,11,8,5,60,0,0,3,23,3,0,0,0,0,35,16,73,111,870,435,390,335,159,56,2444,170,283,302,1101,524,471,427,300,252,3838,3960,8066,7635,18626,9918,8806,6943,4707,2913,71568,0,0,0,3,0,0,0,0,0,9,7723,15029,13416,25269,12705,10872,7692,5010,3109,100833,6,3,9,65,23,18,3,0,0,120,0,0,12,60,41,40,18,11,0,184,0,0,0,26,18,9,7,0,0,69,4,8,23,111,55,37,21,7,4,266,0,3,6,64,78,51,71,9,3,296,14,72,224,949,745,578,223,149,48,3012,0,4,4,39,63,72,70,81,10,333,5,24,20,236,175,287,277,168,78,1271,41,191,181,972,801,689,726,478,232,4312,0,4,15,100,74,59,35,22,6,316,0,3,5,61,36,17,18,15,5,153,3,6,25,113,70,46,120,89,38,503
CED110,0,3,6,43,3,10,0,0,0,67,0,0,0,13,20,19,16,13,5,94,0,0,10,11,5,12,9,0,0,49,15,88,73,282,158,150,150,81,45,1048,237,523,530,1193,913,1016,1041,731,486,6671,4069,9439,7959,16394,10923,12389,10973,6631,3503,82275,0,16,42,24,15,3,3,0,0,108,7563,17305,14368,25496,16070,18674,15697,8747,3944,127858,0,0,0,10,4,3,0,0,0,18,0,0,0,3,0,5,0,6,0,16,0,3,3,12,3,0,0,0,0,14,5,13,6,89,46,63,35,14,5,274,0,0,3,14,9,6,15,0,3,49,0,16,38,103,51,50,21,10,9,302,0,0,0,0,3,11,13,15,3,51,0,11,4,21,11,12,26,4,9,103,24,137,130,536,860,1061,1581,1073,421,5825,0,3,11,49,40,38,22,7,3,179,3,12,6,37,19,25,31,7,3,139,0,13,8,71,71,125,254,147,47,750
