CED_CODE_2016,A55_64_SOLSE_VWW_12,A55_64_SOLSE_VWW_13,A55_64_SOLSE_VWW_14,A55_64_SOLSE_VWW_15,A55_64_SOLSE_VWW_16,A55_64_SOLSE_VWW_YNS,A55_64_SOLSE_VWW_T,A55_64_SOLSE_NWNAA_B00,A55_64_SOLSE_NWNAA_00_05,A55_64_SOLSE_NWNAA_06_10,A55_64_SOLSE_NWNAA_11,A55_64_SOLSE_NWNAA_12,A55_64_SOLSE_NWNAA_13,A55_64_SOLSE_NWNAA_14,A55_64_SOLSE_NWNAA_15,A55_64_SOLSE_NWNAA_16,A55_64_SOLSE_NWNAA_YNS,A55_64_SOLSE_NWNAA_T,A55_64_SOLSE_PinE_NS_B00,A55_64_SOLSE_PinE_NS_00_05,A55_64_SOLSE_PinE_NS_06_10,A55_64_SOLSE_PinE_NS_11,A55_64_SOLSE_PinE_NS_12,A55_64_SOLSE_PinE_NS_13,A55_64_SOLSE_PinE_NS_14,A55_64_SOLSE_PinE_NS_15,A55_64_SOLSE_PinE_NS_16,A55_64_SOLSE_PinE_NS_YNS,A55_64_SOLSE_PinE_NS_T,A55_64_SOLSE_T_B00,A55_64_SOLSE_T_00_05,A55_64_SOLSE_T_06_10,A55_64_SOLSE_T_11,A55_64_SOLSE_T_12,A55_64_SOLSE_T_13,A55_64_SOLSE_T_14,A55_64_SOLSE_T_15,A55_64_SOLSE_T_16,A55_64_SOLSE_T_YNS,A55_64_SOLSE_T_T,A55_64_L_PinE_NS_B00,A55_64_L_PinE_NS_00_05,A55_64_L_PinE_NS_06_10,A55_64_L_PinE_NS_11,A55_64_L_PinE_NS_12,A55_64_L_PinE_NS_13,A55_64_L_PinE_NS_14,A55_64_L_PinE_NS_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B00,A55_64_T_00_05,A55_64_T_06_10,A55_64_T_11,A55_64_T_12,A55_64_T_13,A55_64_T_14,A55_64_T_15,A55_64_T_16,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B00,A65_74_SEO_00_05,A65_74_SEO_06_10,A65_74_SEO_11,A65_74_SEO_12,A65_74_SEO_13,A65_74_SEO_14,A65_74_SEO_15,A65_74_SEO_16,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_SOLSE_VWW_B00,A65_74_SOLSE_VWW_00_05,A65_74_SOLSE_VWW_06_10,A65_74_SOLSE_VWW_11,A65_74_SOLSE_VWW_12,A65_74_SOLSE_VWW_13,A65_74_SOLSE_VWW_14,A65_74_SOLSE_VWW_15,A65_74_SOLSE_VWW_16,A65_74_SOLSE_VWW_YNS,A65_74_SOLSE_VWW_T,A65_74_SOLSE_NWNAA_B00,A65_74_SOLSE_NWNAA_00_05,A65_74_SOLSE_NWNAA_06_10,A65_74_SOLSE_NWNAA_11,A65_74_SOLSE_NWNAA_12,A65_74_SOLSE_NWNAA_13,A65_74_SOLSE_NWNAA_14,A65_74_SOLSE_NWNAA_15,A65_74_SOLSE_NWNAA_16,A65_74_SOLSE_NWNAA_YNS,A65_74_SOLSE_NWNAA_T,A65_74_SOLSE_PinE_NS_B00,A65_74_SOLSE_PinE_NS_00_05,A65_74_SOLSE_PinE_NS_06_10,A65_74_SOLSE_PinE_NS_11,A65_74_SOLSE_PinE_NS_12,A65_74_SOLSE_PinE_NS_13,A65_74_SOLSE_PinE_NS_14,A65_74_SOLSE_PinE_NS_15,A65_74_SOLSE_PinE_NS_16,A65_74_SOLSE_PinE_NS_YNS,A65_74_SOLSE_PinE_NS_T,A65_74_SOLSE_T_B00,A65_74_SOLSE_T_00_05,A65_74_SOLSE_T_06_10,A65_74_SOLSE_T_06,A65_74_SOLSE_T_12,A65_74_SOLSE_T_13,A65_74_SOLSE_T_14,A65_74_SOLSE_T_15,A65_74_SOLSE_T_16,A65_74_SOLSE_T_YNS,A65_74_SOLSE_T_T,A65_74_L_PinE_NS_B00,A65_74_L_PinE_NS_00_05,A65_74_L_PinE_NS_06_10,A65_74_L_PinE_NS_11,A65_74_L_PinE_NS_12,A65_74_L_PinE_NS_13,A65_74_L_PinE_NS_14,A65_74_L_PinE_NS_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B00,A65_74_T_00_05,A65_74_T_06_10,A65_74_T_11,A65_74_T_12,A65_74_T_13,A65_74_T_14,A65_74_T_15,A65_74_T_16,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B00,A75_84_SEO_00_05,A75_84_SEO_06_10,A75_84_SEO_11,A75_84_SEO_12,A75_84_SEO_13,A75_84_SEO_14,A75_84_SEO_15,A75_84_SEO_16,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_SOLSE_VWW_B00,A75_84_SOLSE_VWW_00_05,A75_84_SOLSE_VWW_06_10,A75_84_SOLSE_VWW_11,A75_84_SOLSE_VWW_12,A75_84_SOLSE_VWW_13,A75_84_SOLSE_VWW_14,A75_84_SOLSE_VWW_15,A75_84_SOLSE_VWW_16,A75_84_SOLSE_VWW_YNS,A75_84_SOLSE_VWW_T,A75_84_SOLSE_NWNAA_B00,A75_84_SOLSE_NWNAA_00_05,A75_84_SOLSE_NWNAA_06_10,A75_84_SOLSE_NWNAA_11,A75_84_SOLSE_NWNAA_12,A75_84_SOLSE_NWNAA_13,A75_84_SOLSE_NWNAA_14,A75_84_SOLSE_NWNAA_15,A75_84_SOLSE_NWNAA_16,A75_84_SOLSE_NWNAA_YNS,A75_84_SOLSE_NWNAA_T,A75_84_SOLSE_PinE_NS_B00,A75_84_SOLSE_PinE_NS_00_05,A75_84_SOLSE_PinE_NS_06_10,A75_84_SOLSE_PinE_NS_11,A75_84_SOLSE_PinE_NS_12,A75_84_SOLSE_PinE_NS_13,A75_84_SOLSE_PinE_NS_14,A75_84_SOLSE_PinE_NS_15,A75_84_SOLSE_PinE_NS_16,A75_84_SOLSE_PinE_NS_YNS,A75_84_SOLSE_PinE_NS_T,A75_84_SOLSE_T_B00,A75_84_SOLSE_T_00_05,A75_84_SOLSE_T_06_10,A75_84_SOLSE_T_11,A75_84_SOLSE_T_12,A75_84_SOLSE_T_13,A75_84_SOLSE_T_14,A75_84_SOLSE_T_15,A75_84_SOLSE_T_16,A75_84_SOLSE_T_YNS,A75_84_SOLSE_T_T,A75_84_L_PinE_NS_B00,A75_84_L_PinE_NS_00_05,A75_84_L_PinE_NS_06_10,A75_84_L_PinE_NS_11,A75_84_L_PinE_NS_12,A75_84_L_PinE_NS_13
CED101,13,13,9,16,4,92,4681,1817,285,312,99,77,95,98,87,73,191,3137,43,0,0,0,0,0,0,0,0,3,50,6060,490,407,128,90,109,113,101,77,282,7864,4,0,0,0,0,0,0,0,0,4,12,7778,565,438,141,93,113,115,110,77,324,9756,1439,20,19,5,0,0,7,0,3,29,1520,2536,42,30,9,3,5,4,7,10,59,2703,1267,147,227,44,37,55,46,45,34,80,1977,19,0,0,0,0,0,0,0,0,7,22,3822,187,261,54,40,60,49,51,44,135,4704,13,0,0,0,0,0,0,0,0,7,13,5270,208,281,58,39,58,51,51,50,173,6236,674,5,5,0,0,8,0,3,0,23,721,1224,19,12,3,0,3,0,0,0,35,1301,1207,160,123,13,19,13,9,18,4,71,1646,22,3,0,0,0,0,0,0,0,12,30,2453,182,134,15,23,15,13,18,11,110,2975,4,0,0,0,0,0
CED102,19,10,9,16,14,167,6019,2147,226,267,78,60,94,111,74,89,223,3357,37,0,7,0,0,0,0,0,3,12,53,7653,446,357,88,78,108,119,85,103,396,9431,4,0,0,0,0,0,0,0,0,3,12,9210,512,403,92,85,110,121,93,107,439,11175,1133,21,18,3,0,3,0,0,0,36,1212,4224,38,32,3,7,10,3,6,0,111,4428,2230,142,182,48,42,55,37,27,33,141,2942,55,0,0,0,0,0,0,0,0,12,75,6508,177,214,47,53,62,41,34,40,264,7443,3,0,0,0,0,0,0,0,0,4,12,7647,195,230,53,55,69,41,34,41,307,8663,528,10,5,0,0,0,0,0,0,29,572,2299,19,10,0,0,0,0,0,0,130,2453,2403,111,101,15,18,13,14,16,10,170,2861,35,0,0,0,0,0,0,0,0,13,56,4743,131,106,15,18,13,11,12,12,310,5365,4,0,0,0,0,0
CED103,30,18,18,14,5,103,5652,1328,226,308,113,83,108,121,120,78,217,2704,22,0,0,0,0,0,0,0,0,5,36,6376,523,423,134,116,131,143,140,84,331,8391,10,0,0,3,0,0,0,0,0,5,16,8401,605,453,143,127,141,146,142,86,381,10627,1744,30,11,7,5,3,4,3,0,29,1840,2880,59,33,10,8,10,3,16,8,71,3102,954,128,230,64,69,71,74,84,36,118,1828,30,0,0,0,0,0,0,0,0,3,37,3868,191,263,70,83,78,78,98,46,191,4970,6,0,0,0,0,0,0,0,0,4,13,5619,223,281,78,88,84,86,100,44,227,6823,856,17,6,0,0,0,0,0,0,33,912,1276,28,25,6,0,3,0,3,0,52,1389,1023,135,125,22,12,21,18,27,7,60,1446,17,5,0,0,0,0,0,0,0,3,28,2316,172,147,23,12,21,18,30,13,112,2858,5,0,0,0,0,0
CED104,9,5,8,3,0,48,3940,485,72,114,35,46,42,41,30,28,83,987,16,0,0,0,0,0,3,0,0,0,27,4029,316,193,55,61,48,54,40,26,135,4947,3,0,0,0,0,0,0,0,0,3,4,7047,492,261,67,62,51,54,40,29,193,8299,2640,43,39,7,3,3,4,6,3,44,2795,2076,37,30,7,9,8,8,3,5,25,2216,339,65,122,34,38,24,38,29,11,41,754,13,0,0,0,0,0,0,0,0,0,17,2434,99,154,48,50,34,48,30,20,69,2979,5,0,0,0,0,0,0,0,0,8,15,5078,147,193,49,49,37,53,36,22,124,5791,1234,28,16,6,3,4,0,0,0,48,1344,804,23,20,3,0,0,3,10,3,31,902,294,54,57,18,13,8,6,11,4,39,497,11,0,0,0,0,0,0,0,0,0,9,1109,82,78,18,14,8,15,15,11,75,1411,5,0,0,0,0,0
CED105,14,27,13,17,11,172,6448,3431,454,385,92,105,80,89,99,52,216,5001,62,3,3,0,0,0,0,0,0,4,76,9300,716,504,111,120,108,98,111,61,390,11522,15,0,0,0,0,0,0,0,0,22,33,10275,757,524,118,122,106,103,118,60,441,12623,981,4,6,0,0,0,3,0,0,33,1034,3173,57,44,8,7,5,6,3,4,93,3406,2374,177,176,48,34,34,49,33,23,119,3066,30,3,0,0,0,0,0,0,0,5,38,5579,237,222,55,43,37,53,40,26,214,6506,5,0,0,0,0,0,0,0,0,9,22,6565,243,229,55,49,38,51,41,26,265,7558,434,0,0,0,0,0,0,0,0,24,458,1423,15,23,0,6,0,0,3,0,74,1544,1753,151,78,8,20,15,14,11,8,85,2149,22,3,0,0,0,0,0,0,0,3,26,3195,170,102,14,27,14,14,14,15,162,3718,5,0,0,0,0,0
CED106,8,18,17,13,15,59,3738,636,155,201,67,83,73,71,81,58,159,1577,18,0,3,0,0,0,0,0,0,0,20,3873,418,302,79,90,91,86,86,74,222,5333,9,0,0,0,0,0,0,0,0,0,8,7134,755,417,99,105,104,100,94,77,280,9166,2686,54,46,11,3,6,12,3,4,49,2871,2010,65,49,11,12,16,8,6,7,36,2217,541,92,188,39,45,47,36,63,41,83,1175,13,0,0,0,0,0,0,0,0,0,22,2567,158,242,50,62,64,45,72,44,120,3415,0,0,0,0,0,0,0,0,0,3,5,5248,214,285,57,63,69,53,72,52,176,6289,1610,43,36,10,3,8,3,3,3,53,1772,971,32,29,0,0,0,3,3,0,25,1078,453,69,74,20,5,6,11,11,3,26,688,12,0,0,0,0,0,0,0,0,4,20,1448,104,103,23,10,5,18,20,3,59,1787,0,0,0,0,0,0
CED107,6,3,3,0,0,14,393,33,12,16,3,3,0,4,6,0,12,84,3,0,0,0,0,0,0,0,0,0,9,344,37,40,0,5,11,7,6,3,27,487,4,0,0,0,0,0,0,0,0,49,52,1823,84,85,13,22,13,3,14,5,140,2201,1797,25,13,0,7,3,0,0,3,67,1912,344,3,6,0,3,0,0,0,0,16,369,34,3,12,0,5,0,3,5,5,3,69,3,0,0,0,0,0,0,0,0,0,3,383,5,15,0,7,0,3,5,3,18,439,10,0,0,0,0,0,0,0,0,16,22,2183,31,30,3,9,4,7,4,5,99,2374,917,6,11,0,0,0,0,0,0,47,980,193,3,3,0,3,3,0,0,0,11,213,32,0,0,0,0,0,0,0,0,8,41,3,0,0,0,0,0,0,0,0,0,7,225,3,4,0,3,3,0,0,0,20,257,7,0,0,0,0,0
CED108,36,40,18,32,23,134,6332,822,150,184,46,41,39,42,42,43,89,1489,61,3,0,3,0,3,0,0,0,7,79,6124,647,441,93,80,87,63,72,68,229,7908,8,0,0,0,0,0,0,0,0,11,19,8043,740,486,93,82,92,68,80,70,306,10055,1640,24,22,0,0,0,3,3,0,65,1751,2890,128,88,24,12,13,18,23,15,91,3309,736,105,112,24,28,23,21,33,26,55,1162,34,0,0,0,0,0,0,0,0,6,43,3663,233,202,50,41,39,33,54,42,151,4511,11,0,0,0,0,0,0,0,0,3,19,5312,259,224,52,40,37,38,53,42,221,6284,792,13,11,0,3,0,0,0,0,32,847,971,36,34,4,3,3,0,0,4,21,1085,655,78,57,8,3,7,8,7,4,41,867,9,0,0,0,0,0,0,0,0,0,9,1641,113,93,6,7,11,14,8,12,66,1969,11,0,0,0,0,0
CED109,5,0,3,6,4,46,2395,393,38,54,14,14,12,13,21,8,34,598,20,0,0,0,0,0,0,0,0,0,19,2627,108,91,22,14,12,15,26,11,80,3012,0,0,0,0,0,0,0,0,0,0,0,4569,178,143,35,23,24,18,26,16,133,5160,1953,25,17,7,5,0,0,4,3,38,2054,1957,16,10,0,0,3,3,0,0,43,2031,433,38,28,10,15,12,4,3,3,18,565,18,0,0,0,0,0,0,0,0,3,19,2410,54,39,12,13,14,6,3,3,63,2616,0,0,0,0,0,0,0,0,0,0,4,4361,71,56,15,24,15,12,8,6,103,4678,1024,11,7,0,0,0,0,0,0,33,1077,1113,12,6,0,0,0,0,0,0,48,1176,519,27,17,0,0,8,6,4,0,13,601,15,0,0,0,0,0,0,0,0,4,18,1651,38,24,0,0,11,6,4,0,65,1799,3,0,0,0,0,0
CED110,5,3,3,3,0,15,468,26,10,18,3,4,4,3,8,4,6,90,6,3,0,0,0,0,0,0,0,0,6,399,50,46,3,7,6,4,10,7,26,560,8,0,0,0,0,0,0,0,0,8,14,2663,174,112,15,23,15,6,14,4,118,3155,3045,55,45,12,6,0,4,3,4,90,3266,413,18,6,0,5,3,0,0,0,12,453,26,6,6,3,3,3,3,3,0,4,52,3,0,0,0,0,0,0,0,0,3,9,439,24,11,3,7,9,3,3,3,16,519,16,0,0,0,0,0,0,0,0,3,22,3499,82,63,12,13,12,10,3,11,109,3804,1757,32,28,3,3,0,0,3,5,73,1898,280,4,0,0,0,0,0,3,0,0,291,21,5,0,0,0,0,0,0,0,4,30,8,0,0,0,0,0,0,0,0,0,8,311,10,0,0,0,0,0,3,0,6,330,14,0,0,0,0,0
