CED_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
CED101,39078,..,..,..,..,39078,..,29,0,29,0,29,..,3384,435,3814,40,3858,..,4,0,4,0,4,..,3843,1618,5462,31,5491,..,4828,2252,7088,24,7112,..,227,104,327,0,327,..,8897,3976,12872,56,12927,..,473,65,543,6,546,..,28,0,28,3,32,..,149,0,154,0,155,..,112,0,119,0,117,..,2634,308,2945,30,2972,..,456,20,468,0,473,..,462,8,469,0,468,..,231,19,251,3,253,..,60,0,63,0,63,..,242,12,254,3,255,..,1922,64,1992,17,2006,..,3373,123,3499,20,3521,..,716,69,786,3,790,..,139,28,169,3,172,..,188,86,272,3,280,..,1283,160,1447,19,1460,..,64,4,67,3,68,..,73,14,88,3,91,..,118,7,119,0,122,..,169,25,194,0,194,..,138,14,148,0,151,..,161,26,181,3,182,..,230,8,240,0,240,..,655,74,727,3,730,..,414,19,429,0,430,..,32
CED102,30973,..,..,..,..,30973,..,23,0,23,0,23,..,5072,485,5554,53,5610,..,8,0,8,0,8,..,3738,1474,5209,23,5236,..,5923,2263,8182,49,8228,..,360,150,509,3,509,..,10014,3881,13899,73,13975,..,285,47,327,0,327,..,37,0,37,0,35,..,215,7,228,3,228,..,152,8,157,3,162,..,5718,1057,6774,62,6840,..,1634,85,1717,10,1734,..,802,28,832,3,837,..,151,11,159,0,159,..,53,0,53,4,56,..,250,8,263,6,263,..,3674,144,3818,24,3849,..,6564,282,6843,53,6893,..,1353,185,1538,29,1565,..,160,37,198,4,204,..,214,103,320,0,324,..,2116,450,2568,33,2599,..,119,8,122,0,122,..,134,11,144,4,150,..,155,12,171,0,171,..,277,29,307,0,307,..,78,11,92,0,92,..,301,40,344,4,350,..,385,9,399,0,402,..,830,114,944,4,949,..,731,24,757,4,757,..,77
CED103,39485,..,..,..,..,39485,..,67,3,66,0,72,..,1273,150,1422,10,1433,..,0,0,0,0,0,..,5267,1216,6490,25,6514,..,8136,2481,10615,61,10675,..,400,122,517,7,521,..,13808,3814,17622,87,17707,..,198,29,227,3,229,..,61,0,61,0,61,..,258,8,266,5,265,..,214,9,219,0,219,..,596,71,671,10,676,..,363,12,376,3,380,..,1339,41,1384,3,1388,..,303,17,321,0,321,..,410,4,415,0,417,..,331,10,337,3,342,..,729,23,756,5,759,..,3484,106,3587,18,3606,..,1259,128,1395,21,1410,..,347,67,407,0,411,..,3223,1266,4492,44,4528,..,76,6,82,0,80,..,40,3,38,0,38,..,713,132,849,9,852,..,162,16,177,0,178,..,258,17,275,0,275,..,20,3,20,0,20,..,178,12,193,0,194,..,332,11,345,3,350,..,645,44,685,0,685,..,503,10,516,5,522,..,83
CED104,50851,..,..,..,..,50851,..,274,3,279,0,281,..,817,63,885,0,886,..,0,0,3,0,3,..,2235,341,2576,20,2596,..,2998,917,3918,23,3937,..,181,27,202,3,208,..,5420,1284,6697,44,6737,..,123,7,128,0,132,..,123,3,124,0,124,..,175,10,176,4,181,..,257,5,265,4,263,..,220,15,244,0,242,..,134,4,143,0,143,..,895,9,901,5,911,..,235,7,239,0,239,..,515,11,533,0,534,..,243,6,249,3,250,..,413,12,428,0,428,..,2438,51,2485,12,2498,..,641,43,685,12,694,..,181,14,200,0,200,..,934,239,1176,11,1184,..,10,0,10,0,10,..,57,4,61,0,61,..,531,50,582,3,589,..,174,7,184,0,184,..,233,19,244,0,246,..,4,0,5,0,5,..,61,4,61,0,61,..,132,3,135,0,134,..,206,8,212,3,212,..,226,0,229,0,229,..,24
CED105,22737,..,..,..,..,22737,..,5,0,6,0,6,..,14921,2581,17497,175,17674,..,3,0,3,0,3,..,2501,1439,3943,12,3948,..,2526,2685,5218,24,5237,..,241,155,393,6,397,..,5272,4276,9549,40,9586,..,328,47,378,0,376,..,25,0,25,0,25,..,115,7,126,0,128,..,103,0,108,0,108,..,1300,231,1532,11,1544,..,780,45,825,3,823,..,699,39,734,0,741,..,439,36,473,8,484,..,86,11,99,0,99,..,2721,162,2876,44,2923,..,1815,107,1920,9,1933,..,6536,402,6935,67,6995,..,693,131,823,12,828,..,36,3,41,0,37,..,647,481,1130,13,1141,..,884,183,1062,15,1075,..,65,10,75,0,75,..,271,135,406,7,409,..,143,34,177,3,175,..,121,18,135,3,143,..,280,29,309,4,314,..,120,21,142,0,142,..,215,5,221,3,229,..,347,45,391,0,389,..,465,7,475,0,479,..,50
CED106,49153,..,..,..,..,49153,..,286,11,292,0,293,..,235,19,254,6,258,..,0,0,0,0,0,..,3574,583,4160,23,4180,..,5610,1697,7312,37,7344,..,188,56,247,3,250,..,9379,2333,11711,59,11776,..,90,3,96,0,96,..,166,3,166,4,167,..,278,10,288,3,288,..,319,5,324,0,328,..,211,17,222,0,227,..,113,5,116,0,116,..,858,18,874,7,884,..,293,14,308,3,308,..,213,0,217,0,217,..,176,10,187,0,191,..,712,38,754,8,756,..,2363,93,2452,22,2471,..,389,25,416,3,413,..,625,121,750,3,758,..,1755,569,2327,13,2334,..,26,0,27,0,27,..,7,0,7,0,7,..,974,101,1077,11,1088,..,116,8,123,0,123,..,286,28,318,0,314,..,8,0,8,0,8,..,65,3,68,0,71,..,170,4,175,0,178,..,326,21,350,0,350,..,255,0,255,0,260,..,48
CED107,69339,..,..,..,..,69339,..,89,0,89,0,89,..,137,17,148,0,149,..,31,3,35,0,35,..,81,51,133,0,134,..,116,31,147,0,151,..,13,4,19,0,19,..,206,91,295,0,302,..,50,9,55,3,57,..,49,0,49,0,49,..,63,3,63,4,70,..,123,8,131,3,130,..,77,4,77,0,84,..,36,6,41,0,41,..,76,3,78,0,78,..,78,19,96,0,96,..,23,0,23,0,18,..,39,0,36,0,38,..,104,7,109,0,109,..,346,35,383,0,383,..,147,19,163,0,164,..,25,5,23,0,25,..,39,19,59,0,59,..,9,0,10,0,10,..,33,0,30,0,30,..,31,4,29,0,33,..,30,4,28,0,28,..,46,4,49,0,49,..,10,0,10,0,10,..,22,8,29,0,29,..,50,0,55,0,55,..,14,0,14,0,12,..,72,0,78,7,77,..,18
CED108,44380,..,..,..,..,44380,..,27,0,32,0,32,..,2660,463,3121,18,3136,..,12,0,12,0,15,..,403,225,631,7,634,..,467,240,707,8,713,..,50,16,60,0,60,..,919,475,1398,7,1408,..,330,61,383,0,385,..,39,0,39,0,39,..,147,4,148,3,154,..,114,13,120,0,125,..,329,69,396,5,395,..,979,57,1034,5,1042,..,3091,134,3220,39,3260,..,2157,202,2358,17,2379,..,258,12,276,0,275,..,1789,180,1967,24,1995,..,1578,167,1745,19,1768,..,9851,755,10604,109,10706,..,301,39,339,3,339,..,30,4,29,0,29,..,162,94,256,0,255,..,62,7,71,0,73,..,563,53,613,11,624,..,239,76,315,3,323,..,208,39,247,3,249,..,80,3,86,3,86,..,1376,179,1555,22,1584,..,182,44,226,0,226,..,1932,51,1980,10,1992,..,264,32,294,0,296,..,4208,141,4344,43,4388,..,183
CED109,50253,..,..,..,..,50253,..,47,0,46,0,46,..,1220,77,1301,13,1311,..,3,0,3,0,3,..,846,221,1072,8,1078,..,1018,341,1356,8,1368,..,58,10,72,0,72,..,1923,575,2496,17,2513,..,231,24,252,4,261,..,66,6,74,0,76,..,171,9,175,0,175,..,194,13,206,3,205,..,3290,324,3614,20,3636,..,77,3,77,0,77,..,149,0,149,0,149,..,73,7,77,0,80,..,22,0,22,0,22,..,43,0,46,0,46,..,160,8,169,0,169,..,519,19,542,0,538,..,743,58,799,15,812,..,83,15,96,0,96,..,63,15,78,0,78,..,584,61,645,3,655,..,95,3,102,3,104,..,57,0,63,0,63,..,133,10,137,0,142,..,277,39,316,3,316,..,26,0,31,3,28,..,189,20,208,0,212,..,71,3,74,0,74,..,126,7,132,0,136,..,133,3,138,0,137,..,30
CED110,67848,..,..,..,..,67848,..,56,0,56,0,56,..,108,12,122,0,122,..,55,4,62,3,67,..,55,26,77,6,83,..,95,50,146,3,148,..,24,5,24,0,24,..,171,84,256,8,261,..,13,4,22,0,22,..,97,0,104,0,101,..,142,9,142,4,151,..,216,0,216,6,224,..,50,3,53,3,54,..,11,0,11,0,11,..,50,7,53,0,53,..,166,34,204,3,206,..,14,0,13,0,13,..,22,0,22,0,22,..,47,3,50,0,51,..,315,43,355,7,365,..,149,15,162,3,165,..,59,10,64,0,64,..,13,11,20,0,20,..,4,0,4,0,4,..,20,3,21,0,24,..,28,3,26,0,26,..,25,0,25,0,25,..,29,0,27,0,29,..,10,0,10,0,10,..,16,0,19,0,19,..,29,0,35,0,35,..,28,0,28,0,28,..,34,0,36,0,36,..,8
