CED_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
CED101,6,38,0,38,..,1329,103,1432,7,1438,..,653,86,741,9,749,..,102,0,105,0,105,..,149,61,212,6,220,..,108,18,122,0,122,..,1042,295,1341,7,1350,..,1446,346,1793,77,1863,..,26972,6248,33222,294,33513,..,153,49,203,2988,3187,39078,27125,6295,33419,3281,75773,39824,..,..,..,..,39824,..,38,0,38,0,37,..,3211,609,3816,45,3865,..,15,0,15,0,15,..,3960,2117,6080,23,6105,..,5317,2819,8137,37,8168,..,234,108,345,0,344,..,9518,5048,14562,59,14616,..,505,67,576,7,584,..,38,0,38,3,43,..,189,7,201,3,206,..,175,6,187,0,187,..,2774,413,3183,27,3213,..,330,36,364,3,369,..,510,35,545,5,549,..,177,29,208,0,208,..,66,3,68,0,68,..,172,20,193,0,193,..,1558,136,1694,8,1704,..,2813,256,3073,12,3087,..,754,79,835,10,846,..,235,32,266,0,266,..,222,122,339
CED102,3,76,0,76,..,2024,153,2172,10,2188,..,1165,179,1342,11,1355,..,131,3,133,0,129,..,321,111,436,5,442,..,251,52,306,0,302,..,1234,390,1624,0,1625,..,2840,789,3629,91,3724,..,40969,8336,49299,453,49754,..,211,80,292,4705,5000,30973,41174,8419,49589,5159,85720,29799,..,..,..,..,29799,..,20,0,20,0,20,..,4719,739,5456,47,5510,..,12,0,13,0,13,..,3823,2044,5868,40,5908,..,6672,2950,9625,40,9663,..,362,204,565,3,571,..,10858,5194,16057,89,16141,..,285,48,333,0,341,..,30,0,30,0,30,..,162,11,173,0,179,..,142,9,146,0,146,..,5749,1591,7339,73,7412,..,900,169,1069,4,1077,..,673,36,711,11,716,..,123,20,141,0,141,..,57,0,56,0,56,..,153,11,163,0,163,..,2765,242,3010,17,3029,..,4667,476,5147,32,5178,..,1422,310,1727,27,1757,..,306,47,348,0,348,..,267,118,385
CED103,3,84,0,84,..,1567,65,1635,7,1640,..,645,64,713,6,717,..,700,18,722,4,723,..,185,52,234,0,237,..,108,17,123,0,125,..,394,49,443,3,445,..,2932,451,3378,71,3450,..,32755,6571,39322,298,39620,..,188,36,220,3037,3257,39485,32940,6605,39544,3336,82368,39747,..,..,..,..,39747,..,63,4,69,0,69,..,1218,191,1405,6,1420,..,0,0,4,0,4,..,5570,1672,7238,32,7271,..,9216,3193,12409,58,12465,..,451,138,587,3,589,..,15233,5002,20236,89,20328,..,205,32,240,0,240,..,72,7,73,0,73,..,224,16,242,0,243,..,244,10,254,0,257,..,618,91,704,0,705,..,323,24,349,3,353,..,1245,56,1306,9,1312,..,257,29,288,4,294,..,388,16,404,0,404,..,245,13,263,3,267,..,633,34,667,8,670,..,3092,179,3271,25,3296,..,1291,221,1517,18,1533,..,498,65,571,0,574,..,3017,1750,4770
CED104,0,24,0,24,..,590,16,600,3,604,..,449,27,476,8,482,..,498,5,509,3,509,..,62,17,75,0,78,..,59,0,60,0,60,..,194,35,230,0,230,..,1239,165,1399,34,1435,..,15766,2091,17854,140,17991,..,147,15,157,2297,2456,50851,15909,2107,18009,2438,71298,51263,..,..,..,..,51263,..,295,0,299,0,302,..,869,84,957,11,961,..,0,0,3,0,3,..,2305,499,2811,18,2832,..,3339,1130,4473,20,4495,..,214,46,261,0,263,..,5860,1679,7542,43,7588,..,122,6,123,0,127,..,132,0,131,0,131,..,182,3,184,3,186,..,300,5,304,0,306,..,215,25,237,0,237,..,151,7,154,0,159,..,868,36,907,5,911,..,214,15,228,0,231,..,524,13,540,3,544,..,206,17,222,0,222,..,424,24,446,0,446,..,2391,114,2504,17,2518,..,612,78,692,10,703,..,241,30,268,0,268,..,891,339,1229
CED105,7,63,0,63,..,1085,62,1146,6,1154,..,446,81,530,8,539,..,731,150,877,16,890,..,93,40,135,0,135,..,1717,454,2165,23,2195,..,5847,2268,8118,43,8165,..,4881,1805,6687,159,6845,..,46661,13445,60109,608,60717,..,287,119,402,5215,5620,22737,46948,13566,60509,5821,89077,21745,..,..,..,..,21745,..,10,0,10,0,10,..,14175,3078,17247,155,17402,..,3,0,3,0,3,..,2422,1867,4295,17,4310,..,2622,2664,5283,33,5314,..,242,191,439,3,441,..,5288,4726,10016,50,10066,..,323,83,407,0,410,..,24,0,21,0,21,..,121,9,128,3,138,..,107,0,107,0,108,..,1268,324,1599,18,1609,..,578,70,645,5,655,..,633,63,687,11,703,..,291,42,335,3,336,..,60,9,66,0,68,..,1649,283,1928,28,1957,..,1460,120,1581,9,1592,..,4656,588,5247,51,5299,..,746,140,891,14,904,..,55,8,64,0,64,..,627,534,1164
CED106,0,53,0,53,..,803,27,831,3,833,..,544,29,573,4,574,..,274,3,280,5,279,..,122,39,160,0,160,..,59,0,59,0,56,..,188,36,221,0,225,..,1521,215,1740,50,1789,..,21091,3706,24796,187,24989,..,151,26,179,2638,2815,49153,21239,3727,24970,2827,76948,50822,..,..,..,..,50822,..,290,4,294,0,294,..,246,26,276,6,278,..,3,0,3,0,3,..,3998,885,4887,22,4903,..,6586,2464,9048,38,9083,..,264,86,344,0,345,..,10840,3436,14281,59,14336,..,73,11,82,0,83,..,179,3,184,0,188,..,317,5,323,3,325,..,422,10,429,3,432,..,239,21,259,3,262,..,110,0,113,0,115,..,828,29,855,5,859,..,261,21,281,0,285,..,245,3,243,0,243,..,149,8,157,0,158,..,722,56,781,5,782,..,2313,123,2430,16,2446,..,404,35,439,4,443,..,733,195,925,5,932,..,1880,824,2703
CED107,0,18,0,16,..,152,0,154,12,170,..,86,6,93,3,100,..,46,5,48,0,48,..,41,13,51,0,51,..,14,0,12,0,15,..,64,13,76,4,85,..,591,125,714,18,730,..,2546,389,2936,52,2987,..,190,13,204,8102,8307,69339,2736,401,3135,8159,80634,71060,..,..,..,..,71060,..,76,0,77,0,77,..,88,17,107,0,107,..,36,3,35,0,39,..,83,41,123,0,126,..,118,48,163,0,166,..,3,5,8,0,8,..,199,97,294,4,299,..,42,3,45,0,51,..,55,0,59,3,64,..,68,8,72,0,72,..,171,5,171,0,171,..,61,5,68,3,65,..,32,8,37,0,37,..,68,3,72,0,74,..,73,20,92,0,93,..,28,0,28,0,28,..,27,0,28,0,30,..,88,12,103,3,104,..,316,38,356,6,363,..,138,19,156,0,160,..,56,4,57,0,57,..,30,20,54
CED108,10,195,0,195,..,6586,233,6815,53,6869,..,625,108,732,6,742,..,737,58,801,0,799,..,71,19,89,0,89,..,488,111,597,6,599,..,275,83,355,12,367,..,4600,926,5528,109,5634,..,31004,3918,34922,371,35299,..,281,80,363,4476,4836,44380,31290,3998,35287,4850,84513,44274,..,..,..,..,44274,..,26,0,26,0,26,..,2530,644,3177,23,3198,..,15,0,15,3,17,..,382,275,652,9,658,..,495,318,809,5,820,..,44,23,66,0,66,..,915,612,1535,15,1542,..,355,74,427,3,433,..,63,3,64,4,68,..,177,16,197,3,197,..,151,18,173,11,177,..,368,77,444,6,448,..,846,119,967,0,967,..,3217,220,3437,31,3473,..,1669,251,1922,13,1935,..,229,15,247,0,245,..,1560,281,1840,31,1871,..,1425,209,1629,16,1646,..,8949,1096,10047,97,10143,..,331,48,379,0,386,..,36,13,48,0,48,..,172,115,283
CED109,3,28,0,30,..,354,23,374,0,378,..,634,51,685,7,694,..,15,0,15,0,15,..,80,23,106,0,101,..,114,10,126,0,126,..,142,23,161,3,167,..,1014,160,1169,36,1205,..,12253,1563,13820,135,13958,..,149,14,163,3129,3289,50253,12404,1579,13982,3265,67499,52550,..,..,..,..,52550,..,73,3,76,0,74,..,1177,101,1275,9,1290,..,4,0,4,0,4,..,862,286,1148,9,1152,..,1091,470,1563,10,1573,..,62,19,83,0,81,..,2018,775,2797,20,2813,..,267,24,287,3,292,..,98,3,103,0,103,..,189,3,192,3,198,..,230,10,236,6,242,..,3328,482,3813,25,3835,..,68,4,74,0,74,..,133,11,141,6,148,..,60,8,66,0,66,..,22,0,25,0,25,..,29,3,33,0,33,..,139,12,157,0,153,..,457,39,499,5,498,..,800,79,881,10,891,..,136,22,161,3,167,..,83,21,104
CED110,0,16,0,16,..,104,4,111,0,111,..,172,18,188,0,188,..,15,0,15,0,15,..,49,3,50,0,50,..,12,0,12,0,12,..,46,11,60,0,60,..,704,228,936,27,961,..,2672,467,3137,61,3202,..,212,8,223,5774,5997,67848,2891,474,3367,5836,77043,72555,..,..,..,..,72555,..,52,0,59,0,57,..,91,15,104,0,99,..,69,4,73,3,77,..,70,25,96,0,92,..,116,51,166,3,165,..,16,3,23,3,21,..,193,77,275,5,282,..,19,3,19,0,19,..,133,0,141,0,141,..,159,6,168,8,175,..,268,3,280,11,285,..,54,3,57,3,62,..,12,0,12,0,12,..,58,3,63,0,67,..,145,37,185,0,185,..,13,0,12,0,12,..,14,3,19,0,19,..,54,12,63,0,63,..,296,54,350,4,354,..,153,14,164,9,169,..,71,8,78,0,79,..,26,11,34
