CED_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED101,..,5402,722,6131,52,6183,..,786,52,833,0,837,..,971,41,1015,5,1018,..,407,53,464,3,467,..,132,4,133,0,133,..,416,31,446,3,450,..,3484,201,3677,24,3702,..,6191,383,6574,33,6608,..,1469,151,1621,12,1639,..,372,61,436,3,433,..,408,201,608,9,622,..,2552,380,2932,31,2959,..,159,9,170,3,173,..,130,31,157,4,162,..,243,24,264,7,267,..,376,69,443,3,452,..,254,23,278,3,278,..,331,63,397,5,401,..,586,20,608,0,609,..,1433,173,1599,5,1610,..,1081,42,1125,5,1129,..,99,7,114,0,110,..,3205,238,3440,15,3455,..,1430,220,1655,21,1671,..,183,0,188,0,189,..,480,134,612,5,618,..,197,30,226,0,226,..,2210,755,2969,22,2989,..,3058,700,3753,136,3895,..,55432,14414,69843,577,70425,..,320,84,408,6076,6480,78899,55757,14495,70254,6655,155806
CED102,..,11466,2652,14115,132,14249,..,2538,255,2789,14,2807,..,1475,69,1543,16,1552,..,269,28,298,0,298,..,107,0,106,4,112,..,398,17,417,6,426,..,6443,391,6833,45,6880,..,11229,756,11993,78,12073,..,2774,491,3263,52,3320,..,467,79,546,6,555,..,482,221,703,8,709,..,4139,1088,5224,60,5284,..,256,22,275,0,276,..,244,25,273,8,281,..,300,28,328,0,328,..,625,89,710,3,712,..,178,18,194,0,194,..,638,95,734,12,740,..,875,23,895,10,901,..,1756,235,1994,12,2006,..,1754,47,1803,9,1807,..,177,6,182,0,182,..,4549,312,4863,32,4895,..,2355,407,2758,31,2788,..,242,5,252,3,248,..,911,297,1208,14,1225,..,505,117,623,0,620,..,2492,951,3445,13,3459,..,5735,1546,7278,165,7443,..,81620,19634,101255,898,102154,..,428,148,573,9349,9925,60772,82045,19787,101833,10245,172850
CED103,..,1214,158,1374,9,1380,..,684,39,724,6,736,..,2593,98,2682,8,2698,..,564,48,606,4,613,..,793,22,823,0,824,..,582,21,599,6,607,..,1362,57,1422,11,1434,..,6576,282,6860,38,6899,..,2553,355,2905,34,2946,..,846,134,980,3,985,..,6236,3020,9259,72,9332,..,157,16,181,7,184,..,90,9,101,0,101,..,1298,269,1561,14,1571,..,349,35,384,0,385,..,546,69,613,0,614,..,31,12,43,0,43,..,349,38,383,3,388,..,818,16,831,8,846,..,1375,109,1480,7,1489,..,1150,24,1172,10,1178,..,208,10,215,0,216,..,3550,151,3698,28,3724,..,1344,144,1490,17,1503,..,1376,52,1431,11,1445,..,525,143,662,0,667,..,225,36,259,3,264,..,878,132,1009,12,1021,..,5904,996,6901,137,7036,..,67193,15321,82517,596,83110,..,351,76,422,6176,6597,79239,67538,15398,82936,6772,168948
CED104,..,437,42,482,0,484,..,282,13,295,0,294,..,1759,47,1803,17,1818,..,440,24,465,0,469,..,1044,30,1070,7,1075,..,452,23,469,3,472,..,841,36,873,0,876,..,4821,163,4991,27,5017,..,1251,124,1378,18,1394,..,430,43,469,0,469,..,1820,580,2401,28,2431,..,22,0,25,0,25,..,129,5,138,0,138,..,1039,114,1151,3,1157,..,379,13,394,0,402,..,485,56,542,0,540,..,12,0,9,0,9,..,117,11,120,0,120,..,316,11,321,4,324,..,443,27,467,3,473,..,553,6,555,3,558,..,71,0,71,0,71,..,1374,41,1419,8,1424,..,963,57,1025,10,1036,..,1017,34,1058,3,1061,..,216,47,267,3,267,..,122,5,130,0,130,..,422,80,504,0,504,..,2564,324,2886,68,2953,..,32586,4907,37493,296,37786,..,320,41,357,4874,5233,102115,32901,4943,37852,5170,145136
CED105,..,2574,559,3133,23,3154,..,1358,116,1471,12,1475,..,1323,100,1429,10,1440,..,727,80,811,9,816,..,143,21,165,0,167,..,4368,442,4810,71,4880,..,3273,231,3500,19,3525,..,11191,989,12176,119,12300,..,1445,269,1713,19,1731,..,91,12,108,0,105,..,1275,1018,2291,23,2314,..,1692,415,2105,25,2132,..,156,16,172,0,172,..,472,235,711,8,722,..,334,82,413,3,416,..,279,55,334,5,342,..,656,51,706,12,719,..,253,47,296,0,296,..,519,17,540,4,547,..,750,105,848,8,856,..,1095,29,1121,4,1128,..,146,19,165,0,164,..,2508,164,2670,22,2689,..,892,185,1077,24,1103,..,1218,247,1466,14,1482,..,316,113,420,9,430,..,3256,1034,4291,52,4339,..,11176,5734,16911,95,17002,..,8576,3109,11685,280,11965,..,89180,29148,118325,1151,119474,..,526,255,775,9898,10671,44481,89704,29398,119101,11050,174634
CED106,..,450,32,482,3,486,..,219,6,225,0,230,..,1679,51,1734,9,1747,..,554,33,592,3,595,..,456,4,460,0,463,..,330,16,343,3,344,..,1432,96,1530,9,1541,..,4675,207,4881,35,4917,..,789,65,855,6,861,..,1363,317,1675,11,1691,..,3636,1398,5032,32,5063,..,46,0,49,0,45,..,13,0,9,0,9,..,1905,248,2149,29,2177,..,275,23,298,0,293,..,636,81,714,4,714,..,19,0,16,0,16,..,138,10,145,0,149,..,445,8,457,0,454,..,693,49,744,4,754,..,618,10,626,8,631,..,110,3,112,0,112,..,1877,73,1949,14,1958,..,1204,80,1287,5,1293,..,536,17,552,5,552,..,343,101,448,0,448,..,121,7,132,0,128,..,482,82,564,3,568,..,3242,458,3703,106,3812,..,44869,9064,53934,407,54345,..,313,49,358,5580,5941,99972,45184,9109,54293,5991,160255
CED107,..,132,16,144,3,147,..,74,8,83,0,83,..,140,8,152,0,149,..,154,34,190,0,189,..,42,0,42,0,44,..,65,3,69,3,74,..,188,20,210,3,209,..,671,71,738,9,745,..,288,39,325,4,331,..,77,9,85,0,82,..,72,37,107,0,107,..,11,0,19,0,16,..,50,0,50,0,50,..,56,8,67,0,65,..,74,7,80,0,80,..,104,12,123,0,123,..,28,0,28,0,28,..,62,5,67,0,67,..,141,3,141,0,144,..,39,0,46,0,44,..,217,5,222,5,234,..,51,0,51,0,50,..,449,10,461,16,470,..,184,22,202,6,211,..,82,13,96,0,96,..,122,38,160,0,156,..,25,4,31,0,36,..,132,38,165,5,171,..,1177,233,1411,31,1442,..,5281,819,6094,96,6196,..,393,20,409,14284,14699,140402,5671,842,6509,14381,161298
CED108,..,691,141,837,13,851,..,1823,177,1998,4,2011,..,6305,350,6658,71,6731,..,3823,451,4276,35,4311,..,486,30,517,0,524,..,3354,463,3814,56,3866,..,2998,373,3379,41,3412,..,18792,1853,20649,206,20852,..,632,92,721,4,727,..,64,10,79,0,79,..,331,204,538,4,544,..,134,26,161,0,164,..,1155,128,1280,14,1288,..,482,188,670,7,674,..,463,135,599,4,602,..,187,25,206,3,211,..,2945,312,3258,59,3317,..,365,97,461,0,461,..,4282,127,4408,35,4436,..,564,92,652,0,656,..,9290,342,9638,99,9729,..,392,19,415,0,411,..,14527,580,15112,130,15240,..,1286,292,1584,14,1597,..,1381,142,1522,0,1524,..,213,49,260,0,260,..,938,286,1217,11,1231,..,567,218,786,19,800,..,9154,2063,11219,211,11428,..,62800,9220,72021,797,72818,..,613,148,763,9020,9781,88651,63412,9369,72780,9816,171249
CED109,..,6620,804,7423,47,7471,..,140,6,151,0,151,..,281,11,290,6,295,..,137,9,148,0,146,..,39,0,44,0,44,..,74,7,81,0,81,..,304,27,328,0,326,..,978,57,1039,8,1040,..,1541,138,1677,25,1705,..,215,43,258,3,261,..,138,40,178,0,178,..,1161,135,1298,22,1315,..,209,10,218,4,223,..,99,6,110,0,110,..,272,16,289,6,292,..,595,113,703,5,707,..,58,3,55,3,57,..,390,42,432,4,439,..,196,9,208,0,205,..,299,24,320,3,326,..,378,11,382,3,387,..,61,4,69,3,70,..,932,47,982,9,985,..,1363,145,1514,16,1532,..,34,0,34,0,34,..,281,83,362,3,365,..,231,35,264,0,264,..,338,54,390,4,394,..,2177,341,2516,68,2587,..,25542,3727,29270,300,29562,..,307,35,337,6361,6698,102805,25846,3756,29602,6657,139062
CED110,..,108,6,115,3,113,..,25,0,25,0,25,..,112,6,118,0,120,..,313,77,386,6,394,..,26,0,26,0,26,..,37,5,37,0,37,..,102,14,115,0,115,..,607,98,709,5,713,..,301,25,326,12,337,..,127,14,146,0,144,..,38,20,54,0,62,..,14,0,15,0,15,..,41,3,44,0,47,..,39,19,61,0,61,..,70,4,70,0,69,..,70,5,80,0,77,..,24,0,24,0,24,..,36,3,35,0,35,..,136,3,139,0,145,..,62,0,61,0,61,..,196,3,198,3,204,..,34,0,40,0,40,..,433,10,440,3,444,..,350,33,383,0,386,..,24,0,24,0,24,..,151,24,181,4,186,..,21,0,25,0,25,..,106,26,134,3,132,..,1415,527,1942,52,1994,..,5825,1060,6883,137,7021,..,497,29,523,11373,11896,140405,6321,1084,7407,11513,159321
