CED_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
CED101,1395,4511,8969,7342,5991,4852,2579,1058,335,37041,177,231,417,431,456,348,227,114,43,2433,263,442,1014,1275,2353,2195,1426,880,316,10154,58,60,147,201,312,404,643,431,220,2485,15,21,72,106,236,507,603,594,305,2457,6,19,80,56,102,160,123,126,50,718,180,252,609,452,494,509,460,386,239,3573,2100,5526,11309,9864,9936,8970,6052,3592,1513,58869,1493,4384,9776,8556,6745,4769,2092,920,351,39083,123,156,326,369,456,334,184,107,61,2115,137,279,702,1070,2408,2692,1959,1278,612,11137,33,35,120,164,301,511,803,702,536,3208,8,15,53,111,246,608,821,801,619,3293,3,11,81,58,132,235,203,242,113,1079,174,241,604,455,531,532,531,493,447,4009,1967,5130,11662,10785,10819,9692,6597,4548,2732,63933,2889,8892,18747,15896,12740,9621,4672,1975,685,76129,299,386,746,797,911,680,411,224,107,4548,395,728,1712,2345,4760,4884,3381,2154,932,21295,92,103,269,363,615,919,1451,1135,753,5694
CED102,1550,5683,14209,9468,6451,4633,2417,958,296,45676,182,241,575,486,465,310,157,89,34,2541,229,404,1139,1254,1983,1575,1041,603,207,8431,49,60,162,170,271,348,419,282,105,1861,6,29,113,123,268,565,1071,1054,436,3676,6,20,117,65,110,198,258,293,106,1179,225,468,1206,824,670,628,540,552,383,5499,2245,6906,17521,12392,10218,8253,5902,3838,1579,68861,1545,5735,14645,9862,7073,4440,1977,841,304,46418,129,185,454,385,386,270,155,74,41,2085,148,271,814,873,1888,1961,1316,720,356,8347,30,44,128,153,275,440,469,320,226,2080,5,17,76,111,345,828,1469,1400,582,4844,3,23,100,68,167,328,416,504,198,1809,191,429,1153,781,674,594,571,668,710,5778,2056,6701,17381,12238,10800,8876,6370,4527,2405,71358,3091,11419,28860,19330,13519,9079,4398,1798,603,92087,313,426,1033,872,848,583,304,170,73,4624,374,674,1953,2126,3872,3537,2357,1320,565,16778,82,105,287,319,541,786,883,600,334,3941
CED103,1741,5875,12132,10155,7623,6162,3494,1416,507,49107,111,152,332,292,354,232,189,120,53,1838,138,231,633,771,1553,1364,944,699,280,6612,21,73,99,90,156,247,364,320,183,1570,7,31,52,67,114,261,411,434,242,1621,0,15,76,63,80,108,98,105,54,602,177,290,670,553,461,431,390,305,216,3497,2200,6670,14003,11981,10353,8811,5889,3406,1544,64851,1662,6059,13169,10919,8483,6209,3012,1308,526,51348,112,147,226,220,362,329,229,146,67,1844,84,168,384,578,1574,1833,1515,1124,648,7903,27,55,77,85,141,322,445,503,384,2035,6,30,38,61,141,383,539,614,442,2236,3,24,69,65,91,153,139,187,133,852,133,319,691,498,406,443,424,478,466,3865,2025,6794,14638,12423,11196,9670,6302,4359,2676,70077,3399,11932,25298,21069,16103,12374,6502,2726,1036,100455,218,302,560,517,719,564,415,265,124,3680,221,395,1019,1347,3121,3195,2456,1829,931,14517,45,130,172,179,302,566,810,819,573,3604
CED104,1417,3947,5114,7275,7458,6463,3914,1503,445,37540,154,166,238,281,429,366,278,139,49,2094,279,356,649,946,1997,1701,1382,765,243,8323,46,28,66,93,159,180,498,314,124,1509,4,3,19,46,88,143,244,260,126,942,3,4,20,35,37,35,46,55,33,269,128,138,274,370,386,360,338,350,277,2627,2038,4653,6385,9041,10554,9253,6702,3385,1298,53302,1498,3792,5523,8745,8489,6251,3256,1252,482,39288,93,101,167,237,438,389,317,153,55,1938,126,170,319,710,2013,2218,2157,1162,499,9379,38,20,36,55,116,254,611,441,271,1837,6,10,21,25,68,184,275,304,288,1179,3,8,17,14,35,42,58,89,66,330,129,135,249,337,413,374,386,451,684,3163,1897,4232,6333,10123,11558,9712,7064,3843,2344,57114,2914,7741,10640,16025,15943,12714,7174,2756,927,76829,245,266,404,517,863,753,595,290,103,4034,406,530,964,1655,4011,3920,3537,1926,745,17699,90,47,103,146,270,435,1109,752,400,3344
CED105,1702,5439,11211,7038,5146,4174,2026,696,219,37651,278,358,610,496,486,317,140,58,20,2770,365,701,1605,1597,2127,1856,1130,577,188,10144,93,132,402,436,491,476,544,251,133,2950,20,152,521,626,727,869,946,708,306,4884,14,152,486,429,480,420,362,246,87,2667,314,549,1297,889,818,680,582,395,239,5759,2780,7481,16136,11512,10284,8791,5728,2925,1192,66826,1769,5238,10924,7104,5025,3512,1435,558,215,35772,207,250,499,440,411,251,128,58,24,2264,193,380,1165,1377,2173,1993,1344,641,306,9572,54,81,247,384,475,581,580,371,277,3047,14,58,242,461,802,1167,1069,925,593,5337,9,49,226,301,587,665,485,494,237,3058,304,475,924,770,744,631,553,480,410,5289,2547,6537,14220,10837,10211,8803,5587,3520,2069,64332,3468,10677,22133,14143,10177,7685,3459,1250,432,73424,489,607,1114,937,897,565,268,120,41,5032,562,1082,2767,2977,4299,3849,2476,1219,495,19723,142,207,649,823,966,1057,1124,617,404,5993
CED106,1471,4063,7144,9487,9496,6976,4767,2555,1004,46959,81,95,135,182,269,212,217,174,72,1434,98,134,272,353,793,660,604,512,270,3704,42,12,40,42,73,81,207,175,117,786,13,9,16,31,43,90,119,157,105,589,0,8,26,35,36,44,30,49,20,246,229,167,377,363,444,331,331,326,320,2888,1935,4494,8005,10497,11151,8399,6267,3943,1910,56600,1544,4187,8132,10851,10608,6998,4499,2344,1151,50313,64,64,131,168,329,303,389,292,135,1876,69,95,181,304,908,1155,1246,1092,652,5707,32,13,37,48,64,142,328,277,265,1203,7,5,15,34,64,157,181,251,219,923,0,4,31,37,48,69,60,75,57,385,180,195,374,433,467,339,421,482,726,3621,1904,4560,8901,11866,12479,9175,7118,4813,3200,64027,3013,8245,15272,20337,20102,13978,9265,4900,2150,97272,146,157,268,346,594,519,598,467,205,3306,173,230,457,655,1702,1814,1851,1600,923,9408,77,30,73,95,131,222,528,452,385,1987
CED107,898,2285,4295,4095,3022,3102,2170,832,263,20973,335,426,693,734,572,414,299,148,38,3656,633,1098,2577,2710,4512,3950,2489,1077,237,19278,143,155,352,402,755,890,1305,667,173,4840,38,46,136,163,383,758,1070,740,322,3658,3,3,17,21,27,46,62,43,17,225,456,812,1558,1224,1262,1126,1155,688,236,8508,2506,4819,9620,9347,10524,10279,8553,4195,1292,61137,1085,2838,5781,5713,4176,3270,2066,885,300,26119,231,313,617,647,678,464,377,207,70,3604,382,737,1678,1961,3988,4057,3040,1460,528,17834,109,150,305,356,654,949,1185,716,400,4826,16,38,89,109,231,585,762,728,567,3122,3,3,14,24,26,38,42,31,11,192,402,422,737,796,971,953,1138,864,452,6737,2234,4504,9217,9598,10731,10322,8611,4891,2325,62434,1987,5124,10077,9808,7204,6369,4238,1720,567,47089,568,737,1311,1376,1243,880,683,354,107,7258,1013,1831,4249,4676,8504,8012,5527,2539,763,37113,255,307,657,755,1411,1833,2491,1376,574,9665
CED108,1652,4315,8293,7188,4725,3552,1791,528,135,32175,372,418,710,676,470,329,132,62,16,3176,557,939,2029,2151,3193,2308,1262,506,103,13041,142,164,403,472,730,703,642,242,75,3571,36,74,200,265,435,748,914,511,176,3361,8,25,85,103,111,144,125,92,34,730,374,423,740,742,750,679,612,353,105,4778,3144,6368,12458,11588,10415,8458,5476,2287,652,60841,1710,4549,9728,7625,4896,3480,1475,507,194,34167,257,330,702,674,521,296,152,64,15,3018,389,734,1703,1946,3139,2487,1559,682,205,12854,97,127,355,450,719,921,728,377,160,3929,24,46,160,253,503,913,1048,674,486,4103,4,12,86,163,163,202,218,193,77,1131,336,358,834,751,732,717,779,430,186,5130,2819,6162,13569,11863,10678,9023,5953,2936,1321,64325,3360,8868,18021,14809,9620,7033,3269,1029,330,66347,626,757,1406,1348,990,623,282,124,30,6194,951,1677,3734,4095,6333,4795,2815,1187,304,25892,242,291,754,924,1450,1625,1367,617,227,7501
CED109,1023,3035,5890,6425,5359,4465,2717,1178,430,30525,168,198,441,467,484,357,261,128,56,2567,259,427,1230,1540,2726,2287,1704,1032,374,11583,41,33,99,128,207,295,608,471,249,2129,9,4,39,54,90,227,431,463,255,1572,4,0,23,18,31,44,63,65,34,276,162,211,539,535,485,517,480,384,279,3591,1663,3912,8258,9173,9385,8196,6267,3727,1668,52247,1144,3193,7281,7626,6004,4158,2146,982,404,32929,112,117,291,345,440,323,252,178,86,2153,158,228,685,1101,2673,3069,2522,1611,753,12798,18,20,51,89,190,392,846,694,500,2804,3,8,23,44,92,286,524,591,543,2102,0,0,14,22,33,56,96,94,44,365,132,169,543,495,491,504,528,559,584,4013,1576,3738,8894,9717,9915,8792,6926,4701,2908,57167,2170,6225,13168,14056,11361,8629,4862,2155,829,63452,277,318,733,811,929,683,520,310,138,4717,424,655,1918,2645,5399,5349,4227,2646,1130,24383,58,58,148,225,394,681,1452,1163,749,4930
CED110,706,1862,3503,3835,2981,3815,3077,1306,419,21499,295,420,610,657,666,673,539,264,68,4194,507,844,1827,2152,3990,4257,3014,1507,345,18438,174,118,334,413,754,947,1654,862,266,5518,32,49,143,163,345,694,1035,803,411,3672,13,6,19,31,36,30,52,30,14,236,293,378,786,708,918,1109,1161,958,554,6868,2018,3676,7212,7949,9688,11514,10535,5737,2083,60427,846,2204,4605,5168,4092,3829,2593,1217,444,25009,237,292,571,618,774,662,547,308,90,4104,375,592,1481,1866,4215,5084,4088,1957,640,20289,86,113,276,323,667,1156,1683,1046,503,5856,32,32,110,129,264,600,814,830,723,3531,4,7,22,40,46,43,37,29,29,260,267,271,584,583,854,1009,1204,1242,1075,7086,1840,3515,7646,8729,10915,12386,10973,6622,3504,66125,1554,4071,8104,8996,7077,7644,5676,2524,868,46509,535,714,1174,1277,1438,1337,1081,569,165,8294,885,1432,3311,4015,8203,9332,7102,3460,978,38726,256,237,607,740,1420,2101,3339,1908,769,11377
