CED_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED101,23,752,3114,2377,2193,1795,677,190,95,11218,13,330,2184,1840,1584,1112,357,94,41,7553,3,127,1614,1566,1545,1015,264,45,20,6203,0,46,1008,1347,1155,732,154,31,6,4475,3,39,1135,2139,1865,1053,253,49,22,6559,8,15,334,1031,1058,629,167,66,21,3326,604,604,1375,1052,1140,1043,872,775,602,8081,9428,10685,23016,20678,20792,18700,12691,8149,4255,128392
CED102,38,943,4621,2782,2127,1527,489,162,51,12731,15,347,2937,2098,1710,998,275,46,31,8445,3,142,2214,1901,1514,838,200,45,13,6873,4,60,1240,1490,1059,591,140,26,11,4618,3,39,1680,2535,1790,801,149,28,16,7040,4,30,443,1091,885,403,114,30,26,3017,661,986,2577,1749,1419,1203,1009,1105,1099,11808,9037,13658,34970,24681,21059,17188,12313,8387,3995,145283
CED103,38,957,3932,2299,2103,1682,816,264,126,12212,7,438,2904,1978,1630,1190,439,125,51,8757,8,163,2451,2085,1624,1152,367,110,49,8011,8,58,1543,1772,1425,911,260,50,24,6049,3,53,2062,3558,2636,1568,366,81,26,10348,8,21,555,2163,2007,1034,237,72,41,6136,535,718,1531,1181,1053,897,793,754,829,8293,9621,13511,28675,24430,21575,18521,12216,7775,4224,140551
CED104,19,856,1726,1678,1889,1700,990,340,126,9323,0,330,1404,1495,1690,1396,640,186,76,7224,5,129,1185,1612,1762,1363,537,149,41,6782,3,39,737,1346,1521,1173,363,75,33,5289,6,30,1040,3116,3133,2037,541,103,46,10053,5,7,348,2227,3001,1727,445,109,31,7895,541,400,638,874,961,803,764,745,952,6674,10565,8901,12722,19177,22123,18983,13779,7236,3645,117135
CED105,27,763,3237,2220,1888,1316,361,96,39,9943,18,349,1890,1352,1161,771,209,24,13,5792,0,129,1255,1072,832,545,128,16,7,3989,4,43,676,743,524,349,62,11,7,2417,3,28,707,939,650,422,85,11,8,2859,12,24,187,280,246,148,49,16,4,970,1026,1217,2515,1851,1709,1329,1054,801,707,12212,11308,14140,30490,22447,20595,17678,11348,6474,3267,137741
CED106,23,698,2185,1546,1653,1327,1038,521,272,9267,14,346,1807,1468,1328,1069,801,386,160,7390,6,159,1539,1527,1488,1161,641,319,177,7024,0,28,1035,1495,1304,933,491,220,103,5619,3,25,1620,3617,3079,1896,892,373,172,11683,5,19,629,4129,5696,2861,1021,403,222,14980,687,476,892,950,1093,792,795,831,1175,7702,11445,9077,16933,22375,23647,17601,13418,8767,5117,128377
CED107,38,649,2120,1868,2129,1802,794,265,71,9726,12,286,1446,1359,1484,1206,386,92,24,6299,4,139,1091,1300,1361,1079,271,74,24,5347,0,72,675,1077,1165,779,172,67,17,4022,0,71,1017,1578,1619,993,213,46,19,5553,17,30,281,621,696,493,218,71,29,2455,1501,1340,2372,2108,2261,2084,2120,1413,684,15885,10359,9334,18848,18964,21264,20600,17178,9101,3617,129260
CED108,38,908,3698,3023,2674,1736,355,67,22,12532,21,391,2144,2048,1709,1069,204,14,6,7600,4,121,1413,1547,1237,749,125,5,3,5205,3,46,794,1034,810,474,67,6,7,3231,3,21,661,1250,850,450,79,6,0,3318,14,22,145,260,230,145,57,16,3,895,1178,980,1796,1639,1491,1291,1213,685,312,10588,12553,12584,26077,23514,21123,17517,11451,5231,1980,132022
CED109,15,757,2489,1892,1987,1741,863,320,159,10218,12,370,2121,1553,1659,1275,528,164,67,7741,10,140,1777,1728,1624,1209,440,126,55,7114,3,48,1086,1377,1277,907,284,102,37,5122,3,42,1348,2463,2165,1420,394,124,67,8031,8,27,512,1792,1846,1181,405,144,50,5966,568,486,1265,1201,1136,1086,961,891,876,8460,7905,7668,17161,18899,19306,17006,13217,8441,4576,114180
CED110,28,411,1548,1800,2037,1771,942,309,165,8999,11,178,1026,1170,1254,1108,424,104,38,5317,9,60,653,884,1082,856,247,47,33,3878,0,23,369,735,881,652,141,50,19,2864,0,13,372,850,948,690,174,64,31,3150,10,15,136,374,457,375,194,69,29,1672,1104,735,1480,1336,1818,2089,2250,2005,1706,14522,9129,7220,14874,16687,20619,23905,21518,12372,5595,131922
