CED_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
CED101,227,4298,310,4832,287,4957,301,5550,767,9880,679,11333,953,8378,540,9875,1400,8019,540,9952,1315,7159,509,8985,787,4872,414,6071,402,2843,349,3598,155,1156,209,1513,6286,51567,3859,61707,263,4020,310,4592,373,4475,293,5141,1084,9906,688,11685,1624,8644,537,10801,2222,8058,568,10845,2096,7095,518,9713,1077,5054,481,6617,465,3619,472,4553,117,2274,350,2735,9318,53143,4217,66685,483,8315,623,9428,664,9429,595,10685,1854,19792,1371,23016,2579,17020,1077,20678,3619,16071,1108,20792,3410,14258,1030,18700,1866,9933,893,12691,870,6464,818,8149,269,3432,555,4255,15602,104714,8073,128392
CED102,213,4035,363,4610,321,6075,544,6935,1009,15187,1365,17559,1212,10284,929,12421,1345,8204,690,10241,1114,6558,603,8273,689,4739,488,5916,450,2958,445,3854,133,1147,303,1582,6478,59177,5737,71383,255,3875,299,4433,379,5837,503,6723,1376,14734,1302,17411,1712,9699,849,12261,2140,7993,684,10812,1763,6583,573,8913,1018,4829,552,6395,563,3455,524,4535,79,1785,549,2408,9287,58779,5833,73902,472,7903,669,9037,703,11913,1052,13658,2380,29920,2661,34970,2918,19989,1774,24681,3484,16196,1379,21059,2873,13136,1182,17188,1708,9559,1041,12313,1011,6411,967,8387,219,2924,850,3995,15761,117954,11566,145283
CED103,201,4575,279,5056,320,6042,333,6690,766,12460,789,14015,1088,10284,618,11991,1427,8423,510,10362,1309,7070,440,8823,706,4844,351,5896,413,2719,270,3406,148,1234,172,1551,6370,57662,3766,67790,220,4097,250,4563,334,6125,355,6818,1059,12812,784,14652,1620,10269,551,12441,2047,8696,468,11210,2092,7153,458,9697,1085,4844,390,6320,474,3459,438,4369,130,2136,407,2675,9073,59584,4096,72757,426,8671,530,9621,649,12173,689,13511,1830,25269,1572,28675,2709,20552,1166,24430,3480,17117,980,21575,3400,14223,896,18521,1797,9686,740,12216,887,6182,708,7775,276,3367,578,4224,15445,117241,7858,140551
CED104,229,4991,277,5497,211,4259,196,4665,389,5661,335,6384,835,7771,436,9042,1276,8870,416,10556,1473,7423,368,9262,874,5505,328,6704,404,2678,304,3389,120,963,215,1298,5817,48116,2862,56798,242,4578,244,5071,248,3818,174,4239,556,5499,282,6336,1344,8414,377,10130,2213,8927,420,11566,2365,6996,366,9722,1224,5479,370,7069,487,2983,379,3850,79,1751,511,2346,8771,48443,3125,60335,478,9572,521,10565,461,8071,362,8901,944,11162,617,12722,2180,16182,808,19177,3498,17796,832,22123,3838,14415,731,18983,2096,10979,698,13779,894,5663,677,7236,202,2714,733,3645,14585,96565,5986,117135
CED105,307,4958,525,5796,492,6361,693,7556,1237,13385,1595,16213,1248,9221,1084,11553,1279,8075,975,10327,1098,6963,765,8823,661,4508,580,5744,318,2274,345,2935,82,931,183,1196,6723,56677,6753,70150,349,4635,528,5508,565,5433,601,6587,1832,11330,1111,14274,1882,8131,888,10890,1950,7489,823,10265,1681,6491,674,8850,823,4276,503,5608,292,2825,421,3534,56,1718,294,2071,9426,52330,5835,67594,660,9598,1053,11308,1052,11797,1295,14140,3068,24711,2706,30490,3131,17348,1972,22447,3228,15565,1801,20595,2779,13458,1443,17678,1485,8787,1079,11348,606,5097,771,6474,144,2649,474,3267,16149,109005,12586,137741
CED106,250,5191,342,5786,192,4124,181,4503,476,7104,448,8023,873,9197,429,10500,1350,9304,503,11157,1321,6737,348,8403,873,5092,308,6275,476,3194,275,3944,215,1440,254,1909,6028,51381,3087,60504,228,5127,304,5659,256,4095,222,4569,660,7835,424,8911,1416,9984,479,11876,2163,9819,511,12488,2095,6731,368,9193,1357,5376,404,7140,639,3712,473,4825,161,2464,583,3209,8969,55144,3764,67876,474,10320,649,11445,452,8218,408,9077,1134,14937,870,16933,2289,19181,901,22375,3517,19116,1011,23647,3420,13472,711,17601,2235,10469,713,13418,1114,6903,753,8767,378,3900,838,5117,14998,106524,6849,128377
CED107,255,4306,794,5351,214,3765,840,4821,643,7373,1612,9628,857,7207,1291,9356,1318,7936,1286,10536,1374,7785,1123,10277,853,6578,1121,8555,377,3092,728,4204,96,926,267,1288,5998,48973,9057,64022,292,4019,696,5004,335,3713,464,4512,1052,7398,774,9218,1414,7369,824,9609,2110,7689,934,10732,2191,7151,986,10326,1270,6275,1073,8615,458,3504,932,4900,78,1787,465,2328,9190,48895,7155,65239,545,8328,1485,10359,552,7474,1308,9334,1697,14763,2391,18848,2274,14576,2114,18964,3428,15622,2222,21264,3558,14935,2107,20600,2126,12858,2200,17178,840,6596,1662,9101,171,2714,733,3617,15185,97865,16213,129260
CED108,349,5483,644,6480,388,5468,533,6391,968,10620,894,12484,1266,9505,841,11608,1212,8400,809,10421,977,6818,675,8472,599,4303,590,5482,245,1718,320,2288,54,505,91,652,6048,52829,5394,64277,398,5116,565,6071,563,5189,434,6189,1736,10886,980,13600,1936,9117,856,11910,1935,8012,748,10701,1584,6750,706,9038,795,4461,706,5966,232,2279,428,2935,46,1123,161,1331,9225,52937,5576,67745,746,10599,1211,12553,952,10665,972,12584,2700,21507,1872,26077,3197,18620,1698,23514,3147,16420,1553,21123,2568,13568,1379,17517,1397,8762,1298,11451,477,3994,755,5231,96,1630,248,1980,15276,105766,10974,132022
CED109,120,3608,289,4014,177,3517,228,3919,505,7156,604,8269,774,7813,580,9172,1215,7646,531,9387,1320,6366,511,8196,809,5002,467,6276,418,2972,348,3730,171,1287,210,1666,5505,45367,3766,54634,175,3446,270,3886,227,3313,205,3743,745,7549,606,8896,1311,7880,544,9727,1959,7417,540,9918,2104,6183,521,8806,1178,5251,515,6943,504,3720,480,4707,145,2366,402,2913,8347,47121,4079,59544,293,7052,555,7905,404,6830,431,7668,1252,14704,1210,17161,2090,15696,1118,18899,3173,15060,1071,19306,3424,12551,1033,17006,1982,10253,983,13217,918,6692,828,8441,315,3653,614,4576,13844,92481,7844,114180
CED110,239,3864,595,4701,205,3068,417,3693,581,5782,858,7216,823,6424,709,7957,1248,7503,944,9698,1611,8783,1120,11519,1233,8145,1159,10538,611,4172,955,5740,180,1395,520,2088,6747,49138,7265,63151,256,3648,527,4429,261,2955,311,3529,932,6102,621,7655,1460,6673,607,8735,2157,7898,868,10923,2761,8655,964,12389,1693,8038,1252,10973,695,4693,1249,6631,135,2476,888,3503,10354,51139,7281,68776,499,7514,1122,9129,472,6019,729,7220,1513,11886,1478,14874,2283,13093,1314,16687,3405,15402,1809,20619,4379,17442,2088,23905,2926,16186,2408,21518,1306,8860,2205,12372,316,3870,1408,5595,17096,100275,14548,131922
CED111,241,4442,364,5051,340,5904,431,6675,649,8888,737,10276,1021,8171,594,9780,1583,7818,623,10023,1536,6773,619,8927,942,5137,621,6701,440,3039,520,3994,143,1151,241,1536,6902,51312,4746,62957,261,4214,359,4839,388,5240,384,6008,985,8370,629,9990,1553,7983,489,10030,2330,7274,563,10167,2497,6388,597,9477,1293,5192,699,7185,519,3698,673,4902,105,2123,446,2674,9939,50490,4840,65269,503,8656,724,9886,727,11140,818,12683,1635,17255,1367,20262,2576,16156,1081,19810,3912,15088,1190,20198,4032,13161,1213,18403,2238,10331,1313,13888,956,6740,1197,8895,257,3273,686,4206,16836,101802,9585,128230
CED112,237,4284,442,4959,231,3882,333,4440,620,7132,595,8345,891,7496,575,8964,1265,7802,705,9775,1319,6966,716,8998,890,5822,765,7483,412,3128,716,4263,161,1161,440,1766,6022,47683,5284,58990,218,4149,417,4785,306,3861,316,4486,1085,7241,506,8835,1715,7459,574,9752,2145,7568,677,10390,2246,7099,740,10084,1268,6250,898,8421,497,3823,1015,5336,108,2098,843,3050,9588,49549,5983,65122,451,8436,858,9744,535,7745,645,8927,1705,14373,1101,17179,2608,14954,1148,18712,3414,15364,1384,20162,3562,14063,1459,19082,2162,12078,1664,15900,910,6956,1728,9592,267,3258,1283,4809,15616,97225,11269,124112
CED113,203,3626,590,4414,172,3039,396,3608,522,6448,849,7817,824,7094,876,8791,1292,8482,1070,10845,1464,8454,1029,10948,897,6571,966,8429,381,2879,661,3921,96,806,283,1192,5848,47403,6715,59970,209,3449,513,4174,230,2939,319,3488,833,6387,701,7924,1286,7115,691,9094,1989,8204,937,11129,2268,7804,947,11017,1154,5984,902,8031,411,2854,778,4040,86,1424,512,2029,8467,46156,6309,60931,414,7071,1103,8591,404,5982,715,7100,1355,12837,1551,15739,2109,14203,1569,17886,3282,16686,2004,21977,3731,16256,1979,21968,2043,12557,1867,16469,793,5726,1438,7961,184,2228,796,3218,14314,93559,13023,120903
CED114,249,4256,682,5194,234,3847,516,4599,642,7431,942,9013,886,7235,901,9018,1378,8060,1034,10470,1415,8600,1190,11207,919,6887,1230,9033,461,3570,955,4981,130,1135,433,1699,6308,51031,7879,65218,290,4068,595,4955,358,3619,445,4418,1035,7424,860,9322,1458,7153,848,9455,2170,7621,935,10722,2385,7635,1143,11166,1281,6482,1226,8992,559,3843,1210,5613,111,1952,655,2725,9654,49804,7914,67367,537,8329,1281,10144,590,7471,958,9016,1682,14858,1804,18339,2343,14388,1745,18478,3552,15679,1961,21197,3800,16240,2337,22380,2201,13368,2453,18021,1018,7410,2161,10596,241,3092,1097,4422,15961,100828,15794,132590
CED115,300,4914,505,5715,458,5405,551,6411,1004,9532,1059,11602,1122,8082,926,10120,1367,8545,955,10860,1162,7755,834,9753,643,4952,565,6159,318,2406,323,3050,65,908,142,1116,6441,52499,5853,64791,360,4647,474,5476,573,5162,483,6219,1472,9600,1089,12162,1838,8137,983,10965,2097,8172,877,11143,2053,7641,780,10476,940,4677,575,6198,357,2898,401,3653,62,1585,181,1831,9755,52519,5849,68118,662,9562,972,11193,1032,10567,1030,12628,2471,19138,2148,23763,2960,16214,1913,21087,3463,16709,1831,22004,3212,15398,1617,20231,1581,9632,1140,12353,674,5302,717,6702,135,2488,324,2947,16195,105016,11698,132904
CED116,175,3407,534,4120,224,2953,432,3606,537,5325,819,6683,819,5801,817,7436,1203,7005,888,9098,1793,8736,989,11519,1305,8847,1178,11335,623,4423,891,5945,167,1342,454,1966,6850,47843,7001,61704,219,3247,465,3932,248,2598,283,3125,830,5279,510,6614,1301,5919,549,7765,2002,7010,724,9742,2893,8580,944,12422,1707,8599,1240,11547,690,4577,1162,6426,115,2044,763,2925,10004,47854,6637,64503,398,6656,996,8053,466,5548,708,6727,1363,10600,1326,13293,2118,11718,1369,15207,3206,14013,1612,18836,4684,17319,1936,23941,3019,17449,2420,22881,1318,9001,2053,12371,283,3385,1220,4897,16858,95703,13640,126202
