CED_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
CED101,14,140,3,152,4380,299,4832,65,134,3,203,5065,282,5550,2275,239,24,2536,8152,645,11333,5052,140,106,5296,4084,494,9875,3217,159,40,3425,6020,503,9952,709,631,18,1360,7156,465,8985,140,1074,14,1221,4467,387,6071,30,301,4,333,2921,344,3598,6,21,0,26,1316,172,1513,11510,2840,209,14557,43567,3589,61707,20,254,9,278,4047,271,4592,195,261,18,471,4403,263,5141,3799,417,86,4296,6748,641,11685,6541,296,220,7056,3291,459,10801,3095,469,89,3652,6668,528,10845,433,1742,30,2205,7018,484,9713,114,1634,18,1771,4413,425,6617,25,369,0,399,3735,419,4553,7,36,0,35,2388,313,2735,14229,5471,466,20172,42708,3808,66685,32,390,8,434,8426,568,9428,259,393,20,675,9468,546,10685,6074,653,106,6833,14900,1285,23016,11589,433,325,12351,7375,948,20678,6313,627,133,7074,12686,1037,20792,1143,2380,43,3564,14178,949,18700,259,2704,33,2996,8881,814,12691,53,669,9,732,6660,761,8149,10,56,0,68
CED102,23,135,3,166,4094,347,4610,72,126,6,204,6221,510,6935,2515,279,26,2821,13459,1270,17559,5341,161,68,5577,5978,871,12421,3029,146,44,3218,6368,652,10241,701,466,16,1190,6500,585,8273,147,825,5,981,4484,452,5916,39,331,3,376,3060,414,3854,10,33,0,39,1268,274,1582,11880,2517,173,14566,51434,5379,71383,22,222,4,254,3899,275,4433,261,249,3,511,5752,461,6723,4317,503,69,4890,11299,1224,17411,6492,334,191,7014,4470,774,12261,3025,495,80,3605,6562,649,10812,425,1466,37,1921,6468,527,8913,138,1398,16,1544,4351,500,6395,31,359,3,396,3655,482,4535,9,29,0,38,1867,506,2408,14713,5059,407,20181,48322,5392,73902,46,363,12,422,7995,623,9037,332,378,13,719,11978,965,13658,6833,789,94,7710,24762,2495,34970,11828,494,262,12587,10454,1645,24681,6055,649,124,6822,12930,1300,21059,1123,1935,61,3116,12969,1111,17188,283,2220,18,2528,8834,946,12313,73,690,9,770,6713,901,8387,21,61,0,78
CED103,19,143,7,162,4639,257,5056,43,142,0,180,6201,313,6690,2323,251,15,2594,10685,741,14015,6155,137,83,6374,5030,592,11991,3689,138,64,3888,5997,474,10362,689,576,18,1285,7139,400,8823,178,1015,15,1209,4357,335,5896,37,355,0,397,2755,257,3406,5,27,0,29,1356,161,1551,13129,2778,203,16118,48154,3526,67790,13,232,3,248,4091,225,4563,99,237,9,342,6142,338,6818,3883,398,78,4369,9548,742,14652,7498,290,243,8032,3907,503,12441,3718,411,95,4223,6575,415,11210,500,1605,24,2128,7157,422,9697,144,1667,16,1830,4127,363,6320,38,362,10,413,3576,381,4369,7,25,0,31,2274,372,2675,15905,5216,481,21597,47390,3761,72757,30,374,8,412,8727,486,9621,140,371,10,518,12343,645,13511,6209,651,96,6957,20230,1482,28675,13654,423,322,14401,8940,1092,24430,7400,549,159,8111,12573,897,21575,1189,2177,39,3408,14290,822,18521,325,2684,36,3044,8480,697,12216,71,725,11,802,6329,641,7775,14,48,0,64
CED104,21,217,5,240,5009,244,5497,31,128,0,161,4324,177,4665,1389,186,29,1603,4462,323,6384,5584,118,104,5813,2843,389,9042,4165,176,68,4416,5738,404,10556,777,778,12,1559,7371,332,9262,142,1467,5,1608,4778,321,6704,23,326,0,357,2754,283,3389,0,23,0,23,1079,196,1298,12129,3414,232,15780,38348,2671,56798,7,336,4,348,4506,216,5071,86,250,3,340,3735,161,4239,2243,275,109,2625,3447,264,6336,7226,213,323,7760,2038,336,10130,4354,434,131,4921,6265,382,11566,425,1967,26,2418,6951,357,9722,98,2214,17,2328,4376,361,7069,33,395,4,432,3052,368,3850,3,29,0,28,1841,476,2346,14464,6118,615,21203,36222,2914,60335,28,550,11,586,9513,463,10565,114,385,5,509,8058,338,8901,3624,459,137,4227,7915,590,12722,12813,333,434,13572,4882,720,19177,8518,614,197,9330,12006,784,22123,1197,2740,40,3980,14323,687,18983,242,3682,21,3942,9152,680,13779,53,724,5,785,5802,649,7236,3,47,0,52
CED105,24,146,7,176,5127,487,5796,136,211,4,346,6565,639,7556,2899,300,46,3246,11484,1486,16213,4562,146,45,4754,5815,987,11553,2694,151,33,2876,6569,882,10327,666,510,10,1186,6956,685,8823,137,627,6,767,4444,533,5744,19,152,3,180,2446,311,2935,3,21,0,25,1001,170,1196,11140,2253,155,13551,50410,6188,70150,59,329,11,393,4643,469,5508,641,389,21,1054,4990,551,6587,5652,438,119,6213,7057,1003,14274,5865,287,128,6284,3813,792,10890,2453,579,78,3109,6418,740,10265,358,1367,34,1763,6481,608,8850,96,984,9,1088,4062,458,5608,24,199,0,222,2911,394,3534,5,15,0,21,1796,254,2071,15150,4595,407,20152,42171,5277,67594,81,472,21,573,9770,960,11308,776,599,27,1401,11553,1191,14140,8555,743,165,9457,18535,2492,30490,10426,436,180,11039,9631,1779,22447,5143,734,106,5981,12986,1622,20595,1020,1878,50,2950,13436,1293,17678,231,1605,17,1850,8504,988,11348,45,356,3,401,5359,710,6474,8,34,0,42
CED106,16,224,3,244,5213,328,5786,31,100,0,129,4190,186,4503,1588,150,18,1758,5842,421,8023,6341,100,73,6507,3589,405,10500,5072,121,82,5276,5421,460,11157,995,534,13,1542,6531,335,8403,173,1325,10,1510,4465,305,6275,45,517,8,567,3130,246,3944,9,45,4,51,1621,233,1909,14266,3108,203,17587,40002,2914,60504,20,320,3,340,5047,272,5659,66,255,0,318,4031,220,4569,2810,269,48,3129,5393,389,8911,8245,243,281,8767,2687,422,11876,5418,316,166,5899,6118,474,12488,562,1447,29,2036,6816,346,9193,136,2340,12,2496,4277,370,7140,43,584,4,636,3764,423,4825,11,29,0,36,2636,529,3209,17311,5803,550,23669,40767,3443,67876,31,543,4,587,10261,598,11445,94,351,3,451,8221,401,9077,4401,421,70,4893,11235,810,16933,14583,340,349,15276,6275,831,22375,10490,436,249,11180,11538,931,23647,1556,1978,44,3578,13344,674,17601,311,3669,20,4002,8739,668,13418,93,1104,10,1200,6890,670,8767,17,75,4,87
CED107,42,256,3,297,4304,749,5351,321,196,10,531,3471,825,4821,3093,343,88,3520,4522,1579,9628,4641,210,160,5005,3140,1209,9356,2606,459,86,3149,6147,1239,10536,496,1019,10,1524,7692,1065,10277,82,849,5,937,6568,1052,8555,16,175,3,197,3357,646,4204,15,10,0,31,1028,235,1288,11313,3525,362,15199,40225,8596,64022,80,428,3,515,3826,665,5004,709,364,46,1120,2948,442,4512,4497,512,285,5294,3200,727,9218,5693,357,304,6355,2505,746,9609,2439,1145,109,3687,6160,887,10732,193,2270,15,2479,6944,903,10326,69,1386,8,1463,6199,959,8615,18,217,5,243,3820,832,4900,9,24,0,32,1894,404,2328,13714,6691,781,21190,37490,6566,65239,130,680,5,814,8130,1414,10359,1032,565,59,1651,6419,1266,9334,7592,850,373,8820,7724,2308,18848,10326,571,465,11362,5640,1961,18964,5051,1604,189,6843,12307,2124,21264,686,3286,29,4000,14634,1967,20600,149,2240,15,2405,12770,2007,17178,36,394,8,441,7179,1482,9101,28,35,0,61
CED108,36,286,3,322,5559,595,6480,327,255,12,596,5310,479,6391,3467,333,96,3890,7774,816,12484,5389,208,91,5688,5157,765,11608,2518,302,29,2855,6826,749,10421,514,710,23,1247,6632,590,8472,99,650,10,762,4201,524,5482,19,129,3,149,1838,305,2288,4,0,0,3,557,87,652,12376,2868,274,15516,43858,4903,64277,119,464,6,591,4971,515,6071,796,482,29,1310,4485,403,6189,6148,598,207,6957,5770,877,13600,6586,406,226,7216,3948,744,11910,2238,956,105,3296,6718,682,10701,301,1762,27,2090,6307,645,9038,81,978,14,1075,4257,631,5966,18,153,3,176,2384,379,2935,7,12,0,15,1175,139,1331,16297,5803,620,22715,40010,5014,67745,150,745,8,909,10530,1108,12553,1124,740,41,1906,9797,884,12584,9617,927,302,10845,13546,1690,26077,11978,609,318,12904,9102,1514,23514,4761,1259,134,6151,13543,1428,21123,815,2476,45,3343,12935,1236,17517,178,1629,27,1839,8458,1154,11451,39,280,7,324,4227,678,5231,12,10,0,19
CED109,10,143,3,155,3592,266,4014,39,115,0,159,3550,219,3919,1671,223,28,1924,5784,563,8269,4947,152,91,5193,3435,543,9172,3367,166,55,3590,5326,470,9387,584,746,11,1347,6357,492,8196,101,1258,8,1365,4468,436,6276,28,368,0,398,3024,310,3730,0,24,0,24,1458,185,1666,10748,3194,203,14147,36996,3486,54634,14,230,0,245,3404,239,3886,115,238,4,350,3202,191,3743,2794,421,90,3304,5019,573,8896,6237,278,252,6766,2464,494,9727,3260,472,92,3820,5608,495,9918,290,1992,19,2306,6019,479,8806,58,2098,6,2163,4316,464,6943,26,433,0,456,3837,418,4707,3,30,0,33,2513,367,2913,12792,6190,468,19449,36372,3717,59544,21,373,0,404,6992,508,7905,155,356,7,507,6751,404,7668,4470,644,112,5229,10799,1134,17161,11184,429,346,11966,5903,1033,18899,6618,638,147,7402,10934,970,19306,875,2738,33,3648,12379,977,17006,159,3353,16,3534,8784,899,13217,48,804,4,856,6856,727,8441,8,53,0,55
CED110,28,215,4,244,3880,574,4701,237,145,3,390,2912,387,3693,2286,235,73,2593,3822,799,7216,3965,209,141,4311,2965,676,7957,2457,374,69,2900,5931,863,9698,598,904,30,1525,8943,1049,11519,108,861,5,981,8476,1091,10538,18,165,0,186,4665,886,5740,6,12,0,21,1611,463,2088,9711,3127,321,13151,43207,6789,63151,58,376,8,440,3507,484,4429,568,278,24,868,2377,278,3529,3631,367,244,4238,2840,572,7655,5196,328,296,5825,2370,542,8735,2520,956,114,3585,6514,817,10923,257,2125,26,2409,9072,903,12389,54,1411,10,1473,8381,1125,10973,21,212,0,234,5257,1135,6631,9,16,0,20,2655,824,3503,12316,6072,718,19106,42973,6692,68776,88,591,10,685,7381,1063,9129,808,424,30,1260,5292,670,7220,5918,606,315,6835,6664,1370,14874,9167,541,434,10141,5331,1220,16687,4976,1331,184,6487,12451,1678,20619,856,3029,50,3935,18020,1955,23905,163,2272,16,2455,16852,2210,21518,39,380,0,420,9926,2024,12372,14,29,0,43
