CED_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
CED101,..,140,4210,6431,6544,5918,4026,2380,691,30344,..,178,1004,723,552,402,175,49,3,3078,..,19,38,148,343,275,154,88,73,1131,13426,..,..,..,..,..,..,..,..,13426,..,4629,..,..,..,..,..,..,..,4629,..,3004,2646,820,503,245,41,3,0,7257,..,690,576,175,191,226,188,119,76,2247,..,520,708,184,175,122,65,13,0,1790,..,558,925,241,242,262,125,57,16,2424,..,116,465,542,770,922,826,534,349,4522,154,152,202,156,147,118,81,53,29,1090,13577,10005,10768,9423,9465,8495,5677,3291,1238,71944,..,425,5360,7021,6649,5589,3439,1747,331,30562,..,268,1117,704,559,335,110,24,3,3113,..,96,502,1200,1651,1056,451,344,290,5589,12791,..,..,..,..,..,..,..,..,12791,..,4738,..,..,..,..,..,..,..,4738,..,2112,1906,488,268,154,48,3,0,4981,..,533,410,126,214,544,472,441,242,2984,..,493,591,127,98,70,26,15,3,1419
CED102,..,253,5854,7089,5931,4969,3891,2485,679,31155,..,359,2043,1139,764,474,156,36,0,4983,..,13,48,145,327,286,137,99,82,1139,13510,..,..,..,..,..,..,..,..,13510,..,4062,..,..,..,..,..,..,..,4062,..,2527,2483,1053,678,258,30,0,0,7030,..,864,880,239,180,235,193,126,71,2790,..,874,1357,291,179,115,49,11,0,2873,..,1480,2500,609,410,318,187,47,11,5573,..,294,904,829,934,900,732,473,239,5306,163,215,347,220,196,128,82,67,33,1451,13675,10933,16416,11615,9609,7692,5457,3345,1120,79872,..,717,7461,7037,5948,4819,3354,1777,232,31339,..,557,2039,1063,678,338,98,9,0,4777,..,69,492,1176,1609,967,515,472,284,5589,12490,..,..,..,..,..,..,..,..,12490,..,4202,..,..,..,..,..,..,..,4202,..,1812,1836,586,383,202,42,0,0,4857,..,704,640,182,268,569,469,404,228,3465,..,853,1020,202,110,76,31,18,11,2324
CED103,..,108,5126,8022,7038,6015,4141,2253,722,33416,..,369,1544,780,545,316,168,32,5,3760,..,9,29,136,277,261,110,83,64,975,13998,..,..,..,..,..,..,..,..,13998,..,4988,..,..,..,..,..,..,..,4988,..,2175,2251,666,441,201,38,0,0,5783,..,645,516,154,150,178,115,111,65,1926,..,700,823,171,117,95,35,7,4,1956,..,1387,1723,435,254,247,133,46,20,4236,..,270,876,830,830,910,696,496,318,5225,105,197,298,133,122,83,64,46,21,1079,14106,10844,13184,11327,9766,8317,5499,3080,1217,77349,..,281,6547,8320,7272,5865,3449,1672,332,33735,..,548,1556,767,506,298,90,16,3,3788,..,30,323,980,1407,901,380,355,268,4648,13279,..,..,..,..,..,..,..,..,13279,..,4714,..,..,..,..,..,..,..,4714,..,1735,1775,425,260,149,35,3,0,4389,..,562,490,142,186,539,418,395,238,2974,..,711,741,148,70,57,18,4,0,1745
CED104,..,63,2107,6688,8071,7109,5202,2381,596,32210,..,116,465,541,585,401,179,46,11,2345,..,4,17,89,253,248,99,71,44,833,14021,..,..,..,..,..,..,..,..,14021,..,5749,..,..,..,..,..,..,..,5749,..,3011,2445,548,311,130,8,0,0,6459,..,305,223,86,93,99,105,82,54,1057,..,190,228,75,86,77,40,7,3,713,..,136,209,119,124,134,104,26,11,868,..,87,194,309,413,461,467,346,242,2531,99,147,147,114,96,75,72,32,11,789,14117,9820,6038,8565,10040,8749,6269,3001,968,67568,..,100,2947,7770,8545,6822,4503,1697,287,32672,..,150,519,607,616,358,101,21,8,2388,..,40,181,603,1168,734,285,194,138,3346,13038,..,..,..,..,..,..,..,..,13038,..,5645,..,..,..,..,..,..,..,5645,..,2273,1669,327,201,99,20,0,0,4595,..,246,160,68,82,337,375,358,232,1869,..,218,178,60,66,51,26,3,3,601
CED105,..,366,5563,6614,6396,5498,3738,1854,485,30509,..,151,604,452,369,254,113,23,6,1979,..,10,64,189,280,323,163,97,60,1195,17820,..,..,..,..,..,..,..,..,17820,..,5283,..,..,..,..,..,..,..,5283,..,3703,3418,1078,554,242,32,0,0,9029,..,924,901,352,307,330,188,121,72,3192,..,615,1150,357,251,188,49,17,9,2625,..,1225,2390,881,483,342,147,32,11,5525,..,134,614,624,787,946,756,411,229,4499,246,249,417,255,206,155,103,48,23,1707,18060,12667,15128,10794,9649,8276,5289,2604,888,83364,..,1223,7428,6726,6110,4815,2874,1203,205,30575,..,207,673,409,343,225,75,14,4,1954,..,175,1013,1569,1638,1129,493,395,243,6649,16868,..,..,..,..,..,..,..,..,16868,..,5547,..,..,..,..,..,..,..,5547,..,2490,2207,573,345,171,31,0,0,5815,..,664,490,210,337,603,468,448,247,3468,..,478,587,161,123,96,27,13,7,1486
CED106,..,61,3095,7939,8568,6395,4796,2840,926,34621,..,159,791,556,498,320,153,54,22,2556,..,7,24,101,271,186,84,56,48,777,15793,..,..,..,..,..,..,..,..,15793,..,6191,..,..,..,..,..,..,..,6191,..,1925,1766,429,319,152,15,0,0,4618,..,434,316,100,44,99,72,74,57,1198,..,271,348,99,82,53,24,3,9,895,..,312,585,180,147,121,87,45,17,1502,..,180,481,491,545,487,511,447,346,3480,97,142,160,97,77,78,47,30,20,748,15895,9681,7570,9993,10552,7895,5797,3545,1446,72373,..,151,4327,8836,8954,6101,4364,2159,448,35341,..,228,844,557,504,246,109,32,3,2525,..,26,172,807,1494,841,283,264,222,4104,14785,..,..,..,..,..,..,..,..,14785,..,6145,..,..,..,..,..,..,..,6145,..,1538,1379,315,224,125,29,0,0,3618,..,436,295,93,108,344,330,281,188,2077,..,294,306,105,58,53,21,21,5,857
CED107,..,142,2829,4627,5288,5608,4797,2326,504,26120,..,712,1766,1068,1010,675,334,72,18,5650,..,18,108,258,386,248,135,95,36,1290,15215,..,..,..,..,..,..,..,..,15215,..,2876,..,..,..,..,..,..,..,2876,..,2779,1148,503,451,198,20,0,0,5109,..,333,188,78,109,147,126,71,39,1092,..,228,184,99,102,65,37,11,3,731,..,584,482,204,232,248,182,63,11,2011,..,294,855,898,1361,1619,1555,865,343,7793,287,426,398,265,260,209,171,85,18,2122,15501,8405,7962,7993,9197,9017,7358,3594,981,70013,..,267,3641,5178,5767,5557,4276,1630,242,26559,..,1080,1745,1110,1005,571,240,46,11,5807,..,419,1117,1486,1318,545,340,313,186,5727,14084,..,..,..,..,..,..,..,..,14084,..,3038,..,..,..,..,..,..,..,3038,..,1673,564,211,168,120,23,0,0,2762,..,259,82,48,119,241,233,181,114,1273,..,219,87,44,43,34,18,3,3,455
CED108,..,196,4645,7196,6451,5539,3661,1380,266,29350,..,386,1204,837,664,362,134,39,3,3634,..,38,150,273,420,317,205,93,43,1538,18990,..,..,..,..,..,..,..,..,18990,..,5192,..,..,..,..,..,..,..,5192,..,4409,3320,1088,583,178,21,3,0,9593,..,905,753,262,289,310,219,117,45,2905,..,322,446,249,193,112,55,17,5,1403,..,314,480,215,271,218,144,28,6,1665,..,134,486,618,757,833,604,342,111,3871,276,318,378,249,179,121,79,28,13,1631,19265,12218,11867,10978,9805,7986,5118,2051,489,79780,..,516,6509,7310,6213,5091,2856,871,112,29478,..,545,1270,813,639,321,96,19,3,3697,..,533,1533,1901,1881,1128,628,341,157,8096,17818,..,..,..,..,..,..,..,..,17818,..,5270,..,..,..,..,..,..,..,5270,..,3269,2133,476,277,114,27,3,0,6291,..,715,434,145,319,608,618,399,187,3434,..,291,250,110,82,68,23,15,10,847
CED109,..,57,2531,5503,5830,5213,4241,2538,832,26744,..,204,1491,900,718,474,213,60,18,4073,..,6,29,169,337,267,101,72,61,1048,12181,..,..,..,..,..,..,..,..,12181,..,3653,..,..,..,..,..,..,..,3653,..,2650,1741,633,453,233,37,0,0,5753,..,330,243,91,98,124,135,84,52,1156,..,122,175,72,86,49,29,5,0,535,..,216,559,234,229,207,118,62,20,1636,..,141,616,796,925,970,834,519,383,5183,176,159,237,164,146,94,75,46,16,1110,12354,7528,7625,8567,8826,7619,5782,3388,1387,63080,..,121,3479,6121,6090,5111,3810,1921,399,27055,..,385,1587,856,697,426,153,29,6,4132,..,47,354,964,1274,748,342,312,305,4340,11369,..,..,..,..,..,..,..,..,11369,..,3917,..,..,..,..,..,..,..,3917,..,1929,1350,304,236,164,41,3,0,4036,..,302,193,55,108,254,273,273,195,1650,..,127,125,53,37,46,19,4,0,421
CED110,..,108,1933,3770,4592,5675,6112,3352,905,26452,..,514,1357,1122,1070,996,544,163,22,5794,..,31,104,304,465,326,129,84,76,1522,12914,..,..,..,..,..,..,..,..,12914,..,2854,..,..,..,..,..,..,..,2854,..,2478,1151,611,500,265,39,0,0,5032,..,407,172,103,143,209,144,91,55,1325,..,270,252,143,145,120,44,20,4,991,..,440,481,215,361,454,306,145,34,2434,..,191,583,717,1237,1984,1754,1047,424,7935,266,334,327,261,254,261,224,92,34,2059,13177,7622,6375,7233,8762,10282,9298,4995,1554,69307,..,203,2656,4239,5200,6015,5496,2544,447,26798,..,780,1463,1160,1154,956,407,107,8,6041,..,348,1169,1716,1683,826,373,342,266,6725,12501,..,..,..,..,..,..,..,..,12501,..,2843,..,..,..,..,..,..,..,2843,..,1550,565,249,216,195,52,3,0,2828,..,285,80,63,163,311,293,213,186,1598,..,257,121,64,67,72,35,7,4,627
