CED_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED101,..,432,648,173,190,191,145,48,15,1837,..,113,391,443,657,1169,1432,1463,1003,6669,148,149,213,108,88,153,118,97,57,1127,12938,9365,11146,10381,10389,9257,6229,4176,1948,75828,..,566,9573,13457,13201,11501,7468,4122,1021,60911,..,451,2117,1426,1115,735,281,69,9,6199,..,110,543,1343,1991,1334,607,437,365,6724,26215,..,..,..,..,..,..,..,..,26215,..,9369,..,..,..,..,..,..,..,9369,..,5112,4554,1312,768,404,91,4,0,12237,..,1227,992,300,410,770,662,559,316,5229,..,1016,1298,313,271,193,87,27,6,3209,..,989,1572,406,431,455,266,106,32,4268,..,220,859,991,1430,2092,2253,2000,1351,11189,301,305,415,267,235,266,199,142,90,2218,26515,19367,21917,19808,19849,17748,11905,7468,3186,147766
CED102,..,1216,1732,398,297,234,117,46,21,4064,..,223,783,730,771,1083,1188,1128,649,6554,164,256,332,161,162,132,128,88,46,1464,12658,10614,16333,11540,10219,8418,5944,3939,1466,81130,..,972,13314,14123,11884,9794,7241,4263,910,62502,..,914,4079,2203,1441,814,252,49,4,9763,..,75,542,1324,1938,1257,652,571,369,6729,26007,..,..,..,..,..,..,..,..,26007,..,8266,..,..,..,..,..,..,..,8266,..,4343,4316,1633,1057,459,72,3,0,11879,..,1564,1517,427,448,800,667,525,295,6250,..,1726,2379,493,290,188,78,29,12,5194,..,2698,4237,1005,708,558,306,97,31,9638,..,515,1693,1566,1705,1980,1920,1594,886,11863,330,467,682,375,356,256,210,159,79,2916,26332,21549,32751,23157,19830,16109,11402,7280,2583,161003
CED103,..,1436,1365,294,219,201,107,55,21,3711,..,252,793,693,725,1127,1298,1333,972,7200,107,183,253,135,113,117,127,74,62,1180,13389,10463,13853,11906,10763,9252,5919,3917,1890,81353,..,384,11671,16339,14305,11879,7591,3923,1053,67148,..,923,3096,1548,1051,616,259,52,8,7549,..,45,355,1117,1681,1163,483,443,333,5617,27278,..,..,..,..,..,..,..,..,27278,..,9695,..,..,..,..,..,..,..,9695,..,3912,4030,1097,701,356,74,3,0,10175,..,1199,1005,296,337,712,529,507,305,4901,..,1412,1567,318,189,151,54,16,3,3702,..,2825,3091,727,474,449,244,100,37,7945,..,524,1667,1521,1557,2041,1990,1832,1290,12427,219,387,547,271,239,204,194,118,83,2258,27498,21303,27037,23230,20530,17569,11422,6989,3113,158695
CED104,..,84,112,72,84,122,81,31,17,604,..,54,129,173,294,662,1109,1045,749,4215,96,180,141,63,65,111,120,49,43,861,13134,8985,6041,9745,11128,9286,6633,3408,1472,69826,..,155,5050,14457,16623,13927,9704,4077,886,64879,..,269,984,1146,1207,764,279,67,17,4732,..,42,206,688,1424,982,385,272,186,4182,27060,..,..,..,..,..,..,..,..,27060,..,11391,..,..,..,..,..,..,..,11391,..,5283,4114,877,512,230,32,0,0,11047,..,556,387,157,174,435,483,448,286,2924,..,413,407,134,154,126,68,12,5,1314,..,218,326,196,205,259,182,64,23,1473,..,141,327,484,712,1126,1575,1389,988,6740,191,325,285,174,166,183,190,82,55,1652,27250,18804,12083,18313,21165,18032,12899,6410,2435,137398
CED105,..,273,452,135,209,211,89,32,16,1416,..,119,323,305,490,940,1011,932,620,4733,233,252,330,171,124,165,144,90,59,1575,17100,11429,13503,10255,9713,8345,5218,3127,1396,80087,..,1588,12992,13333,12499,10310,6611,3056,690,61080,..,365,1280,858,715,475,191,46,12,3932,..,186,1079,1763,1923,1450,654,495,309,7847,34685,..,..,..,..,..,..,..,..,34685,..,10830,..,..,..,..,..,..,..,10830,..,6188,5624,1649,896,414,66,3,0,14844,..,1588,1395,566,641,933,658,565,319,6653,..,1090,1737,515,375,285,72,25,9,4118,..,1500,2842,1013,696,549,237,69,31,6940,..,257,934,926,1285,1881,1768,1338,845,9235,481,503,747,431,331,322,245,141,83,3278,35162,24099,28631,21056,19362,16625,10504,5733,2291,163449
CED106,..,339,504,150,104,142,94,36,47,1412,..,168,471,431,442,813,1288,1410,1094,6112,97,164,176,71,68,98,91,67,49,882,14887,9486,8469,11369,11945,8768,6612,4263,2054,77855,..,215,7423,16768,17525,12496,9159,5000,1372,69960,..,384,1636,1111,1000,573,266,89,25,5078,..,36,191,907,1768,1033,366,314,274,4886,30581,..,..,..,..,..,..,..,..,30581,..,12342,..,..,..,..,..,..,..,12342,..,3467,3144,750,540,278,47,0,0,8233,..,868,611,195,145,444,408,349,241,3276,..,561,657,207,139,106,40,27,10,1747,..,656,1089,334,248,265,179,83,66,2917,..,343,950,918,985,1294,1807,1856,1443,9594,195,303,335,171,143,176,142,92,67,1621,30779,19172,16038,21362,22498,16665,12408,7810,3497,150227
CED107,..,511,373,123,197,236,145,68,16,1667,..,279,566,426,972,1702,2019,1805,866,8641,266,420,252,152,195,261,252,140,77,2007,14349,8163,8435,8773,9774,9271,7553,4186,1509,72019,..,410,6467,9808,11048,11170,9070,3960,754,52685,..,1795,3509,2176,2015,1247,577,116,25,11456,..,443,1234,1746,1700,796,474,405,225,7016,29293,..,..,..,..,..,..,..,..,29293,..,5914,..,..,..,..,..,..,..,5914,..,4453,1714,712,617,322,47,3,0,7872,..,591,272,123,229,390,361,255,154,2363,..,448,276,144,146,100,51,14,4,1189,..,1097,852,325,429,489,324,129,27,3677,..,570,1423,1321,2335,3321,3574,2673,1214,16433,555,842,654,419,455,466,422,226,95,4129,29849,16568,16395,16768,18975,18295,14908,7782,2493,142030
CED108,..,163,215,134,169,191,119,39,4,1044,..,90,299,325,485,914,1077,765,296,4250,299,323,261,136,116,129,122,70,27,1491,18116,11721,12909,11343,10178,8563,5559,2520,800,81708,..,716,11157,14506,12667,10630,6521,2249,383,58826,..,935,2469,1654,1303,684,224,53,6,7327,..,572,1687,2172,2300,1440,826,436,201,9635,36801,..,..,..,..,..,..,..,..,36801,..,10464,..,..,..,..,..,..,..,10464,..,7676,5453,1556,858,287,41,4,0,15888,..,1622,1188,408,612,919,843,522,233,6338,..,615,694,360,276,182,75,24,12,2250,..,474,697,340,439,406,266,72,15,2711,..,225,790,940,1239,1745,1678,1105,400,8123,578,643,638,377,293,250,197,99,44,3124,37383,23938,24775,22318,19987,16551,10674,4568,1288,161491
CED109,..,172,428,134,155,192,123,55,9,1275,..,130,521,581,672,1208,1586,1551,1205,7455,139,168,248,111,128,100,109,96,54,1153,11511,7302,8277,9180,9404,8252,6460,4245,2173,66808,..,178,6013,11632,11924,10318,8052,4456,1230,53805,..,582,3075,1761,1412,900,361,93,25,8211,..,56,379,1128,1615,1016,447,382,371,5389,23553,..,..,..,..,..,..,..,..,23553,..,7574,..,..,..,..,..,..,..,7574,..,4584,3090,934,694,399,81,3,0,9786,..,629,437,146,212,378,401,357,249,2800,..,251,299,127,123,93,48,15,7,957,..,383,983,368,385,399,241,119,30,2910,..,265,1140,1378,1600,2184,2421,2065,1587,12637,316,330,484,282,276,194,182,143,72,2268,23871,14836,15901,17747,18233,15877,12240,7632,3561,129889
CED110,..,483,362,145,297,448,245,120,42,2135,..,198,383,394,1033,2132,2596,2278,1341,10365,250,362,223,157,223,339,283,147,55,2026,12752,7315,7023,8180,10040,11286,9775,5761,2353,74486,..,311,4590,8004,9797,11692,11603,5900,1350,53247,..,1293,2818,2282,2229,1950,956,273,33,11836,..,384,1277,2027,2152,1148,499,429,339,8248,25415,..,..,..,..,..,..,..,..,25415,..,5698,..,..,..,..,..,..,..,5698,..,4024,1720,858,709,458,85,3,0,7862,..,691,259,160,305,523,441,301,245,2922,..,528,370,205,207,191,79,27,9,1616,..,921,843,352,653,897,554,262,75,4561,..,394,968,1112,2268,4116,4356,3321,1764,18302,516,694,552,416,475,597,510,241,92,4081,25933,14937,13394,15416,18796,21575,19079,10753,3907,143794
