CED_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
CED101,19225,904,502,310,23,5,53,21031
CED102,19307,839,391,311,18,14,71,20955
CED103,21569,787,325,244,19,3,53,23001
CED104,21407,962,450,245,11,3,42,23118
CED105,20627,852,491,468,37,14,99,22585
CED106,23093,843,339,197,10,12,41,24522
CED107,14179,1163,883,169,22,14,172,16604
CED108,20295,1143,904,577,48,26,119,23113
CED109,16622,951,452,133,6,6,37,18211
CED110,11829,1163,754,191,24,13,117,14085
CED111,16069,996,565,127,17,9,74,17861
CED112,14293,1483,1008,212,36,23,136,17189
CED113,13702,1160,764,147,16,14,113,15915
CED114,14477,994,739,160,16,11,160,16562
CED115,19073,956,546,463,40,27,91,21186
CED116,11493,1149,699,178,30,18,159,13729
CED117,14358,784,240,115,8,8,34,15546
CED118,24166,1284,693,415,33,21,82,26692
CED119,20243,1094,623,170,11,5,51,22193
CED120,16831,1338,1027,227,26,22,126,19595
CED121,14637,1447,966,208,42,22,158,17479
CED122,17285,839,416,178,8,6,66,18811
CED123,17913,1531,1045,286,46,30,130,20986
CED124,11216,1011,662,192,23,16,178,13297
CED125,18637,1387,1002,404,48,30,134,21649
CED126,18862,1121,508,156,14,3,51,20721
CED127,15078,1321,814,190,29,5,98,17536
CED128,20772,971,620,393,33,21,80,22901
CED129,23557,1077,579,256,29,16,33,25552
CED130,12585,1044,707,167,25,25,140,14704
CED131,14084,1074,591,131,23,6,73,15990
CED132,18042,812,279,107,6,0,30,19281
CED133,12472,1140,777,242,34,14,148,14825
CED134,12461,896,752,218,34,27,202,14582
CED135,23463,869,387,334,15,10,56,25134
CED136,14396,1426,1022,228,43,18,160,17292
CED137,20010,831,295,216,7,9,54,21426
CED138,12557,1048,607,129,9,5,110,14468
CED139,13486,965,795,147,30,12,136,15569
CED140,14043,1162,655,130,20,13,105,16123
CED141,14183,1291,743,187,32,10,117,16562
