CED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED101,494,99,178,30,803,185,30,72,8,293,148,80,193,16,432,92,62,187,8,353,656,161,299,30,1154,348,320,488,23,1179,1654,493,589,54,2800,859,698,672,88,2316,1127,1189,711,98,3129,1018,1360,523,96,2991,730,1314,435,59,2540,713,1385,386,64,2544,1511,3110,607,128,5352,937,2360,296,65,3659,599,1700,138,23,2465,393,1249,119,20,1778,738,3069,142,18,3965,805,2173,572,31,3583,237,173,116,15,536,13236,21031,6724,870,41866
CED102,652,134,243,36,1063,248,58,76,14,391,159,99,211,31,497,136,96,181,12,419,808,216,318,34,1376,376,374,431,40,1222,1895,612,563,62,3122,992,920,633,93,2637,1287,1283,712,140,3425,1255,1492,586,123,3458,850,1407,496,73,2818,906,1402,409,78,2798,1933,2949,560,121,5555,1169,2185,299,76,3727,756,1638,112,44,2549,497,1160,120,23,1801,862,2538,131,39,3563,996,2216,550,56,3817,224,189,102,15,533,15986,20955,6732,1104,44775
CED103,672,175,241,63,1146,226,50,84,16,372,165,62,144,32,402,79,59,140,10,292,609,155,206,24,989,343,266,325,43,975,1270,428,379,49,2133,855,635,447,84,2022,1153,1044,569,80,2857,1120,1131,498,99,2842,820,1240,440,63,2566,867,1281,336,63,2549,1850,3008,554,101,5522,1362,2350,276,85,4080,874,1970,128,37,3007,648,1688,154,30,2517,1249,4842,179,36,6309,949,2428,440,41,3857,184,179,76,9,443,15289,23001,5622,965,44873
CED104,341,64,92,15,501,142,25,37,7,211,95,45,73,8,224,36,32,68,3,142,412,83,138,13,643,215,122,197,15,551,1053,212,249,17,1532,842,364,278,26,1512,1156,595,404,38,2202,1037,811,364,27,2238,624,899,313,35,1876,697,1047,299,29,2070,1310,2710,461,49,4535,978,2470,252,29,3726,668,2185,132,12,2997,557,2045,143,12,2752,1418,6443,180,15,8055,784,2792,452,21,4046,173,170,54,9,401,12535,23118,4181,380,40216
CED105,489,294,296,32,1112,141,80,91,8,323,155,236,353,15,764,131,173,345,13,671,796,581,510,45,1937,408,890,748,45,2093,1766,1226,767,104,3864,846,1755,771,97,3463,1010,2141,804,130,4086,830,2050,619,93,3601,566,1701,437,66,2776,539,1485,340,67,2439,967,2656,461,96,4181,465,1694,234,44,2443,245,1068,104,24,1445,138,719,80,8,945,206,1177,88,24,1488,613,2355,602,40,3609,238,308,185,18,748,10549,22585,7847,982,41967
CED106,475,169,268,35,953,177,35,73,17,305,104,52,136,17,310,45,42,90,3,180,354,114,138,20,626,223,172,230,25,653,754,247,262,22,1285,641,365,324,47,1380,994,632,439,58,2122,979,760,383,56,2177,674,779,332,42,1821,803,875,317,42,2035,1576,2224,485,74,4360,1242,1810,260,42,3348,874,1622,100,22,2615,722,2249,251,13,3238,2410,9057,258,29,11764,915,3115,489,26,4545,180,200,49,11,434,14133,24522,4881,602,44140
CED107,186,48,81,11,318,151,24,67,10,250,110,47,245,12,419,67,25,316,4,418,805,133,473,31,1443,406,177,868,19,1467,2350,386,897,59,3698,1267,593,767,74,2699,1614,1059,714,64,3447,1525,1275,513,62,3372,889,1221,324,29,2458,985,1241,268,22,2520,1753,2529,372,24,4680,1018,1952,112,23,3105,657,1286,46,10,1989,326,810,51,4,1191,689,1476,30,4,2203,1047,2159,661,30,3904,406,170,219,18,818,16255,16604,7020,508,40389
CED108,347,139,179,14,676,97,45,79,3,230,100,110,319,14,542,63,79,404,11,554,581,261,624,32,1489,324,409,945,17,1704,1549,679,1067,86,3378,741,1088,1004,79,2908,901,1712,991,85,3690,884,1966,784,97,3732,623,1888,532,57,3091,669,1939,442,58,3102,1327,3954,647,93,6018,696,2550,309,39,3597,371,1561,114,24,2073,166,912,93,10,1173,235,1357,100,17,1703,578,2211,729,58,3573,249,261,293,31,828,10494,23113,9636,819,44065
CED109,244,49,97,17,413,111,22,44,8,179,74,48,90,14,225,41,27,119,0,198,480,59,206,11,768,244,98,343,13,696,1252,174,380,32,1834,855,347,468,44,1709,1144,596,585,54,2377,1062,753,457,55,2330,682,828,400,50,1949,754,962,334,47,2103,1610,2359,527,75,4567,1173,2164,278,64,3672,851,1699,126,16,2699,590,1424,115,8,2140,1220,4241,161,25,5647,896,2200,570,28,3695,262,159,90,4,515,13560,18211,5390,563,37717
CED110,192,53,94,6,344,136,26,57,7,229,119,47,196,9,372,85,14,349,11,458,1010,134,537,26,1701,597,174,1078,34,1889,3728,429,1101,63,5327,1949,715,1084,71,3820,2200,1268,957,82,4510,2006,1392,628,64,4086,993,1260,377,22,2648,1042,1167,279,25,2522,1558,2159,289,24,4035,876,1381,93,14,2362,391,802,29,6,1230,223,470,47,3,738,493,737,37,7,1280,1162,1716,779,31,3688,432,147,234,22,833,19201,14085,8243,520,42052
