CED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
CED101,5672,19934,17431,5391,2706,51148,1617,52765
CED102,8467,25024,15818,4496,2132,55934,2079,58015
CED103,6074,24319,19249,5101,2316,57062,1521,58587
CED104,1701,12838,19037,6927,4496,45002,954,45955
CED105,5884,18159,15439,5493,3061,48029,2331,50367
CED106,3840,19738,20670,5783,2478,52503,1114,53619
CED107,3630,18817,20967,7616,4193,55221,2609,57831
CED108,4441,17480,17441,6065,2988,48408,2168,50580
CED109,3631,17605,19140,5567,3233,49183,1523,50704
CED110,4081,24467,21391,6115,2790,58851,2753,61604
CED111,5486,20506,19519,6048,3093,54653,2114,56765
CED112,3630,19347,19460,6575,3698,52712,2273,54982
CED113,2320,17829,20558,7574,4291,52568,2232,54799
CED114,3656,20197,22098,7498,4029,57482,2847,60325
CED115,5521,16679,14648,6009,3355,46217,2030,48247
CED116,2783,21822,20983,6369,3183,55146,2517,57667
CED117,9691,28020,13922,2539,918,55093,1776,56867
CED118,2878,16260,21424,6690,3217,50467,1552,52020
CED119,1957,13273,20097,6741,4041,46117,1076,47189
CED120,1777,12721,19653,8430,6057,48641,1673,50315
CED121,2760,17947,20976,7575,4222,53488,2126,55614
CED122,11211,26609,16856,3943,1659,60276,2525,62803
CED123,3668,17714,20101,7015,4404,52903,1920,54820
CED124,2828,20640,20200,6736,3521,53927,2494,56417
CED125,3273,16347,18789,6821,3981,49218,1685,50901
CED126,2803,15821,20688,6498,3494,49307,1519,50828
CED127,2664,16141,18342,6720,4655,48527,1391,49918
CED128,4303,16115,16869,6706,4136,48127,1888,50016
CED129,1376,12464,21739,7328,4033,46943,922,47861
CED130,3526,19287,20129,7139,3927,54003,2651,56655
CED131,5428,21870,21040,5946,2596,56884,1960,58846
CED132,8700,29717,17553,3575,1449,60997,1478,62469
CED133,3317,22023,21769,6925,3406,57439,2597,60035
CED134,4049,18613,19060,7047,3871,52641,3053,55700
CED135,8292,25954,17581,4545,2358,58730,2179,60905
CED136,2811,19361,21322,7008,3722,54222,2225,56447
CED137,7855,26914,18701,4516,2077,60063,1998,62053
CED138,3252,22397,21059,6046,2884,55630,2587,58217
CED139,3360,19037,20639,7317,4061,54419,2580,57001
CED140,4252,20302,18897,5834,2997,52283,1991,54272
CED141,3250,18883,20626,6577,3365,52698,1913,54618
CED142,31366,35173,9445,1184,477,77640,3457,81100
CED143,4887,23638,18321,4422,1889,53158,1370,54524
CED144,6692,21445,15889,4998,2747,51768,2350,54119
CED145,10390,25553,14743,2969,1153,54810,2006,56820
CED146,3108,13062,17660,7561,4607,46007,1911,47915
CED147,3089,18076,19921,7052,4005,52150,2073,54222
CED194,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0
CED201,1670,13162,19850,7105,3982,45763,1180,46946
CED202,3171,18903,21364,7368,4340,55141,2298,57439
CED203,7536,26276,18024,4440,1961,58239,2187,60427
CED204,2899,18289,21319,7451,4088,54042,2248,56291
CED205,3751,18036,19738,6234,3021,50774,1883,52659
CED206,2566,14397,18976,7714,4606,48267,1916,50179
CED207,1551,13646,20290,7675,5148,48308,1468,49773
CED208,5713,21523,20824,5577,2399,56036,1679,57713
CED209,2012,16577,23107,7268,4033,52991,1752,54750
CED210,4180,20810,20424,6166,3075,54652,2299,56949
CED211,3059,19847,21518,5527,2535,52480,1367,53847
CED212,3243,18981,21232,6283,3247,52988,2033,55020
CED213,2154,17986,22455,7442,4395,54429,2396,56821
CED214,6690,24761,19995,4943,2211,58602,2291,60896
CED215,2973,18143,19951,6968,3885,51924,2517,54441
CED216,3459,19340,21700,5427,2383,52313,1405,53716
CED217,2140,16649,25621,8550,4452,57414,2108,59516
CED218,9016,26797,18710,4165,1915,60598,1742,62343
CED219,2094,16922,26260,8829,4606,58720,2110,60831
CED220,3672,18483,19876,5811,2687,50533,1758,52285
CED221,2410,16687,20109,7180,4246,50628,2314,52937
CED222,3350,18943,22157,6481,3109,54039,1820,55853
CED223,2738,16694,20652,6071,3257,49414,1297,50718
CED224,4317,19680,19476,5339,2372,51185,1280,52464
CED225,1334,12965,22621,8080,5017,50014,1285,51300
CED226,2720,23554,30608,8872,4181,69935,2085,72018
CED227,3194,16813,18617,6976,4461,50065,2612,52681
CED228,5167,21291,20158,6263,3008,55888,2275,58164
CED229,1739,17672,29572,10253,6493,65741,1913,67648
CED230,2810,19624,23105,8101,4773,58425,2311,60734
CED231,31666,34910,13475,2337,744,83134,3364,86495
CED232,12661,34029,16544,2698,1064,67001,2110,69108
CED233,1684,13065,19962,6867,4074,45662,1213,46867
CED234,2738,16821,19547,7363,4495,50963,2568,53532
CED235,2733,16202,21495,7767,4442,52648,1712,54358
CED236,2624,16345,18466,6873,4479,48783,2316,51098
CED237,8610,27867,18460,4662,2118,61720,2155,63876
CED294,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0
CED301,2948,17255,19528,7299,4091,51120,1853,52975
CED302,2949,17046,20725,6702,3312,50738,1459,52198
CED303,2393,15941,20626,7730,4281,50974,1476,52446
CED304,8921,28061,19089,4587,1949,62597,1978,64582
CED305,2648,16301,19703,7203,3745,49596,2237,51836
CED306,2962,17870,21454,7333,3257,52877,2251,55127
CED307,1659,13647,20864,7722,4387,48280,1037,49315
CED308,2315,20212,23716,7650,3758,57645,1819,59458
CED309,2360,19244,22420,7125,3595,54749,1704,56451
CED310,2307,18555,19762,6432,3273,50335,1579,51910
CED311,2087,16042,20870,8112,4476,51593,2020,53614
CED312,2358,15853,20950,8056,4931,52151,1695,53842
CED313,6022,24777,20255,5079,2175,58311,1650,59957
CED314,3117,18158,19984,6881,3787,51929,1806,53736
CED315,3658,19496,21738,6656,2946,54492,1814,56302
CED316,3459,21693,18844,5712,2590,52303,2307,54602
CED317,3341,17875,19636,6918,3825,51595,2563,54158
CED318,5684,22207,21253,6112,2568,57817,2738,60555
